"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16083,216,223,1965,2991,2308,2281,2603,1927,924,579,66,"0 to 119",46,9232,6702,149,15807,276,0,280,15423,724,70,1245,14832,6,0,15801,1154,65,15,11,603,614,2,1219,8,22,446,281,127,128,99,85,31,17,1,"0 to 103","29",439,240,214,326,224,651,344,169,6,94,5,0,12,1245,628,615,1219,26,0,40396,250,41900,40646,1245,48,1402,0,1450,3.31,43350,1293,16234,17533,"6.7",3,8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","27.3","100","170.9","84.6","%","%","%","%",64,10,12,175,99,15,8,1,1197,12,48,0,46,5,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,934,30,17,103,138,132,152,153,108,67,32,2,"0 to 99",48,516,364,54,874,60,0,36,847,99,5,72,861,0,1,873,42,30,0,0,36,33,3,72,0,2,11,9,13,8,11,9,6,3,0,"10 to 97","46",54,14,2,2,1,67,4,18,0,15,0,0,4,72,33,36,72,0,0,1684,60,1816,1744,72,0,33,0,33,0,1849,72,894,967,"3.5",3.9,7.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","250","20","77.8","4.9","%","%","%","%",3,3,4,18,15,25,21,5.6,63,4,9,0,5,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3533,39,38,266,466,490,580,657,461,293,188,55,"0 to 119",52,1973,1506,54,3483,50,0,150,3161,446,65,408,3041,0,84,3410,346,44,17,1,206,184,0,390,5,5,62,90,72,78,48,29,16,3,0,"1 to 93","40",286,44,23,37,97,243,50,95,6,35,2,2,5,408,192,216,390,18,0,7588,21,8026,7609,408,16,753,0,769,2.08,8795,424,3794,4302,"2.4",4.8,12,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","100","14.3","184.1","121.5","%","%","%","%",23,0,7,101,37,25,10,1.7,384,4,24,1,14,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1508,21,28,126,195,175,225,292,190,146,103,7,"0 to 118",54,943,540,25,1506,2,0,33,1397,179,2,84,1423,0,1,1505,38,46,0,0,62,22,0,84,1,4,11,9,13,10,6,7,12,11,0,"1 to 107","50",64,17,3,0,6,76,2,13,0,13,0,0,2,84,22,62,84,0,0,2554,2,2642,2556,84,5,48,0,53,9.43,2695,89,1471,1561,"5.8",3.3,5.9,"2020-06-21","2020-06-27","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","33.3","75","133.3","30.3","%","%","%","%",3,2,2,13,13,16,16,2.4,83,2,1,0,6,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,20818,271,386,1400,2173,2307,2903,4541,4006,2118,565,148,"0 to 119",57,11754,8958,106,20796,22,0,377,19682,1380,99,1962,18846,0,10,20786,1879,67,14,2,991,952,3,1946,26,54,413,417,315,276,239,127,56,39,0,"0 to 99","36",1159,129,127,531,349,1064,533,229,3,111,3,0,17,1962,959,1000,1946,16,0,43502,6,45475,43508,1962,72,2983,1,3056,2.36,48531,2034,21829,23874,"4.1",4.2,9.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.9","19.3","161.3","40.1","%","%","%","%",12,3,17,232,114,12,6,0.9,1793,17,169,0,104,12,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,104407,1688,2247,7778,15685,16078,18101,19135,13036,6903,3550,206,"0 to 119",49,56522,46379,1506,102819,1588,0,3186,89356,15795,1075,16155,88204,13,35,102774,14408,1425,296,26,7987,7836,10,15833,207,488,2155,3203,2735,2674,2328,1251,717,388,9,"0 to 102","42",7331,4960,1337,2205,5724,8196,1913,3651,72,2053,59,22,385,16155,8048,8097,15833,322,0,182204,1263,199709,183467,16155,1212,25784,4,27000,4.49,226709,17367,113988,131407,"6.9",7.7,16.6,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.7","44.2","57.8","16.3","%","%","%","%",328,159,407,3723,2112,24,14,2.5,15624,383,531,2,976,136,23,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,554,5,4,44,53,81,77,93,85,72,39,1,"0 to 99",56,333,205,16,554,0,0,6,446,60,5,77,475,0,2,552,61,16,0,0,57,20,0,77,0,0,6,8,5,2,4,9,21,21,1,"20 to 99","77",54,10,2,11,1,60,16,12,0,8,0,0,6,77,20,57,77,0,0,821,0,900,821,77,1,24,0,25,4,925,78,499,579,"4",8.4,14.1,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","33.3","66.7","40","67.6","%","%","%","%",29,6,6,12,8,16,11,7.8,76,6,1,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5733,65,53,283,483,554,794,1099,1085,755,556,6,"0 to 119",60,3366,2301,66,5714,19,0,223,5036,719,26,793,4935,1,4,5709,630,160,2,1,457,331,2,790,9,9,58,83,67,99,142,114,100,112,0,"0 to 101","60",625,62,16,87,55,620,115,128,1,150,1,0,76,793,333,458,790,3,0,11709,16,12522,11725,793,47,1571,0,1618,2.9,14140,840,6506,7351,"4.2",5.9,14.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","550","100","140.4","58.2","%","%","%","%",99,49,76,129,151,17,20,9.6,775,76,18,0,24,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4219,40,79,230,401,383,506,779,944,648,201,8,"0 to 222",61,2345,1683,191,4212,7,0,84,3633,381,28,323,3893,1,2,4210,203,120,0,0,158,164,1,323,4,7,41,35,33,50,71,46,24,12,0,"0 to 97","53",249,15,17,42,28,248,47,38,0,39,0,0,13,323,164,158,323,0,0,9683,6,10016,9689,323,24,847,0,871,2.76,10887,347,4740,5090,"3.6",3.2,8.2,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","237.5","54.5","97.8","17.8","%","%","%","%",4,1,13,38,39,12,13,4,291,13,32,0,18,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8549,123,217,677,1006,1190,1407,1506,1326,764,311,22,"0 to 101",52,4923,3524,102,8528,21,0,191,7882,667,60,729,7811,1,8,8519,654,72,3,0,401,325,0,726,3,15,84,107,99,125,106,93,58,38,1,"0 to 100","50",367,142,67,150,69,487,170,164,0,108,0,0,34,729,326,403,726,3,0,16612,18,17370,16630,729,37,1028,0,1065,3.47,18435,766,8839,9614,"4.6",4.2,9,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","163.2","222.6","90.4","%","%","%","%",20,24,34,164,108,23,15,4.7,713,34,16,0,25,4,1,0
