"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","Last7Days_Cases","Last7DaysPrev_Cases","Delta7Days","Delta7Days_Pct","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","RankCases_30Days","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
49,44,87,"MONROE","Monroe","Monroe","Monroe County","FL",76325,3635,29,57,224,440,488,622,791,582,292,108,2,"0 to 101",54,1920,1706,9,3559,76,0,1241,2002,798,122,162,3390,0,83,3481,130,20,8,4,70,80,0,150,2,6,10,18,20,27,25,25,17,12,0,"3 to 100","54",110,6,1,33,37,75,38,22,3,14,2,0,4,162,87,75,150,12,0,4466,58,4686,4524,162,99,2373,1,"2473",4,261,5763,6108,"8",3.6,7.2,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","25","40","88.2","59.9","%","%","%","%",20,1,33,17,16,"94.1",4,25,16,15.4,9.9,2.5,158,5,4,4,0,6,1,0,0
54,45,89,"NASSAU","Nassau","Nassau","Nassau County","FL",80578,3273,46,52,228,334,379,449,628,600,382,171,4,"0 to 103",57,1763,1315,195,3164,109,0,45,3141,88,33,115,3157,0,1,3163,86,21,6,2,53,54,0,107,2,1,15,21,24,13,14,15,7,3,0,"1 to 89","43",81,16,2,8,1,96,10,30,1,16,0,0,1,115,57,58,107,8,0,5559,101,5776,5660,115,15,559,0,"574",2.61,130,3716,3847,"4.8",2,4,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","100","16.7","144.4","172.8","%","%","%","%",7,1,22,10,12,"120",1,31,16,27,13.9,0.9,111,1,1,4,0,3,0,0,0
4,46,91,"OKALOOSA","Okaloosa","Okaloosa","Okaloosa County","FL",200737,7028,162,149,543,1025,997,918,1077,814,731,571,41,"0 to 119",51,4269,2718,41,6886,141,1,152,6415,387,74,400,6628,0,0,6887,292,99,5,4,199,192,0,391,6,18,39,80,63,54,60,39,25,15,1,"0 to 96","43",309,44,28,10,117,263,11,91,2,55,1,0,6,400,198,202,390,9,1,10743,132,11283,10875,400,25,956,0,"981",2.55,425,7584,8009,"4",3.5,6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","27.8","9.5","12","17.6","%","%","%","%",0,4,67,75,-8,"-10.7",6,93,56,23.2,14,1.5,398,18,6,2,0,18,0,0,0
64,47,93,"OKEECHOBEE","Okeechobee","Okeechobee","Okeechobee County","FL",40572,1704,31,57,240,205,187,215,258,186,177,137,11,"0 to 119",50,998,683,23,1694,10,0,72,1422,231,10,245,1459,0,0,1694,213,30,2,0,120,121,2,243,9,26,55,36,41,32,31,9,5,1,0,"0 to 87","33",167,20,20,36,132,77,34,17,0,21,2,0,0,245,122,121,243,2,0,2591,8,2844,2599,245,4,109,0,"113",3.54,249,1568,1817,"4.5",8.4,14.6,"2020-06-14","2020-06-20","NO","NO","NO","NO","decreased by","decreased by","decreased by","increased by","42.9","41.7","30.3","9.8","%","%","%","%",0,0,46,66,-20,"-30.3",0,17,23,6.9,9.4,0,240,11,0,5,0,33,1,1,0
31,48,95,"ORANGE","Orange","Orange","Orange County","FL",1321194,64300,1111,1448,5347,9376,9490,10171,10371,7437,3516,1343,4690,"0 to 120",48,35347,28574,379,63220,1079,1,783,61801,2130,414,4914,59324,0,62,63159,4689,103,117,5,2236,2490,66,4792,66,113,1047,1203,813,727,538,250,110,43,4,"0 to 101","35",1479,732,1070,1511,1180,1459,2153,787,46,400,37,5,48,4914,2560,2287,4791,122,1,102590,957,108529,103547,4914,529,8279,0,"8808",6.01,5443,67603,73108,"5.5",4.6,8.5,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","110.3","50","145.1","137.5","%","%","%","%",21,7,1841,757,1084,"143.2",53,833,437,17,8.9,1.1,4569,1,48,345,0,150,20,5,0
44,49,97,"OSCEOLA","Osceola","Osceola","Osceola County","FL",338619,13584,173,353,957,1868,1944,2242,2338,1789,886,322,712,"0 to 155",50,7599,5913,72,13507,77,0,510,12159,1011,212,1052,12483,2,47,13459,967,36,47,2,500,502,1,1003,13,23,119,216,157,185,153,105,63,17,1,"0 to 102","44",482,93,399,29,609,322,72,282,8,168,7,2,23,1052,538,513,1003,49,0,19730,27,20826,19757,1052,96,1414,0,"1510",6.36,1148,13897,15094,"4.5",5.1,8.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","204","150","177.5","160.6","%","%","%","%",16,9,222,82,140,"170.7",25,290,175,27.6,16.6,2.4,1007,2,23,45,0,32,6,1,0
6,50,99,"PALM BEACH","Palm Beach","Palm Beach","Palm Beach County","FL",1446277,70084,1036,1567,5107,8450,8406,9872,11944,10666,7494,3933,1609,"0 to 119",54,38451,31341,292,69315,767,2,2345,63014,7732,353,10754,58974,195,161,68964,10485,143,120,6,5295,5306,27,10628,152,372,1360,1852,1709,1633,1424,933,757,548,14,"0 to 104","44",4452,1864,1756,2556,3659,4297,2672,2104,34,1555,22,13,468,10754,5379,5348,10626,126,2,110900,638,122529,111538,10754,1280,30826,0,"32106",3.99,12034,89800,102190,"7.1",7.8,17.2,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","8.2","3.4","21.2","21.3","%","%","%","%",380,198,1944,1597,347,"21.7",481,2138,1577,19.9,14.7,4.5,10506,5,468,248,0,491,49,16,1
8,51,101,"PASCO","Pasco","Pasco","Pasco County","FL",510593,13899,270,331,1036,1645,1873,2196,2464,2166,1320,570,28,"0 to 119",53,8120,5736,43,13823,76,0,252,12928,809,110,809,13066,2,22,13799,750,48,10,1,422,376,0,798,16,23,121,127,137,133,107,91,34,20,0,"0 to 94","43",485,98,102,113,173,491,134,158,4,106,3,1,17,809,382,427,798,11,0,26915,65,27801,26980,809,65,3364,0,"3429",1.9,874,16430,17328,"3.4",2.8,6.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","31","52.6","181.8","241.4","%","%","%","%",32,10,279,99,180,"181.8",18,162,109,20,13.5,2.2,750,1,17,59,0,36,8,2,0
34,52,103,"PINELLAS","Pinellas","Pinellas","Pinellas County","FL",957875,38652,371,523,2440,4710,4464,5551,7380,6774,4108,2235,96,"0 to 120",56,22471,16076,105,38318,334,0,2153,34586,4455,381,3667,34924,1,60,38257,3464,142,54,7,2075,1519,12,3606,40,135,513,790,502,474,424,328,239,208,14,"0 to 102","41",1673,862,183,888,287,2288,1031,627,19,533,17,1,115,3667,1555,2100,3606,61,0,71707,273,75668,71980,3667,265,12263,2,"12530",2.11,3932,47187,51182,"5.3",4.5,10.2,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","75.3","32.8","123","175","%","%","%","%",315,85,1434,642,792,"123.4",116,646,550,17.6,15,3.2,3438,1,114,229,1,146,9,3,0
43,53,105,"POLK","Polk","Polk","Polk County","FL",668671,19206,451,511,1425,2406,2485,2757,3113,2999,1917,802,340,"0 to 119",52,11112,7911,183,19112,94,0,399,17354,1597,142,2042,17151,1,12,19099,1848,179,14,1,1152,875,0,2027,27,65,245,309,331,291,264,210,177,121,2,"0 to 103","46",1195,339,223,270,601,1103,323,581,9,407,5,0,78,2042,881,1161,2027,15,0,34891,79,37021,34970,2042,96,2325,0,"2421",3.97,2138,19476,21627,"3.2",5.4,11.1,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","43.7","46.6","104.3","138.5","%","%","%","%",275,55,577,282,295,"104.6",78,590,412,28.9,20.2,3.8,1970,1,78,72,0,84,17,6,0
2,54,107,"PUTNAM","Putnam","Putnam","Putnam County","FL",72766,3473,72,118,327,496,431,543,589,427,298,161,11,"0 to 118",50,2181,1250,42,3465,8,0,86,3150,315,22,237,3233,1,2,3462,141,96,0,0,138,99,0,237,4,25,35,32,34,33,28,22,17,7,0,"2 to 98","40",116,110,10,1,11,221,5,45,0,28,0,0,6,237,99,138,237,0,0,4973,8,5219,4981,237,5,192,0,"197",2.54,242,3425,3670,"5",4.5,7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","120","28.6","187.5","117","%","%","%","%",3,2,46,16,30,"187.5",6,45,28,19,11.8,2.5,221,1,6,16,0,24,0,0,0
67,55,109,"ST. JOHNS","St. Johns","St. Johns","St. Johns County","FL",235503,9923,134,231,741,1012,1448,1644,1785,1647,874,391,16,"0 to 119",53,5512,4293,118,9892,31,0,256,9261,467,132,461,9431,19,12,9862,390,59,9,3,223,225,1,449,5,6,73,61,52,88,78,65,27,6,0,"0 to 97","48",285,26,22,116,24,297,128,78,3,54,3,0,7,461,231,229,449,12,0,15830,18,16332,15848,461,96,2355,4,"2455",3.91,557,11786,12378,"5.3",3,5.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","4.6","14","417.9","300.4","%","%","%","%",2,1,146,29,117,"403.4",7,81,57,17.6,12.4,1.5,433,2,7,28,0,11,2,0,0
7,56,111,"ST. LUCIE","St. Lucie","St. Lucie","St. Lucie County","FL",305591,10386,178,210,702,1262,1279,1588,1814,1694,1088,539,32,"0 to 119",54,5966,4208,212,10239,147,0,422,9001,1235,74,1214,9085,5,82,10152,1128,75,11,0,638,563,2,1203,25,37,135,217,176,207,168,123,74,52,0,"0 to 97","46",412,210,98,483,187,471,545,212,1,151,2,0,41,1214,568,644,1203,11,0,18111,136,19467,18247,1214,54,1884,1,"1939",2.78,1268,10969,12325,"4",5.9,12.2,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","8.6","21.1","35.3","39.2","%","%","%","%",59,19,337,249,88,"35.3",41,213,153,17.5,12.6,3.4,1169,8,41,45,0,51,3,3,0
50,57,113,"SANTA ROSA","Santa Rosa","Santa Rosa","Santa Rosa County","FL",170442,7023,228,264,571,922,983,1051,1164,1048,544,238,10,"0 to 119",50,3852,3144,27,6956,67,0,94,6630,293,70,344,6676,1,2,6953,299,40,5,0,125,214,0,339,4,3,62,57,59,60,44,34,12,9,0,"0 to 98","41",255,44,8,32,22,264,53,28,0,26,0,0,9,344,215,129,339,5,0,10940,62,11348,11002,344,16,494,0,"510",3.14,360,7170,7533,"4.4",3,5.1,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","63.6","38.5","67.7","86.7","%","%","%","%",4,0,53,31,22,"71",9,28,26,8.1,7.6,2.6,342,7,9,2,0,8,2,1,7
57,58,115,"SARASOTA","Sarasota","Sarasota","Sarasota County","FL",412144,13353,156,174,700,1205,1234,1655,2457,2787,1992,951,42,"0 to 119",61,7526,5655,172,13113,240,0,478,12395,1090,99,962,12384,2,5,13106,878,60,18,6,512,425,1,938,8,10,83,137,113,112,128,133,136,101,1,"0 to 104","56",701,62,76,99,116,673,149,215,13,182,10,1,94,962,440,521,938,24,0,29276,216,30459,29492,962,145,4514,9,"4668",3.11,1107,16898,18021,"4.4",3.2,8.3,"2020-06-14","2020-06-20","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","55.6","4.2","156.6","247.2","%","%","%","%",64,60,195,79,116,"146.8",95,228,192,23.7,20,9.9,926,1,94,36,0,24,2,1,0
30,59,117,"SEMINOLE","Seminole","Seminole","Seminole County","FL",455086,17216,219,389,1540,2202,2284,2652,2860,2506,1184,508,872,"0 to 119",50,9777,7312,127,17175,41,0,308,16313,705,100,1265,15940,1,10,17165,1200,55,10,0,667,588,0,1255,16,20,357,259,161,172,109,94,47,30,0,"0 to 100","33",847,141,104,163,324,663,268,241,5,138,1,0,15,1265,592,673,1255,10,0,28082,30,29390,28112,1265,114,2842,0,"2956",3.86,1379,18782,20172,"4.4",4.3,8,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","154.5","141.9","140.1","176.2","%","%","%","%",12,4,511,213,298,"139.9",15,246,139,19.4,11,1.2,1189,2,14,76,1,29,6,2,0
29,60,119,"SUMTER","Sumter","Sumter","Sumter County","FL",120999,3853,28,27,91,173,183,297,512,1427,897,132,86,"0 to 119",69,1890,1762,201,3778,75,0,115,3481,285,57,284,3546,0,23,3755,234,48,1,1,86,196,0,282,1,2,8,8,35,42,41,93,45,9,0,"4 to 92","65",233,35,7,7,19,253,10,61,0,46,0,0,17,284,198,86,282,2,0,6026,73,6388,6099,284,39,1901,0,"1940",2.01,323,5447,5793,"4.8",3.9,8.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","150","8.3","350","349.4","%","%","%","%",2,1,18,5,13,"260",17,61,46,21.5,16.2,6,282,5,17,2,0,3,0,0,3
35,61,121,"SUWANNEE","Suwannee","Suwannee","Suwannee County","FL",43924,2243,60,51,176,294,266,269,365,303,237,212,10,"0 to 118",55,1421,740,82,2238,5,0,63,1945,554,15,310,1933,0,0,2238,194,111,2,3,186,119,0,305,5,11,33,44,51,46,42,25,31,22,0,"0 to 102","47",160,70,24,51,80,161,64,46,1,44,0,0,18,310,121,189,305,5,0,2954,0,3265,2954,310,8,112,0,"120",6.67,318,2045,2363,"5.4",9.4,14.2,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","566.7","120","600","493.8","%","%","%","%",40,18,119,17,102,"600",18,47,44,15.2,14.2,5.8,252,1,18,58,0,16,2,2,0
3,62,123,"TAYLOR","Taylor","Taylor","Taylor County","FL",22098,888,33,19,77,133,114,112,160,142,71,23,4,"0 to 118",50,488,369,31,880,8,0,16,763,139,28,65,822,1,0,879,53,11,1,0,19,45,0,64,0,1,12,23,13,2,7,3,4,0,0,"6 to 84","32",41,4,17,2,26,36,2,17,0,6,0,0,0,65,45,20,64,1,0,1262,7,1336,1269,65,0,29,0,"29",0,65,851,917,"4.1",4.8,7.3,"2020-06-14","2020-06-20","YES","YES","NO","YES","did not change","decreased by","increased by","decreased by","","100","37.5","32.8","","%","%","%",0,0,11,8,3,"37.5",0,17,6,26.2,9.2,0,63,7,0,2,0,1,0,0,0
39,63,125,"UNION","Union","Union","Union County","FL",15239,1169,11,17,54,76,108,139,401,277,72,14,0,"0 to 118",59,316,846,7,1169,0,0,16,1126,77,4,41,1128,0,0,1169,38,3,0,0,6,35,0,41,0,0,0,5,1,3,19,11,2,0,0,"25 to 80","61",26,13,2,0,2,39,0,9,0,9,0,0,2,41,35,6,41,0,0,2064,0,2105,2064,41,0,21,0,"21",0,41,1149,1190,"7.8",1.9,3.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","5","100","3","0.025210084","case","%","case","percent difference",0,0,3,0,3,"",2,9,9,22,22,4.9,40,1,2,1,0,0,0,0,1
25,64,127,"VOLUSIA","Volusia","Volusia","Volusia County","FL",527634,20530,172,300,1115,2092,2217,2950,4247,3962,2163,1027,285,"0 to 119",58,11485,8337,708,20433,97,0,317,19391,1038,142,1218,19312,0,0,20433,1057,146,14,1,611,592,0,1203,5,26,163,191,151,185,193,163,79,62,0,"0 to 102","49",649,245,188,121,151,863,189,271,5,190,4,0,53,1218,599,619,1203,15,0,31461,82,32775,31543,1218,169,7153,0,"7322",2.31,1387,26465,27852,"5.3",3.5,6.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","37.5","15.6","165.4","171.1","%","%","%","%",57,34,284,107,177,"165.4",53,276,194,22.7,15.9,4.4,1168,2,53,50,0,42,6,1,0
41,65,129,"WAKULLA","Wakulla","Wakulla","Wakulla County","FL",31877,1256,13,29,87,138,169,215,245,213,107,39,1,"0 to 102",53,710,535,11,1252,4,0,12,1190,194,4,40,1216,0,0,1252,22,16,2,0,25,13,0,38,0,0,5,6,6,12,6,3,1,1,0,"18 to 86","46",20,13,3,2,1,35,2,7,0,5,0,0,1,40,13,27,38,2,0,1802,2,1844,1804,40,3,166,0,"169",1.78,43,1382,1425,"4.5",2.1,3.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","did not change","increased by","increased by","100","","5","0.033557047","%","","case","percent difference",0,0,5,0,5,"",1,7,5,17.5,12.5,2.5,38,1,1,2,0,0,0,0,0
51,66,131,"WALTON","Walton","Walton","Walton County","FL",65858,1673,53,42,105,174,217,247,293,249,158,132,3,"0 to 101",54,930,706,37,1610,63,0,30,1515,200,43,181,1492,0,0,1610,135,23,20,3,89,69,0,158,6,11,16,20,33,22,33,21,13,6,0,"0 to 101","46",141,10,2,5,45,107,6,28,5,22,2,0,9,181,78,103,158,23,0,2702,40,2927,2742,181,26,877,0,"903",2.88,207,2369,2576,"3.9",5.4,12.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","80","76.9","43.8","70.6","%","%","%","%",30,9,28,18,10,"55.6",9,33,24,18.2,13.3,5,174,4,9,7,0,12,0,0,0
53,67,133,"WASHINGTON","Washington","Washington","Washington County","FL",24566,905,12,16,54,95,110,142,195,127,99,55,0,"0 to 119",56,535,348,22,899,6,0,30,747,129,14,96,808,0,1,898,74,20,2,0,49,45,0,94,0,2,4,10,9,10,22,16,16,7,0,"9 to 99","59",68,18,1,7,1,85,8,8,0,19,0,0,11,96,45,51,94,2,0,1567,4,1668,1571,96,4,14,0,"18",22.22,100,822,923,"3.8",5.9,11,"2020-06-14","2020-06-20","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","75","75","14.3","34","%","%","%","%",46,10,8,7,1,"14.3",11,8,19,8.3,19.8,11.5,96,20,11,0,0,2,0,0,0
99,999,999,"UNKNOWN","Unknown","Unknown","Unknown","FL",0,1388,0,4,64,153,181,189,177,139,214,265,2,"6 to 119",60,947,434,7,130,1258,0,2,1379,7,9,118,1269,1,0,129,7,0,110,1,3,4,0,7,0,3,9,31,25,24,12,5,5,4,0,"6 to 88","41",1,1,0,5,0,0,7,0,1,0,0,0,0,118,65,52,7,111,0,706,1147,1985,1853,118,290,0,317,"Percent",NA,408,1269,1388,"",20.6,29.4,"NO","NO","","","","","","","","","","","","","","","","",0,0,13,13,0,"0",0,1,0,0.8,0,0,117,1,0,1,0,3,0,0,0
