"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","Last7Days_Cases","Last7DaysPrev_Cases","Delta7Days","Delta7Days_Pct","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","RankCases_30Days","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
37,34,67,"LAFAYETTE","Lafayette","Lafayette","Lafayette County","FL",8744,350,6,0,43,42,39,35,38,47,55,44,1,"0 to 119",58,225,118,7,350,0,0,12,328,19,1,19,331,0,0,350,14,5,0,0,9,10,0,19,1,0,3,4,1,3,3,2,0,2,0,"3 to 98","46",18,1,0,0,4,15,0,3,0,2,0,0,0,19,10,9,19,0,0,435,0,455,435,19,0,13,0,"13",0,19,344,363,"4.2",4.1,5.4,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","100","","100","54.5","%","","%","%",0,0,6,3,3,"100",0,3,2,15.8,10.5,0,18,3,0,1,0,0,0,0,0
27,35,69,"LAKE","Lake","Lake","Lake County","FL",335362,15438,217,248,845,1433,1507,1912,2500,2835,2019,665,1257,"0 to 103",58,8072,6297,1069,15300,138,0,171,14726,620,95,733,14693,0,12,15290,701,16,16,0,321,396,0,717,9,21,109,129,103,111,97,72,67,15,0,"0 to 103","44",363,103,144,107,144,429,144,153,12,95,5,1,19,733,406,327,717,16,0,27034,120,27899,27154,733,96,4239,0,"4335",2.21,829,18932,19773,"5.9",2.6,5.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","187.5","117.9","106.1","92.3","%","%","%","%",4,3,271,131,140,"106.9",20,165,100,22.5,13.6,2.7,671,1,19,62,0,29,3,1,0
46,36,71,"LEE","Lee","Lee","Lee County","FL",718679,27095,317,414,1915,3146,3328,3816,4605,4826,3214,1453,61,"0 to 119",56,15597,11266,232,26136,958,1,589,24062,2592,172,3627,23446,1,21,26116,3376,167,79,5,1874,1662,7,3543,49,90,455,592,553,564,479,360,258,227,0,"0 to 101","46",2093,499,101,850,1140,1525,878,829,15,529,13,4,143,3627,1708,1910,3542,84,1,42238,873,46749,43111,3627,240,5750,1,"5991",4.01,3867,29196,33086,"4.6",7.3,14.3,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","157.6","36.4","45.8","113.1","%","%","%","%",233,102,808,553,255,"46.1",147,844,542,23.3,14.9,4.1,3556,7,143,71,0,147,24,7,0
10,37,73,"LEON","Leon","Leon","Leon County","FL",288102,12977,189,307,1568,2122,1907,1987,2113,1735,676,342,31,"0 to 119",47,6728,6117,132,12742,234,1,186,12143,600,90,573,12374,3,27,12713,531,10,31,1,288,253,0,541,3,20,195,100,68,68,67,37,11,4,0,"0 to 91","30",176,273,17,75,27,424,90,91,11,44,9,7,8,573,269,304,540,32,1,22417,202,23197,22619,573,48,1483,0,"1531",3.14,621,13857,14508,"5",2.5,4.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","7.1","43.5","312","304.7","%","%","%","%",18,2,104,26,78,"300",15,102,53,17.8,9.2,2.6,557,4,8,16,0,22,2,0,0
28,38,75,"LEVY","Levy","Levy","Levy County","FL",39961,1728,26,27,164,225,189,231,335,264,187,79,1,"0 to 118",55,1003,708,17,1727,1,0,23,1471,302,3,139,1589,0,0,1727,136,3,0,0,45,94,0,139,1,1,29,36,26,12,19,8,4,3,0,"3 to 99","35",43,8,82,6,84,49,6,12,0,8,0,0,1,139,94,45,139,0,0,2689,1,2831,2690,139,3,126,0,"129",2.33,142,1715,1857,"4.6",4.8,8.2,"2020-06-14","2020-06-20","NO","NO","NO","NO","did not change","decreased by","decreased by","decreased by","","71.4","7.3","5.9","","%","%","%",2,1,38,41,-3,"-7.3",1,12,8,8.6,5.8,0.7,137,12,1,2,0,1,1,0,0
13,39,77,"LIBERTY","Liberty","Liberty","Liberty County","FL",8365,2215,3,4,157,690,561,398,268,93,28,5,8,"0 to 92",38,168,2038,9,2215,0,0,1,2000,84,0,221,1994,0,0,2215,218,3,0,0,5,216,0,221,0,0,13,58,55,54,36,5,0,0,0,"20 to 73","41",115,98,5,3,7,133,81,5,0,1,0,0,1,221,216,5,221,0,0,2078,0,2301,2078,221,1,10,0,"11",9.09,222,2004,2226,"26.6",9.6,10,"2020-06-14","2020-06-20","YES","YES","NO","YES","did not change","did not change","increased by","increased by","","","100","73.9","","","%","%",0,0,2,1,1,"100",1,5,1,2.3,0.5,0.5,220,5,1,1,0,0,0,0,1
12,40,79,"MADISON","Madison","Madison","Madison County","FL",18474,1085,47,39,91,121,136,148,161,179,107,49,7,"0 to 99",52,693,386,6,1062,23,0,26,904,261,15,123,961,1,0,1061,70,49,4,0,72,47,0,119,5,4,13,11,19,16,27,12,5,11,0,"0 to 98","50",30,73,9,7,7,88,24,24,0,4,0,1,3,123,48,75,119,4,0,1570,19,1714,1589,123,0,50,0,"50",0,123,1011,1135,"6.1",7,11.3,"2020-06-14","2020-06-20","NO","NO","NO","NO","did not change","decreased by","increased by","increased by","","50","471.4","433.2","","%","%","%",3,3,40,7,33,"471.4",4,24,4,19.5,3.3,3.3,109,2,3,14,0,8,1,0,0
21,41,81,"MANATEE","Manatee","Manatee","Manatee County","FL",373853,16065,273,342,962,1529,1681,2090,2999,3291,2044,751,103,"0 to 119",58,9143,6609,313,15815,250,0,753,14534,1506,46,1890,14171,4,0,15811,1817,59,14,0,992,872,12,1876,38,77,220,300,295,272,252,184,158,94,0,"0 to 101","45",1107,234,176,359,603,858,415,177,2,247,2,2,126,1890,878,1000,1876,14,0,29984,236,32123,30220,1890,122,3249,0,"3371",3.62,2012,17420,19436,"5.2",5.7,12.5,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","78.9","81.6","170.6","163.8","%","%","%","%",129,82,511,187,324,"173.3",128,179,249,9.5,13.2,6.8,1786,1,126,104,0,99,1,2,0
24,42,83,"MARION","Marion","Marion","Marion County","FL",348371,14666,163,207,921,1648,1676,2123,2533,2777,1840,752,26,"0 to 168",57,9007,5604,55,14639,27,0,4289,9856,3246,145,395,13768,0,503,14137,367,23,4,1,220,170,0,390,7,10,47,66,64,60,68,40,25,8,0,"0 to 97","45",276,82,21,11,71,306,13,76,3,51,0,0,10,395,171,224,390,5,0,20004,21,20427,20025,395,51,1671,0,"1722",2.96,446,15439,16388,"4.7",2,3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","85","100","167.7","242.6","%","%","%","%",10,3,83,31,52,"167.7",10,79,51,20,12.9,2.5,389,3,10,6,0,8,0,0,0
19,43,85,"MARTIN","Martin","Martin","Martin County","FL",157581,7591,149,176,562,773,879,983,1356,1353,949,388,23,"0 to 100",56,3728,3399,464,7497,94,0,335,6481,1140,75,1525,6045,1,20,7477,1498,13,14,0,682,821,8,1511,55,81,239,271,282,260,163,74,58,39,3,"0 to 99","38",511,62,529,409,847,336,328,236,2,143,1,1,20,1525,830,687,1511,14,0,12872,78,14484,12950,1525,78,2269,0,"2347",3.32,1603,8314,9938,"6.3",9.5,21.1,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.6","42.1","32.5","14.7","%","%","%","%",32,8,352,265,87,"32.8",21,238,144,15.6,9.4,1.4,1460,1,20,65,0,106,9,0,0
