"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,17381,234,277,2326,3312,2485,2427,2717,1989,952,595,67,"0 to 119",45,9927,7311,143,17090,291,0,503,16256,1128,88,2619,14754,6,2,17082,2497,80,30,12,1329,1244,4,2577,23,76,824,614,304,290,234,159,62,31,2,"0 to 103","30",898,628,350,701,374,1426,777,205,8,112,9,1,13,2619,1269,1345,2577,42,0,54228,247,57112,54475,2619,55,1677,0,1732,3.18,58844,2674,16431,19113,"7.3",4.5,15.4,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","15.6","40","4.1","13.1","%","%","%","%",48,10,14,213,121,9,5,0.5,2531,13,88,1,141,7,1,0,"20",3,2
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1117,36,24,135,173,164,178,178,116,78,33,2,"0 to 99",46,628,460,29,1057,60,0,88,857,263,7,232,877,0,8,1049,159,72,1,0,113,116,2,231,3,8,35,38,41,35,35,16,17,4,0,"1 to 97","42",159,42,17,13,7,204,20,33,0,24,0,0,4,232,117,113,231,1,0,3322,58,3612,3380,232,0,50,0,50,0,3662,232,927,1167,"4.2",6.3,20.8,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","60","19","99.7","%","%","%","%",1,3,4,33,24,15,11,1.7,220,4,12,0,16,2,1,0,"17",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,5012,62,70,526,766,746,838,852,564,334,199,55,"0 to 119",48,2775,2183,54,4938,74,0,333,4175,1125,101,2000,3010,0,2,4936,1827,118,53,2,1050,890,5,1945,28,38,346,418,351,342,259,139,59,20,0,"0 to 96","39",1095,218,110,522,186,1184,575,169,8,60,3,3,9,2000,921,1074,1945,55,0,16279,23,18327,16302,2000,17,907,0,924,1.84,19251,2017,3917,5936,"3.3",10.5,40.2,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","20.6","11.4","64.1","49.2","%","%","%","%",27,0,12,177,63,9,4,0.6,1852,11,148,1,112,2,1,0,"31",2,1
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1620,27,34,150,210,193,244,304,195,154,103,6,"0 to 118",52,1015,583,22,1618,2,0,71,1386,274,2,190,1429,0,1,1617,121,69,0,0,116,74,0,190,4,8,31,24,30,31,18,11,21,12,0,"0 to 107","44",131,52,6,1,6,182,2,29,0,21,0,0,2,190,74,116,190,0,0,3279,2,3474,3281,190,7,68,0,75,9.33,3549,197,1497,1695,"6.3",5.6,12.2,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","50","11.1","35","53.4","%","%","%","%",4,2,2,29,21,16,12,1.1,185,2,5,0,17,0,0,0,"7",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,23090,299,435,1798,2587,2624,3227,4862,4206,2247,659,146,"0 to 119",56,12947,10030,113,23066,24,0,956,20820,3083,130,4222,18864,0,4,23062,4116,88,15,3,2185,1999,20,4204,45,100,826,835,628,595,551,323,183,136,0,"0 to 103","39",2164,352,324,1364,590,2153,1461,556,4,281,3,0,50,4222,2006,2196,4204,18,0,63336,6,67613,63342,4222,92,3833,1,3926,2.34,71539,4314,22697,27016,"4.7",6,18.7,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","29.3","35.2","0.2","19.8","%","%","%","%",216,14,50,560,284,14,7,1.2,4060,49,162,1,231,25,4,0,"3",-4,21
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,129439,2928,3964,11541,20543,20468,21947,22117,14437,7506,3777,211,"0 to 119",47,69604,58246,1589,127742,1697,0,5413,104022,25261,1154,39281,90026,23,109,127613,36864,1975,414,28,19865,18749,225,38839,790,1760,5697,7949,6959,6394,5197,2569,1317,634,15,"0 to 119","39",14158,10314,2690,11677,12468,15278,11093,5326,83,2755,65,24,493,39281,19032,20012,38839,442,0,274498,1237,315333,275735,39281,1462,32983,7,34452,4.24,349785,40743,123009,163891,"8.6",11.6,31.5,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","21.9","28.1","5.3","5","%","%","%","%",549,172,517,5409,2820,14,8,1.3,38131,511,1150,6,3510,283,36,0,"240",-4,30
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,739,12,16,70,74,109,106,129,105,78,40,0,"0 to 99",53,440,284,15,739,0,0,21,476,191,9,222,514,0,3,736,206,16,0,0,139,83,0,222,1,6,29,24,21,28,34,29,27,23,0,"1 to 99","55",173,17,17,15,12,188,22,29,0,20,0,0,7,222,83,139,222,0,0,1574,0,1802,1574,222,0,26,0,26,0,1828,222,540,765,"5.3",12.1,30,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","83.3","50","1.6","46.4","%","%","%","%",15,6,7,29,20,14,10,3.2,199,7,23,0,13,0,0,0,"6",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6381,76,68,368,565,629,902,1210,1185,797,573,8,"0 to 119",59,3691,2611,79,6359,22,0,384,5321,1060,31,1431,4944,1,5,6353,1237,188,5,1,755,646,24,1425,14,24,147,162,140,205,251,210,144,133,1,"0 to 101","55",1010,87,54,274,101,1006,318,173,1,186,1,0,81,1431,647,759,1425,6,0,17566,16,19023,17582,1431,58,1907,0,1965,2.95,20988,1489,6851,8346,"4.7",7.1,23.3,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","34.8","25","69.5","35.9","%","%","%","%",132,51,81,174,187,13,14,5.7,1382,80,49,1,58,2,0,0,"4",2,2
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4895,74,105,326,512,464,598,896,1017,684,211,8,"0 to 222",59,2750,1986,159,4886,9,0,198,3758,756,38,796,4091,1,7,4879,507,287,2,0,407,384,3,794,8,22,105,115,92,115,154,102,60,23,0,"0 to 97","50",602,50,54,88,50,623,121,60,0,81,0,0,17,796,385,408,794,2,0,13358,6,14167,13364,796,29,1044,0,1073,2.7,15240,825,5135,5968,"4.2",5.4,16.9,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","36.5","15.4","49.1","53.2","%","%","%","%",22,1,17,60,81,8,11,2.1,766,17,30,0,47,1,0,0,"12",4,3
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10020,193,289,945,1251,1420,1640,1686,1428,814,332,22,"0 to 101",50,5714,4188,118,9995,25,0,451,8486,1381,86,2083,7926,1,10,9984,1967,109,7,0,1130,938,8,2076,19,74,332,345,322,349,281,193,108,59,1,"0 to 100","43",912,343,153,668,185,1167,724,280,0,149,0,0,42,2083,941,1134,2076,7,0,24512,18,26625,24530,2083,48,1332,0,1380,3.48,28005,2131,9258,11400,"5.5",7.6,21.3,"2020-07-12 05:00:00","2020-07-18 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","decreased by","23.7","42.4","18.3","3.7","%","%","%","%",70,26,42,280,149,14,8,2,1980,42,103,0,143,11,1,0,"6",0,6
