"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19658,5053,14585,5,15,19330,4819,173,49,12,2736,2236,20,4992,88,208,1294,1096,642,597,531,355,155,80,7,"0 to 103","33",1743,1538,589,1122,589,3021,1382,568,14,290,16,1,31,5053,2271,2761,4992,61,0,76475,250,81809,76725,5053,140,2347,0,2487,5.63,84296,5193,16932,22145,"8.4",6.2,26.4,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","9.1","18.1","32.8","45.3","%","%","%","%",93,13,32,582,306,12,7,0.6,5023,32,30,0,410,40,7,0,"90",0,0,"212",4995,"58"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2110,1132,946,0,32,2020,1011,121,0,0,300,832,0,1132,5,17,122,262,263,195,160,65,33,10,0,"1 to 97","40",494,145,45,448,15,591,526,73,0,45,0,0,4,1132,832,300,1132,0,0,5428,57,6642,5485,1132,4,72,0,76,5.26,6718,1136,1018,2186,"7.9",16.9,53.8,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","NO","YES","YES","increased by","decreased by","decreased by","decreased by","40","46.2","78.2","63.6","%","%","%","%",0,3,4,73,45,7,4,0.4,1118,4,14,0,39,3,0,0,"570",0,0,"33",1126,"6"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8266,5237,3020,1,8,8156,5018,138,79,2,2520,2586,50,5156,60,100,786,999,886,890,745,449,227,77,18,"0 to 99","42",2897,527,655,1077,383,3334,1439,631,16,287,6,5,76,5237,2635,2552,5156,81,0,24685,30,30009,24715,5237,84,1288,0,1372,6.12,31381,5321,4308,9638,"5.3",17,64.4,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","33.3","47","16.8","15.4","%","%","%","%",64,13,81,647,293,13,6,1.5,5195,79,42,2,279,15,5,1,"425",0,9,"284",4666,"571"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2162,673,1488,0,1,2159,514,159,0,0,278,394,1,673,12,29,81,101,107,116,116,57,38,16,0,"0 to 107","45",405,193,24,51,23,571,79,62,0,39,0,0,5,673,394,278,673,0,0,4581,2,5278,4583,673,9,97,0,106,8.49,5384,682,1585,2268,"8.4",12.7,31.5,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","250","9.1","5.3","5.8","%","%","%","%",6,2,5,62,39,10,6,0.7,663,5,10,0,54,1,0,0,"231",0,1,"45",665,"8"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,25943,7040,18887,0,16,25900,6890,129,18,3,3766,3220,33,7019,70,188,1165,1168,1007,1007,1017,626,433,340,19,"0 to 105","43",3683,875,622,1839,862,3981,2176,1139,6,626,3,1,200,7040,3230,3777,7019,21,0,84067,16,91179,84083,7040,279,5807,1,6087,4.58,97266,7319,24694,32030,"5.6",7.5,28.2,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","increased by","14.8","5.6","9.2","0.1","%","%","%","%",277,115,201,1145,629,17,9,2.9,6972,196,68,5,401,44,6,0,"63",0,11,"984",6899,"141"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,164423,69883,94396,33,111,162500,64333,4993,522,35,36201,32989,136,69326,1499,3840,10094,13374,12047,11378,9336,4699,2334,1251,31,"0 to 104","39",28394,18674,8501,13757,25876,30197,13253,9427,97,5177,75,26,1160,69883,33355,36391,69326,557,0,417514,1234,489501,418748,69883,3918,48347,11,52276,7.49,541777,73801,142743,216699,"11.4",13.6,44.9,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","16.2","31.3","35.8","23.5","%","%","%","%",596,313,1186,9524,5252,14,8,1.7,69584,1173,299,13,7217,548,77,0,"321",1,111,"2761",69621,"262"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1137,546,590,0,1,1135,528,17,1,0,226,318,1,545,4,14,56,108,99,75,72,52,39,27,0,"1 to 99","44",347,90,38,70,23,437,85,57,1,32,1,0,8,546,319,226,545,1,0,3846,0,4402,3846,546,4,36,0,40,10,4442,550,626,1177,"8.1",12.4,48.4,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","80","72.7","16.7","49.1","%","%","%","%",13,6,8,58,33,11,7,1.5,546,8,0,0,26,0,0,0,"167",0,0,"82",509,"37"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7554,2582,4959,1,12,7519,2347,229,5,1,1343,1223,10,2576,24,55,271,288,278,378,468,378,250,192,0,"0 to 101","54",2015,164,198,199,212,2068,296,306,1,315,1,0,108,2582,1225,1346,2576,6,0,26353,16,28984,26369,2582,138,2908,0,3046,4.53,32030,2720,7867,10600,"6",8.5,36,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","60","46.7","2.9","10.9","%","%","%","%",140,56,108,307,316,12,13,4.2,2569,108,13,0,118,6,1,0,"60",0,2,"391",2505,"77"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6419,1996,4382,1,40,6365,1197,793,5,1,1063,920,7,1990,17,69,260,241,232,307,371,254,159,74,12,"0 to 100","50",1577,113,148,152,107,1659,224,173,0,197,1,0,53,1996,924,1064,1990,6,0,19110,7,21123,19117,1996,61,1433,0,1494,4.08,22617,2057,5815,7913,"5.5",9.1,32,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","NO","YES","NO","decreased by","decreased by","decreased by","decreased by","5.6","40","22.9","37.1","%","%","%","%",37,15,53,173,198,9,10,2.7,1980,50,16,3,167,5,2,0,"55",0,8,"228",1989,"7"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12038,3759,8257,1,21,11985,3613,133,13,0,2037,1679,30,3746,38,142,596,540,603,654,510,338,221,116,1,"0 to 100","44",2020,632,337,757,377,2528,841,615,2,279,2,0,73,3759,1686,2043,3746,13,0,34608,18,38408,34626,3759,105,1975,0,2080,5.05,40488,3864,10232,14118,"6.8",9.5,32.1,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","14.3","33.9","2.7","14.4","%","%","%","%",77,41,73,617,281,17,8,1.9,3734,73,25,0,294,28,2,0,"16",0,3,"450",3575,"184"
