"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18056,3353,14693,6,4,17749,3174,130,37,12,1778,1521,5,3304,50,120,953,785,402,382,330,208,82,38,3,"0 to 103","31",1110,910,421,863,442,1890,972,266,11,137,11,1,20,3353,1549,1798,3304,49,0,61001,246,64622,61247,3353,81,1877,0,1958,4.14,66580,3434,16570,20014,"7.6",5.2,19,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","5.3","23.8","1","2.9","%","%","%","%",56,11,21,277,148,9,5,0.6,3297,21,56,0,235,15,3,0,"25",0,5
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1237,329,894,0,14,1164,248,81,0,0,161,166,2,329,4,10,54,55,61,50,48,22,20,5,0,"1 to 97","41",222,59,30,18,11,288,30,44,0,25,0,0,4,329,166,161,329,0,0,3695,58,4083,3753,329,0,57,0,57,0,4140,329,951,1294,"4.7",7.9,26.6,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","did not change","decreased by","decreased by","increased by","","30","13.5","14.5","","%","%","%",1,3,4,44,25,14,8,1.2,322,4,7,0,24,3,0,0,"27",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,6269,3257,3001,0,11,6177,3059,136,60,2,1538,1646,11,3195,43,62,507,680,584,547,414,260,116,44,0,"0 to 104","40",1841,339,164,851,298,1873,1024,286,12,113,5,4,19,3257,1681,1564,3195,62,0,18700,25,22013,18725,3257,35,1066,0,1101,3.18,23114,3292,4067,7370,"4",14.2,52.5,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","7.1","33.6","24.3","191.9","%","%","%","%",64,0,23,298,118,10,4,0.7,3146,22,111,1,174,3,1,0,"43",3,7
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1751,307,1443,0,1,1748,218,89,0,0,150,157,0,307,6,10,38,36,50,55,51,23,25,13,0,"0 to 107","47",178,79,14,36,9,253,45,35,0,25,0,0,3,307,157,150,307,0,0,3614,2,3926,3616,307,7,77,0,84,8.33,4010,314,1520,1835,"6.8",7.8,17.9,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","YES","increased by","did not change","decreased by","decreased by","50","","20.4","20","%","","%","%",3,2,3,35,25,12,9,1,240,3,67,0,23,0,0,0,"71",0,1
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,24146,5254,18883,1,8,24110,5126,107,18,3,2769,2439,25,5233,52,132,975,949,767,763,722,431,257,206,0,"0 to 105","41",2751,529,429,1524,703,2822,1708,752,6,374,3,0,95,5254,2449,2780,5233,21,0,71649,6,76968,71655,5254,144,4648,1,4793,3,81761,5398,23531,28939,"5",6.6,22.4,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","did not change","decreased by","decreased by","increased by","","7.9","11.7","1.7","","%","%","%",278,19,95,758,377,15,8,1.8,5155,85,99,10,292,36,5,0,"4",-8,37
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,143935,52970,90797,25,143,142031,50027,2453,455,35,27143,25095,242,52480,1121,2627,7762,10429,9269,8679,6965,3478,1744,871,25,"0 to 102","39",18295,13622,4724,15839,17226,19838,15416,6127,86,3184,66,25,638,52970,25406,27310,52480,490,0,327240,1236,381963,328476,52970,2191,39504,7,41702,5.25,423665,55161,130301,185637,"9.7",13,38.3,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","34.8","39.2","9.9","2","%","%","%","%",706,188,663,6213,3250,12,7,1.3,51657,632,1313,31,5120,339,47,0,"257",-9,109
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,816,271,544,0,1,815,255,16,0,0,162,109,0,271,2,7,32,34,29,36,40,34,33,24,0,"1 to 99","54",214,20,17,20,14,230,27,38,0,25,0,0,7,271,109,162,271,0,0,1844,0,2120,1844,271,0,26,0,26,0,2146,271,570,842,"5.8",12.6,33.2,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","did not change","decreased by","decreased by","decreased by","","28.6","53.1","15.4","","%","%","%",13,6,7,38,25,15,10,2.6,265,7,6,0,15,0,0,0,"9",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6782,1807,4965,1,9,6750,1596,205,5,1,929,845,27,1801,18,33,189,217,183,248,325,267,181,145,1,"0 to 101","55",1265,98,85,353,134,1250,417,196,1,216,1,0,85,1807,846,933,1801,6,0,20179,16,22015,20195,1807,83,2259,0,2342,3.54,24357,1890,7224,9124,"5.2",7.8,27.9,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","31.2","13.6","20.6","10.6","%","%","%","%",129,52,85,197,217,11,13,4.7,1784,84,23,1,77,4,0,3,"18",-2,3
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5376,1160,4199,1,16,5351,692,466,2,0,587,570,1,1158,12,33,173,151,130,178,215,139,90,38,1,"0 to 100","50",885,83,72,118,61,937,160,78,0,103,0,0,23,1160,571,588,1158,2,0,15135,6,16313,15141,1160,33,1196,0,1229,2.69,17542,1193,5395,6605,"4.6",6.8,22.2,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","decreased by","23.7","51","17.9","1.9","%","%","%","%",58,2,23,78,103,7,9,2,1123,20,37,3,96,2,0,0,"40",-4,5
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10678,2697,7965,1,15,10635,2568,120,9,0,1480,1200,8,2688,24,94,435,423,418,454,371,247,147,84,0,"0 to 100","43",1302,458,211,717,253,1646,789,402,0,180,0,0,47,2697,1204,1485,2688,9,0,28289,18,31020,28307,2697,63,1593,0,1656,3.8,32676,2760,9558,12334,"6",8.4,25.8,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","6.7","23.5","18.9","18","%","%","%","%",107,27,47,402,180,15,7,1.7,2615,47,82,0,188,16,1,0,"10",-11,3
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,22910,9178,13545,3,184,22343,8693,384,85,16,4596,4430,51,9077,245,486,1586,1522,1557,1452,1108,637,403,181,1,"0 to 101","39",4292,531,821,3433,3633,2059,3385,1018,22,631,12,6,120,9178,4487,4635,9077,101,0,47929,279,57448,48208,9178,590,12472,1,13063,4.52,70511,9768,26017,35973,"9.9",13.9,42.6,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","29.7","36.8","34.9","16.2","%","%","%","%",91,48,126,1040,643,12,8,1.4,9069,126,109,0,1031,66,19,0,"9",-22,6
