"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19323,4713,14600,5,5,19008,4488,167,46,12,2544,2088,23,4655,76,200,1222,1041,596,555,487,320,134,75,7,"0 to 103","32",1582,1416,549,1108,546,2777,1332,424,13,231,15,1,29,4713,2122,2567,4655,58,0,71633,256,76627,71889,4713,100,2049,0,2149,4.65,78776,4813,16649,21472,"8.2",6.1,24.9,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","15.4","26.5","0.6","2.3","%","%","%","%",136,11,30,437,246,10,6,0.6,4670,30,43,0,365,28,5,0,"66",0,3,"184",4660,"53"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2062,1086,942,0,34,1970,979,107,0,0,282,804,0,1086,5,17,114,255,258,185,156,56,31,9,0,"1 to 97","40",456,139,44,447,14,550,522,67,0,39,0,0,4,1086,804,282,1086,0,0,5209,58,6378,5267,1086,1,68,0,69,1.45,6447,1087,1010,2131,"7.7",16.9,52.7,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","NO","decreased by","did not change","decreased by","decreased by","44.4","","67.6","45.4","%","","%","%",0,3,4,67,39,7,4,0.4,1078,4,8,0,40,3,0,0,"563",0,0,"30",1079,"7"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,7938,4886,3033,0,19,7821,4670,138,76,2,2324,2422,62,4808,60,93,749,933,820,841,679,408,208,72,23,"0 to 99","42",2636,488,608,1076,349,2997,1462,562,14,250,5,5,67,4886,2469,2354,4808,78,0,23755,38,28737,23793,4886,58,1190,0,1248,4.65,29985,4944,4223,9186,"5",16.5,62.3,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","4.8","46.3","45.8","9.4","%","%","%","%",61,10,72,576,255,12,6,1.5,4836,69,50,3,266,15,5,1,"396",0,15,"248",4363,"523"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2051,581,1469,0,1,2048,459,122,0,0,226,355,0,581,11,18,68,83,95,106,107,46,33,14,0,"0 to 107","46",334,177,24,46,20,495,66,52,0,35,0,0,4,581,355,226,581,0,0,4308,2,4913,4310,581,7,88,0,95,7.37,5008,588,1557,2146,"8",11.7,28.7,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","60","36.4","52.2","58.4","%","%","%","%",4,2,4,52,35,9,7,0.7,573,4,8,0,37,0,0,0,"224",0,0,"43",578,"3"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,25510,6614,18882,0,14,25469,6467,126,18,3,3521,3040,32,6593,67,168,1119,1112,955,957,956,580,382,299,19,"0 to 105","43",3426,813,587,1767,830,3715,2048,1056,6,554,3,1,181,6614,3050,3532,6593,21,0,81329,17,88016,81346,6614,211,5304,1,5516,3.83,93532,6825,24186,31026,"5.4",7.3,26.8,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","19.7","25","7.1","8.7","%","%","%","%",276,102,182,1062,557,17,9,2.8,6538,179,76,3,365,41,6,0,"56",0,24,"860",6540,"74"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,160703,67193,93338,34,138,158761,61958,4688,513,34,34733,31764,149,66646,1449,3681,9737,12905,11589,10947,8939,4497,2224,1186,39,"0 to 104","39",26642,17770,7620,14614,24336,28247,14063,8610,89,4658,69,26,1025,67193,32124,34919,66646,547,0,398892,1309,468256,400201,67193,3078,44733,10,47821,6.44,516077,70271,138071,208524,"10.9",13.6,43.7,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","22.1","45.3","0.8","6.4","%","%","%","%",691,266,1051,8699,4727,13,8,1.6,66826,1039,367,12,6866,503,63,0,"305",1,169,"2405",67138,"55"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1066,506,559,0,1,1065,490,16,0,0,210,295,1,506,2,14,51,97,96,70,67,46,37,26,0,"1 to 99","44",315,81,34,76,22,393,91,54,0,31,0,0,8,506,295,210,506,0,0,3717,0,4239,3717,506,4,32,0,36,11.11,4275,510,591,1102,"7.6",11.9,47.8,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","16.7","15.4","79.6","27.5","%","%","%","%",13,6,8,54,31,11,7,1.6,503,8,3,0,24,0,0,0,"157",0,0,"80",475,"31"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7376,2394,4966,1,15,7338,2162,226,5,1,1239,1134,15,2388,23,52,254,269,257,351,432,341,233,182,0,"0 to 101","54",1847,145,156,240,187,1873,328,272,1,286,1,0,103,2394,1136,1242,2388,6,0,25225,16,27668,25241,2394,107,2612,0,2719,3.94,30387,2501,7578,10095,"5.7",8.2,33.9,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","16.7","36.4","33","4.4","%","%","%","%",157,56,103,273,287,12,12,4.3,2388,101,6,2,119,5,0,0,"56",0,9,"345",2330,"64"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6199,1823,4341,1,34,6152,1094,724,4,1,956,849,13,1818,17,64,229,221,208,276,344,232,148,69,15,"0 to 100","51",1425,109,134,150,99,1502,217,148,0,170,0,0,43,1823,853,957,1818,5,0,18115,8,19956,18123,1823,39,1327,0,1366,2.86,21322,1862,5668,7565,"5.3",8.7,30,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","NO","NO","NO","decreased by","increased by","decreased by","increased by","5.3","7.4","2","23.8","%","%","%","%",37,11,43,148,170,9,10,2.4,1799,40,24,3,137,0,0,0,"52",0,6,"211",1819,"4"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,11728,3512,8200,1,15,11682,3373,127,12,0,1913,1577,10,3500,36,126,562,513,558,612,477,317,203,106,2,"0 to 100","44",1828,595,299,778,342,2300,858,560,1,253,1,0,69,3512,1583,1919,3500,12,0,33093,18,36643,33111,3512,77,1813,0,1890,4.07,38533,3589,10013,13618,"6.6",9.3,30.6,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","did not change","decreased by","decreased by","decreased by","","47.6","38.9","15.7","","%","%","%",99,38,69,561,254,16,8,2,3484,65,28,4,264,20,2,0,"14",0,17,"429",3369,"143"
