"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19716,5117,14577,5,17,19386,4881,174,50,12,2764,2272,19,5055,90,212,1300,1112,649,603,541,359,160,84,7,"0 to 103","33",1785,1561,602,1107,602,3089,1364,600,14,303,16,1,31,5117,2308,2789,5055,62,0,77687,249,83085,77936,5117,140,2347,0,2487,5.63,85572,5257,16924,22203,"8.4",6.1,26.7,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","9.1","18.1","32.8","45.3","%","%","%","%",65,13,32,614,319,12,7,0.6,5082,32,35,0,416,44,7,0,"94",0,0,"260",5051,"66"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2129,1143,954,0,32,2039,1020,123,0,0,305,838,0,1143,5,18,123,264,265,198,161,66,33,10,0,"1 to 97","40",503,147,45,448,15,601,527,75,0,46,0,0,4,1143,838,305,1143,0,0,5490,57,6715,5547,1143,4,72,0,76,5.26,6791,1147,1026,2205,"7.9",16.9,53.9,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","NO","YES","YES","increased by","decreased by","decreased by","decreased by","40","46.2","78.2","63.6","%","%","%","%",0,3,4,75,46,7,5,0.3,1136,4,7,0,41,3,0,0,"570",0,0,"33",1135,"8"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8356,5315,3030,1,10,8244,5096,138,79,2,2571,2617,46,5234,62,104,798,1014,896,899,754,459,232,78,19,"0 to 99","42",2948,538,662,1086,391,3399,1444,645,16,294,6,5,78,5315,2666,2603,5234,81,0,25027,30,30437,25057,5315,84,1288,0,1372,6.12,31809,5399,4318,9728,"5.3",17,64.6,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","33.3","47","16.8","15.4","%","%","%","%",40,13,83,661,300,13,6,1.6,5289,82,26,1,288,15,5,1,"430",0,9,"297",4734,"581"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2200,705,1494,0,1,2197,535,170,0,0,297,408,0,705,12,32,88,109,110,120,120,58,39,17,0,"0 to 107","45",431,196,27,51,26,597,82,65,0,40,0,0,5,705,408,297,705,0,0,4672,2,5401,4674,705,9,97,0,106,8.49,5507,714,1591,2306,"8.5",13,32.5,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","250","9.1","5.3","5.8","%","%","%","%",4,2,5,65,40,10,6,0.7,692,5,13,0,61,1,0,0,"233",0,1,"48",694,"11"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26037,7132,18888,0,17,25992,6978,132,19,3,3813,3262,35,7110,71,197,1178,1176,1022,1016,1026,640,441,345,20,"0 to 105","43",3732,890,632,1856,868,4041,2201,1157,6,639,3,1,207,7132,3272,3825,7110,22,0,84977,16,92183,84993,7132,279,5807,1,6087,4.58,98270,7411,24695,32124,"5.6",7.5,28.5,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","increased by","14.8","5.6","9.2","0.1","%","%","%","%",276,115,208,1163,642,17,10,2.9,7092,206,40,2,412,45,6,0,"64",0,13,"996",6984,"148"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,165287,70513,94629,33,112,163358,64891,5060,525,37,36526,33290,135,69951,1515,3882,10173,13512,12145,11461,9422,4750,2356,1264,33,"0 to 119","39",28744,18842,8705,13660,26183,30604,13164,9526,97,5247,76,26,1175,70513,33658,36719,69951,562,0,422531,1234,495158,423765,70513,3918,48347,11,52276,7.49,547434,74431,142976,217563,"11.4",13.6,45,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","16.2","31.3","35.8","23.5","%","%","%","%",603,313,1201,9623,5323,14,8,1.7,70147,1195,366,6,7293,549,77,0,"311",1,107,"2814",70196,"317"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1153,554,598,0,1,1151,537,16,1,0,233,319,1,553,4,16,56,108,99,79,72,52,40,28,0,"1 to 99","44",358,89,38,68,24,448,81,57,1,32,1,0,8,554,320,233,553,1,0,3926,0,4490,3926,554,4,36,0,40,10,4530,558,634,1193,"8.3",12.3,48.4,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","80","72.7","16.7","49.1","%","%","%","%",13,6,8,58,33,11,6,1.4,547,8,7,0,30,0,0,0,"167",0,0,"81",517,"37"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7596,2622,4963,1,10,7563,2383,233,5,1,1369,1238,9,2616,24,56,278,292,282,385,473,383,253,196,0,"0 to 101","54",2055,163,208,190,215,2116,285,319,1,328,1,0,108,2622,1240,1372,2616,6,0,26548,16,29220,26564,2622,138,2908,0,3046,4.53,32266,2760,7871,10642,"6",8.6,36.3,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","60","46.7","2.9","10.9","%","%","%","%",151,56,108,320,329,13,13,4.1,2602,109,20,-1,120,7,1,0,"60",0,1,"402",2540,"82"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6506,2054,4410,1,41,6451,1229,819,4,2,1097,944,7,2048,18,70,273,246,234,318,377,261,172,77,8,"0 to 100","51",1630,115,151,152,110,1714,224,182,0,206,1,0,55,2054,948,1099,2048,6,0,19504,7,21575,19511,2054,61,1433,0,1494,4.08,23069,2115,5843,8000,"5.6",9.2,32.5,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","NO","YES","NO","decreased by","decreased by","decreased by","decreased by","5.6","40","22.9","37.1","%","%","%","%",41,15,55,182,207,9,11,2.7,2031,54,23,1,173,5,2,0,"55",0,9,"245",2045,"9"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12190,3864,8305,1,20,12137,3717,133,14,0,2088,1731,31,3850,39,142,606,553,615,671,522,345,223,116,32,"0 to 100","44",2078,640,346,786,387,2585,878,632,2,293,3,0,75,3864,1739,2094,3850,14,0,35360,18,39265,35378,3864,105,1975,0,2080,5.05,41345,3969,10280,14270,"6.9",9.6,32.6,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","14.3","33.9","2.7","14.4","%","%","%","%",76,41,75,634,296,17,8,1.9,3809,75,55,0,296,29,2,0,"19",0,5,"457",3668,"196"
