"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,20655,6029,14602,5,19,20299,5761,182,74,12,3272,2649,22,5943,109,257,1805,1188,728,664,594,405,179,92,8,"0 to 118","31",2274,1701,698,1270,707,3668,1568,700,15,355,16,1,40,6029,2692,3314,5943,86,0,83023,249,89332,83272,6029,140,2347,0,2487,5.63,91819,6169,16949,23142,"8.8",6.7,29.9,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","YES","NO","YES","increased by","did not change","increased by","increased by","3.3","","61.3","78.6","%","","%","%",113,14,41,715,371,12,7,0.7,5898,37,131,4,486,48,8,0,"132",0,7,"287",5933,"96",616,131,485,21.3
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2313,1301,978,0,34,2220,1115,185,0,1,380,920,0,1300,6,26,145,284,289,222,176,97,46,10,0,"0 to 97","40",629,165,47,459,16,742,542,87,0,56,0,0,7,1301,920,381,1300,1,0,5898,57,7281,5955,1301,4,72,0,76,5.26,7357,1305,1050,2389,"8.6",17.7,56.4,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","20","85.7","205.7","120.3","%","%","%","%",0,3,7,87,56,7,5,0.5,1286,6,15,1,53,4,0,1,"576",0,1,"34",1281,"20",59,15,44,25.4
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8715,5622,3075,1,17,8588,5392,141,87,2,2736,2754,43,5533,64,119,858,1062,931,946,794,491,249,88,20,"0 to 99","42",3132,574,753,1074,420,3660,1453,690,17,323,6,5,90,5622,2806,2773,5533,89,0,26501,30,32221,26531,5622,84,1288,0,1372,6.12,33593,5706,4363,10087,"5.5",17,65.5,"2020-08-30 05:00:00","2020-09-05 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","8.3","16.7","26","36.5","%","%","%","%",40,17,95,707,329,13,6,1.7,5583,92,39,3,314,16,5,1,"440",0,6,"347",4974,"648",198,39,159,19.7
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2472,903,1567,0,2,2467,670,232,1,0,423,479,0,902,13,47,123,137,135,149,152,77,50,20,0,"0 to 107","44",565,228,46,63,29,765,108,91,0,54,0,0,6,903,480,423,902,1,0,5345,2,6270,5347,903,9,97,0,106,8.49,6376,912,1664,2578,"9.6",14.3,36.9,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","53.8","7.4","42.7","21","%","%","%","%",7,2,6,91,54,11,6,0.7,881,5,22,1,91,4,0,0,"242",0,1,"55",888,"15",59,22,37,37.3
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26809,7861,18927,0,21,26757,7692,144,22,3,4240,3561,35,7836,78,240,1294,1263,1098,1101,1151,719,496,397,24,"0 to 105","44",4091,979,681,2085,923,4419,2494,1300,7,725,4,1,253,7861,3574,4252,7836,25,0,90207,16,98145,90223,7861,279,5807,1,6087,4.58,104232,8140,24734,32896,"5.7",7.8,30.4,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","14.6","15.6","49.8","32.8","%","%","%","%",173,137,254,1307,729,17,10,3.2,7787,246,74,8,487,52,6,0,"66",0,25,"1112",7567,"294",657,74,583,11.3
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,170681,74084,96461,29,107,168705,68176,5288,580,40,38349,34980,135,73464,1606,4093,10811,14124,12738,11995,9878,4994,2460,1336,49,"0 to 104","39",30549,19648,9776,13491,27903,32521,13040,10002,97,5562,76,26,1276,74084,35370,38578,73464,620,0,454410,1237,530603,455647,74084,3918,48347,11,52276,7.49,582879,78002,144808,222957,"11.7",13.4,45.7,"2020-08-30 05:00:00","2020-09-05 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","2.7","28.7","30.2","0.5","%","%","%","%",397,353,1302,10099,5638,14,8,1.8,73869,1284,215,18,7696,561,80,0,"356",1,63,"3022",73532,"552",2409,215,2194,8.9
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1252,593,658,0,1,1250,572,20,1,0,253,338,1,592,5,24,65,111,104,83,74,57,42,28,0,"0 to 99","43",387,92,39,74,25,481,86,59,1,32,1,0,9,593,339,253,592,1,0,4184,0,4787,4184,593,4,36,0,40,10,4827,597,694,1292,"8.9",12.4,47.7,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","NO","NO","YES","did not change","decreased by","decreased by","decreased by","","50","48.6","36","","%","%","%",13,6,9,60,33,11,6,1.5,588,9,5,0,42,0,0,0,"170",0,-1,"82",554,"39",27,5,22,18.5
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7816,2849,4960,1,6,7786,2605,237,6,1,1507,1324,11,2842,24,65,300,313,310,412,514,417,277,217,0,"0 to 101","54",2203,171,264,204,237,2302,303,360,1,357,1,0,123,2849,1326,1511,2842,7,0,28309,16,31211,28325,2849,138,2908,0,3046,4.53,34257,2987,7868,10862,"6.1",8.7,38.2,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","72.7","84","2.3","11.8","%","%","%","%",129,59,123,361,358,13,13,4.3,2827,119,22,4,135,10,2,0,"64",0,7,"458",2733,"116",182,22,160,12.1
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6994,2411,4523,1,59,6919,1529,874,4,4,1311,1079,13,2403,20,86,304,279,263,357,409,317,230,129,17,"0 to 100","52",1913,135,184,171,122,2000,281,224,0,253,1,0,70,2411,1085,1313,2403,8,0,21146,7,23575,21153,2411,61,1433,0,1494,4.08,25069,2472,5956,8488,"5.9",9.9,35.3,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","15.4","55","90.1","33.5","%","%","%","%",145,20,70,224,254,10,11,2.9,2386,70,25,0,204,5,2,0,"56",0,8,"415",2395,"16",209,25,184,12
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12856,4411,8427,1,17,12805,4257,139,15,0,2351,2004,41,4396,43,156,679,643,714,797,602,399,254,123,1,"0 to 100","44",2369,676,415,936,420,2931,1045,706,2,323,3,0,85,4411,2014,2356,4396,15,0,38906,18,43361,38924,4411,105,1975,0,2080,5.05,45441,4516,10402,14936,"7.2",9.9,35.1,"2020-08-30 05:00:00","2020-09-05 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","107.7","21.9","15.7","7.4","%","%","%","%",77,46,85,708,326,17,8,1.9,4308,81,103,4,329,32,2,0,"82",0,6,"476",4164,"247",365,103,262,28.2
