"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Deaths","EverMon","MonNow","Chart_MedAge","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","Last7Days_Cases","Last7DaysPrev_Cases","Delta7Days","Delta7Days_Pct","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","RankCases_30Days","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
7,56,111,"ST. LUCIE","St. Lucie","St. Lucie","St. Lucie County","FL",305591,10290,178,205,684,1238,1266,1572,1806,1689,1085,536,31,"0 to 119",54,5910,4169,211,10143,147,0,410,8951,1199,74,1131,9074,5,80,10058,1045,75,11,0,590,529,1,1120,24,33,118,195,161,193,161,120,74,52,0,"0 to 97","47",386,201,98,435,170,459,491,210,1,149,2,0,40,1131,534,596,1120,11,0,17547,136,18820,17683,1131,40,374,359,58,49,1656,1,1706,2.87,1180,10730,11996,"3.9",5.7,11.5,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","increased by","increased by","84.2","69.2","57.7","82.9","%","%","%","%",59,14,326,239,87,"36.4",40,211,151,18.7,13.4,3.5,1057,2,40,74,0,45,3,3,0
50,57,113,"SANTA ROSA","Santa Rosa","Santa Rosa","Santa Rosa County","FL",170442,7000,228,264,559,922,981,1049,1159,1047,543,238,10,"0 to 119",50,3836,3137,27,6933,67,0,94,6629,278,69,330,6666,1,3,6929,285,40,5,0,114,211,0,325,4,3,52,57,58,59,42,34,12,9,0,"0 to 98","42",241,44,6,34,20,250,55,28,0,26,0,0,9,330,212,118,325,5,0,10742,62,11136,10804,330,9,766,222,49,12,429,0,441,2.72,342,7095,7441,"4.4",3,4.9,"2020-06-07","2020-06-13","YES","NO","NO","YES","decreased by","increased by","increased by","increased by","8.3","100","146.2","248.8","%","%","%","%",4,0,50,21,29,"138.1",9,28,26,8.5,7.9,2.7,319,2,9,11,0,8,2,1,7
57,58,115,"SARASOTA","Sarasota","Sarasota","Sarasota County","FL",412144,13252,154,172,679,1175,1218,1644,2446,2782,1992,949,41,"0 to 119",61,7484,5597,171,13012,240,0,468,12334,1048,99,868,12379,2,3,13007,785,59,18,6,475,369,0,844,6,8,61,107,101,101,122,128,135,99,0,"0 to 104","59",659,58,67,60,105,637,102,211,13,179,10,1,92,868,384,484,844,24,0,28412,216,29501,28628,868,92,379,273,64,130,3948,9,4087,3.18,998,16327,17339,"4.2",3,7.5,"2020-06-07","2020-06-13","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","35.7","28","76.1","155","%","%","%","%",64,57,139,63,76,"120.6",93,224,189,25.8,21.8,10.7,833,1,92,35,0,19,2,1,0
30,59,117,"SEMINOLE","Seminole","Seminole","Seminole County","FL",455086,17041,216,387,1477,2155,2272,2632,2849,2498,1179,505,871,"0 to 119",50,9684,7229,128,17000,41,0,302,16180,671,99,1101,15931,1,8,16993,1038,54,9,0,580,512,0,1092,14,19,299,215,150,153,96,87,42,26,0,"0 to 100","35",731,123,98,140,299,570,223,231,5,129,1,0,14,1101,515,586,1092,9,0,26966,30,28109,26996,1101,14,701,458,47,105,2449,0,2554,4.11,1206,18380,19595,"4.3",3.9,7.1,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","increased by","increased by","46.7","107.1","420","325.7","%","%","%","%",12,4,385,146,239,"163.7",14,236,130,21.4,11.8,1.3,976,1,14,125,0,26,6,1,0
29,60,119,"SUMTER","Sumter","Sumter","Sumter County","FL",120999,3848,28,27,90,172,183,297,512,1424,896,133,86,"0 to 119",69,1885,1761,202,3773,75,0,117,3481,277,56,277,3548,0,23,3750,227,48,1,1,81,194,0,275,1,2,7,7,34,42,41,90,44,9,0,"4 to 92","65",227,34,5,9,18,246,11,58,0,45,0,0,17,277,196,81,275,2,0,5814,73,6169,5887,277,17,64,52,66,37,1718,0,1755,2.11,314,5266,5603,"4.6",4,8.2,"2020-06-07","2020-06-13","NO","NO","NO","YES","decreased by","increased by","decreased by","decreased by","60","33.3","50","42","%","%","%","%",2,1,7,5,2,"40",17,58,45,20.9,16.2,6.1,270,1,17,7,0,3,0,0,3
35,61,121,"SUWANNEE","Suwannee","Suwannee","Suwannee County","FL",43924,2164,58,49,166,274,249,258,351,301,236,212,10,"0 to 118",55,1377,705,82,2159,5,0,61,1879,539,15,229,1935,0,0,2159,115,109,2,3,141,83,0,224,4,9,23,24,33,35,28,23,30,20,0,"0 to 102","51",138,46,17,23,47,156,21,42,1,43,0,0,18,229,85,144,224,5,0,2725,0,2956,2725,229,18,63,59,63,8,107,0,115,6.96,237,2042,2279,"5.2",7.7,11,"2020-06-07","2020-06-13","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","66.7","12.5","125","88.9","%","%","%","%",40,18,46,11,35,"318.2",18,43,43,18.8,18.8,7.9,224,2,18,5,0,14,2,2,0
3,62,123,"TAYLOR","Taylor","Taylor","Taylor County","FL",22098,882,33,19,77,131,112,112,159,141,71,23,4,"0 to 118",50,485,366,31,874,8,0,16,761,134,27,62,819,1,0,873,50,11,1,0,19,42,0,61,0,1,12,22,11,2,7,3,4,0,0,"6 to 84","32",40,3,16,2,25,34,2,13,0,6,0,0,0,62,42,20,61,1,0,1241,7,1312,1248,62,0,144,42,47,0,27,0,27,0,62,846,909,"4.1",4.6,7,"2020-06-07","2020-06-13","YES","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","50","100","65.2","16.5","%","%","%","%",0,0,10,22,-12,"-54.5",0,13,6,21,9.7,0,62,20,0,0,0,1,0,0,0
39,63,125,"UNION","Union","Union","Union County","FL",15239,1166,11,17,54,76,108,139,399,277,71,14,0,"0 to 118",59,316,843,7,1166,0,0,15,1125,73,4,39,1127,0,0,1166,36,3,0,0,6,33,0,39,0,0,0,5,1,3,17,11,2,0,0,"25 to 80","62",24,11,2,2,1,36,2,8,0,8,0,0,2,39,33,6,39,0,0,2022,0,2061,2022,39,2,29,27,55,0,20,0,20,0,39,1147,1186,"7.8",1.9,3.3,"2020-06-07","2020-06-13","YES","YES","NO","YES","did not change","did not change","decreased by","decreased by","","","100","100","","","%","%",0,0,0,4,-4,"-100",2,8,8,20.5,20.5,5.1,38,10,1,1,1,0,0,0,1
25,64,127,"VOLUSIA","Volusia","Volusia","Volusia County","FL",527634,20416,171,300,1092,2064,2200,2930,4233,3952,2161,1027,286,"0 to 119",58,11426,8280,710,20320,96,0,302,19329,990,141,1117,19299,0,0,20320,958,145,13,1,559,544,0,1103,5,26,140,165,136,166,184,156,77,61,1,"0 to 102","50",594,241,169,99,139,818,146,261,5,183,4,0,53,1117,550,567,1103,14,0,30173,82,31386,30255,1117,53,1067,452,53,153,6775,0,6928,2.21,1270,26074,27344,"5.2",3.3,6.2,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","25.8","12.5","25","1.9","%","%","%","%",57,30,210,87,123,"141.4",53,266,187,23.8,16.7,4.7,1057,1,51,60,2,41,6,1,0
41,65,129,"WAKULLA","Wakulla","Wakulla","Wakulla County","FL",31877,1252,13,29,87,138,168,212,245,213,107,39,1,"0 to 102",53,707,534,11,1248,4,0,12,1188,193,4,37,1215,0,0,1248,19,16,2,0,24,11,0,35,0,0,5,6,5,10,6,3,1,1,0,"18 to 86","46",19,13,3,0,0,35,0,7,0,5,0,0,1,37,11,26,35,2,0,1765,2,1804,1767,37,1,101,26,43,3,148,0,151,1.99,40,1363,1403,"4.4",2,3.2,"2020-06-07","2020-06-13","NO","NO","YES","YES","increased by","increased by","decreased by","decreased by","2","1","100","100","case","case","%","%",0,0,2,0,2,"",1,7,5,18.9,13.5,2.7,37,1,1,0,0,0,0,0,0
51,66,131,"WALTON","Walton","Walton","Walton County","FL",65858,1655,52,40,104,172,211,244,291,248,158,132,3,"0 to 101",55,918,700,37,1593,62,0,30,1503,187,42,165,1490,0,0,1593,120,23,19,3,80,63,0,143,5,9,15,20,28,19,31,19,13,6,0,"0 to 101","47",130,10,1,2,37,102,4,26,5,20,2,0,9,165,72,93,143,22,0,2594,40,2803,2634,165,9,123,68,49,26,813,0,839,3.1,191,2303,2494,"3.8",5.2,11.5,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","increased by","increased by","28.6","37.5","23.1","4.3","%","%","%","%",30,9,19,23,-4,"-17.4",9,31,22,18.8,13.3,5.5,157,1,9,8,0,11,0,0,0
53,67,133,"WASHINGTON","Washington","Washington","Washington County","FL",24566,906,12,16,55,95,110,142,195,127,99,55,0,"0 to 119",56,537,346,23,900,6,0,30,749,127,14,96,809,0,1,899,75,19,2,0,49,44,1,94,0,2,5,9,9,10,22,16,16,7,0,"9 to 99","59",66,18,1,9,1,83,10,8,0,19,0,0,11,96,44,51,94,2,0,1513,4,1614,1517,96,11,131,74,54,0,62,0,62,0,96,871,968,"3.9",5.7,10.6,"2020-06-07","2020-06-13","NO","NO","YES","YES","increased by","decreased by","decreased by","decreased by","100","40","66.7","48.8","%","%","%","%",46,8,10,10,0,"0",11,8,19,8.3,19.8,11.5,95,12,9,1,2,2,0,0,0
99,999,999,"UNKNOWN","Unknown","Unknown","Unknown","FL",0,1383,0,3,63,152,179,189,177,139,214,265,2,"6 to 119",60,945,431,7,127,1256,0,2,1374,7,9,113,1269,1,0,126,4,0,108,1,2,2,0,4,0,2,8,30,23,24,12,5,5,4,0,"6 to 88","41",1,1,0,2,0,0,4,0,1,0,0,0,0,113,62,50,4,109,0,660,1147,1935,1807,113,0,28,26,36,6,18,0,24,25,119,1287,1407,"",6.1,8.6,"NO","NO","","","","","","","","","","","","","","","","",0,0,13,7,6,"85.7",0,1,0,0.9,0,0,110,5,0,3,0,2,0,0,0
