"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,22790,8109,14652,3,26,22440,7824,209,64,12,4411,3593,29,8033,122,295,3272,1363,841,762,675,455,202,109,13,"0 to 103","27",3540,1900,892,1701,928,5125,1980,801,18,404,22,1,55,8109,3639,4440,8033,76,0,90227,248,98614,90475,8109,185,2669,0,2854,6.48,101468,8294,17321,25644,"9.7",8.2,36.4,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","56","18.2","47.4","34.1","%","%","%","%",55,17,56,819,426,11,6,0.7,8060,56,49,0,568,51,9,0,"159",0,9,"329",7842,"267",425,49,376,11.5,"564","6368","6932","8.1",40,466,506,"7.91"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2545,1470,1040,0,35,2451,1253,216,0,1,473,996,0,1469,6,38,174,304,312,255,203,116,52,10,0,"0 to 97","41",759,202,48,460,17,901,551,105,0,67,0,0,12,1470,996,474,1469,1,0,6463,58,8017,6521,1470,7,88,0,95,7.37,8112,1477,1128,2640,"9.5",18.2,58,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","NO","decreased by","increased by","decreased by","decreased by","25","36.8","27.9","47.3","%","%","%","%",0,3,12,105,67,8,5,0.8,1467,12,3,0,74,4,0,1,"586",0,1,"39",1432,"38",47,3,44,6.4,"74","555","629","11.8",6,49,55,"10.91"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9243,6057,3165,1,20,9096,5810,141,104,2,2968,2943,40,5951,68,147,922,1122,994,1004,865,541,281,94,19,"0 to 99","42",3426,602,824,1099,468,3998,1485,729,19,345,8,5,104,6057,3009,3008,5951,106,0,28370,30,34526,28400,6057,122,1379,0,1501,8.13,36027,6179,4544,10744,"5.9",17.2,66.9,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","decreased by","33.3","28.6","23.6","7.7","%","%","%","%",32,19,109,748,353,13,6,1.8,6040,109,17,0,361,16,5,1,"443",0,10,"377",5297,"760",79,17,62,21.5,"353","2319","2672","13.2",29,192,221,"13.12"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2698,1099,1597,0,2,2693,809,289,1,0,534,564,0,1098,14,52,148,165,155,175,195,112,60,23,0,"0 to 107","45",717,268,53,60,32,953,113,119,0,71,0,0,8,1099,565,534,1098,1,0,5693,2,6814,5695,1099,14,113,0,127,11.02,6941,1113,1710,2825,"10.5",16,41.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","44.4","15","26.3","7.1","%","%","%","%",8,2,8,119,71,11,7,0.7,1090,8,9,0,103,5,1,0,"266",0,1,"60",1071,"28",38,9,29,23.7,"103","728","831","12.4",2,32,34,"5.88"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27802,8841,18935,0,26,27743,8638,176,24,3,4773,4010,31,8814,93,300,1444,1377,1206,1236,1321,845,569,426,24,"0 to 105","44",4714,1058,751,2291,998,5101,2715,1417,6,794,3,1,293,8841,4025,4785,8814,27,0,96945,16,105861,96961,8841,360,6575,1,6936,5.19,112797,9201,25510,34738,"6",8.2,33.1,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","12.3","11.6","5.1","34.4","%","%","%","%",100,152,294,1423,797,17,10,3.3,8800,294,41,0,593,61,9,0,"68",0,16,"1165",8290,"551",365,41,324,11.2,"593","6922","7515","7.9",47,619,666,"7.06"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,175660,76854,98663,30,113,173652,70794,5408,610,42,39789,36278,135,76202,1645,4236,11301,14632,13183,12409,10248,5190,2568,1407,35,"0 to 107","39",31932,20277,10525,13468,28965,34297,12940,10346,100,5793,77,27,1379,76854,36695,40022,76202,652,0,485599,1234,564572,486833,76854,5310,55505,14,60829,8.73,625401,82164,154168,236489,"12.4",13.1,46.8,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","17.9","10.8","5.5","8.8","%","%","%","%",307,366,1406,10446,5870,14,8,1.8,76700,1405,154,1,7970,584,88,0,"398",1,60,"3291",75984,"870",1745,154,1591,8.8,"7950","41119","49069","16.2",130,1461,1591,"8.17"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1292,615,676,0,1,1290,587,27,1,0,263,350,1,614,5,25,70,114,107,86,76,60,43,29,0,"0 to 99","43",408,92,41,73,26,496,92,60,1,33,1,0,11,615,351,263,614,1,0,4345,0,4970,4345,615,4,38,0,42,9.52,5012,619,714,1334,"9.2",12.4,47.9,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","100","100","20","13.2","%","%","%","%",13,6,11,61,34,10,6,1.8,614,11,1,0,46,0,0,0,"172",0,1,"84",574,"41",4,1,3,25,"46","412","458","10.0",2,16,18,"11.11"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8005,3039,4957,1,8,7972,2770,261,7,1,1616,1405,10,3031,25,73,322,324,327,436,548,449,302,233,0,"0 to 101","55",2327,195,284,225,244,2450,337,391,1,382,1,0,135,3039,1407,1621,3031,8,0,30398,16,33491,30414,3039,187,3253,0,3440,5.44,36931,3226,8210,11445,"6.5",8.7,40.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","61.1","20","4.9","18.6","%","%","%","%",129,60,135,392,383,13,13,4.4,3030,135,9,0,146,10,2,0,"64",0,4,"513",2905,"134",97,9,88,9.3,"146","1488","1634","8.9",2,153,155,"1.29"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7608,2745,4813,2,48,7543,1799,938,4,4,1519,1208,10,2737,32,99,363,310,299,403,457,358,265,145,14,"0 to 100","51",2167,166,207,197,137,2299,301,262,0,286,1,0,103,2745,1214,1521,2737,8,0,23355,7,26118,23362,2745,89,1569,0,1658,5.37,27776,2834,6382,9266,"6.5",10.2,37.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","8","33.3","24.1","3.1","%","%","%","%",92,24,103,262,287,10,11,3.8,2737,102,8,1,244,5,2,0,"61",0,17,"506",2707,"38",91,8,83,8.8,"244","1829","2073","11.8",13,129,142,"9.15"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13731,5077,8625,2,27,13669,4897,165,15,0,2622,2396,44,5062,52,182,800,767,838,890,687,442,291,126,2,"0 to 100","43",2843,749,446,1024,451,3426,1185,820,2,354,3,0,100,5077,2405,2628,5062,15,0,43055,18,48176,43073,5077,136,2165,0,2301,5.91,50477,5213,10790,16032,"7.7",10.3,38,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","did not change","increased by","increased by","increased by","","2.5","14","32.3","","%","%","%",71,49,100,822,357,17,8,2,5001,100,76,0,388,46,3,0,"189",0,9,"501",4804,"273",306,76,230,24.8,"387","4269","4656","8.3",26,355,381,"6.82"
