"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16005,216,218,1938,2966,2307,2274,2597,1924,923,576,66,"0 to 119",46,9184,6672,149,15729,276,0,264,15388,683,69,1159,14839,6,1,15722,1074,59,15,11,553,579,1,1133,8,17,418,257,121,122,88,82,30,15,1,"0 to 103","29",385,218,205,325,212,582,339,163,6,93,5,0,12,1159,593,565,1133,26,0,39423,250,40842,39673,1159,48,1402,0,1450,3.31,42292,1207,16241,17455,"6.6",2.9,7.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","27.3","100","170.9","84.6","%","%","%","%",53,10,12,169,98,15,9,1,1124,12,35,0,41,5,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,918,30,17,103,136,127,149,151,105,66,32,2,"0 to 99",48,509,358,51,858,60,0,25,846,86,5,57,860,0,1,857,35,22,0,0,30,27,0,57,0,2,11,7,8,5,9,7,5,3,0,"10 to 97","45",42,13,2,0,1,54,2,14,0,12,0,0,4,57,27,30,57,0,0,1625,60,1742,1685,57,0,33,0,33,0,1775,57,893,951,"3.4",3.2,6.2,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","250","20","77.8","4.9","%","%","%","%",3,3,4,14,12,25,22,7,55,4,2,0,5,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3449,39,35,246,450,471,570,647,455,293,188,55,"0 to 119",53,1930,1465,54,3401,48,0,126,3129,365,63,347,3036,0,66,3344,293,36,17,1,177,152,0,329,5,4,47,78,59,69,42,24,16,3,0,"1 to 93","41",244,39,20,26,89,200,40,88,6,34,2,2,4,347,160,187,329,18,0,7263,21,7638,7284,347,16,753,0,769,2.08,8407,363,3789,4218,"2.3",4.3,10.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","100","14.3","184.1","121.5","%","%","%","%",7,0,6,94,36,28,11,1.7,322,4,25,0,12,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1505,21,28,125,194,175,225,291,190,146,103,7,"0 to 118",54,941,539,25,1503,2,0,32,1400,174,2,83,1421,0,1,1502,40,43,0,0,61,22,0,83,1,4,11,8,13,10,6,7,12,11,0,"1 to 107","50",62,17,3,1,6,74,3,13,0,13,0,0,2,83,22,61,83,0,0,2519,2,2607,2521,83,5,48,0,53,9.43,2660,88,1469,1558,"5.8",3.3,5.8,"2020-06-21","2020-06-27","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","33.3","75","133.3","30.3","%","%","%","%",4,2,2,13,13,16,16,2.4,82,2,1,0,6,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,20569,269,379,1342,2115,2272,2867,4512,3993,2113,559,148,"0 to 119",57,11621,8840,108,20547,22,0,322,19545,1218,99,1716,18850,0,3,20544,1638,62,14,2,859,835,6,1700,24,48,359,360,278,240,211,115,49,32,0,"0 to 99","36",970,119,102,509,314,863,523,219,3,108,3,0,17,1716,842,868,1700,16,0,41477,6,43203,41483,1716,72,2983,1,3056,2.36,46259,1788,21833,23625,"4.1",3.9,8.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.9","19.3","161.3","40.1","%","%","%","%",7,3,17,222,111,13,7,1,1631,17,85,0,95,12,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,103022,1622,2135,7554,15392,15861,17880,18993,12972,6873,3539,201,"0 to 119",50,55814,45699,1509,101446,1576,0,2940,89037,14742,1065,15045,87936,13,28,101408,13423,1313,284,25,7431,7297,8,14736,191,448,1970,2917,2559,2489,2200,1190,693,380,8,"0 to 102","42",6824,4679,1224,2009,5278,7748,1710,3425,71,1969,58,22,382,15045,7497,7540,14736,309,0,177083,1264,193471,178347,15045,1212,25784,4,27000,4.49,220471,16257,113720,130022,"6.8",7.4,15.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.7","44.2","57.8","16.3","%","%","%","%",313,159,404,3496,2027,24,14,2.7,14620,382,425,0,893,112,20,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,550,5,4,44,52,81,75,93,84,72,39,1,"0 to 99",56,331,203,16,550,0,0,5,444,58,5,75,474,0,1,549,59,16,0,0,56,19,0,75,0,0,6,7,5,2,4,8,21,21,1,"20 to 99","78",53,10,2,10,1,59,15,11,0,7,0,0,6,75,19,56,75,0,0,790,0,867,790,75,1,24,0,25,4,892,76,498,575,"4",8.5,13.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","33.3","66.7","40","67.6","%","%","%","%",29,6,6,11,7,15,10,8,76,6,-1,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5689,64,53,275,479,548,787,1089,1081,751,556,6,"0 to 119",60,3337,2283,69,5670,19,0,197,5047,660,25,749,4936,1,3,5666,593,153,2,1,428,313,5,746,8,9,50,79,59,93,133,110,96,112,0,"0 to 101","61",571,60,17,98,49,573,124,118,1,143,1,0,76,749,315,429,746,3,0,11442,16,12211,11458,749,47,1571,0,1618,2.9,13829,796,6507,7307,"4.1",5.8,14,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","550","100","140.4","58.2","%","%","%","%",83,49,76,119,144,16,20,10.1,714,76,35,0,21,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4164,38,76,222,395,373,501,768,938,646,199,8,"0 to 222",61,2315,1658,191,4157,7,0,89,3617,358,28,284,3877,1,2,4155,196,88,0,0,138,146,0,284,2,5,34,33,25,47,63,41,22,12,0,"0 to 97","54",222,14,15,33,26,221,37,37,0,38,0,0,13,284,146,138,284,0,0,9511,6,9804,9517,284,24,847,0,871,2.76,10675,308,4724,5035,"3.5",2.9,7.4,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","237.5","54.5","97.8","17.8","%","%","%","%",3,1,13,37,38,14,14,4.6,277,12,7,1,12,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8491,121,212,670,997,1186,1396,1498,1319,761,310,21,"0 to 101",52,4900,3490,101,8470,21,0,164,7890,617,56,682,7803,1,5,8464,613,66,3,0,382,297,0,679,1,14,81,98,95,114,99,88,55,37,0,"0 to 100","50",338,130,62,149,62,448,169,154,0,102,0,0,34,682,298,384,679,3,0,16227,18,16933,16245,682,37,1028,0,1065,3.47,17998,719,8831,9556,"4.6",4,8.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","163.2","222.6","90.4","%","%","%","%",26,24,34,154,102,23,15,5,659,34,23,0,22,3,1,0
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,17449,384,662,1704,2047,2193,2257,2556,2775,2122,709,40,"0 to 105",52,9341,8014,94,17085,364,0,518,14090,3071,169,4147,13196,3,103,16979,3757,305,69,16,1988,2067,7,4062,119,221,743,687,711,570,486,291,214,103,2,"0 to 101","38",2104,190,340,1428,1946,869,1247,500,20,320,11,6,71,4147,2119,2021,4062,85,0,28899,279,33340,29178,4147,299,9723,1,10023,2.98,43363,4446,22919,27472,"7.5",10.3,25.5,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","increased by","56","46.8","46.8","21.3","%","%","%","%",51,36,77,520,331,13,8,1.9,4087,71,60,0,474,29,13,0
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,3486,90,107,244,427,437,455,673,553,289,202,9,"0 to 119",54,1968,1420,98,3471,15,0,220,3062,369,16,281,3202,0,3,3468,242,37,2,0,141,138,0,279,9,16,31,62,44,43,39,22,9,6,0,"0 to 97","39",130,109,35,5,38,231,10,9,0,25,0,0,3,281,140,141,279,2,0,5530,13,5829,5543,281,10,190,0,200,5,6029,291,3392,3686,"5.3",4.8,8.3,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","116.7","63.2","14.9","21","%","%","%","%",0,0,3,9,25,4,9,1.1,269,3,12,0,30,0,0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,171809,1886,2856,13718,27713,27467,31206,29146,19644,11098,6398,677,"0 to 225",48,89539,81131,1139,170309,1499,1,4214,154212,18278,1009,35222,136336,100,151,170060,33858,833,522,9,17256,17409,26,34691,359,712,3693,6410,5784,6315,5179,3279,1949,1471,71,"0 to 108","46",16361,4739,1432,12159,16582,6067,12042,6678,49,3928,31,15,975,35222,17682,17498,34690,531,1,271470,967,307966,272437,35222,2750,41893,2,44645,6.16,352611,37972,178229,216454,"8",10.8,22.1,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","increased by","67.8","41.9","103.7","29.6","%","%","%","%",1019,435,990,6727,3959,20,12,2.8,33714,953,1508,22,1525,233,42,7
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2664,70,128,242,371,369,466,498,287,157,70,6,"0 to 102",48,1112,1420,132,2654,10,0,63,1968,596,12,600,2053,0,11,2643,478,122,0,0,291,308,1,600,25,66,92,120,89,86,69,36,9,8,0,"0 to 92","34",452,61,24,63,385,143,72,98,0,60,0,0,10,600,308,291,600,0,0,3932,10,4547,3942,600,7,137,0,144,4.86,4691,607,2190,2808,"7.7",12.9,22.8,"2020-06-21","2020-06-27","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","28.6","46.2","54.5","18.7","%","%","%","%",1,0,10,98,60,17,10,1.7,585,10,15,0,111,6,3,0
