"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,3784,1814,1970,0,0,3781,1762,51,1,0,817,992,4,1813,58,118,296,365,329,270,189,106,52,31,0,"0 to 101","37",1442,205,70,96,1234,497,82,287,0,154,0,0,38,1814,993,817,1813,1,0,6673,2,8507,6675,1814,27,161,0,188,14.36,8695,1841,2131,3972,"9.9",21.2,48.7,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","NO","increased by","decreased by","decreased by","increased by","40","76.9","23.7","29.1","%","%","%","%",21,19,38,287,154,16,9,2.1,1805,38,9,0,231,12,1,0,"64",0,1
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,6059,2106,3950,0,3,6028,1786,306,12,2,1156,925,11,2092,28,69,280,331,283,315,297,222,149,107,25,"0 to 101","46",1567,231,260,34,379,1652,61,395,2,270,2,1,53,2106,929,1166,2092,14,0,17393,14,19526,17407,2106,65,1565,0,1630,3.99,21156,2171,5515,7689,"4.2",10.3,35.8,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","9.5","36.9","6.2","11.6","%","%","%","%",60,20,54,397,272,19,13,2.6,2069,51,37,3,138,11,1,0,"21",0,15
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,5267,1501,3758,0,8,5192,1373,124,4,0,797,699,1,1497,28,61,166,244,201,225,236,151,130,59,0,"0 to 98","47",878,233,204,182,421,834,242,325,2,167,1,0,37,1501,702,798,1497,4,0,14783,63,16358,14846,1501,35,556,0,591,5.92,16949,1536,4314,5858,"5.7",9.1,29.2,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","4.8","43.4","14.8","7.5","%","%","%","%",77,4,37,327,168,22,12,2.5,1474,37,27,0,112,10,1,2,"45",0,7
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,83026,33198,49609,22,197,82334,32501,564,128,5,17534,15298,233,33065,718,1525,5556,7013,5366,4997,3766,2034,1126,631,466,"0 to 104","37",11162,4308,4423,13172,8164,9710,15191,2636,20,1435,14,5,426,33198,15357,17607,33065,133,0,214689,351,248716,215040,33198,1484,21086,0,22570,6.58,271286,34682,70695,105596,"7.7",12.8,41.8,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","40.1","42.3","16.5","18.8","%","%","%","%",798,191,431,2656,1449,9,5,1.3,32996,400,202,31,3047,180,23,0,"35",0,49
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,1356,513,840,0,3,1333,435,67,8,3,190,311,1,502,11,17,71,107,99,84,55,43,18,8,0,"0 to 96","39",355,81,35,31,25,405,72,33,0,16,0,0,4,513,316,196,502,11,0,3775,9,4304,3784,513,5,96,0,101,4.95,4405,518,936,1457,"7.5",11.8,38.2,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","YES","NO","increased by","decreased by","decreased by","increased by","100","56.2","22.5","26.5","%","%","%","%",2,1,4,33,16,7,4,0.8,509,3,4,1,43,2,0,1,"175",0,2
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,8305,2574,5677,1,53,8181,2541,18,13,2,1379,1151,29,2559,45,136,396,399,357,371,303,218,193,155,1,"0 to 101","43",1105,289,302,863,496,1003,1060,344,7,200,3,0,57,2574,1160,1385,2559,15,0,24889,56,27532,24945,2574,96,2367,0,2463,3.9,29995,2670,8044,10768,"7.1",8.9,32.1,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","11.1","55.9","33.1","7.4","%","%","%","%",95,25,57,351,203,14,8,2.2,2555,57,19,0,262,8,1,0,"4",0,7
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,4842,1953,2883,1,5,4806,1883,55,14,1,570,1357,11,1938,17,53,183,417,395,353,265,132,77,61,0,"0 to 100","42",817,377,92,652,74,798,1066,151,2,103,0,0,43,1953,1365,576,1938,15,0,10060,18,12044,10078,1953,36,214,0,250,14.4,12294,1989,3097,5092,"10.5",16.2,41.1,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","50","66.7","38.6","41.6","%","%","%","%",62,31,43,153,103,8,6,2.2,1936,41,17,2,102,6,0,3,"941",0,8
11,33,65,"JEFFERSON","Jefferson","Jefferson","Jefferson County","FL",14105,1065,462,600,1,2,1053,407,49,6,0,111,345,0,456,5,8,45,84,77,87,90,45,13,8,0,"0 to 95","46",184,243,20,9,23,401,32,41,2,26,0,0,5,462,350,112,456,6,0,2560,4,3041,2564,462,3,105,0,108,2.78,3149,465,705,1173,"8.3",14.8,43.7,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","NO","NO","did not change","decreased by","decreased by","decreased by","","25","36.6","23.9","","%","%","%",0,4,5,43,26,10,6,1.1,462,5,0,0,25,1,2,0,"272",0,0
37,34,67,"LAFAYETTE","Lafayette","Lafayette","Lafayette County","FL",8744,518,193,324,0,1,517,184,9,0,0,83,110,0,193,5,6,20,48,26,25,29,21,9,4,0,"1 to 98","39",120,44,20,9,24,156,13,28,0,10,0,0,2,193,110,83,193,0,0,799,0,996,799,193,2,16,0,18,11.11,1014,195,340,536,"6.1",19.2,37.6,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","33.3","36.4","45.8","1.9","%","%","%","%",8,0,2,28,10,15,6,1,189,2,4,0,12,1,0,0,"55",0,1
27,35,69,"LAKE","Lake","Lake","Lake County","FL",335362,20478,5291,15075,0,112,20215,5190,69,32,0,2683,2479,97,5259,94,205,816,942,841,817,725,460,270,103,18,"0 to 103","41",1636,663,1007,1953,782,2114,2363,470,13,291,5,1,74,5291,2497,2696,5259,32,0,60776,124,66280,60900,5291,232,6009,0,6241,3.72,72521,5523,21084,26719,"8",7.6,27,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","14.9","32.5","9","14.1","%","%","%","%",130,15,75,483,296,10,6,1.4,5229,69,62,6,424,14,3,0,"145",0,15
