"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18739,4088,14641,6,4,18428,3880,155,41,12,2227,1800,8,4035,65,162,1115,928,507,478,410,263,107,50,3,"0 to 103","31",1342,1194,512,987,513,2382,1140,333,11,171,11,1,26,4088,1830,2249,4035,53,0,66414,257,70782,66671,4088,81,1877,0,1958,4.14,72740,4169,16518,20697,"7.9",5.7,22.2,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","16.2","16.5","1.5","24.1","%","%","%","%",68,1,27,344,182,9,5,0.7,4006,27,82,0,315,21,3,0,"31",0,5
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1777,827,929,0,21,1697,733,94,0,0,234,593,0,827,5,15,89,184,197,145,120,39,27,6,0,"1 to 97","40",358,105,39,325,13,441,373,53,0,27,0,0,4,827,593,234,827,0,0,4573,59,5473,4632,827,0,57,0,57,0,5530,827,986,1834,"6.6",15,46.5,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","decreased by","50","10","31.2","2.9","%","%","%","%",1,3,4,53,27,7,4,0.5,630,4,197,0,34,3,0,0,"390",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,7416,4388,3018,0,10,7318,4183,137,66,2,2083,2152,85,4320,54,82,693,862,748,753,595,359,169,58,15,"0 to 99","41",2294,433,499,1094,309,2583,1428,462,14,196,5,5,51,4388,2193,2109,4320,68,0,21852,38,26337,21890,4388,35,1066,0,1101,3.18,27438,4423,4084,8517,"4.7",16.1,59.6,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","28.3","12","31","27.3","%","%","%","%",37,0,56,476,201,11,5,1.3,4194,50,194,6,243,10,2,0,"359",0,31
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1922,469,1451,0,2,1918,364,105,0,0,183,286,0,469,6,14,57,60,73,83,94,40,29,13,0,"0 to 107","47",272,135,21,41,11,399,59,39,0,27,0,0,4,469,286,183,469,0,0,3964,2,4454,3966,469,7,77,0,84,8.33,4538,476,1528,2006,"7.4",10.5,24.8,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","NO","decreased by","decreased by","increased by","increased by","50","20","5.7","19.3","%","%","%","%",3,2,4,39,27,9,6,0.9,434,4,35,0,29,0,0,0,"180",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,24854,5963,18879,0,12,24815,5830,112,18,3,3177,2732,33,5942,61,151,1055,1026,868,869,846,517,322,237,11,"0 to 105","42",3110,673,514,1645,766,3311,1865,932,6,465,3,0,142,5963,2742,3188,5942,21,0,76792,17,82829,76809,5963,144,4648,1,4793,3,87622,6107,23527,29647,"5.1",7,24.6,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","29.6","27.5","17.9","15.5","%","%","%","%",242,38,142,938,468,16,8,2.4,5851,140,112,2,331,40,6,0,"6",0,27
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,153837,61614,92028,29,166,151877,57444,3647,490,33,31780,29101,210,61091,1307,3210,8989,11934,10716,10049,8209,4097,2025,1046,32,"0 to 119","39",22398,15855,6250,16588,20859,24140,16092,7101,87,3766,67,26,789,61614,29446,31956,61091,523,0,366385,1312,430054,367697,61614,2191,39504,7,41702,5.25,471756,63805,131532,195539,"10.2",13.5,41.5,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","17","33.3","13.8","12.4","%","%","%","%",718,137,815,7188,3833,12,7,1.3,60746,807,868,8,6168,415,55,0,"284",1,48
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1009,462,546,0,1,1008,446,16,0,0,192,269,1,462,2,13,48,87,82,63,60,45,35,27,0,"1 to 99","44",279,45,28,110,17,320,125,46,0,29,0,0,7,462,269,192,462,0,0,3287,0,3766,3287,462,0,26,0,26,0,3792,462,572,1035,"7.2",12.2,45.8,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","NO","NO","NO","did not change","decreased by","increased by","increased by","","55.6","93.9","13.2","","%","%","%",13,6,7,46,29,10,7,1.5,417,7,45,0,22,0,0,0,"48",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7181,2214,4955,1,11,7146,1982,225,6,1,1132,1053,22,2207,22,44,241,255,235,323,398,315,219,161,1,"0 to 101","54",1623,127,133,324,173,1625,409,225,1,235,1,0,91,2214,1055,1136,2207,7,0,23671,16,25934,23687,2214,83,2259,0,2342,3.54,28276,2297,7214,9523,"5.4",8.1,32,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","45.5","50","34.3","28.2","%","%","%","%",164,NA,91,226,236,11,11,4.1,2174,90,40,1,98,4,0,0,"54",0,2
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5813,1514,4267,1,31,5771,901,610,2,1,782,724,5,1511,13,42,205,190,173,235,283,185,124,59,5,"0 to 100","51",1154,103,112,142,82,1232,197,118,0,147,0,0,36,1514,726,783,1511,3,0,16749,8,18282,16757,1514,33,1196,0,1229,2.69,19511,1547,5463,7042,"4.9",7.9,26.6,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","53.1","11.4","29","7.4","%","%","%","%",47,6,36,118,147,8,10,2.4,1473,36,41,0,118,3,1,0,"46",0,7
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,11347,3245,8088,1,13,11307,3114,123,8,0,1777,1452,8,3237,31,106,527,483,515,561,451,292,182,97,0,"0 to 100","44",1611,548,264,814,300,2042,895,469,0,212,0,0,51,3245,1456,1781,3237,8,0,31212,18,34492,31230,3245,63,1593,0,1656,3.8,36148,3308,9681,13003,"6.3",9.2,29.2,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","26.5","57","18.2","17.5","%","%","%","%",110,19,51,469,212,15,7,1.6,3186,50,59,1,231,19,2,0,"12",0,3
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,24119,10265,13647,3,204,23492,9713,411,125,16,5124,4878,122,10124,272,529,1724,1688,1725,1626,1256,731,479,233,2,"0 to 104","40",4990,619,1033,3482,4123,2486,3515,1159,22,721,12,6,133,10265,4939,5165,10124,141,0,51484,288,62102,51772,10265,590,12472,1,13063,4.52,75165,10855,26119,37182,"10.2",14.4,45,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","YES","YES","NO","decreased by","decreased by","decreased by","increased by","50","47.4","9.6","6.4","%","%","%","%",109,34,139,1181,733,12,8,1.4,10202,137,63,2,1130,77,24,0,"10",0,9
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,5922,2835,3083,0,4,5895,2588,237,8,2,798,2023,4,2825,53,86,266,540,560,493,417,256,120,43,1,"0 to 102","43",1105,473,117,1130,121,1371,1333,45,1,120,2,0,15,2835,2030,801,2825,10,0,10579,13,13482,10592,2835,14,278,0,292,4.79,13774,2849,3361,6214,"9",20.7,48.1,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","NO","NO","increased by","increased by","decreased by","decreased by","34.8","9.7","47.4","26.4","%","%","%","%",61,1,15,46,122,2,5,0.5,2784,14,51,1,172,0,1,4,"1424",0,5
