"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18541,3862,14670,6,3,18231,3658,151,41,12,2081,1718,10,3809,62,146,1062,891,473,447,384,242,103,50,2,"0 to 103","31",1282,1105,494,928,497,2239,1073,299,11,156,11,1,25,3862,1748,2103,3809,53,0,64634,257,68776,64891,3862,81,1877,0,1958,4.14,70734,3943,16547,20499,"7.8",5.6,21.3,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","16.2","16.5","1.5","24.1","%","%","%","%",61,1,26,310,167,9,5,0.7,3808,26,54,0,285,19,3,0,"30",0,5
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1367,429,919,0,19,1289,339,90,0,0,210,218,1,429,5,14,66,69,87,67,66,26,23,6,0,"1 to 97","41",286,72,37,34,13,369,47,51,0,26,0,0,4,429,218,210,429,0,0,4052,59,4541,4111,429,0,57,0,57,0,4598,429,976,1424,"5.1",9.3,31.4,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","decreased by","50","10","31.2","2.9","%","%","%","%",1,3,4,51,26,12,7,0.9,423,4,6,0,31,3,0,0,"44",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,7017,3988,3019,0,10,6921,3785,137,64,2,1895,1964,63,3922,48,82,618,794,702,683,531,332,144,49,5,"0 to 98","41",2174,407,347,994,292,2387,1243,422,14,178,5,5,45,3988,2003,1921,3922,66,0,20389,38,24459,20427,3988,35,1066,0,1101,3.18,25560,4023,4085,8118,"4.4",15.7,57.3,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","28.3","12","31","27.3","%","%","%","%",60,0,50,436,183,11,5,1.3,3921,42,67,8,219,7,2,0,"301",0,27
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1790,343,1446,0,1,1787,246,97,0,0,165,178,0,343,6,13,47,40,58,59,57,24,26,13,0,"0 to 107","46",201,84,16,42,10,281,52,36,0,26,0,0,4,343,178,165,343,0,0,3874,2,4224,3876,343,7,77,0,84,8.33,4308,350,1523,1874,"6.9",8.1,19.6,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","NO","decreased by","decreased by","increased by","increased by","50","20","5.7","19.3","%","%","%","%",3,2,4,36,26,11,8,1.2,341,4,2,0,28,0,0,0,"79",0,1
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,24602,5712,18880,0,10,24565,5582,109,18,3,3020,2647,24,5691,59,148,1029,1001,830,831,803,485,301,224,1,"0 to 110","42",2988,624,486,1593,745,3153,1793,866,6,435,3,0,132,5712,2657,3031,5691,21,0,75192,17,80978,75209,5712,144,4648,1,4793,3,85771,5856,23528,29395,"5.1",6.8,23.8,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","29.6","27.5","17.9","15.5","%","%","%","%",236,38,132,872,438,16,8,2.3,5671,123,41,9,318,39,6,0,"5",0,37
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,151243,59354,91668,28,193,149265,55996,2842,484,32,30526,28088,224,58838,1259,3065,8674,11555,10344,9692,7891,3925,1929,993,27,"0 to 102","39",21037,15175,5707,16919,19814,22704,16320,6701,86,3498,66,25,783,59354,28424,30700,58838,516,0,356083,1312,417459,357395,59354,2191,39504,7,41702,5.25,459161,61545,131172,192945,"10.1",13.4,40.7,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","17","33.3","13.8","12.4","%","%","%","%",711,137,808,6787,3564,12,7,1.4,58953,790,401,18,5876,384,52,0,"274",1,145
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,882,334,547,0,1,881,318,16,0,0,177,156,1,334,2,10,39,52,42,43,49,39,33,25,0,"1 to 99","50",237,39,20,38,17,269,48,43,0,28,0,0,7,334,156,177,334,0,0,2022,0,2361,2022,334,0,26,0,26,0,2387,334,573,908,"6.3",14,37.9,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","NO","NO","NO","did not change","decreased by","increased by","increased by","","55.6","93.9","13.2","","%","%","%",13,6,7,43,28,13,9,2.1,333,7,1,0,19,0,0,0,"26",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7088,2104,4973,1,10,7054,1881,216,6,1,1069,1003,25,2097,22,42,225,243,224,306,375,305,204,157,1,"0 to 101","54",1503,126,107,361,160,1485,452,215,1,224,1,0,89,2104,1005,1073,2097,7,0,22671,16,24816,22687,2104,83,2259,0,2342,3.54,27158,2187,7232,9430,"5.3",8.1,30.9,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","45.5","50","34.3","28.2","%","%","%","%",151,NA,89,216,225,11,11,4.2,2076,89,28,0,96,4,0,0,"54",0,4
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5640,1373,4236,1,30,5600,807,563,2,1,712,655,3,1370,12,38,198,170,156,215,262,163,110,48,1,"0 to 100","50",1046,97,92,135,71,1114,185,103,0,133,0,0,34,1373,657,713,1370,3,0,16174,7,17566,16181,1373,33,1196,0,1229,2.69,18795,1406,5432,6869,"4.8",7.5,24.9,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","53.1","11.4","29","7.4","%","%","%","%",80,6,34,103,133,8,10,2.5,1322,34,51,0,109,3,1,0,"46",0,11
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,11086,3021,8051,1,13,11046,2891,122,8,0,1660,1343,10,3013,29,99,487,459,478,511,414,279,173,92,0,"0 to 100","44",1514,518,241,740,294,1911,808,449,0,204,0,0,49,3021,1347,1664,3013,8,0,30207,18,33262,30225,3021,63,1593,0,1656,3.8,34918,3084,9644,12742,"6.1",8.8,27.8,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","26.5","57","18.2","17.5","%","%","%","%",93,19,49,449,204,15,7,1.6,2984,49,37,0,205,17,1,0,"10",0,2
