"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,20114,5498,14594,5,17,19773,5249,176,61,12,2956,2448,21,5425,106,242,1414,1153,704,646,573,391,172,89,8,"0 to 103","33",1985,1647,642,1151,652,3360,1413,663,15,335,16,1,33,5498,2487,2989,5425,73,0,81133,249,86912,81382,5498,140,2347,0,2487,5.63,89399,5638,16941,22601,"8.6",6.3,28,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","3.3","42.7","25.7","12.8","%","%","%","%",97,14,34,678,351,13,7,0.6,5409,34,89,0,464,47,7,0,"121",0,0,"275",5408,"90",544,89,455,16.4
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2250,1248,970,0,32,2159,1075,172,0,1,350,897,0,1247,5,20,139,274,280,211,174,92,43,10,0,"1 to 97","40",587,157,50,453,15,686,546,77,0,49,0,0,6,1248,897,351,1247,1,0,5743,57,7073,5800,1248,4,72,0,76,5.26,7149,1252,1042,2326,"8.4",17.5,55.6,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","28.6","55.6","5.4","4.9","%","%","%","%",0,3,6,77,49,7,4,0.5,1238,6,10,0,46,3,0,1,"575",0,1,"33",1232,"16",47,10,37,21.3
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8586,5491,3078,1,16,8463,5264,141,84,2,2658,2700,47,5405,63,113,837,1043,914,931,774,475,238,81,22,"0 to 99","42",3065,556,712,1072,406,3569,1430,672,17,313,6,5,85,5491,2751,2693,5405,86,0,25978,30,31565,26008,5491,84,1288,0,1372,6.12,32937,5575,4366,9958,"5.5",16.9,64.9,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","57.1","67.4","37.2","16.6","%","%","%","%",66,17,90,689,319,13,6,1.6,5473,89,18,1,303,15,5,1,"436",0,7,"318",4887,"604",176,18,158,10.2
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2384,835,1548,0,1,2380,626,208,1,0,381,453,0,834,13,42,111,127,127,140,139,71,47,18,0,"0 to 107","44",513,212,48,61,28,708,98,83,0,49,0,0,5,835,454,381,834,1,0,5220,2,6077,5222,835,9,97,0,106,8.49,6183,844,1645,2490,"9.2",13.7,35.4,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","57.1","83.3","3.9","12.9","%","%","%","%",5,2,5,83,49,10,6,0.6,818,5,17,0,80,4,0,0,"238",0,0,"51",821,"14",55,17,38,30.9
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26526,7598,18908,0,20,26475,7433,140,22,3,4085,3455,33,7573,72,226,1247,1240,1067,1072,1107,685,478,382,22,"0 to 105","44",3953,944,665,2011,900,4266,2407,1234,7,689,4,1,234,7598,3468,4097,7573,25,0,88302,16,95974,88318,7598,279,5807,1,6087,4.58,102061,7877,24715,32613,"5.7",7.7,29.7,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","10.9","15.1","27.9","26.6","%","%","%","%",252,137,235,1241,693,17,10,3.1,7532,229,66,6,458,48,6,0,"66",0,25,"1086",7374,"224",394,66,328,16.8
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,169113,73112,95862,30,109,167167,67300,5225,547,40,37848,34541,136,72525,1581,4041,10616,13954,12603,11844,9766,4926,2424,1316,41,"0 to 119","39",30069,19406,9434,13616,27496,31866,13163,9839,97,5443,76,26,1215,73112,34917,38058,72525,587,0,444484,1235,519707,445719,73112,3918,48347,11,52276,7.49,571983,77030,144209,221389,"11.6",13.5,45.5,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","26.3","25.1","33.5","22.6","%","%","%","%",680,353,1241,9936,5519,14,8,1.7,72880,1239,232,2,7592,559,79,0,"327",1,32,"2951",72602,"510",1883,232,1651,12.3
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1232,587,644,0,1,1230,569,17,1,0,252,333,1,586,5,21,62,111,103,83,75,56,42,29,0,"0 to 99","44",380,92,41,73,25,472,89,59,1,32,1,0,10,587,334,252,586,1,0,4102,0,4699,4102,587,4,36,0,40,10,4739,591,680,1272,"8.8",12.5,48,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","did not change","increased by","decreased by","100","","2.9","30.3","%","","%","%",13,6,10,60,33,11,6,1.7,583,10,4,0,39,0,0,0,"169",0,2,"83",552,"35",29,4,25,13.8
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7744,2778,4958,1,7,7713,2537,234,6,1,1459,1302,10,2771,24,62,290,306,305,401,498,408,273,211,0,"0 to 101","54",2167,169,242,193,229,2248,294,355,1,352,1,0,116,2778,1304,1463,2771,7,0,27685,16,30516,27701,2778,138,2908,0,3046,4.53,33562,2916,7866,10790,"6.1",8.7,37.7,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","175","10.5","7.6","10.7","%","%","%","%",150,59,116,356,353,13,13,4.2,2762,116,16,0,129,10,2,0,"64",0,5,"444",2668,"110",152,16,136,10.5
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6832,2297,4475,1,59,6758,1437,853,4,3,1246,1035,9,2290,18,81,293,273,256,343,400,302,205,116,10,"0 to 100","51",1822,127,178,163,117,1905,268,204,0,226,1,0,64,2297,1040,1248,2290,7,0,20414,7,22730,20421,2297,61,1433,0,1494,4.08,24224,2358,5908,8326,"5.8",9.7,34.5,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","52.9","3.3","33.1","14","%","%","%","%",35,20,64,204,227,9,10,2.8,2211,62,86,2,189,5,2,0,"56",0,7,"371",2283,"14",219,86,133,39.3
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12636,4251,8364,1,20,12582,4099,137,15,0,2290,1914,32,4236,40,148,648,601,668,754,570,381,247,123,71,"0 to 100","44",2244,664,412,916,406,2802,1028,691,2,311,3,0,79,4251,1923,2296,4236,15,0,38055,18,42364,38073,4251,105,1975,0,2080,5.05,44444,4356,10339,14716,"7.1",9.8,34.5,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","27.8","57.8","46.2","15.8","%","%","%","%",82,46,79,693,314,17,8,1.9,4214,79,37,0,314,32,2,0,"24",0,3,"471",4028,"223",210,37,173,17.6
