"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16766,222,249,2180,3172,2386,2353,2661,1954,936,586,67,"0 to 119",45,9597,7021,148,16476,290,0,348,15962,850,77,1978,14782,6,0,16470,1864,74,29,11,983,949,6,1938,14,48,672,475,205,212,163,120,43,24,2,"0 to 103","29",669,409,286,574,297,1017,624,187,7,100,5,0,12,1978,972,1000,1938,40,0,46779,250,49018,47029,1978,48,1402,0,1450,3.31,50468,2026,16184,18216,"6.9",4,12.1,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","17.2","2","9.3","30.5","%","%","%","%",73,10,12,194,105,10,6,0.6,1871,12,107,0,89,5,1,0,"6"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1009,33,20,120,150,143,161,160,113,75,32,2,"0 to 99",47,547,409,53,949,60,0,65,852,168,5,135,868,0,6,943,90,45,0,0,59,73,3,135,1,4,23,20,23,16,18,13,14,3,0,"1 to 97","43",97,25,5,8,3,115,17,28,0,20,0,0,4,135,73,59,135,0,0,2369,60,2564,2429,135,0,33,0,33,0,2597,135,901,1042,"3.8",5.2,13.4,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","100","14.3","150","99.6","%","%","%","%",1,3,4,28,20,21,15,3,127,4,8,0,8,2,1,0,"7"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,4041,47,51,355,580,576,655,722,498,309,192,56,"0 to 119",50,2254,1732,55,3985,56,0,241,3447,745,83,1030,3010,0,1,3984,888,102,35,2,535,452,3,990,14,20,173,233,180,164,127,72,33,10,1,"0 to 95","38",605,128,56,201,152,589,249,135,7,46,2,2,5,1027,474,550,990,37,0,9378,21,10449,9399,1027,16,753,0,769,2.08,11218,1043,3763,4810,"2.6",9.3,25.8,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","68.2","12.1","80.2","43.9","%","%","%","%",28,0,7,142,48,14,5,0.7,940,5,87,0,51,1,1,0,"14"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1543,23,31,131,201,182,230,298,191,147,103,6,"0 to 118",53,961,559,23,1541,2,0,43,1399,209,2,119,1423,0,1,1540,71,48,0,0,78,41,0,119,1,6,15,16,20,17,12,8,13,11,0,"1 to 107","46",84,31,3,1,6,110,3,22,0,15,0,0,2,119,41,78,119,0,0,2919,2,3042,2921,119,5,48,0,53,9.43,3095,124,1471,1596,"5.9",4,8,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","250","800","45.5","15.7","%","%","%","%",106,2,2,22,15,19,13,1.7,113,2,6,0,8,0,0,0,"2"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,21974,286,413,1623,2404,2470,3066,4696,4096,2173,597,150,"0 to 119",56,12338,9529,107,21951,23,0,663,20347,2085,118,3109,18860,0,5,21946,3013,74,14,3,1575,1500,12,3087,39,80,647,646,475,438,385,211,110,70,3,"0 to 99","37",1657,191,206,1033,472,1555,1060,356,4,173,3,0,27,3104,1507,1585,3087,17,0,54258,6,57384,54264,3104,72,2983,1,3056,2.36,60440,3176,21843,25030,"4.3",5.3,14.5,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","6.2","23.4","13.1","3.1","%","%","%","%",50,3,27,360,176,12,6,0.9,2985,26,119,1,176,20,3,0,"3"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,116036,2253,3054,9561,18029,18129,19880,20436,13645,7189,3651,209,"0 to 119",48,62570,51913,1553,114408,1628,0,4432,95699,20802,1117,26708,89256,17,55,114340,24631,1705,342,27,13356,12860,120,26336,478,1051,3812,5501,4704,4339,3545,1792,983,487,13,"0 to 119","40",10807,7398,1935,6196,8910,11617,5809,4589,78,2451,61,22,438,26705,13099,13485,26336,369,0,224613,1255,252730,225868,26705,1212,25784,4,27000,4.49,279730,27917,115040,143036,"7.5",10,24.1,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","45.4","25.7","95.5","52","%","%","%","%",423,157,460,4667,2512,18,10,1.7,25102,427,1603,11,2108,212,28,0,"220"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,623,8,8,53,65,89,88,109,90,74,39,0,"0 to 99",55,371,237,15,623,0,0,9,469,105,6,133,490,0,0,623,117,16,0,0,87,45,1,133,1,2,16,14,13,13,16,14,23,21,0,"1 to 99","60",94,14,8,17,10,102,21,20,0,12,0,0,7,133,45,87,133,0,0,1031,0,1167,1031,133,1,24,0,25,4,1192,134,514,648,"4.5",11.2,21.5,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","50","100","360","582.4","%","%","%","%",18,6,7,20,12,16,10,5.3,122,7,11,0,5,0,0,0,"6"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5988,69,59,317,517,585,836,1138,1123,772,563,9,"0 to 119",60,3482,2435,71,5968,20,0,292,5152,865,30,1050,4928,1,9,5958,872,172,3,1,568,463,13,1044,12,15,96,115,96,138,183,152,117,121,3,"0 to 101","58",791,75,22,156,72,788,184,148,1,164,1,0,78,1048,464,570,1044,4,0,13564,16,14636,13580,1048,47,1571,0,1618,2.9,16254,1095,6499,7606,"4.3",6.7,18.3,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","15.4","20.8","73.6","70.8","%","%","%","%",120,49,78,149,165,15,16,7.4,1004,77,44,1,39,2,0,0,"4"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4482,53,90,266,452,413,539,825,970,658,208,8,"0 to 222",60,2495,1811,176,4475,7,0,129,3678,533,34,500,3976,1,5,4470,328,172,0,0,245,252,3,500,6,15,62,73,55,70,104,62,34,19,0,"0 to 97","50",375,32,34,59,35,392,73,50,0,58,0,0,13,500,252,245,500,0,0,11429,6,11939,11435,500,24,847,0,871,2.76,12810,524,4823,5353,"3.7",4.1,11.7,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","33.3","4.5","18.4","26.8","%","%","%","%",5,1,13,50,58,10,12,2.6,469,13,31,0,31,1,0,0,"9"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,9166,136,242,787,1129,1294,1509,1579,1371,778,319,22,"0 to 101",51,5228,3821,117,9144,22,0,265,8273,837,64,1328,7831,1,6,9137,1235,89,4,0,709,611,4,1324,9,37,188,229,205,226,181,136,70,46,1,"0 to 100","44",582,228,98,416,110,761,453,190,0,117,0,0,35,1328,613,711,1324,4,0,19476,18,20834,19494,1328,37,1028,0,1065,3.47,21899,1365,8859,10231,"4.9",6.2,14.9,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","81.5","26.4","89","70","%","%","%","%",31,23,35,190,117,15,9,2.6,1254,34,74,1,64,5,1,0,"2"
