"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,23301,8570,14693,4,34,22932,8260,224,74,12,4647,3817,20,8484,128,317,3507,1426,876,812,698,477,209,115,5,"0 to 103","26",4019,1986,950,1529,1041,5628,1815,862,19,432,24,2,63,8570,3869,4680,8484,86,0,93150,248,101998,93398,8570,210,2798,0,3008,6.98,105006,8780,17491,26309,"10",8.4,37.7,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","46.2","26.5","28.3","36.6","%","%","%","%",49,20,65,881,456,11,6,0.8,8548,65,22,0,605,51,10,0,"165",0,8,"337",8240,"330",294,22,272,7.5,"600","6897","7497","8.0",32,483,515,"6.21"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2637,1532,1070,0,35,2543,1310,221,0,1,505,1026,0,1531,7,39,182,315,325,266,210,124,54,10,0,"0 to 97","41",809,206,50,466,17,950,564,109,0,72,0,0,13,1532,1026,506,1531,1,0,6665,58,8282,6723,1532,11,94,0,105,10.48,8387,1543,1164,2742,"9.9",18.4,58.5,"2020-09-27 05:00:00","2020-10-03 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","increased by","16.7","68.8","13.1","51.3","%","%","%","%",1,3,13,109,72,8,5,0.8,1523,13,9,0,77,4,0,1,"586",0,1,"42",1479,"53",32,9,23,28.1,"77","595","672","11.5",3,37,40,"7.5"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9410,6199,3191,1,19,9246,5932,143,122,2,3045,3002,28,6075,69,156,943,1149,1023,1034,883,558,287,96,1,"0 to 99","42",3496,623,851,1105,474,4114,1487,743,19,351,8,5,113,6199,3075,3096,6075,124,0,28945,30,35245,28975,6199,140,1454,0,1594,8.78,36839,6339,4645,11004,"6",17.2,67.4,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","37.5","7.4","36","29.6","%","%","%","%",25,24,118,762,359,13,6,1.9,6194,118,5,0,382,19,5,1,"444",0,9,"380",5399,"800",69,5,64,7.2,"370","2405","2775","13.3",16,84,100,"16"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2771,1151,1616,0,4,2764,856,294,1,0,555,595,0,1150,17,58,156,171,163,183,202,118,60,23,0,"0 to 107","45",763,274,53,60,34,1008,108,127,0,71,0,0,9,1151,596,555,1150,1,0,5868,2,7041,5870,1151,18,120,0,138,13.04,7179,1169,1736,2909,"10.8",16.3,42.2,"2020-09-27 05:00:00","2020-10-03 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","60","76.2","26.8","36.8","%","%","%","%",5,2,9,127,71,12,7,0.8,1151,9,0,0,114,6,1,0,"272",0,1,"60",1122,"29",14,0,14,0,"114","767","881","12.9",11,35,46,"23.91"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,28354,9399,18944,0,11,28305,9180,187,28,4,5048,4282,37,9367,98,337,1511,1460,1288,1313,1422,921,615,432,2,"0 to 105","45",5040,1101,799,2427,1052,5430,2885,1486,6,843,3,1,308,9399,4299,5063,9367,32,0,99733,14,109210,99747,9399,386,6854,2,7242,5.33,116452,9785,25798,35596,"6.2",8.4,34.5,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","12","10","18.8","16.6","%","%","%","%",75,176,309,1492,846,16,10,3.3,9373,306,26,3,658,64,9,0,"68",0,15,"1179",8611,"788",394,26,368,6.6,"658","7427","8085","8.1",65,477,542,"11.99"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,177765,78011,99609,29,116,175740,71902,5443,626,41,40351,36864,130,77345,1668,4301,11436,14853,13378,12614,10404,5274,2618,1433,33,"0 to 107","39",32563,20480,10865,13437,29409,35022,12914,10494,101,5900,77,26,1423,78012,37290,40590,77345,667,0,499935,1232,580062,501167,78012,5913,58161,22,64096,9.23,644158,83925,157770,241861,"12.7",13,47.2,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","3.2","4.9","5.8","3.2","%","%","%","%",288,385,1449,10595,5977,14,8,1.9,77934,1446,78,3,8092,595,91,0,"401",1,42,"3378",77035,"977",1361,78,1283,5.7,"8073","42669","50742","15.9",122,1499,1621,"7.53"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1313,630,682,0,1,1311,598,31,1,0,265,363,1,629,5,25,74,114,108,89,79,63,44,29,0,"0 to 99","44",415,94,43,77,27,504,98,60,1,33,1,0,13,630,364,265,629,1,0,4391,0,5031,4391,630,6,41,0,47,12.77,5078,636,723,1360,"9.4",12.5,48.4,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","1","50","87.5","48.5"," case","%","%","%",14,6,13,61,34,10,6,2.1,630,13,0,0,49,0,0,0,"179",0,2,"85",589,"41",5,0,5,0,"49","423","472","10.4",3,11,14,"21.43"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8123,3152,4963,1,7,8091,2869,275,7,1,1682,1452,10,3144,25,77,329,332,332,451,560,472,331,242,1,"0 to 101","55",2416,208,283,237,256,2539,349,409,1,395,1,0,140,3152,1454,1687,3144,8,0,31377,16,34584,31393,3152,206,3398,2,3606,5.71,38190,3358,8361,11729,"6.6",8.8,41.3,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","57.1","33.3","24.7","32.2","%","%","%","%",107,63,140,410,396,14,13,4.4,3149,140,3,0,152,9,1,0,"65",0,5,"536",2987,"165",107,3,104,2.8,"152","1604","1756","8.7",4,100,104,"3.85"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7790,2847,4894,2,47,7726,1871,967,4,4,1591,1243,4,2838,33,105,371,326,311,420,481,370,277,150,2,"0 to 100","51",2248,170,211,209,142,2379,317,271,0,295,1,1,110,2846,1249,1593,2838,8,0,24001,7,26865,24008,2846,100,1662,0,1762,5.68,28627,2946,6556,9552,"6.7",10.3,37.8,"2020-09-27 05:00:00","2020-10-03 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","26.1","33.3","21.7","22.3","%","%","%","%",69,36,111,271,296,10,11,3.9,2835,109,11,2,251,5,2,0,"61",0,8,"518",2795,"51",82,11,71,13.4,"251","1948","2199","11.4",7,115,122,"5.74"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,14048,5305,8713,2,28,13983,5116,171,17,0,2734,2503,50,5287,55,195,833,785,885,935,720,464,299,132,1,"0 to 100","43",3051,810,463,963,477,3702,1108,850,2,363,3,0,106,5304,2513,2741,5287,17,0,44576,18,49926,44594,5304,156,2273,0,2429,6.42,52355,5460,10986,16477,"7.9",10.4,38.9,"2020-09-27 05:00:00","2020-10-03 05:00:00","YES","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","3","25","20.3","16.5","%","%","%","%",77,52,106,852,366,17,7,2,5285,105,19,1,420,47,3,0,"245",0,6,"509",5005,"299",123,19,104,15.4,"419","4598","5017","8.4",30,304,334,"8.98"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,27134,12920,14165,3,46,26683,12346,448,110,16,6508,6243,43,12794,337,661,2171,2059,2127,2032,1619,954,623,334,3,"0 to 104","40",6483,785,1480,4046,5008,3721,4065,1482,25,926,15,7,228,12920,6316,6561,12794,126,0,68116,279,81418,68395,12920,1278,15737,4,17019,7.51,98437,14198,29902,44153,"12.1",14.4,52.3,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","9.5","6.4","4.2","7.3","%","%","%","%",32,95,235,1507,941,12,8,1.8,12909,235,11,0,1403,117,27,0,"85",0,12,"709",12068,"852",197,11,186,5.6,"1402","6100","7502","18.7",15,291,306,"4.9"
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,7017,3901,3111,0,5,6986,3498,390,10,3,1305,2581,2,3888,67,145,446,685,721,661,572,364,170,69,1,"0 to 102","43",2373,1168,161,186,242,3407,239,113,1,214,2,0,62,3901,2589,1310,3888,13,0,13916,13,17886,13929,3901,58,436,0,494,11.74,18380,3959,3547,7511,"10.9",21.5,56.4,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","NO","NO","increased by","decreased by","decreased by","decreased by","5.3","11.4","23.9","5.1","%","%","%","%",28,13,62,114,216,3,6,1.6,3895,60,6,2,279,3,3,9,"1613",0,8,"258",3638,"263",53,6,47,11.3,"279","1802","2081","13.4",11,42,53,"20.75"
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,310274,172399,137207,89,579,307489,169366,1859,1154,19,87186,83130,909,171225,2778,6455,22977,31391,28565,30848,24059,13396,7555,4088,286,"0 to 119","42",70208,15163,22191,63663,81751,23537,65937,15429,97,7848,42,20,3334,172398,83760,87660,171224,1173,1,760232,967,935600,761199,172398,16703,102309,36,119048,14.03,1054648,189101,239516,429322,"15.8",17.9,60.9,"2020-09-27 05:00:00","2020-10-03 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","3.9","13.8","12.4","14","%","%","%","%",695,784,3354,15526,7890,10,5,1.9,172205,3354,193,0,12768,1091,160,37,"2013",2,105,"5785",170423,"1975",2340,193,2147,8.2,"12673","56427","69100","18.3",328,2712,3040,"10.79"
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,3915,1582,2326,1,6,3895,1446,133,3,0,650,925,4,1579,44,133,224,302,296,234,186,100,46,17,0,"0 to 97","37",961,167,125,326,725,478,376,240,1,123,1,0,27,1582,926,652,1579,3,0,9740,10,11338,9750,1582,152,979,0,1131,13.44,12469,1734,3305,5046,"13.9",13.9,44.3,"2020-09-27 05:00:00","2020-10-03 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","33.3","33.3","46.2","147.7","%","%","%","%",7,0,27,241,124,16,8,1.7,1582,27,0,0,227,14,3,0,"248",0,2,"63",1574,"8",4,0,4,0,"227","1298","1525","14.9",1,21,22,"4.55"
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,1708,837,871,0,0,1707,761,75,1,0,303,533,0,836,7,37,86,135,176,130,127,87,43,9,0,"0 to 91","43",600,187,27,22,53,745,38,78,0,53,0,0,10,837,533,304,836,1,0,4543,0,5392,4543,837,8,57,0,65,12.31,5457,845,928,1773,"10.8",15.5,49.5,"2020-09-27 05:00:00","2020-10-03 05:00:00","YES","YES","YES","YES","did not change","did not change","decreased by","decreased by","","","55.6","49.8","","","%","%",0,0,10,78,53,10,7,1.2,835,9,2,1,62,2,1,3,"346",0,3,"30",822,"15",8,2,6,25,"62","500","562","11.0",0,12,12,"0"
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,78731,31054,47423,15,239,77598,28637,2066,330,23,16295,14072,336,30703,501,1371,5015,6704,4902,4601,3834,2281,1170,657,20,"0 to 103","38",8980,9974,3665,8084,2531,17683,10489,2135,44,1131,23,17,432,31056,14249,16460,30703,353,0,251105,546,282981,251651,31056,1656,14051,3,15710,10.54,298691,32712,61474,94441,"10.2",11,41.5,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","5.6","22.7","5.3","2.9","%","%","%","%",350,158,449,2179,1154,8,4,1.4,30985,446,71,3,2588,127,25,0,"182",1,55,"2008",29914,"1142",825,71,754,8.6,"2571","23696","26267","9.8",98,1513,1611,"6.08"
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,28662,12494,16161,1,6,24979,11254,94,1146,0,5774,5478,96,11348,167,463,2149,2374,1871,1628,1636,1130,699,364,13,"0 to 105","39",4520,2528,1310,2990,397,7524,3427,1321,19,832,15,15,243,12494,5982,6416,11348,1146,0,79748,2624,94925,82372,12494,257,2184,0,2441,10.53,97366,12751,18345,31103,"10",13.1,44.5,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","16.7","20.4","13.6","23","%","%","%","%",61,106,258,1340,847,11,7,2.1,12478,258,16,0,944,72,28,3,"893",0,15,"1128",12395,"99",172,16,156,9.3,"893","7420","8313","10.7",21,249,270,"7.78"
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,5942,1793,4139,0,10,5889,1628,151,14,0,974,801,4,1779,28,101,226,225,222,259,281,249,155,46,1,"0 to 96","49",1049,256,334,140,241,1361,177,231,5,151,3,1,29,1793,807,982,1779,14,0,19215,29,21055,19244,1793,90,1725,1,1816,4.96,22871,1883,5864,7758,"7.2",8.2,31.7,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","35.3","41.7","25.6","30.5","%","%","%","%",5,3,30,236,154,14,9,1.7,1787,29,6,1,177,14,2,0,"10",0,6,"142",1651,"142",77,6,71,7.8,"175","1215","1390","12.6",7,78,85,"8.24"
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,1426,647,772,0,7,1412,632,11,4,0,171,472,0,643,6,31,75,154,118,101,102,37,21,2,0,"0 to 85","39",394,226,12,11,48,530,65,20,0,9,0,0,4,647,473,174,643,4,0,4431,3,5093,4434,647,9,561,0,570,1.58,5663,656,1333,1996,"17",11.6,46,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","NO","NO","did not change","did not change","increased by","decreased by","","","61.1","12.2","","","%","%",0,0,4,20,9,4,2,0.6,643,4,4,0,60,0,1,0,"348",0,1,"4",635,"12",10,4,6,40,"59","553","612","9.6",12,34,46,"26.09"
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,5678,2907,2766,1,4,5651,2830,68,9,0,1409,1487,2,2898,68,178,399,467,553,518,394,207,88,34,1,"0 to 98","40",857,1196,543,302,550,1901,447,422,0,223,0,0,47,2907,1489,1416,2897,9,1,14158,16,17123,14174,2907,31,227,0,258,12.02,17381,2938,2993,5936,"12.9",16.9,51.7,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","45.5","35","10.4","38","%","%","%","%",1,7,47,422,223,15,8,1.6,2894,47,13,0,335,20,3,0,"316",0,1,"87",2839,"68",32,13,19,40.6,"335","1847","2182","15.4",18,53,71,"25.35"
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,1310,520,788,1,1,1308,473,47,0,0,271,248,1,520,11,28,74,96,62,71,63,36,36,43,0,"0 to 106","42",430,31,29,30,79,407,34,72,0,39,0,0,16,520,248,271,520,0,0,4246,0,4775,4246,520,7,106,0,113,6.19,4888,527,894,1423,"8.1",10.8,40.2,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","1","50","27.3","33.7"," case","%","%","%",0,9,16,72,39,14,8,3.1,520,14,0,2,56,7,1,0,"54",0,4,"73",513,"7",8,0,8,0,"56","553","609","9.2",4,14,18,"22.22"
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,777,549,228,0,0,777,543,6,0,0,174,375,0,549,8,22,61,133,136,85,61,20,20,3,0,"0 to 89","38",401,92,33,23,218,303,28,66,0,48,0,0,5,549,375,174,549,0,0,971,0,1521,971,549,4,25,0,29,13.79,1550,553,253,806,"6",35.7,71.2,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","NO","NO","increased by","decreased by","decreased by","decreased by","33.3","55.6","71","20.9","%","%","%","%",0,0,5,66,48,13,9,0.9,549,4,0,1,43,1,0,0,"282",0,1,"5",547,"2",0,0,0,NA,"43","120","163","26.4",1,4,5,"20"
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,1715,888,821,0,6,1646,874,4,10,0,351,527,0,878,20,46,82,144,127,163,175,93,27,11,0,"0 to 94","46",577,266,16,19,41,789,48,125,3,53,2,0,14,888,534,354,878,10,0,4916,55,5865,4971,888,3,105,0,108,2.78,5973,891,926,1823,"11.4",14.9,52,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","NO","YES","did not change","decreased by","increased by","increased by","","50","22.2","11","","%","%","%",2,1,14,128,55,15,7,1.6,886,14,2,0,83,2,0,0,"289",0,0,"14",866,"22",6,2,4,33.3,"83","536","619","13.4",1,12,13,"7.69"
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,2543,865,1677,0,1,2533,725,134,4,2,293,566,0,859,28,52,107,170,151,146,121,58,22,10,0,"0 to 91","40",374,420,55,10,112,618,129,100,1,32,0,0,8,865,569,296,859,6,0,4703,3,5573,4706,865,7,67,0,74,9.46,5647,872,1744,2617,"18.3",15.4,34.3,"2020-09-27 05:00:00","2020-10-03 05:00:00","NO","NO","YES","YES","increased by","increased by","decreased by","decreased by","50","33.3","34.8","19.9","%","%","%","%",0,0,8,101,32,12,4,0.9,865,8,0,0,107,9,0,0,"367",0,0,"27",846,"19",2,0,2,0,"106","516","622","17.0",0,5,5,"0"
