"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,17293,233,273,2301,3290,2470,2417,2713,1985,949,595,67,"0 to 119",45,9873,7276,144,17003,290,0,494,16182,1116,86,2531,14754,6,2,16995,2411,79,30,11,1276,1210,4,2490,22,72,798,595,290,281,226,154,60,31,2,"0 to 103","30",887,608,345,650,370,1396,724,204,8,111,9,1,12,2531,1235,1292,2490,41,0,53085,247,55881,53332,2531,55,1677,0,1732,3.18,57613,2586,16431,19025,"7.2",4.5,15,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","18.9","21.7","13.5","8.1","%","%","%","%",45,10,13,212,120,9,5,0.5,2465,12,66,0,133,7,1,0,"20",0,1
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1103,36,24,133,171,160,177,176,114,77,33,2,"0 to 99",46,618,454,31,1043,60,0,86,853,249,7,220,875,0,8,1035,150,69,1,0,106,110,3,219,3,8,34,37,37,34,33,14,16,4,0,"1 to 97","42",148,43,15,13,5,193,21,33,0,24,0,0,4,220,111,106,219,1,0,3251,58,3529,3309,220,0,50,0,50,0,3579,220,925,1153,"4.1",6.1,19.9,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","decreased by","4","37.5","20.8","65.6"," cases","%","%","%",1,3,4,33,24,15,11,1.8,215,4,5,0,16,2,1,0,"13",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,4865,59,69,507,727,715,811,838,554,331,198,56,"0 to 119",49,2699,2113,53,4794,71,0,322,4050,1104,101,1852,3011,0,2,4792,1682,118,50,2,976,821,3,1800,25,37,327,378,321,315,244,129,56,19,1,"0 to 96","39",1044,211,98,447,181,1128,491,169,8,60,3,3,8,1852,852,997,1800,52,0,15764,23,17663,15787,1852,17,907,0,924,1.84,18587,1869,3918,5789,"3.2",10.1,38.4,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","8.1","1.7","56.2","0.7","%","%","%","%",27,0,11,177,63,10,4,0.6,1737,8,115,0,106,2,1,0,"31",0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1612,26,34,150,208,193,240,303,195,154,103,6,"0 to 118",52,1009,580,23,1610,2,0,68,1386,270,2,185,1426,0,1,1609,118,67,0,0,112,73,0,185,4,8,31,22,30,30,16,11,21,12,0,"0 to 107","44",125,48,6,6,6,172,7,29,0,20,0,0,2,185,73,112,185,0,0,3241,2,3431,3243,185,7,68,0,75,9.33,3506,192,1494,1687,"6.3",5.5,11.9,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","did not change","increased by","increased by","14.3","","225","46.9","%","","%","%",4,2,2,29,20,16,11,1.1,180,2,5,0,17,0,0,0,"7",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,22921,298,431,1771,2562,2601,3206,4834,4187,2237,647,147,"0 to 119",56,12866,9947,108,22897,24,0,945,20695,3049,129,4060,18856,0,5,22892,3957,85,15,3,2107,1920,15,4042,44,98,800,810,605,577,523,306,173,123,1,"0 to 101","39",2105,336,318,1283,583,2087,1372,546,4,275,3,0,49,4060,1927,2118,4042,18,0,61812,6,65920,61818,4060,92,3833,1,3926,2.34,69846,4152,22689,26847,"4.7",5.9,18.1,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","39.4","18.2","3.5","1","%","%","%","%",208,4,49,550,278,14,7,1.2,3945,46,115,3,226,24,4,0,"3",0,21
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,128199,2861,3868,11379,20343,20256,21733,21954,14357,7476,3761,211,"0 to 119",47,68915,57690,1594,126524,1675,0,5336,103320,24786,1153,38131,89939,23,106,126398,35769,1943,391,28,19254,18238,220,37712,764,1684,5541,7756,6758,6187,5030,2492,1289,615,15,"0 to 119","39",13844,10063,2624,11181,12113,14899,10700,5242,83,2725,65,23,488,38131,18507,19399,37712,419,0,269409,1238,309091,270647,38131,1462,32983,7,34452,4.24,343543,39593,122922,162651,"8.5",11.5,30.9,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","12.3","0.5","34.4","3.7","%","%","%","%",520,169,511,5325,2790,14,8,1.3,36913,477,1218,11,3372,268,34,0,"238",0,33
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,713,10,15,64,74,107,102,123,102,76,40,0,"0 to 99",53,423,275,15,713,0,0,21,467,177,9,199,511,0,3,710,183,16,0,0,127,72,0,199,1,6,24,24,20,23,28,25,25,23,0,"1 to 99","55",154,16,16,13,12,167,20,29,0,20,0,0,7,199,72,127,199,0,0,1380,0,1586,1380,199,0,26,0,26,0,1612,199,537,739,"5.1",12.3,27.9,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","did not change","increased by","increased by","200","","250","39.6","%","","%","%",15,6,7,29,20,15,11,3.5,201,7,-2,0,12,0,0,0,"6",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6333,75,65,362,559,624,894,1201,1180,794,570,9,"0 to 119",59,3661,2593,79,6311,22,0,379,5281,1048,31,1382,4945,1,5,6305,1189,187,5,1,725,627,24,1376,13,21,141,157,134,196,242,205,141,130,2,"0 to 101","55",989,86,51,250,95,992,289,172,1,185,1,0,80,1382,628,729,1376,6,0,17209,16,18617,17225,1382,58,1907,0,1965,2.95,20582,1440,6852,8298,"4.7",7,22.7,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","decreased by","decreased by","109.1","22","11.7","50.5","%","%","%","%",126,50,80,173,186,13,14,5.8,1342,80,40,0,52,2,0,0,"4",0,2
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4863,73,103,324,506,461,594,889,1014,680,211,8,"0 to 222",59,2737,1962,164,4854,9,0,195,3749,736,38,766,4089,1,7,4847,481,283,2,0,394,367,3,764,7,22,102,109,90,108,149,99,58,22,0,"0 to 97","50",574,47,51,92,48,597,119,60,0,80,0,0,17,766,368,395,764,2,0,13239,6,14019,13245,766,29,1044,0,1073,2.7,15092,795,5133,5936,"4.1",5.3,16.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","30.6","14.3","56.6","13.2","%","%","%","%",19,1,17,60,80,8,11,2.2,737,17,29,0,45,1,0,0,"12",0,3
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,9921,189,284,927,1235,1401,1624,1673,1426,809,331,22,"0 to 101",50,5664,4138,119,9896,25,0,451,8418,1364,86,1980,7931,1,9,9886,1866,107,7,0,1077,887,9,1973,17,69,314,328,301,333,269,188,103,57,1,"0 to 100","43",878,334,139,622,178,1113,682,271,0,144,0,0,42,1980,890,1081,1973,7,0,23903,18,25914,23921,1980,48,1332,0,1380,3.48,27294,2028,9263,11301,"5.5",7.4,20.4,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","26","29.6","53.6","0.9","%","%","%","%",70,24,42,271,144,14,8,2.1,1900,42,80,0,129,10,1,0,"6",0,6
