"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,5908,2024,3873,0,11,5824,1820,193,11,0,1081,931,1,2013,34,88,224,338,268,299,302,207,174,90,0,"0 to 99","47",1190,304,314,205,553,1164,296,409,3,215,3,0,80,2024,939,1084,2013,11,0,17966,62,20062,18028,2024,61,595,0,656,9.3,20718,2085,4468,6564,"6.4",10.1,35.3,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","NO","YES","decreased by","did not change","increased by","increased by","20","","3.5","15.4","%","","%","%",13,22,80,412,218,21,11,4,2018,79,6,1,157,15,2,3,"61",0,11,"341",2022,"2",35,6,29,17.1
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,90255,39888,50013,22,332,89370,39022,672,189,5,21065,18276,353,39694,867,1865,6879,8079,6351,6026,4531,2507,1422,818,543,"0 to 104","37",13967,5164,5735,14828,10193,12290,17211,3267,23,1778,16,5,596,39888,18362,21169,39694,194,0,257955,347,298724,258302,39888,1895,23021,0,24916,7.61,323640,41783,73034,115171,"8.4",12.9,46.3,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","53.2","15.1","26.2","8.6","%","%","%","%",449,281,601,3290,1794,9,5,1.5,39751,596,137,5,3707,225,30,0,"71",1,28,"2422",39241,"647",1068,137,931,12.8
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,1603,711,890,0,2,1579,594,104,10,3,306,392,0,698,15,29,93,131,122,119,87,68,29,18,0,"0 to 101","41",510,85,50,53,31,566,101,47,0,27,0,0,5,711,396,315,698,13,0,4469,9,5199,4478,711,6,103,0,109,5.5,5308,717,993,1712,"8.8",13.5,44.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","75","50","72.6","43.6","%","%","%","%",7,2,5,47,27,7,4,0.7,711,5,0,0,70,2,0,1,"189",0,0,"51",680,"31",6,0,6,0
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,9015,3011,5944,0,60,8880,2972,19,18,2,1632,1345,14,2991,54,162,466,448,397,422,377,278,225,182,0,"0 to 101","44",1541,376,333,741,647,1452,892,494,7,278,3,0,108,3011,1358,1639,2991,20,0,30422,55,33506,30477,3011,127,2521,0,2648,4.8,36154,3138,8465,11663,"7.7",8.7,34.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","80","38.5","11.1","40.6","%","%","%","%",38,53,108,501,281,17,10,3.6,3000,107,11,1,314,19,2,0,"6",0,4,"428",2999,"12",188,11,177,5.9
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,5529,2644,2863,0,22,5469,2555,66,22,1,874,1742,5,2621,28,77,283,537,491,453,351,195,138,91,0,"0 to 100","42",1157,500,122,842,109,1189,1323,187,3,133,1,0,74,2644,1753,886,2621,23,0,13468,16,16140,13484,2644,46,245,0,291,15.81,16431,2690,3108,5820,"12",16.4,48.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","NO","did not change","decreased by","decreased by","increased by","","20","4.9","39.7","","%","%","%",17,57,74,190,134,8,6,2.8,2632,73,12,1,163,8,0,7,"1064",0,4,"395",2592,"52",45,12,33,26.7
11,33,65,"JEFFERSON","Jefferson","Jefferson","Jefferson County","FL",14105,1167,536,629,1,1,1153,468,58,10,0,155,371,0,526,6,12,53,96,86,97,104,54,18,10,0,"0 to 95","46",203,283,32,8,26,463,37,53,2,33,0,0,8,536,377,159,526,10,0,3105,2,3658,3107,536,7,107,0,114,6.14,3772,543,736,1281,"9.1",14.4,46.5,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","1","77.8","16.7","11.2"," case","%","%","%",5,4,8,55,33,11,7,1.5,534,8,2,0,32,1,2,0,"274",0,1,"39",530,"6",7,2,5,28.6
37,34,67,"LAFAYETTE","Lafayette","Lafayette","Lafayette County","FL",8744,1545,1227,315,0,3,1542,1181,46,0,0,172,1055,0,1227,7,11,105,390,322,170,120,61,25,16,0,"1 to 98","37",822,349,39,17,149,994,84,42,0,20,0,0,11,1227,1055,172,1227,0,0,1413,0,2652,1413,1227,4,19,0,23,17.39,2675,1231,334,1568,"17.9",46,79.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","YES","NO","did not change","decreased by","decreased by","increased by","","9.1","20","77","","%","%","%",14,7,11,42,20,4,2,0.9,1222,10,5,1,22,1,0,1,"757",0,1,"80",1208,"19",12,5,7,41.7
27,35,69,"LAKE","Lake","Lake","Lake County","FL",335362,22103,7137,14766,5,195,21734,7013,73,50,1,3661,3289,136,7086,131,284,1055,1186,1085,1085,958,688,427,200,38,"0 to 103","43",2641,900,1479,2066,1179,3391,2516,792,14,508,7,2,158,7137,3318,3680,7086,51,0,73617,123,80980,73740,7137,291,6333,0,6624,4.39,87604,7428,21099,28727,"8.6",8.5,33.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","19.2","28.6","34.2","25.9","%","%","%","%",135,62,160,806,515,12,8,2.2,7092,158,45,2,589,27,6,1,"219",0,27,"536",6903,"234",-428,45,-473,-10.5
46,36,71,"LEE","Lee","Lee","Lee County","FL",718679,43839,19617,24185,2,35,42630,18357,954,297,9,10163,9034,114,19311,350,699,3031,3502,3137,3076,2544,1624,972,636,46,"0 to 103","42",8730,1909,1083,7589,4472,6812,8027,2544,25,1438,21,9,453,19617,9195,10304,19310,306,1,116831,916,137470,117747,19617,849,10366,1,11216,7.57,148686,20466,34551,55055,"7.7",13.8,46.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","14.8","18.2","27.7","30.6","%","%","%","%",341,225,462,2569,1459,14,8,2.4,19566,460,51,2,1510,128,18,0,"100",1,11,"1575",19190,"427",453,51,402,11.3
10,37,73,"LEON","Leon","Leon","Leon County","FL",288102,22207,9395,12782,5,25,21692,9044,68,278,5,5091,3978,43,9112,152,313,4396,1396,943,815,718,348,165,119,30,"0 to 105","24",3199,2373,1282,2258,719,4669,3724,552,21,206,11,8,46,9395,4103,5248,9111,283,1,72706,212,82453,72918,9395,162,2850,0,3012,5.38,85465,9557,15632,25219,"8.8",11.2,43,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","NO","decreased by","increased by","decreased by","decreased by","9.1","2.3","18.2","28.8","%","%","%","%",124,14,54,573,217,7,3,0.6,9271,54,124,0,675,36,4,0,"184",0,6,"345",8604,"791",445,124,321,27.9
