"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,600,7,12,37,49,50,72,139,138,78,18,0,"0 to 95",60,351,248,1,594,6,0,11,506,71,13,77,522,0,1,593,71,3,3,0,44,30,0,74,0,3,8,12,7,8,20,12,5,2,0,"7 to 85","55",43,17,1,13,2,58,14,7,0,3,0,0,0,77,30,47,74,3,0,2102,3,2183,2105,77,1,466,0,467,0.21,2650,78,988,1067,"9.1",2.9,13,"2020-07-12 05:00:00","2020-07-18 05:00:00","YES","YES","NO","YES","did not change","did not change","increased by","decreased by","","","27.8","35.4","","","%","%",0,0,0,7,3,10,4,0,56,0,21,0,7,0,0,0,"0",0,0
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,3473,71,145,306,579,595,593,517,412,163,89,3,"0 to 119",45,2318,1137,18,3453,19,1,88,2950,592,24,854,2617,1,1,3452,819,29,6,0,515,325,8,848,19,54,111,158,170,141,91,56,35,18,1,"0 to 98","39",247,311,59,231,132,437,279,134,0,81,0,0,10,854,325,521,847,6,1,7457,13,8348,7470,854,9,125,0,134,6.72,8482,863,2742,3607,"7.8",10.2,24.8,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","87.5","26.3","75.4","7.2","%","%","%","%",8,4,10,134,81,16,10,1.2,808,10,46,0,99,5,1,0,"115",3,2
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,935,31,31,110,123,130,139,135,112,84,40,0,"0 to 118",48,525,401,9,935,0,0,29,717,241,4,230,705,0,0,935,204,26,0,0,101,128,1,230,10,12,34,37,36,36,30,17,15,3,0,"0 to 94","40",152,17,19,42,36,145,49,14,0,4,0,0,0,230,128,101,230,0,0,2756,0,2990,2756,230,3,69,0,72,4.17,3062,233,774,1007,"5.7",7.6,24.9,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","50","60","290.5","157.7","%","%","%","%",3,0,0,14,4,7,2,0,217,0,13,0,32,1,0,0,"37",0,0
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,464,11,16,56,96,99,64,50,37,27,7,1,"0 to 90",39,193,270,1,464,0,0,53,254,274,0,286,178,0,0,464,284,2,0,0,92,194,0,286,5,5,39,73,75,45,30,10,2,2,0,"0 to 89","38",203,58,13,12,135,131,20,34,0,22,0,0,1,286,194,92,286,0,0,639,0,926,639,286,2,17,0,19,10.53,945,288,195,483,"3.6",30.5,62.1,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","YES","NO","NO","decreased by","decreased by","increased by","increased by","100","75","690","187.3","%","%","%","%",0,0,1,34,22,12,8,0.3,281,1,5,0,15,1,0,0,"175",0,0
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,825,19,34,74,91,88,146,150,135,68,20,0,"0 to 94",52,468,354,3,764,61,0,35,631,152,18,178,647,0,0,764,168,3,7,0,92,79,0,171,2,11,29,27,28,42,20,16,2,1,0,"1 to 89","42",87,43,3,38,12,119,40,32,2,8,2,0,0,178,85,93,171,7,0,2613,54,2849,2667,178,0,66,0,66,0,2915,178,713,891,"5.5",6.1,21.6,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","100","25","38.9","21.8","%","%","%","%",0,0,0,34,10,20,6,0,141,0,37,0,20,0,0,0,"3",-1,0
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,2197,32,51,205,573,438,343,255,180,74,43,3,"0 to 118",40,570,1607,20,2191,6,0,59,1912,499,11,516,1680,0,1,2190,481,32,2,1,183,330,0,513,21,34,75,124,89,79,59,25,8,2,0,"0 to 86","35",204,262,35,12,82,274,157,70,1,18,0,0,2,516,332,184,513,3,0,3049,3,3570,3052,516,1,44,0,45,2.22,3615,517,1724,2242,"15.7",14.3,23.5,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","133.3","10","88.6","62.8","%","%","%","%",0,0,2,71,18,14,4,0.4,509,2,7,0,77,9,0,0,"223",0,0
23,25,49,"HARDEE","Hardee","Hardee","Hardee County","FL",27228,1669,58,154,259,309,217,214,197,155,77,29,0,"0 to 94",37,905,740,24,1661,8,0,71,696,888,15,710,958,1,0,1660,472,232,5,1,362,338,4,704,23,77,129,147,103,91,62,50,21,7,0,"0 to 93","33",528,72,75,29,487,189,28,107,3,60,3,1,4,710,342,364,704,6,0,3067,2,3782,3069,710,7,51,0,58,12.07,3840,717,1009,1727,"6.3",18.7,43,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","decreased by","36.4","33.3","8.3","8.5","%","%","%","%",5,1,5,110,63,16,9,0.7,706,5,4,0,129,9,0,0,"2",0,0
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,3283,124,163,467,602,524,472,416,238,157,112,8,"0 to 104",40,1622,1647,14,3281,2,0,320,1752,1325,13,1389,1893,0,1,3280,1344,45,0,0,602,783,4,1389,39,72,228,299,251,214,141,75,44,25,1,"0 to 101","37",1112,153,41,83,952,373,64,223,0,122,0,0,30,1389,783,602,1389,0,0,5539,2,6941,5541,1389,12,123,0,135,8.89,7076,1401,2016,3418,"8.5",19.8,42.7,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","41.7","36","48.6","2.6","%","%","%","%",19,18,30,223,122,17,9,2.2,1355,30,34,0,148,8,0,0,"61",0,1
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,5032,86,105,485,684,621,735,858,669,492,293,4,"0 to 102",52,2989,2028,15,5006,26,0,390,3819,1318,55,1207,3825,0,0,5006,978,217,11,1,632,563,0,1195,14,41,196,210,167,187,168,112,76,36,0,"0 to 100","43",829,103,93,170,176,727,292,228,2,126,2,1,14,1207,567,640,1195,12,0,13719,14,14944,13733,1207,25,1186,0,1211,2.06,16155,1232,5011,6243,"3.4",7.6,24.5,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","decreased by","13.7","19.5","2.2","2.5","%","%","%","%",15,3,15,230,128,20,11,1.2,1179,14,28,1,77,4,0,0,"15",-10,6
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,4437,84,88,257,501,421,533,697,779,683,374,20,"0 to 119",60,2628,1774,35,4371,66,0,140,3765,623,37,778,3653,0,6,4365,694,81,3,0,404,370,1,775,17,25,87,127,103,117,130,81,71,20,0,"0 to 95","48",421,142,121,91,230,412,133,184,2,117,1,0,15,778,373,404,775,3,0,11665,63,12518,11728,778,21,415,0,436,4.82,12954,799,4068,4873,"4.8",6.2,18,"2020-07-12 05:00:00","2020-07-18 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","6.9","33","87.9","43","%","%","%","%",32,0,15,186,118,24,16,1.9,765,15,13,0,51,4,0,0,"20",1,2
