"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,71565,24731,46628,12,194,70573,22732,1741,236,22,12890,11348,235,24473,358,1027,3936,5607,4064,3653,2969,1774,828,479,36,"0 to 103","38",6219,8133,2541,7580,2002,12499,9972,1468,31,779,17,8,222,24731,11486,13007,24473,258,0,195829,553,221331,196382,24731,1102,11831,2,12935,8.52,234266,25833,58459,84500,"9.1",11,36.1,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","23.5","40.1","32.7","18.7","%","%","%","%",577,87,230,1499,796,7,4,0.9,24629,230,102,0,1936,65,14,0,"126",0,34,"1024",24427,"304"
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,26542,10317,16215,1,9,23053,9291,92,934,0,4713,4565,105,9383,127,382,1784,2013,1591,1368,1307,875,549,298,23,"0 to 105","39",3556,2245,780,2802,330,5875,3178,1033,10,622,8,10,152,10317,4965,5247,9383,934,0,63289,2647,76306,65936,10317,123,1673,0,1796,6.85,78102,10440,17888,28338,"9.1",13.4,39.3,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","7.9","10.8","54.3","35.5","%","%","%","%",259,76,162,1043,630,11,7,1.6,10265,162,52,0,780,54,14,0,"843",0,34,"943",10309,"8"
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,5099,1163,3929,0,7,5051,1022,130,11,0,636,512,4,1152,18,52,159,165,150,185,183,149,79,22,1,"0 to 94","47",648,177,234,93,180,851,121,157,5,94,3,1,14,1163,518,641,1152,11,0,14793,30,16005,14823,1163,59,1510,0,1569,3.76,17574,1222,5439,6668,"6.2",7,24,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","31.2","21.1","37.9","21.5","%","%","%","%",5,1,15,162,97,14,9,1.3,1160,15,3,0,97,8,1,0,"9",0,1,"71",1137,"26"
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,1044,472,570,0,2,1036,460,9,3,0,90,379,0,469,0,13,40,131,102,71,74,29,10,2,0,"6 to 85","39",263,196,3,7,40,371,58,14,0,6,0,0,3,472,380,92,469,3,0,3667,3,4147,3670,472,7,543,0,550,1.27,4697,479,1113,1594,"13.6",10.2,45.9,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","NO","NO","NO","did not change","increased by","decreased by","decreased by","","100","81.7","34","","%","%","%",0,0,3,14,6,3,2,0.6,473,3,-1,0,20,0,0,0,"317",0,1,"4",470,"2"
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,4678,2046,2624,1,7,4649,1987,51,8,0,1013,994,31,2038,50,122,266,357,396,358,246,137,66,30,18,"0 to 105","40",543,749,297,449,360,1052,626,282,0,149,0,0,28,2046,995,1020,2037,8,1,11619,16,13726,11635,2046,19,182,0,201,9.45,13927,2065,2806,4879,"10.6",14.8,44.1,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","YES","NO","increased by","decreased by","decreased by","decreased by","200","21.1","51.9","32.2","%","%","%","%",3,7,28,282,149,14,8,1.4,2037,28,9,0,234,10,1,0,"277",0,7,"69",2001,"45"
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,1174,405,766,0,3,1171,373,32,0,0,213,191,1,405,9,16,61,66,46,52,52,28,35,40,0,"0 to 106","45",330,27,20,28,56,316,33,45,0,25,0,0,7,405,191,213,405,0,0,3447,0,3860,3447,405,5,79,0,84,5.95,3944,410,845,1258,"7.1",10.4,34.9,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","NO","YES","YES","decreased by","increased by","decreased by","decreased by","80","66.7","18.2","1.1","%","%","%","%",9,4,7,45,25,12,7,1.7,402,7,3,0,44,6,0,0,"43",0,2,"71",401,"4"
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,610,422,188,0,0,610,420,2,0,0,118,304,0,422,6,11,46,102,122,68,50,10,5,2,0,"0 to 89","38",306,79,23,14,181,219,22,46,0,30,0,0,3,422,304,118,422,0,0,758,0,1181,758,422,2,23,0,25,8,1206,424,211,635,"4.8",35.2,69.5,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","NO","decreased by","decreased by","increased by","increased by","100","100","77.8","45.7","%","%","%","%",0,0,3,46,30,11,8,0.7,421,3,1,0,29,2,0,0,"270",0,0,"5",422,"0"
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,1512,756,754,0,2,1447,742,4,10,0,283,463,0,746,12,42,70,122,111,134,159,73,23,10,0,"0 to 94","46",461,252,16,17,40,662,44,110,3,44,2,0,4,756,470,286,746,10,0,4347,55,5164,4402,756,1,87,0,88,1.14,5252,757,841,1600,"10",14.4,50.1,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","NO","NO","increased by","decreased by","decreased by","increased by","50","12.5","65.1","7.4","%","%","%","%",2,0,4,113,46,15,7,0.5,743,4,13,0,65,2,0,0,"267",0,2,"12",742,"14"
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,2306,635,1670,0,1,2297,534,96,4,1,238,392,0,630,24,43,97,136,102,99,75,39,14,6,0,"0 to 90","37",278,300,44,8,92,383,155,82,1,23,0,0,4,635,395,240,630,5,0,4428,3,5068,4431,635,2,56,0,58,3.45,5126,637,1726,2364,"16.6",12.4,27.6,"2020-08-09 05:00:00","2020-08-15 05:00:00","NO","YES","NO","NO","increased by","decreased by","decreased by","decreased by","200","33.3","48.5","87","%","%","%","%",0,0,4,83,23,14,4,0.6,635,4,0,0,90,9,0,0,"237",0,0,"21",628,"7"
23,25,49,"HARDEE","Hardee","Hardee","Hardee County","FL",27228,2091,1012,1075,1,3,2078,729,276,6,1,469,531,5,1005,26,86,180,195,154,155,109,70,29,8,0,"0 to 93","36",737,91,116,61,627,309,69,142,3,106,3,1,8,1012,536,471,1005,7,0,5453,2,6485,5455,1012,14,84,0,98,14.29,6583,1026,1159,2189,"8",15.6,49.1,"2020-08-09 05:00:00","2020-08-15 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","50","33.3","56","8.8","%","%","%","%",3,2,9,145,109,15,11,0.9,1011,9,1,0,158,11,0,0,"91",0,1,"45",1012,"0"
