"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,23222,8494,14690,4,34,22854,8187,222,73,12,4611,3776,22,8409,127,308,3469,1416,869,808,695,473,209,115,5,"0 to 103","26",3917,1968,929,1595,1015,5513,1881,855,19,431,24,2,63,8494,3827,4644,8409,85,0,92428,248,101200,92676,8494,210,2798,0,3008,6.98,104208,8704,17488,26230,"10",8.4,37.5,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","56","18.2","47.4","34.1","%","%","%","%",49,20,65,874,455,11,6,0.8,8439,63,55,2,593,51,10,0,"165",0,9,"336",8164,"330",542,55,487,10.1,"589","6793","7382","8.0",36,500,536,"6.72"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2617,1517,1065,0,35,2523,1297,219,0,1,498,1018,0,1516,6,39,180,312,322,263,208,123,54,10,0,"0 to 97","41",798,206,49,463,17,941,558,109,0,72,0,0,13,1517,1018,499,1516,1,0,6607,58,8209,6665,1517,11,94,0,105,10.48,8314,1528,1159,2722,"9.8",18.4,58.4,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","NO","decreased by","increased by","decreased by","decreased by","25","36.8","27.9","47.3","%","%","%","%",0,3,13,109,72,8,5,0.9,1508,13,9,0,76,4,0,1,"586",0,1,"41",1463,"54",33,9,24,27.3,"76","587","663","11.5",2,41,43,"4.65"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9389,6183,3186,1,19,9230,5921,143,117,2,3042,2995,27,6064,69,155,941,1146,1019,1032,881,556,287,96,1,"0 to 99","42",3486,622,849,1107,472,4104,1488,743,19,351,8,5,113,6183,3066,3090,6064,119,0,28783,30,35067,28813,6183,140,1454,0,1594,8.78,36661,6323,4640,10983,"6",17.2,67.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","decreased by","33.3","28.6","23.6","7.7","%","%","%","%",28,24,118,762,359,13,6,1.9,6161,116,22,2,380,19,5,1,"444",0,9,"381",5387,"796",165,22,143,13.3,"368","2392","2760","13.3",17,84,101,"16.83"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2766,1148,1614,0,4,2759,853,294,1,0,555,592,0,1147,16,58,155,171,163,183,201,118,60,23,0,"0 to 107","45",761,273,53,60,34,1005,108,127,0,71,0,0,9,1148,593,555,1147,1,0,5832,2,7002,5834,1148,18,120,0,138,13.04,7140,1166,1734,2904,"10.8",16.3,42.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","44.4","15","26.3","7.1","%","%","%","%",5,2,9,127,71,12,7,0.8,1138,9,10,0,113,6,1,0,"272",0,1,"60",1119,"29",36,10,26,27.8,"113","762","875","12.9",12,38,50,"24"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,28286,9335,18940,0,11,28238,9117,187,28,3,5015,4253,36,9304,98,333,1499,1450,1281,1306,1409,915,610,432,2,"0 to 105","45",5021,1096,797,2390,1052,5405,2847,1485,6,843,3,1,303,9335,4270,5029,9304,31,0,98990,16,108403,99006,9335,386,6854,2,7242,5.33,115645,9721,25794,35528,"6.2",8.4,34.4,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","12.3","11.6","5.1","34.4","%","%","%","%",82,176,304,1491,846,16,10,3.3,9221,304,114,0,649,64,9,0,"68",0,10,"1178",8557,"778",459,114,345,24.8,"649","7343","7992","8.1",65,495,560,"11.61"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,177407,77761,99504,29,113,175387,71668,5429,624,41,40237,36729,131,77097,1662,4283,11401,14812,13348,12571,10377,5255,2604,1417,32,"0 to 107","39",32428,20451,10793,13425,29355,34849,12893,10480,102,5891,78,27,1414,77762,37154,40475,77097,665,0,496933,1232,576811,498165,77762,5913,58161,22,64096,9.23,640907,83675,157665,241503,"12.6",13.1,47.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","17.9","10.8","5.5","8.8","%","%","%","%",286,385,1441,10582,5969,14,8,1.9,77631,1442,131,-1,8063,593,91,0,"401",1,36,"3359",76814,"948",1935,131,1804,6.8,"8046","42384","50430","16.0",123,1471,1594,"7.72"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1309,629,679,0,1,1307,597,31,1,0,265,362,1,628,5,25,74,114,108,89,78,63,44,29,0,"0 to 99","44",415,94,43,76,27,504,97,60,1,33,1,0,13,629,363,265,628,1,0,4383,0,5022,4383,629,6,41,0,47,12.77,5069,635,720,1356,"9.4",12.5,48.5,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","100","100","20","13.2","%","%","%","%",14,6,13,61,34,10,6,2.1,629,13,0,0,49,0,0,0,"178",0,2,"85",588,"41",9,0,9,0,"49","423","472","10.4",3,11,14,"21.43"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8101,3136,4957,1,7,8069,2858,270,7,1,1675,1443,10,3128,25,76,329,329,331,451,558,466,328,242,1,"0 to 101","55",2405,207,283,233,251,2531,346,409,1,395,1,0,140,3136,1445,1680,3128,8,0,31158,16,34349,31174,3136,206,3398,2,3606,5.71,37955,3342,8355,11707,"6.6",8.8,41.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","61.1","20","4.9","18.6","%","%","%","%",111,63,140,410,396,14,13,4.5,3105,138,31,2,151,9,1,0,"65",0,5,"536",2975,"161",299,31,268,10.4,"151","1587","1738","8.7",6,115,121,"4.96"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7741,2823,4867,2,49,7675,1853,961,4,4,1579,1231,4,2814,33,104,369,324,309,416,475,368,274,149,1,"0 to 100","51",2230,170,211,203,142,2362,310,271,0,293,1,1,108,2822,1237,1581,2814,8,0,23798,7,26638,23805,2822,100,1662,0,1762,5.68,28400,2922,6529,9503,"6.6",10.3,37.7,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","8","33.3","24.1","3.1","%","%","%","%",67,36,109,271,294,10,11,3.9,2798,108,24,1,250,5,2,0,"61",0,7,"516",2777,"45",170,24,146,14.1,"250","1917","2167","11.5",6,103,109,"5.5"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13994,5253,8711,2,28,13929,5064,171,17,0,2702,2480,53,5235,55,193,824,783,878,922,713,457,298,128,1,"0 to 100","43",3028,803,456,948,473,3669,1093,850,2,362,3,0,105,5252,2490,2709,5235,17,0,44228,18,49526,44246,5252,156,2273,0,2429,6.42,51955,5408,10984,16423,"7.9",10.4,38.6,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","did not change","increased by","increased by","increased by","","2.5","14","32.3","","%","%","%",75,52,105,852,365,17,7,2,5219,105,33,0,413,47,3,0,"245",0,5,"506",4950,"302",262,33,229,12.6,"412","4518","4930","8.4",28,291,319,"8.78"
