"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Deaths","EverMon","MonNow","Chart_MedAge","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","Last7Days_Cases","Last7DaysPrev_Cases","Delta7Days","Delta7Days_Pct","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","RankCases_30Days","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15527,214,209,1716,2865,2252,2232,2573,1909,917,574,66,"0 to 119",47,8953,6425,149,15255,272,0,215,15034,580,63,673,14848,6,0,15249,598,53,11,11,326,325,0,651,7,8,195,149,68,74,65,69,24,13,1,"0 to 103","33",235,158,145,113,161,377,113,144,5,86,4,0,11,673,336,337,651,22,0,33165,250,34097,33415,673,11,120,98,49,48,1255,0,"1303",3.68,721,16103,16830,"6.4",2,4.6,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","increased by","increased by","38.5","40","672.2","656.1","%","%","%","%",52,9,130,130,0,"0",11,149,90,22.1,13.4,1.6,633,2,11,40,0,15,3,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,893,30,16,97,132,123,145,147,103,66,32,2,"0 to 99",48,494,346,53,833,60,0,25,839,72,3,39,854,0,0,833,17,22,0,0,22,17,0,39,0,2,5,4,6,3,5,6,5,3,0,"10 to 97","53",27,10,2,0,1,37,1,10,0,12,0,0,4,39,17,22,39,0,0,1377,60,1476,1437,39,4,26,25,70,0,24,0,"24",0,39,878,917,"3.3",2.6,4.4,"2020-06-07","2020-06-13","NO","YES","NO","YES","decreased by","did not change","increased by","increased by","50","","1","0.003636364","%","","case","percent difference",3,3,9,1,8,"800",4,10,12,25.6,30.8,10.3,39,1,4,0,0,3,1,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3264,37,31,217,403,435,546,622,443,289,186,55,"0 to 119",53,1823,1387,54,3228,36,0,81,3077,207,50,188,3043,0,33,3201,147,31,9,1,82,96,0,178,3,1,24,41,28,41,23,13,13,1,0,"2 to 93","44",139,18,11,10,57,107,14,55,3,23,2,1,4,188,100,88,178,10,0,6099,20,6312,6119,188,4,62,54,50,15,690,0,"705",2.13,203,3733,3969,"2.2",2.9,6.2,"2020-06-07","2020-06-13","YES","NO","NO","YES","decreased by","increased by","decreased by","decreased by","50","71.4","57.1","71.6","%","%","%","%",0,0,48,19,29,"152.6",5,58,25,30.9,13.3,2.7,175,1,4,13,0,1,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1477,20,26,118,188,169,222,290,189,146,103,6,"0 to 118",54,925,527,25,1475,2,0,30,1394,155,2,61,1415,0,1,1474,21,40,0,0,46,15,0,61,0,2,5,4,9,7,5,6,12,11,0,"8 to 107","62",50,9,1,1,2,58,1,7,0,12,0,0,2,61,15,46,61,0,0,2116,2,2180,2118,61,2,150,118,74,5,42,0,"47",10.64,66,1457,1524,"5.6",3,4.5,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","50","300","100","100","%","%","%","%",4,2,8,0,8,"",2,7,12,11.5,19.7,3.3,58,1,2,3,0,3,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,19640,261,349,1115,1879,2125,2729,4423,3951,2102,557,149,"0 to 119",58,11157,8378,105,19622,18,0,197,18990,716,87,817,18821,0,2,19620,744,61,10,2,414,388,3,805,14,25,130,126,136,113,130,74,40,29,0,"0 to 99","43",546,77,66,116,211,470,124,182,3,92,3,0,16,817,392,422,805,12,0,33071,6,33896,33077,817,16,722,664,53,64,2606,1,"2671",2.4,881,21427,22311,"3.9",2.4,4.5,"2020-06-07","2020-06-13","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","16","12.5","169.7","155.4","%","%","%","%",15,3,252,85,167,"196.5",16,185,95,22.6,11.6,2,748,1,16,69,0,29,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,97301,1245,1637,6671,14177,14883,17094,18426,12709,6763,3503,193,"0 to 119",51,52824,42909,1568,95758,1543,0,2301,87154,11101,1028,10837,86423,13,28,95720,9301,1260,252,24,5306,5254,1,10561,109,279,1210,1876,1806,1877,1759,990,590,341,0,"0 to 102","45",5190,3623,924,824,3802,6018,741,2950,68,1802,56,22,370,10837,5436,5400,10561,276,0,148023,1264,160196,149287,10837,370,5524,5154,50,1119,22405,3,"23527",4.76,11956,108828,120828,"6.3",6.5,12.3,"2020-06-07","2020-06-13","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","28.8","1.7","61.5","61.7","%","%","%","%",307,155,1851,1156,695,"60.1",392,3018,1858,27.8,17.1,3.6,10448,2,367,389,3,354,54,12,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,535,5,4,43,49,78,75,90,83,71,36,1,"0 to 99",56,318,199,18,535,0,0,4,443,54,3,68,467,0,0,535,52,16,0,0,51,17,0,68,0,0,6,6,4,2,3,7,20,20,0,"20 to 99","78",49,10,0,9,1,53,14,11,0,6,0,0,6,68,17,51,68,0,0,669,0,739,669,68,6,103,41,52,0,14,0,"14",0,68,481,549,"3.8",9,12.7,"2020-06-07","2020-06-13","NO","NO","YES","YES","increased by","increased by","decreased by","increased by","2","3","33.3","6","case","case","%","%",38,5,5,0,5,"",6,11,6,16.2,8.8,8.8,65,4,5,3,1,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5515,61,52,250,460,529,756,1061,1054,738,548,6,"0 to 119",61,3258,2190,67,5496,19,0,157,4964,572,23,581,4929,1,4,5491,433,145,2,1,355,222,1,578,5,8,23,60,37,66,108,86,85,103,0,"0 to 101","63",473,54,15,36,37,494,47,104,1,135,1,0,75,581,224,356,578,3,0,9502,16,10102,9518,581,75,91,72,68,44,1425,0,"1469",3,625,6354,6984,"3.9",5.4,11.3,"2020-06-07","2020-06-13","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","50","54.5","14.7","0.8","%","%","%","%",88,49,46,43,3,"7",75,105,136,18.1,23.4,12.9,570,1,75,11,0,12,2,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,3950,38,69,185,365,353,462,733,911,627,198,9,"0 to 222",61,2201,1550,199,3943,7,0,63,3591,265,26,183,3765,1,1,3942,111,72,0,0,93,90,0,183,2,4,18,15,12,29,46,26,20,11,0,"0 to 97","58",133,9,9,32,17,135,31,32,0,34,0,0,12,183,90,93,183,0,0,8000,6,8192,8006,183,12,692,237,58,21,743,0,"764",2.75,204,4508,4714,"3.3",2.3,5.2,"2020-06-07","2020-06-13","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","41.7","80","114.3","169.9","%","%","%","%",4,1,36,16,20,"125",12,32,34,17.5,18.6,6.6,168,1,12,15,0,6,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8268,119,203,625,955,1144,1350,1481,1303,761,306,21,"0 to 101",53,4778,3381,109,8247,21,0,117,7770,518,48,481,7786,1,0,8246,417,61,3,0,281,197,0,478,0,7,40,54,60,72,82,78,55,33,0,"6 to 100","56",263,95,46,74,44,347,87,130,0,96,0,0,32,481,198,283,478,3,0,13953,18,14456,13971,481,32,291,258,59,30,878,0,"908",3.3,511,8664,9176,"4.4",3.3,6.2,"2020-06-07","2020-06-13","YES","YES","NO","YES","did not change","did not change","increased by","increased by","","","218.2","192.4","","","%","%",39,23,45,32,13,"40.6",32,130,96,27,20,6.7,468,2,32,13,0,4,1,0,0
