"Timestamp1","OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
2020-10-18 18:33:08,66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,24236,9452,14736,4,44,23855,9125,239,76,12,5116,4233,15,9364,141,346,4016,1521,927,866,738,531,241,121,4,"0 to 103","26",4675,2136,1033,1520,1195,6397,1772,1003,22,478,26,3,71,9452,4285,5151,9364,88,0,97296,249,107028,97545,9452,210,2798,0,3008,6.98,110036,9662,17534,27244,"10.4",8.8,39.9,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","29.2","7.5","32.2","17.8","%","%","%","%",50,25,74,1025,504,11,6,0.8,9412,74,40,0,672,66,12,0,"172",0,4,"375",9032,"420",240,40,200,16.7,"667","7697","8364","8.0",28,421,449,"6.24"
2020-10-18 18:33:08,17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2843,1685,1122,0,36,2747,1401,282,0,2,570,1113,0,1683,9,48,203,356,354,287,222,131,61,14,0,"0 to 103","40",882,227,55,519,18,1043,622,120,0,83,0,0,17,1685,1113,572,1683,2,0,6962,55,8730,7017,1685,11,94,0,105,10.48,8835,1696,1216,2948,"10.6",19.2,59.7,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","YES","NO","NO","did not change","decreased by","decreased by","decreased by","","8.3","33","12.5","","%","%","%",0,3,17,120,83,8,5,1,1681,17,4,0,99,5,0,1,"632",0,1,"50",1606,"79",16,4,12,25,"99","655","754","13.1",15,25,40,"37.5"
2020-10-18 18:33:08,15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9746,6449,3270,1,26,9537,6138,149,160,2,3158,3100,29,6287,72,170,987,1190,1059,1076,922,580,295,97,1,"0 to 99","42",3675,637,863,1112,493,4307,1487,766,21,367,10,6,127,6449,3188,3232,6287,162,0,30713,30,37265,30743,6449,140,1454,0,1594,8.78,38859,6589,4724,11340,"6.2",17,67.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","30.6","26.8","40.9","%","%","%","%",14,25,133,787,377,13,6,2.1,6436,132,13,1,408,22,7,1,"445",0,7,"379",5539,"910",75,13,62,17.3,"393","2698","3091","12.7",15,137,152,"9.87"
2020-10-18 18:33:08,40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2863,1202,1657,0,4,2856,890,311,1,0,585,616,0,1201,19,60,163,181,170,190,210,121,64,24,0,"0 to 107","45",799,286,59,57,34,1073,94,142,0,72,0,0,12,1202,617,585,1201,1,0,6106,2,7330,6108,1202,18,120,0,138,13.04,7468,1220,1777,3001,"11.1",16.3,42.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","YES","YES","increased by","decreased by","did not change","decreased by","57.1","23.5","","17.6","%","%","","%",5,2,12,142,72,12,6,1,1201,12,1,0,120,9,1,0,"278",0,1,"66",1171,"31",9,1,8,11.1,"120","837","957","12.5",4,41,45,"8.89"
2020-10-18 18:33:08,42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,29389,10397,18985,0,7,29329,10143,207,43,4,5559,4748,43,10350,109,398,1672,1610,1402,1432,1576,1056,685,455,2,"0 to 105","45",5672,1192,882,2604,1150,6114,3086,1622,11,951,4,1,345,10397,4773,5581,10350,47,0,104921,14,115401,104935,10397,386,6854,2,7242,5.33,122643,10783,25839,36631,"6.4",8.8,36.7,"2020-10-11 05:00:00","2020-10-17 05:00:00","YES","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","13","37.1","11","4","%","%","%","%",60,182,346,1633,955,16,10,3.3,10349,346,48,0,770,66,9,0,"69",0,22,"1217",9319,"1078",237,48,189,20.3,"768","8326","9094","8.4",52,481,533,"9.76"
2020-10-18 18:33:08,62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,182939,81107,101668,29,135,180846,74650,5746,667,44,41826,38438,132,80396,1722,4504,11967,15483,13894,13139,10743,5458,2695,1467,35,"0 to 107","39",34350,20952,11624,13470,30667,36789,12940,10727,106,6039,80,29,1510,81107,38890,42083,80396,711,0,531102,1237,614329,532339,81107,5913,58161,22,64096,9.23,678425,87020,159829,247035,"12.9",12.8,47.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","6.5","0.8","29.2","20.7","%","%","%","%",246,400,1539,10833,6119,14,8,1.9,80820,1535,287,4,8450,612,94,0,"407",1,46,"3457",79656,"1451",2134,287,1847,13.4,"8431","47101","55532","15.2",208,2741,2949,"7.05"
2020-10-18 18:33:08,5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1369,669,699,0,1,1367,630,38,1,0,282,385,1,668,6,26,75,125,116,95,85,66,46,29,0,"0 to 99","43",449,98,47,74,28,542,98,65,1,36,1,0,14,669,386,282,668,1,0,4457,0,5136,4457,669,6,41,0,47,12.77,5183,675,740,1416,"9.8",13,49.3,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","3","14.3","10.5","12.1"," cases","%","%","%",13,6,14,66,37,10,6,2.1,668,14,1,0,50,0,0,0,"192",0,0,"89",624,"45",5,1,4,20,"50","459","509","9.8",2,18,20,"10"
2020-10-18 18:33:08,56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8353,3363,4982,1,7,8319,3059,294,9,1,1797,1545,11,3353,26,84,350,347,352,478,595,522,361,248,0,"0 to 101","55",2586,222,302,243,272,2718,363,449,1,415,1,0,154,3363,1547,1804,3353,10,0,33309,17,36727,33326,3363,206,3398,2,3606,5.71,40333,3569,8380,11959,"6.8",8.8,42.7,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","43.5","50","12.2","11.1","%","%","%","%",93,64,154,450,416,14,13,4.6,3349,153,14,1,162,10,1,0,"65",0,5,"546",3144,"219",48,14,34,29.2,"162","1789","1951","8.3",4,93,97,"4.12"
2020-10-18 18:33:08,32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,8214,3041,5116,2,55,8138,2012,1016,5,7,1690,1335,3,3028,35,112,394,346,329,444,518,406,301,154,1,"0 to 100","52",2411,177,222,218,148,2549,331,285,1,312,1,1,130,3040,1344,1693,3028,12,0,25141,7,28199,25148,3040,100,1662,0,1762,5.68,29961,3140,6778,9976,"7",10.5,38.2,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","34.8","22.2","19.3","10.1","%","%","%","%",51,41,131,286,313,10,11,4.3,3030,127,10,4,265,6,2,0,"61",0,12,"531",2977,"63",95,10,85,10.5,"265","2177","2442","10.9",8,103,111,"7.21"
2020-10-18 18:33:08,22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,14640,5723,8885,1,31,14574,5508,198,16,0,2963,2689,54,5706,60,220,893,836,962,994,784,504,320,148,1,"0 to 102","43",3383,854,477,992,515,4056,1135,929,2,392,3,0,116,5722,2698,2970,5706,16,0,47484,18,53254,47502,5722,156,2273,0,2429,6.42,55683,5878,11158,17069,"8.2",10.6,40.2,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","41","55.4","26.6","23.9","%","%","%","%",84,55,116,931,395,17,7,2,5684,115,38,1,469,57,5,0,"247",0,6,"541",5375,"347",226,38,188,16.8,"468","5092","5560","8.4",26,278,304,"8.55"
