"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,17628,243,288,2368,3368,2522,2454,2749,2007,964,597,68,"0 to 119",44,10074,7410,144,17328,300,0,620,16289,1341,93,2890,14728,6,4,17318,2746,92,40,12,1496,1337,5,2838,31,87,867,673,345,327,267,181,75,34,3,"0 to 103","30",986,707,381,764,397,1590,851,230,8,120,9,1,16,2890,1369,1515,2838,52,0,56654,246,59809,56900,2890,68,1800,0,1868,3.64,61677,2958,16528,19496,"7.4",4.8,16.8,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","18.9","21.7","13.5","8.1","%","%","%","%",49,10,17,238,129,9,5,0.6,2809,16,81,1,168,12,2,0,"24",-9,5
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1149,38,25,140,180,173,179,184,117,78,33,2,"0 to 99",46,642,482,25,1090,59,0,93,867,282,7,254,887,0,8,1082,179,75,0,0,122,131,1,254,3,8,38,43,48,37,39,17,17,4,0,"1 to 97","42",175,49,18,12,8,224,22,33,0,24,0,0,4,254,131,122,254,0,0,3446,58,3758,3504,254,0,54,0,54,0,3812,254,941,1203,"4.3",6.7,22.1,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","decreased by","4","37.5","20.8","65.6"," cases","%","%","%",1,3,4,33,24,13,10,1.6,250,4,4,0,16,2,1,0,"19",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,5368,73,77,589,832,804,885,908,602,342,201,55,"0 to 119",48,2956,2357,55,5291,77,0,398,4373,1337,108,2356,3010,0,2,5289,2164,134,56,2,1230,1062,6,2298,37,45,409,484,409,390,314,178,68,22,0,"0 to 96","39",1274,260,123,641,202,1402,694,207,9,81,4,3,14,2356,1095,1255,2298,58,0,17001,23,19408,17024,2356,22,991,0,1013,2.17,20421,2378,4001,6381,"3.5",11.6,44.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","8.1","1.7","56.2","0.7","%","%","%","%",27,0,17,216,85,10,4,0.7,2269,16,87,1,137,2,1,0,"31",-8,6
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1644,30,39,153,212,194,245,309,197,156,103,6,"0 to 118",52,1030,592,22,1642,2,0,77,1385,294,2,212,1431,0,1,1641,137,75,0,0,132,80,0,212,5,9,34,28,32,33,24,13,22,12,0,"0 to 107","44",144,57,8,3,6,203,3,32,0,23,0,0,2,212,80,132,212,0,0,3402,2,3619,3404,212,7,75,0,82,8.54,3701,219,1506,1726,"6.4",5.9,13.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","did not change","increased by","increased by","14.3","","225","46.9","%","","%","%",3,2,2,32,23,16,11,0.9,205,2,7,0,20,0,0,0,"9",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,23535,305,447,1879,2635,2681,3300,4934,4250,2278,680,146,"0 to 119",56,13183,10232,120,23510,25,0,1067,20964,3565,135,4657,18873,0,5,23505,4538,101,16,3,2415,2198,26,4639,48,111,906,880,684,669,626,365,213,156,0,"0 to 103","40",2392,425,386,1436,639,2421,1579,627,5,315,3,0,60,4658,2206,2426,4639,19,0,66909,6,71625,66915,4658,114,4339,1,4454,2.56,76079,4772,23212,27989,"4.9",6.3,20.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","39.4","18.2","3.5","1","%","%","%","%",244,14,60,632,318,14,7,1.3,4561,58,97,2,255,29,4,0,"3",8,16
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,135384,3134,4442,12499,21606,21433,22864,22884,14796,7649,3861,216,"0 to 119",47,72819,60983,1582,133666,1718,0,5908,107735,27027,1172,45010,90225,23,126,133520,42468,2075,434,33,22929,21376,238,44543,932,2145,6587,9015,7926,7299,5942,2948,1473,723,20,"0 to 102","39",15670,11668,3211,13994,14333,16765,13445,5628,85,2915,66,25,536,45010,21674,23086,44543,467,0,296383,1233,343039,297616,45010,1736,36495,7,38238,4.54,381277,46746,126720,173622,"9.1",12.3,34.5,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","12.3","0.5","34.4","3.7","%","%","%","%",566,172,561,5713,2981,13,7,1.2,43747,554,1263,7,4205,306,42,0,"242",132,74
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,759,12,19,74,80,112,107,129,106,79,41,0,"0 to 99",52,449,296,14,759,0,0,24,469,203,9,232,526,0,1,758,216,16,0,0,141,91,0,232,1,6,29,26,22,31,34,30,29,24,0,"1 to 99","55",182,18,16,16,12,197,23,34,0,22,0,0,7,232,91,141,232,0,0,1671,0,1909,1671,232,0,25,0,25,0,1934,232,551,784,"5.4",12,30.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","did not change","increased by","increased by","200","","250","39.6","%","","%","%",15,6,7,34,22,15,10,3,230,7,2,0,13,0,0,0,"6",1,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6516,79,71,384,582,644,916,1235,1206,809,582,8,"0 to 119",59,3754,2683,79,6494,22,0,413,5379,1122,31,1560,4950,1,5,6488,1358,196,5,1,815,715,24,1554,17,27,163,178,155,217,275,229,156,142,1,"0 to 101","55",1087,86,66,315,111,1077,366,181,1,193,1,0,82,1560,716,819,1554,6,0,18497,16,20082,18513,1560,70,2103,0,2173,3.22,22255,1630,7053,8689,"4.9",7.3,25,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","decreased by","decreased by","109.1","22","11.7","50.5","%","%","%","%",125,51,82,182,194,12,13,5.3,1536,82,24,0,67,4,0,0,"4",12,2
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5121,85,113,359,549,489,637,925,1040,697,219,8,"0 to 222",58,2876,2089,156,5111,10,0,227,3832,861,39,954,4157,1,9,5102,572,379,3,0,484,463,4,951,10,28,127,140,110,145,176,116,73,29,0,"0 to 100","49",711,55,59,126,54,735,162,70,0,90,0,0,18,954,464,486,951,3,0,14173,6,15143,14179,954,29,1134,0,1163,2.49,16306,983,5291,6284,"4.4",6,19.2,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","30.6","14.3","56.6","13.2","%","%","%","%",26,1,18,70,90,8,10,1.9,911,18,43,0,65,2,0,0,"13",0,1
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10296,202,304,991,1283,1469,1679,1726,1451,828,342,21,"0 to 101",50,5881,4295,120,10269,27,0,483,8597,1465,89,2330,7954,1,11,10257,2204,117,9,0,1278,1032,11,2321,20,86,376,374,366,383,320,215,121,69,0,"0 to 100","43",1045,379,185,712,218,1316,787,313,0,158,0,0,45,2330,1036,1283,2321,9,0,26127,18,28487,26145,2330,53,1481,0,1534,3.46,30021,2383,9435,11830,"5.7",7.9,23.1,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","26","29.6","53.6","0.9","%","%","%","%",78,26,45,313,158,14,7,1.9,2249,44,81,1,163,12,1,0,"8",-10,3
