"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","SHAPE_Length","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,3927,66,62,306,508,466,572,704,569,416,254,4,"0 to 102",54,2380,1526,21,3907,20,0,84,3576,236,45,227,3700,0,0,3907,152,69,5,1,111,110,0,221,2,7,33,49,31,36,35,21,10,3,0,"1 to 90","40",157,24,12,28,41,133,47,57,2,32,2,1,5,227,112,115,221,6,0,8869,14,9111,8883,227,1.97468349274389,19,750,0,769,2.47,246,4450,4696,"2.6",2.5,6.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","9.1","5.9","228.6","483.4","%","%","%","%",2,0,6,59,34,26,15,2.6,218,5,9,0,4,0,0,0
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,3861,60,58,193,401,348,454,614,724,630,359,20,"0 to 119",61,2344,1480,37,3796,65,0,68,3555,261,25,279,3576,0,6,3790,238,39,2,0,146,131,0,277,8,9,31,38,37,45,51,30,25,5,0,"0 to 91","50",170,49,41,17,101,153,23,63,1,56,1,0,11,279,133,146,277,2,0,6960,63,7308,7023,279,2.84124660964211,17,275,0,292,5.82,296,3851,4153,"4.1",3.9,7.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","28.6","33.3","89.3","50.9","%","%","%","%",11,0,11,64,57,22.9,20.4,3.9,270,10,9,1,7,1,0,0
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,56899,1307,1592,5226,8972,8234,8725,9401,7457,4010,1840,135,"0 to 119",48,32478,24157,264,56477,422,0,821,53777,2804,315,7329,49459,23,88,56367,7061,192,73,3,3844,3394,15,7253,143,257,1340,1824,1109,957,736,460,286,188,29,"0 to 104","35",2285,1190,1063,2715,1517,2566,3170,890,11,592,8,3,127,7329,3427,3887,7253,76,0,100588,345,108347,100933,7329,3.45236134967177,309,10151,1,10461,2.95,7638,59610,67360,"4.9",6.4,13.4,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","53.4","35.8","130.3","114.5","%","%","%","%",409,74,130,901,600,12.3,8.2,1.8,6892,121,437,6,325,24,6,0
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,896,12,13,70,131,126,144,160,155,63,21,1,"0 to 119",52,442,439,15,885,11,0,5,764,143,6,147,749,0,0,885,129,16,0,2,19,126,0,145,1,0,14,46,42,23,12,8,1,0,0,"1 to 79","38",78,47,5,15,11,99,35,7,0,4,0,0,0,147,127,20,145,2,0,1965,9,2122,1974,147,1.73644592497981,1,40,0,41,2.44,148,789,937,"4.8",6.8,16.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","100","1","333.3","481.1","%","case","%","%",0,0,0,7,4,4.8,2.7,0,137,0,10,0,1,0,0,0
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,5705,65,83,389,534,532,683,921,1097,800,587,14,"0 to 119",61,3483,2200,22,5634,71,0,205,4918,674,63,479,5197,0,29,5607,454,14,9,2,245,222,1,468,5,23,81,82,71,57,41,49,45,25,0,"0 to 99","40",242,28,48,150,101,196,171,103,6,51,3,0,16,479,229,249,468,11,0,11808,58,12349,11866,479,2.23772404689823,40,1322,0,1362,2.94,519,6519,7067,"4.7",3.8,9.1,"2020-06-14","2020-06-20","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","120","16.7","402.7","209.7","%","%","%","%",32,6,16,109,54,22.8,11.3,3.3,457,15,22,1,30,0,1,0
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,3057,28,35,253,519,522,533,480,310,231,140,6,"0 to 105",48,1377,1586,94,3034,23,0,18,2619,332,29,347,2704,1,5,3028,300,38,8,1,85,253,0,338,2,8,34,81,80,65,54,16,6,1,0,"0 to 87","40",146,139,19,34,29,201,108,42,2,26,0,0,2,347,257,90,338,9,0,4577,14,4949,4591,347,2.21646510608254,18,91,0,109,16.51,365,2795,3166,"6.5",7.2,11.9,"2020-06-14","2020-06-20","YES","YES","NO","YES","did not change","did not change","increased by","decreased by","","","15.4","3","","","%","%",22,0,2,44,26,12.7,7.5,0.6,342,2,5,0,12,3,0,0
11,33,65,"JEFFERSON","Jefferson","Jefferson","Jefferson County","FL",14105,576,12,13,23,46,80,81,117,121,65,17,1,"0 to 101",57,345,225,6,571,5,0,7,489,83,7,41,534,0,1,570,18,21,2,0,24,15,0,39,1,1,3,3,7,4,7,7,4,4,0,"1 to 95","56",12,19,7,1,7,30,2,8,2,9,0,0,4,41,17,24,39,2,0,1046,3,1091,1049,41,2.20493093525027,0,51,0,51,0,41,585,627,"4.4",3.6,7.1,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","2","300","659","","case","%","%",0,4,4,10,9,24.4,22,9.8,38,4,3,0,3,1,2,0
37,34,67,"LAFAYETTE","Lafayette","Lafayette","Lafayette County","FL",8744,353,6,0,44,43,39,36,38,47,55,44,1,"0 to 119",58,226,120,7,353,0,0,12,327,19,1,22,331,0,0,353,16,6,0,0,10,12,0,22,1,0,4,5,1,4,3,2,0,2,0,"3 to 98","40",18,4,0,0,4,18,0,4,0,2,0,0,0,22,12,10,22,0,0,449,0,472,449,22,1.87054630268957,0,13,0,13,0,22,344,366,"4.2",4.5,6.2,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","100","","100","54.5","%","","%","%",0,0,0,4,2,18.2,9.1,0,20,0,2,0,0,0,0,0
27,35,69,"LAKE","Lake","Lake","Lake County","FL",335362,15628,226,253,882,1469,1535,1930,2537,2850,2026,666,1254,"0 to 103",58,8176,6391,1061,15489,139,0,192,14817,673,99,881,14733,0,14,15477,848,16,17,0,405,458,1,864,13,22,136,164,123,129,122,82,73,17,0,"0 to 103","42",420,124,168,152,165,515,184,167,12,101,5,1,21,881,468,412,864,17,0,28933,120,29947,29053,881,3.13721776582964,96,4239,0,4335,2.21,977,18972,19963,"6",2.8,6.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","187.5","117.9","106.1","92.3","%","%","%","%",8,3,22,179,106,20.3,12,2.5,838,21,43,0,33,3,1,0
46,36,71,"LEE","Lee","Lee","Lee County","FL",718679,27568,324,444,2021,3243,3386,3879,4654,4856,3238,1464,59,"0 to 119",55,15863,11463,242,26608,959,1,654,24267,2875,176,4062,23476,1,29,26579,3801,175,80,6,2115,1842,19,3976,57,112,549,681,604,618,525,390,286,240,0,"0 to 101","45",2330,548,112,986,1293,1677,1006,912,15,562,13,4,149,4062,1889,2152,3975,86,1,45020,873,49967,45893,4062,5.53875412350018,240,5750,1,5991,4.01,4302,29226,33559,"4.7",7.7,15.6,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","157.6","36.4","45.8","113.1","%","%","%","%",263,102,153,927,575,22.8,14.2,3.8,3944,148,118,1,180,27,8,0
