"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15661,214,211,1783,2889,2263,2241,2582,1916,921,575,66,"0 to 119",47,9015,6496,150,15388,273,0,234,15118,626,67,807,14848,6,0,15382,728,56,12,11,386,397,1,784,7,10,265,177,77,83,72,73,28,14,1,"0 to 103","30",283,174,164,163,173,442,169,157,6,90,5,0,11,807,409,397,784,23,0,35308,250,36374,35558,807,48,1255,0,1303,3.68,855,16103,16964,"6.4",2.3,5.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","10.5","13.6","24.1","45.5","%","%","%","%",52,9,11,163,95,20.2,11.8,1.4,760,11,47,0,19,4,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,896,30,16,98,132,123,146,148,103,66,32,2,"0 to 99",48,496,348,52,836,60,0,24,840,76,3,42,854,0,0,836,20,22,0,0,23,19,0,42,0,2,6,4,6,4,6,6,5,3,0,"10 to 97","53",29,11,2,0,1,40,1,11,0,12,0,0,4,42,19,23,42,0,0,1455,60,1557,1515,42,0,24,0,24,0,42,878,920,"3.3",2.7,4.7,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","25","1000","1689.9","","%","%","%",3,3,4,11,12,26.2,28.6,9.5,42,4,0,0,4,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3323,37,34,225,415,448,550,633,447,292,187,55,"0 to 119",53,1858,1412,53,3283,40,0,94,3087,264,54,240,3047,0,36,3254,193,35,11,1,113,115,0,228,3,3,30,51,41,46,33,16,15,2,0,"2 to 93","42",186,20,13,9,72,143,13,78,3,31,2,1,4,240,121,119,228,12,0,6632,21,6899,6653,240,15,690,0,705,2.13,255,3737,4028,"2.2",3.4,7.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","83.3","61.5","266.7","266.3","%","%","%","%",0,0,5,81,33,33.8,13.8,2.1,230,4,10,0,4,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1486,20,26,120,192,171,223,290,189,146,103,6,"0 to 118",54,931,530,25,1484,2,0,30,1393,164,2,69,1416,0,1,1483,28,41,0,0,51,18,0,69,0,3,7,7,10,8,5,6,12,11,0,"8 to 107","53",53,14,2,0,4,64,1,13,0,13,0,0,2,69,18,51,69,0,0,2220,2,2292,2222,69,5,42,0,47,10.64,74,1458,1533,"5.7",3.2,5,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","50","9","0.033962264","%","%","case","percent difference",4,2,2,13,13,18.8,18.8,2.9,64,2,5,0,4,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,19848,263,354,1172,1928,2148,2763,4451,3961,2104,557,147,"0 to 119",58,11261,8485,102,19829,19,0,233,19080,872,90,1022,18823,0,3,19826,947,62,11,2,517,491,1,1009,17,29,185,179,160,144,153,84,42,29,0,"0 to 99","40",670,88,76,175,237,583,189,196,3,101,3,0,17,1022,496,525,1009,13,0,35208,6,36238,35214,1022,64,2606,1,2671,2.4,1086,21429,22519,"3.9",2.8,5.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","76.2","112.5","240.4","170","%","%","%","%",15,3,17,199,104,19.5,10.2,1.7,918,17,104,0,34,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,99412,1431,1847,6984,14610,15245,17358,18602,12789,6810,3513,223,"0 to 119",50,53933,43925,1554,97856,1556,0,2556,87542,12740,1046,12217,87157,13,25,97821,10624,1303,266,24,5986,5935,6,11927,143,343,1456,2219,2047,2070,1882,1045,630,351,31,"0 to 102","44",5800,3987,1060,1080,4387,6584,956,3139,69,1876,56,22,378,12217,6124,6087,11927,290,0,158449,1263,172000,159712,12217,1119,22405,3,23527,4.76,13336,109562,122939,"6.4",6.8,13.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","47.6","37.6","106.4","75.6","%","%","%","%",300,155,400,3208,1932,26.3,15.8,3.3,11744,377,473,1,445,67,13,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,540,5,4,43,49,79,75,93,83,71,37,1,"0 to 99",56,321,201,18,540,0,0,4,442,56,5,70,470,0,0,540,54,16,0,0,52,18,0,70,0,0,6,6,5,2,4,7,20,20,0,"20 to 99","78",52,10,0,8,1,56,13,11,0,7,0,0,6,70,18,52,70,0,0,692,0,764,692,70,0,14,0,14,0,70,484,554,"3.8",9,13,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","100","400","418.9","%","%","%","%",39,5,6,11,7,15.7,10,8.6,88,6,-18,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5556,62,52,258,465,533,765,1067,1058,740,550,6,"0 to 119",60,3278,2212,66,5537,19,0,175,4975,600,24,617,4936,1,2,5534,462,152,2,1,372,242,0,614,6,8,31,65,42,73,112,89,86,105,0,"0 to 101","62",504,56,15,39,42,520,52,112,1,141,1,0,76,617,244,373,614,3,0,10063,16,10697,10079,617,44,1425,0,1469,3,661,6361,7025,"4",5.4,11.9,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","33.3","25","56.9","","%","%","%",84,49,76,113,142,18.3,23,12.3,605,75,12,1,13,3,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4029,38,70,202,376,358,477,748,917,635,199,9,"0 to 222",61,2243,1588,198,4022,7,0,73,3595,304,27,219,3808,1,1,4021,136,83,0,0,110,108,1,219,2,4,26,23,15,37,51,30,19,12,0,"0 to 97","55",167,9,11,32,23,164,32,33,0,35,0,0,12,219,108,110,219,0,0,8491,6,8719,8497,219,21,743,0,764,2.75,240,4551,4793,"3.3",2.5,6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","14.3","100","200","352.1","%","%","%","%",2,1,12,33,35,15.1,16,5.5,204,12,15,0,6,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8323,120,205,640,962,1147,1362,1486,1310,761,309,21,"0 to 101",53,4811,3406,106,8302,21,0,147,7770,569,52,523,7796,1,3,8298,455,65,3,0,302,218,0,520,0,8,52,63,63,80,84,83,55,35,0,"6 to 100","54",295,101,53,71,48,388,84,144,0,101,0,0,33,523,219,304,520,3,0,14475,18,15020,14493,523,30,878,0,908,3.3,553,8674,9231,"4.5",3.5,6.6,"2020-06-14","2020-06-20","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","10","21.1","57.1","121.9","%","%","%","%",32,23,33,144,101,27.5,19.3,6.3,511,33,12,0,6,1,0,0
