"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,16682,356,625,1515,1908,2074,2169,2482,2726,2098,695,34,"0 to 105",53,8964,7643,75,16321,361,0,467,13672,2784,164,3456,13138,3,85,16233,3076,298,66,16,1630,1742,2,3374,93,196,566,560,602,492,418,248,194,87,0,"0 to 101","39",1873,167,292,1042,1743,778,853,443,20,299,11,6,67,3456,1791,1663,3374,82,0,26450,279,30200,26729,3456,256,8866,1,9123,2.81,3712,22004,25805,"7.1",9.4,22.3,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.7","10.9","26.6","39.3","%","%","%","%",32,35,73,463,310,13.4,9,2.1,3375,65,81,2,266,20,10,0
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,3455,88,104,241,421,429,451,671,552,288,201,9,"0 to 119",54,1951,1404,100,3440,15,0,216,3060,339,16,243,3209,0,3,3437,205,36,2,0,122,119,0,241,7,14,26,56,35,39,36,18,7,5,0,"0 to 97","40",113,99,27,2,31,204,6,8,0,20,0,0,3,243,121,122,241,2,0,5107,13,5368,5120,243,10,168,0,178,5.62,253,3377,3633,"5.3",4.6,7.3,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","20","10.5","340","357.6","%","%","%","%",0,0,3,8,20,3.3,8.2,1.2,233,3,10,0,15,0,0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,164403,1781,2625,12714,26181,26112,29903,28167,19125,10870,6274,651,"0 to 225",49,85764,77481,1158,162936,1466,1,4066,147795,17321,1003,27779,136377,100,147,162691,26450,830,490,9,13556,13702,22,27280,257,504,2679,4853,4437,5011,4202,2735,1719,1332,50,"0 to 108","47",14191,4132,1275,7682,14260,5416,7604,6323,48,3795,31,15,926,27779,13968,13785,27279,499,1,239746,966,268718,240712,27779,2471,35716,2,38189,6.47,30250,172093,202592,"7.5",9.9,18.4,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.3","21","85.5","87.4","%","%","%","%",1003,441,941,6371,3826,22.9,13.8,3.4,26822,902,957,24,772,158,39,5
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2534,61,112,219,346,350,445,488,282,155,70,6,"0 to 102",49,1051,1343,140,2524,10,0,55,1962,512,12,513,2012,0,9,2515,391,122,0,0,254,258,1,513,20,60,76,100,81,68,60,33,7,8,0,"0 to 92","35",393,47,10,63,329,116,68,81,0,54,0,0,10,513,258,254,513,0,0,3532,10,4060,3542,513,5,111,0,116,4.31,518,2123,2650,"7.3",12.4,20.4,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","decreased by","decreased by","increased by","40","18.2","12","18.9","%","%","%","%",1,0,10,81,54,15.8,10.5,1.9,487,10,26,0,55,3,2,0
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,808,21,27,65,89,133,107,137,120,68,40,1,"0 to 118",52,477,313,18,808,0,0,11,696,77,1,62,746,0,0,808,46,16,0,0,29,33,0,62,0,3,12,3,11,11,11,3,5,3,0,"6 to 91","48",46,14,1,1,1,59,2,13,0,10,0,0,3,62,33,29,62,0,0,1246,0,1308,1246,62,0,24,0,24,0,62,770,832,"5.1",4.7,7.7,"2020-06-14","2020-06-20","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","100","50","50","33.9","%","%","%","%",0,0,3,13,10,21,16.1,4.8,62,3,0,0,8,0,0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,49540,801,1050,4536,8011,7228,7592,8802,6456,3296,1648,119,"-6 to 119",49,27291,21504,745,48923,617,0,753,46694,2388,216,3419,46067,11,43,48869,3062,268,78,11,1703,1627,0,3330,54,95,552,816,576,447,428,255,124,71,1,"0 to 101","37",1258,948,464,660,499,2107,724,484,21,325,11,3,62,3419,1674,1743,3330,89,0,80500,528,84498,81028,3419,237,3981,4,4222,5.61,3656,50048,53762,"5.8",4.1,7.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","78.7","24.8","340.7","203.8","%","%","%","%",159,32,65,505,336,14.8,9.8,1.9,3202,62,217,0,121,16,7,0
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,18107,456,474,1507,2355,2105,2452,3340,2821,1626,935,36,"0 to 119",53,10949,7118,40,15273,2834,0,216,17268,929,76,1312,16791,2,2,15269,988,64,260,0,610,442,0,1052,22,50,209,188,165,162,175,131,133,77,0,"0 to 105","45",485,360,41,166,51,780,221,125,1,82,1,1,43,1312,545,767,1052,260,0,25361,2574,29260,27935,1312,20,788,0,808,2.48,1332,17579,18915,"6.1",4.4,7.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","84","126","105.2","%","%","%","%",29,30,44,126,83,9.6,6.3,3.4,1244,43,68,0,52,3,2,0
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,3935,43,38,198,377,459,555,781,780,486,212,6,"0 to 119",58,2305,1577,53,3897,38,0,99,3693,226,41,250,3685,0,0,3897,211,31,8,0,146,96,0,242,1,4,22,31,29,38,57,45,19,4,0,"1 to 94","54",149,37,46,10,33,197,12,40,3,28,2,1,5,250,100,150,242,8,0,7073,30,7356,7103,250,31,835,0,866,3.58,281,4520,4801,"4.5",3.4,7.1,"2020-06-14","2020-06-20","NO","YES","NO","YES","did not change","decreased by","increased by","increased by","","27.8","27.3","25.7","","%","%","%",1,0,6,43,30,17.2,12,2.4,244,5,6,0,6,0,0,0
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,465,2,4,24,34,35,49,105,125,71,16,0,"0 to 95",63,260,202,3,461,4,0,8,454,6,4,4,461,0,0,461,2,1,1,0,3,0,0,3,0,0,0,1,0,0,1,1,1,0,0,"60 to 75","65",3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,3,1,0,769,3,777,772,4,1,277,0,278,0.36,5,738,743,"6.3",0.5,1.1,"2020-06-14","2020-06-20","YES","YES","YES","YES","did not change","did not change","did not change","did not change","","","","","","","","",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,2937,49,94,212,490,502,517,465,384,141,81,2,"0 to 119",47,2037,888,12,2919,17,1,40,2663,339,15,332,2602,1,2,2917,319,9,4,0,235,93,0,328,3,9,22,68,75,65,37,28,15,10,0,"0 to 98","43",132,141,15,40,39,235,54,67,0,58,0,0,6,332,93,239,327,4,1,5121,13,5472,5134,332,9,93,0,102,8.82,341,2695,3039,"6.6",6.1,11.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","did not change","did not change","increased by","increased by","","","33.3","7.4","","","%","%",4,4,6,67,58,20.2,17.5,1.8,329,6,3,0,11,1,1,0
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,762,15,16,84,102,108,116,118,98,69,36,0,"0 to 118",50,430,321,11,762,0,0,10,672,98,2,88,674,0,0,762,70,18,0,0,20,68,0,88,2,4,12,17,18,16,15,3,1,0,0,"0 to 79","39",59,10,15,4,24,59,5,4,0,0,0,0,0,88,68,20,88,0,0,2086,0,2177,2086,88,2,53,0,55,3.64,90,727,817,"4.6",4,11.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","100","50","600","16.7","%","%","%","%",0,0,0,4,0,4.5,0,0,86,0,2,0,5,0,0,0
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,298,2,10,35,62,63,34,32,30,23,6,1,"1 to 90",40,119,176,3,298,0,0,26,206,136,0,143,155,0,0,298,141,2,0,0,27,115,1,143,1,3,19,43,40,18,12,5,1,1,0,"3 to 89","37",117,18,3,5,97,41,5,18,0,14,0,0,1,143,115,27,143,0,0,437,0,580,437,143,1,12,0,13,7.69,144,167,311,"2.3",24.3,48.3,"2020-06-14","2020-06-20","YES","NO","NO","NO","decreased by","decreased by","increased by","increased by","100","75","100","258.3","%","%","%","%",0,0,1,18,14,12.6,9.8,0.7,142,1,1,0,5,0,0,0
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,619,11,15,39,57,64,103,124,122,65,19,0,"0 to 94",56,365,251,3,563,56,0,18,584,58,12,14,602,0,3,560,9,3,2,0,8,4,0,12,0,1,1,2,2,4,1,3,0,0,0,"9 to 70","44",8,1,2,1,2,9,1,4,1,1,1,0,0,14,5,9,12,2,0,1288,54,1356,1342,14,0,40,0,40,0,14,642,659,"4.1",1,2.3,"2020-06-14","2020-06-20","YES","YES","YES","YES","did not change","did not change","did not change","decreased by","","","","48.5","","","","%",0,0,0,5,2,35.7,14.3,0,13,0,1,0,0,0,0,0
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,2004,17,25,160,538,416,320,245,168,69,42,4,"0 to 118",41,452,1525,27,1998,6,0,34,1872,319,5,315,1688,0,1,1997,304,8,2,1,57,255,0,312,6,8,30,87,66,55,49,11,3,0,0,"0 to 84","39",139,141,30,2,51,115,146,35,1,9,0,0,2,315,257,58,312,3,0,2256,3,2575,2259,315,1,30,0,31,3.23,316,1718,2035,"14.3",12.1,15.8,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","50","","88.9","22.3","%","","%","%",0,0,2,36,9,11.4,2.9,0.6,304,2,11,0,22,6,0,0
23,25,49,"HARDEE","Hardee","Hardee","Hardee County","FL",27228,1095,30,67,148,204,146,136,149,125,64,26,0,"0 to 94",41,601,477,17,1088,7,0,50,649,362,7,334,761,0,0,1088,314,15,5,0,157,172,0,329,9,27,52,76,56,41,31,26,11,5,0,"0 to 86","35",218,54,30,27,207,95,27,53,3,34,3,1,2,334,175,159,329,5,0,1706,2,2044,1708,334,5,38,0,43,11.63,339,799,1138,"4.2",16.2,31,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","33.3","","88","113","%","","%","%",4,0,3,56,37,16.8,11.1,0.9,318,2,16,0,25,3,0,0
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,2545,88,102,323,465,407,363,341,206,137,106,7,"0 to 119",42,1258,1278,9,2543,2,0,170,1736,774,4,796,1749,0,0,2543,753,43,0,0,316,480,0,796,25,32,113,182,162,116,78,43,27,18,0,"0 to 101","37",648,73,21,54,592,167,37,134,0,79,0,0,24,796,480,316,796,0,0,3739,2,4538,3741,796,8,98,0,106,7.55,804,1847,2651,"6.6",17.3,31.6,"2020-06-14","2020-06-20","YES","NO","NO","NO","decreased by","decreased by","increased by","increased by","16.7","8.3","35.7","49.7","%","%","%","%",8,17,24,134,79,16.8,9.9,3,780,24,16,0,51,0,0,0
33,27,53,"HERNANDO","Hernando","Hernando","Hernando County","FL",182696,3910,66,61,301,505,463,570,703,567,416,254,4,"0 to 102",54,2374,1515,21,3890,20,0,84,3580,206,45,218,3691,0,1,3889,145,67,5,1,108,104,0,212,2,7,29,46,31,34,34,22,10,3,0,"1 to 90","41",149,22,11,30,38,127,47,50,2,29,2,1,5,218,106,112,212,6,0,8649,14,8882,8663,218,19,750,0,769,2.47,237,4441,4679,"2.6",2.5,6.1,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","9.1","5.9","228.6","483.4","%","%","%","%",2,0,6,52,31,23.9,14.2,2.8,206,5,12,0,4,0,0,0
45,28,55,"HIGHLANDS","Highlands","Highlands","Highlands County","FL",102101,3846,59,58,187,399,348,452,612,722,630,359,20,"0 to 119",61,2331,1478,37,3781,65,0,68,3550,251,24,270,3571,0,5,3776,229,39,2,0,139,129,0,268,7,9,26,37,37,44,51,29,25,5,0,"0 to 91","50",165,48,40,15,100,147,21,63,1,56,1,0,10,270,131,139,268,2,0,6739,63,7076,6802,270,17,275,0,292,5.82,287,3846,4138,"4.1",3.9,7.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","28.6","33.3","89.3","50.9","%","%","%","%",2,0,10,64,57,23.7,21.1,3.7,258,10,12,0,7,1,0,0
20,29,57,"HILLSBOROUGH","Hillsborough","Hillsborough","Hillsborough County","FL",1378883,56460,1292,1578,5141,8835,8179,8662,9366,7437,4000,1837,133,"0 to 119",48,32235,23957,268,56040,420,0,804,53446,2683,314,6892,49457,23,88,55930,6632,186,71,3,3603,3200,15,6818,127,244,1252,1687,1055,900,701,440,275,185,26,"0 to 104","35",2134,1133,1000,2551,1416,2434,2968,878,11,589,8,3,121,6892,3233,3644,6818,74,0,97075,345,104392,97420,6892,309,10151,1,10461,2.95,7201,59608,66921,"4.9",6.3,12.8,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","53.4","35.8","130.3","114.5","%","%","%","%",366,74,124,889,597,12.9,8.7,1.8,6176,119,716,2,303,23,6,0
18,30,59,"HOLMES","Holmes","Holmes","Holmes County","FL",19430,885,12,13,66,130,124,143,157,155,63,21,1,"0 to 119",52,441,429,15,874,11,0,5,754,143,6,137,748,0,0,874,119,16,0,2,18,117,0,135,1,0,10,45,40,22,10,8,1,0,0,"1 to 79","38",78,47,5,5,11,99,25,7,0,4,0,0,0,137,118,19,135,2,0,1674,9,1821,1683,137,1,40,0,41,2.44,138,788,926,"4.8",7.4,15.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","100","1","333.3","481.1","%","case","%","%",0,0,0,7,4,5.1,2.9,0,121,0,16,0,1,0,0,0
61,31,61,"INDIAN RIVER","Indian River","Indian River","Indian River County","FL",150984,5663,63,81,380,526,524,681,916,1094,799,586,13,"0 to 119",61,3456,2184,23,5592,71,0,204,4898,656,63,457,5178,0,28,5566,432,14,9,2,235,210,1,446,5,22,78,74,66,57,39,48,44,24,0,"0 to 99","40",233,25,48,140,98,188,160,101,6,50,3,0,15,457,217,239,446,11,0,11310,58,11829,11368,457,40,1322,0,1362,2.94,497,6500,7025,"4.7",3.8,8.8,"2020-06-14","2020-06-20","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","120","16.7","402.7","209.7","%","%","%","%",26,6,15,107,53,23.4,11.6,3.3,422,15,35,0,29,0,1,0
52,32,63,"JACKSON","Jackson","Jackson","Jackson County","FL",48472,3049,26,35,251,519,521,531,479,310,231,140,6,"0 to 105",48,1371,1584,94,3026,23,0,18,2618,328,27,342,2703,1,3,3022,295,38,8,1,81,252,0,333,2,8,33,81,79,63,53,16,6,1,0,"0 to 87","40",141,139,19,34,29,197,107,42,2,26,0,0,2,342,256,86,333,9,0,4472,14,4839,4486,342,18,91,0,109,16.51,360,2794,3158,"6.5",7.3,11.8,"2020-06-14","2020-06-20","YES","YES","NO","YES","did not change","did not change","increased by","decreased by","","","15.4","3","","","%","%",24,0,2,44,26,12.9,7.6,0.6,341,2,1,0,12,3,0,0
11,33,65,"JEFFERSON","Jefferson","Jefferson","Jefferson County","FL",14105,570,12,13,22,44,78,80,117,121,65,17,1,"0 to 101",58,340,225,5,565,5,0,7,489,79,7,38,532,0,0,565,15,21,2,0,21,15,0,36,1,1,2,3,5,4,7,7,4,4,0,"1 to 95","58",10,19,7,0,5,30,1,7,2,9,0,0,4,38,17,21,36,2,0,987,3,1029,990,38,0,51,0,51,0,38,583,621,"4.4",3.5,6.7,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","2","300","659","","case","%","%",0,4,4,9,9,23.7,23.7,10.5,38,4,0,0,2,1,2,0
37,34,67,"LAFAYETTE","Lafayette","Lafayette","Lafayette County","FL",8744,351,6,0,43,43,39,35,38,47,55,44,1,"0 to 119",58,225,119,7,351,0,0,12,328,19,1,20,331,0,0,351,15,5,0,0,9,11,0,20,1,0,3,5,1,3,3,2,0,2,0,"3 to 98","40",18,2,0,0,4,16,0,3,0,2,0,0,0,20,11,9,20,0,0,439,0,460,439,20,0,13,0,13,0,20,344,364,"4.2",4.2,5.7,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","did not change","increased by","increased by","100","","100","54.5","%","","%","%",0,0,0,3,2,15,10,0,20,0,0,0,0,0,0,0
