"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,21633,6994,14609,4,26,21264,6707,193,82,12,3816,3060,24,6900,116,265,2533,1247,782,699,625,427,188,98,14,"0 to 103","28",2807,1779,782,1532,790,4246,1864,735,15,371,16,1,44,6994,3105,3864,6900,94,0,85670,248,92940,85918,6994,140,2347,0,2487,5.63,95427,7134,16956,24120,"9.2",7.5,33,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","34.4","22.7","82.1","77.8","%","%","%","%",98,17,45,750,387,11,6,0.6,6814,43,180,2,511,48,8,0,"148",0,8,"295",6819,"175",716,180,536,25.1
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2407,1373,999,0,35,2313,1173,199,0,1,417,952,3,1372,6,30,159,293,300,236,186,103,47,10,3,"0 to 97","40",680,181,47,464,17,804,551,96,0,63,0,0,11,1373,952,418,1372,1,0,6067,58,7524,6125,1373,4,72,0,76,5.26,7600,1377,1071,2483,"8.9",18.1,57.2,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","33.3","4.5","45.4","38.8","%","%","%","%",0,3,11,96,63,7,5,0.8,1353,11,20,0,61,4,0,1,"581",0,5,"35",1350,"23",46,20,26,43.5
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8878,5754,3105,1,18,8750,5524,141,87,2,2809,2815,41,5665,66,128,870,1084,951,960,815,505,265,91,19,"0 to 99","42",3228,587,770,1080,434,3764,1467,706,18,334,7,5,94,5754,2869,2844,5665,89,0,27051,30,32903,27081,5754,84,1288,0,1372,6.12,34275,5838,4393,10250,"5.6",17,65.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","72.7","2.9","13.2","76.4","%","%","%","%",49,19,99,724,341,13,6,1.7,5732,98,22,1,325,16,5,1,"443",0,7,"361",5083,"671",131,22,109,16.8
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2575,984,1589,0,2,2570,721,262,1,0,460,523,0,983,14,50,132,147,144,162,168,95,52,20,0,"0 to 107","45",630,245,48,60,29,848,106,104,0,62,0,0,7,984,524,460,983,1,0,5469,2,6475,5471,984,9,97,0,106,8.49,6581,993,1686,2681,"9.9",15.1,38.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","NO","decreased by","decreased by","decreased by","increased by","20","27","33.3","32.9","%","%","%","%",7,2,7,104,62,11,7,0.7,963,6,21,1,98,5,1,0,"259",0,2,"56",965,"19",49,21,28,42.9
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27093,8193,18876,0,24,27037,8011,156,23,3,4429,3704,34,8167,83,260,1347,1300,1131,1148,1207,759,522,411,25,"0 to 105","44",4274,1019,696,2178,950,4633,2584,1338,6,755,3,1,270,8193,3718,4441,8167,26,0,92442,16,100711,92458,8193,279,5807,1,6087,4.58,106798,8472,24683,33180,"5.8",7.9,31.3,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","4.3","4.6","22.2","12.6","%","%","%","%",134,152,271,1344,758,17,10,3.3,8097,267,96,4,523,52,6,0,"66",0,25,"1133",7822,"371",602,96,506,15.9
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,172454,75048,97267,29,110,170505,69132,5322,554,40,38870,35437,147,74454,1614,4134,10976,14307,12893,12143,9998,5068,2507,1363,45,"0 to 107","39",30938,19889,10126,13501,28276,33165,13013,10143,96,5666,76,26,1311,75048,35816,39084,74454,594,0,465549,1233,542713,466782,75048,3918,48347,11,52276,7.49,594989,78966,145614,224730,"11.8",13.3,45.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","6.8","17.8","48.2","30.7","%","%","%","%",364,366,1337,10239,5742,14,8,1.8,74832,1323,216,14,7766,568,83,0,"359",1,53,"3146",74401,"647",2623,216,2407,8.2
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1270,605,664,0,1,1268,580,24,1,0,259,344,1,604,5,25,68,112,107,83,76,58,43,28,0,"0 to 99","43",399,92,41,72,26,489,89,60,1,32,1,0,9,605,345,259,604,1,0,4234,0,4849,4234,605,4,36,0,40,10,4889,609,700,1310,"9.1",12.5,48,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","50","66.7","23.5","18.2","%","%","%","%",13,6,9,61,33,11,6,1.5,602,9,3,0,44,0,0,0,"170",0,0,"82",566,"39",7,3,4,42.9
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7873,2901,4965,1,6,7843,2647,247,6,1,1536,1347,11,2894,25,72,305,316,314,419,524,425,281,220,0,"0 to 101","54",2253,175,271,195,240,2356,298,370,1,365,1,0,131,2901,1349,1540,2894,7,0,29056,16,32010,29072,2901,138,2908,0,3046,4.53,35056,3039,7873,10919,"6.2",8.7,38.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","233.3","76.9","40","29.1","%","%","%","%",113,60,131,371,366,13,13,4.5,2895,128,6,3,144,10,2,0,"64",0,12,"469",2778,"123",150,6,144,4
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7217,2541,4610,2,64,7136,1643,890,4,4,1399,1122,12,2533,28,93,326,292,278,376,428,331,241,133,15,"0 to 100","51",1997,148,205,183,130,2114,289,238,0,262,1,0,80,2541,1128,1401,2533,8,0,21872,7,24431,21879,2541,61,1433,0,1494,4.08,25925,2602,6043,8711,"6.1",10,36.1,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","31.8","9.1","33.3","16.9","%","%","%","%",153,24,80,238,263,10,11,3.1,2508,76,33,4,222,5,2,0,"57",0,10,"465",2517,"24",230,33,197,14.3
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13205,4672,8516,1,16,13156,4512,146,14,0,2445,2171,42,4658,47,162,729,704,769,829,631,412,262,125,2,"0 to 100","43",2511,707,422,1018,435,3086,1137,760,2,329,3,0,91,4672,2180,2450,4658,14,0,40543,18,45260,40561,4672,105,1975,0,2080,5.05,47340,4777,10491,15285,"7.4",10.1,36.2,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","11.1","8.1","17","25.2","%","%","%","%",75,49,91,762,332,17,8,1.9,4629,89,43,2,344,39,2,0,"181",0,10,"486",4421,"251",280,43,237,15.4
