"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18215,3526,14679,6,4,17907,3343,133,38,12,1881,1589,6,3476,52,126,998,815,428,406,344,219,92,43,3,"0 to 103","31",1179,986,444,867,466,2030,980,276,11,147,11,1,21,3526,1617,1902,3476,50,0,62255,257,66062,62512,3526,81,1877,0,1958,4.14,68020,3607,16556,20173,"7.7",5.3,19.8,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","5.3","23.8","1","2.9","%","%","%","%",53,11,22,287,158,9,5,0.6,3448,21,78,1,249,17,3,0,"25",0,5
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1267,356,892,0,19,1188,269,86,0,1,176,178,1,355,4,14,57,57,67,57,51,23,20,6,0,"1 to 97","40",236,65,33,21,13,308,34,49,0,26,0,0,4,356,178,177,355,1,0,3752,59,4168,3811,356,0,57,0,57,0,4225,356,949,1324,"4.8",8.4,28.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","did not change","decreased by","decreased by","increased by","","30","13.5","14.5","","%","%","%",1,3,4,49,26,14,8,1.1,343,4,13,0,29,3,0,0,"33",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,6485,3475,2998,0,12,6392,3277,136,60,2,1653,1749,11,3413,46,67,543,711,624,588,445,277,126,47,1,"0 to 104","40",2001,372,185,855,314,2064,1035,333,13,131,5,4,21,3475,1784,1679,3413,62,0,19182,37,22725,19219,3475,35,1066,0,1101,3.18,23826,3510,4064,7586,"4.2",14.7,54.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","7.1","33.6","24.3","191.9","%","%","%","%",64,0,25,346,136,10,4,0.7,3357,25,118,0,189,4,1,0,"48",0,8
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1771,325,1445,0,1,1768,229,96,0,0,158,167,0,325,6,11,47,37,53,56,52,24,25,13,1,"0 to 107","46",192,81,15,37,10,267,48,35,0,26,0,0,3,325,167,158,325,0,0,3687,2,4017,3689,325,7,77,0,84,8.33,4101,332,1522,1855,"6.9",8.1,18.7,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","YES","increased by","did not change","decreased by","decreased by","50","","20.4","20","%","","%","%",3,2,3,35,26,11,8,0.9,316,3,9,0,26,0,0,0,"74",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,24303,5420,18875,0,8,24268,5291,108,18,3,2866,2510,23,5399,54,134,994,966,792,791,752,459,270,208,0,"0 to 105","41",2824,558,452,1565,718,2928,1753,780,6,391,3,0,114,5420,2520,2877,5399,21,0,72874,15,78361,72889,5420,144,4648,1,4793,3,83154,5564,23523,29096,"5",6.7,22.9,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","did not change","decreased by","decreased by","increased by","","7.9","11.7","1.7","","%","%","%",264,19,114,786,394,15,8,2.1,5333,108,87,6,298,37,5,0,"5",0,50
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,146673,55411,91071,26,165,144740,52448,2466,461,36,28418,26248,248,54914,1171,2793,8136,10880,9705,9056,7286,3645,1806,905,28,"0 to 102","39",19233,14202,5093,16386,18219,20829,15866,6322,86,3283,66,25,709,55411,26564,28586,54914,497,0,337640,1319,394976,338959,55411,2191,39504,7,41702,5.25,436678,57602,130575,188375,"9.9",13.2,39.3,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","34.8","39.2","9.9","2","%","%","%","%",723,188,734,6408,3349,12,7,1.3,54312,701,1099,33,5417,359,50,0,"264",1,163
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,823,281,541,0,1,822,265,16,0,0,166,115,0,281,2,8,33,34,31,37,42,36,33,25,0,"1 to 99","54",222,21,18,20,14,241,26,38,0,25,0,0,7,281,115,166,281,0,0,1904,0,2189,1904,281,0,26,0,26,0,2215,281,567,849,"5.9",12.7,34.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","did not change","decreased by","decreased by","decreased by","","28.6","53.1","15.4","","%","%","%",13,6,7,38,25,14,9,2.5,278,7,3,0,16,0,0,0,"9",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6933,1946,4979,1,7,6903,1728,212,5,1,980,935,25,1940,20,36,204,232,205,273,354,285,187,148,2,"0 to 101","55",1361,115,95,369,148,1346,446,201,1,218,1,0,86,1946,936,984,1940,6,0,21024,16,23003,21040,1946,83,2259,0,2342,3.54,25345,2029,7238,9275,"5.2",8,29.3,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","31.2","13.6","20.6","10.6","%","%","%","%",138,52,86,202,219,11,12,4.4,1889,85,57,1,85,4,0,3,"53",0,4
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5444,1205,4215,1,23,5412,732,471,2,0,609,593,1,1203,12,35,180,155,134,186,224,142,93,44,0,"0 to 100","50",918,86,81,118,64,976,163,83,0,110,0,0,27,1205,594,610,1203,2,0,15385,7,16609,15392,1205,33,1196,0,1229,2.69,17838,1238,5411,6673,"4.7",6.9,22.7,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","decreased by","23.7","51","17.9","1.9","%","%","%","%",57,2,27,83,110,7,10,2.2,1192,26,13,1,100,2,0,0,"40",0,7
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10805,2808,7983,1,13,10764,2682,117,9,0,1538,1252,9,2799,25,95,450,433,440,468,390,263,157,86,1,"0 to 100","43",1368,478,225,728,266,1728,805,415,0,190,0,0,48,2808,1256,1543,2799,9,0,28983,18,31825,29001,2808,63,1593,0,1656,3.8,33481,2871,9576,12461,"6",8.6,26.6,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","6.7","23.5","18.9","18","%","%","%","%",92,27,48,415,190,15,7,1.7,2758,47,50,1,192,16,1,0,"10",0,1
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,23341,9581,13560,3,197,22697,9027,389,149,16,4749,4534,133,9416,256,496,1636,1585,1634,1520,1154,667,428,204,1,"0 to 101","39",4527,557,882,3450,3812,2202,3402,1051,22,654,12,6,122,9581,4593,4790,9416,165,0,48638,288,58570,48926,9581,590,12472,1,13063,4.52,71633,10171,26032,36404,"10",14.2,43.6,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","29.7","36.8","34.9","16.2","%","%","%","%",100,48,128,1073,666,12,7,1.3,9355,127,226,1,1064,67,21,0,"10",0,5
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,5591,2476,3111,0,4,5565,2249,218,7,2,605,1855,7,2467,46,68,238,488,506,442,365,201,89,32,1,"0 to 99","42",834,394,100,1139,105,1027,1335,27,0,98,0,0,10,2476,1862,607,2467,9,0,9939,13,12481,9952,2476,14,278,0,292,4.79,12773,2490,3389,5883,"8.5",19.5,44.5,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","20.7","30","13.6","6.6","%","%","%","%",21,1,10,27,98,2,4,0.4,2437,10,39,0,146,0,1,4,"1344",0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,253178,118462,134356,89,271,250956,116192,1368,893,9,59266,57502,792,117560,1659,3575,15013,22589,20071,21356,16519,9306,5246,2964,164,"0 to 120","43",40475,10512,9420,57153,45162,13624,58774,10586,61,5471,34,16,1611,118462,57945,59659,117559,902,1,502609,994,623572,503603,118462,5460,66974,2,72436,7.54,696008,123922,201330,325614,"12",17.8,48.9,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","41.4","46.6","3.9","2.2","%","%","%","%",1414,577,1627,10647,5505,9,5,1.4,115916,1531,2546,96,7333,631,79,20,"1426",1,241
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,3457,1264,2186,2,5,3436,1127,133,4,0,522,734,4,1260,40,114,173,252,238,191,146,75,24,11,0,"0 to 97","36",778,126,73,283,640,311,309,185,1,95,1,0,14,1264,736,524,1260,4,0,7842,13,9127,7855,1264,58,402,0,460,12.61,9587,1322,2588,3917,"10.8",13.8,38.2,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","YES","NO","YES","decreased by","did not change","decreased by","decreased by","14.3","","54.2","29","%","","%","%",1,0,14,186,96,15,8,1.1,1251,14,13,0,193,10,3,0,"175",0,0
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,1050,252,798,0,0,1050,216,36,0,0,148,103,1,252,0,17,29,42,35,28,37,34,24,6,0,"6 to 91","46",205,20,4,23,4,219,29,39,0,28,0,0,4,252,103,148,252,0,0,2139,0,2393,2139,252,1,35,0,36,2.78,2429,253,833,1086,"6.6",10.4,24.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","increased by","increased by","decreased by","decreased by","350","44.4","31.5","18.7","%","%","%","%",0,0,4,39,28,16,12,1.6,247,4,5,0,26,0,0,0,"7",0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,67312,21038,46118,12,144,66410,19354,1465,201,18,10886,9802,131,20819,286,845,3472,4946,3503,3065,2439,1405,683,386,8,"0 to 103","37",5058,6734,2059,6968,1689,10103,9027,1150,28,617,15,5,153,21038,9922,10983,20819,219,0,171683,548,193489,172231,21038,857,10177,2,11036,7.77,204525,21895,56295,78348,"8.5",10.7,32.5,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","33.1","55.9","12.3","12.6","%","%","%","%",637,46,158,1178,632,6,4,0.8,20816,157,222,1,1612,48,10,0,"113",0,32
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,24104,7738,16346,1,19,20706,6829,87,822,0,3751,3040,125,6916,95,283,1482,1504,1094,966,989,640,433,245,7,"0 to 105","38",2725,1795,450,1946,234,4441,2241,751,5,429,6,6,95,7738,3387,4226,6916,822,0,53631,2634,64035,56265,7738,72,1420,0,1492,4.83,65527,7810,17766,25596,"8.2",11.9,32.4,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","10","32.7","21.8","4.7","%","%","%","%",260,47,101,756,435,10,6,1.3,7598,98,140,3,594,39,12,0,"62",0,21
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,4762,901,3857,0,4,4718,779,112,10,0,491,395,5,891,14,36,125,132,107,142,142,124,60,18,1,"0 to 94","47",520,136,155,80,125,659,107,132,4,76,2,1,10,901,401,495,891,10,0,12627,30,13578,12657,901,45,1361,0,1406,3.2,14984,946,5218,6168,"5.8",6.3,19.9,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","28.6","45.8","11.3","1.3","%","%","%","%",1,0,11,136,78,16,9,1.2,867,11,34,0,69,9,1,0,"9",0,2
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,651,108,541,0,2,644,100,6,2,0,60,46,0,106,1,5,11,17,11,14,27,13,7,2,0,"0 to 85","51",65,35,2,4,5,97,4,10,0,4,0,0,1,108,46,62,106,2,0,2395,3,2510,2398,108,7,540,0,547,1.28,3057,115,1081,1198,"10.2",3.8,17.7,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","100","100","25","63.8","%","%","%","%",0,0,1,10,4,10,4,0.9,105,1,3,0,11,0,0,0,"7",0,0
