"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18788,4142,14636,6,4,18476,3933,155,42,12,2254,1827,7,4088,65,172,1122,941,513,484,419,266,107,51,2,"0 to 103","31",1358,1220,515,995,516,2422,1150,334,11,173,11,1,26,4142,1857,2277,4088,54,0,66987,257,71409,67244,4142,100,2049,0,2149,4.65,73558,4242,16685,20937,"8",5.8,22.6,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","YES","YES","increased by","decreased by","decreased by","decreased by","11.8","7.7","7.8","4.8","%","%","%","%",69,11,27,345,184,9,5,0.7,4088,27,54,0,325,21,4,0,"43",0,3
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1865,907,934,0,24,1782,813,94,0,0,245,662,0,907,5,17,96,211,212,154,133,45,27,7,0,"1 to 97","39",385,107,39,376,13,463,431,54,0,28,0,0,4,907,662,245,907,0,0,4647,59,5627,4706,907,1,68,0,69,1.45,5696,908,1002,1934,"7",15.9,48.7,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","NO","did not change","decreased by","increased by","increased by","","38.5","528.9","171.1","","%","%","%",1,3,4,54,28,6,4,0.4,827,4,80,0,36,3,0,0,"452",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,7472,4440,3022,0,10,7375,4236,137,65,2,2108,2167,98,4373,54,83,696,867,753,765,602,364,173,58,25,"0 to 99","41",2306,437,528,1102,314,2600,1459,464,14,196,5,5,51,4440,2207,2134,4373,67,0,22141,38,26678,22179,4440,58,1190,0,1248,4.65,27926,4498,4212,8720,"4.8",16.1,60.2,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","decreased by","36.4","57.5","5.9","25.5","%","%","%","%",45,6,56,478,201,11,5,1.3,4388,56,52,0,244,10,2,0,"359",0,31
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1948,494,1453,0,1,1945,389,105,0,0,186,308,0,494,9,15,59,68,78,85,97,41,29,13,0,"0 to 107","46",280,146,22,46,12,417,65,39,0,27,0,0,4,494,308,186,494,0,0,4003,2,4520,4005,494,7,88,0,95,7.37,4615,501,1541,2043,"7.6",10.9,25.7,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","66.7","11.1","112.2","79","%","%","%","%",3,2,4,39,27,8,6,0.8,469,4,25,0,33,0,0,0,"196",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,24956,6064,18879,0,13,24916,5931,112,18,3,3209,2809,25,6043,61,154,1070,1048,885,885,861,521,328,244,7,"0 to 105","42",3161,705,521,1656,774,3376,1893,943,6,468,3,0,151,6064,2819,3220,6043,21,0,77536,17,83673,77553,6064,211,5304,1,5516,3.83,89189,6275,24183,30472,"5.3",7,25.1,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","32","3.5","21.7","3.1","%","%","%","%",237,74,151,949,471,16,8,2.5,5963,142,101,9,335,40,6,0,"6",0,34
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,154612,62268,92151,27,166,152654,57863,3882,490,33,32124,29417,204,61745,1325,3269,9076,12051,10810,10158,8292,4138,2046,1070,33,"0 to 119","39",22795,16047,6464,16439,21222,24533,15990,7227,87,3848,67,26,803,62268,29761,32301,61745,523,0,369791,1312,434122,371103,62268,3078,44733,10,47821,6.44,481943,65346,136884,202433,"10.6",13.6,42.3,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","44.1","33.6","48.2","25.5","%","%","%","%",693,225,829,7314,3915,12,7,1.3,61614,815,654,14,6261,421,55,0,"285",1,59
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1024,475,548,0,1,1023,459,16,0,0,195,279,1,475,2,14,50,90,86,65,61,45,35,27,0,"1 to 99","44",284,45,28,118,17,324,134,47,0,29,0,0,7,475,279,195,475,0,0,3502,0,3993,3502,475,4,32,0,36,11.11,4029,479,580,1060,"7.3",11.9,46.8,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","NO","NO","increased by","did not change","increased by","decreased by","500","","146","24.4","%","","%","%",13,6,7,47,29,10,7,1.5,462,7,13,0,23,0,0,0,"48",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7203,2238,4954,1,10,7169,2006,225,6,1,1146,1063,22,2231,23,44,244,256,237,325,405,321,221,161,1,"0 to 101","54",1643,129,136,323,175,1646,410,226,1,237,1,0,91,2238,1065,1150,2231,7,0,23865,16,26153,23881,2238,107,2612,0,2719,3.94,28872,2345,7566,9922,"5.6",8.1,32.6,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","100","37.8","39.2","42.9","%","%","%","%",177,53,91,227,238,11,11,4.1,2214,91,24,0,100,4,0,0,"54",0,2
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5847,1539,4271,1,36,5799,924,611,3,1,799,728,8,1535,13,44,206,190,181,238,289,186,124,60,8,"0 to 100","51",1181,105,111,138,81,1258,196,119,0,148,0,0,36,1539,731,800,1535,4,0,16878,8,18436,16886,1539,39,1327,0,1366,2.86,19802,1578,5598,7213,"5",8,27,"2020-08-02 05:00:00","2020-08-08 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","61.2","53.3","23.2","2.4","%","%","%","%",48,10,36,119,148,8,10,2.3,1514,36,25,0,121,3,1,0,"46",0,6
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,11388,3282,8092,1,13,11348,3151,123,8,0,1795,1471,8,3274,31,107,531,492,521,570,455,293,184,98,0,"0 to 100","44",1629,554,271,820,303,2068,903,475,0,213,0,0,51,3282,1475,1799,3274,8,0,31468,18,34786,31486,3282,77,1813,0,1890,4.07,36676,3359,9905,13278,"6.4",9.2,29.5,"2020-08-02 05:00:00","2020-08-08 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","16","36.1","2.4","6.2","%","%","%","%",107,31,51,475,213,15,7,1.6,3245,51,37,0,233,19,2,0,"12",0,3
