"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,22737,8060,14646,3,28,22386,7784,201,63,12,4389,3566,30,7985,121,291,3242,1359,838,759,674,454,201,108,13,"0 to 118","27",3471,1885,887,1742,909,5071,2005,792,18,404,21,1,55,8060,3611,4418,7985,75,0,89851,248,98189,90099,8060,185,2669,0,2854,6.48,101043,8245,17315,25591,"9.7",8.2,36.3,"2020-09-13 05:00:00","2020-09-19 05:00:00","YES","YES","NO","NO","decreased by","decreased by","increased by","decreased by","3.8","25.4","25.8","12.7","%","%","%","%",60,17,56,810,425,11,6,0.7,7960,54,100,2,556,51,9,0,"159",0,9,"328",7799,"261",561,100,461,17.8
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2536,1467,1034,0,35,2442,1252,214,0,1,471,995,0,1466,6,38,174,304,312,256,202,115,50,10,0,"0 to 97","41",755,202,48,461,17,894,555,105,0,67,0,0,12,1467,995,472,1466,1,0,6419,58,7970,6477,1467,7,88,0,95,7.37,8065,1474,1122,2631,"9.5",18.3,58.1,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","100","53.6","38.1","29","%","%","%","%",0,3,12,105,67,8,5,0.8,1449,11,18,1,74,4,0,1,"586",0,1,"39",1427,"40",62,18,44,29
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9222,6040,3162,1,19,9078,5795,141,102,2,2961,2935,40,5936,68,146,918,1121,991,999,863,541,280,94,19,"0 to 99","42",3419,604,819,1094,467,3992,1477,728,19,345,8,5,104,6040,3001,2999,5936,104,0,28308,30,34447,28338,6040,122,1379,0,1501,8.13,35948,6162,4541,10723,"5.9",17.1,66.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","36.8","37.2","7.6","12.5","%","%","%","%",28,19,109,747,353,13,6,1.8,5999,107,41,2,359,16,5,1,"443",0,10,"377",5286,"754",177,41,136,23.2
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2689,1090,1597,0,2,2684,803,286,1,0,529,560,0,1089,14,51,147,162,155,175,193,110,60,23,0,"0 to 107","45",713,265,52,59,32,946,111,119,0,71,0,0,8,1090,561,529,1089,1,0,5664,2,6776,5666,1090,14,113,0,127,11.02,6903,1104,1710,2816,"10.4",16,41.1,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","125","27.6","10.7","6.4","%","%","%","%",8,2,8,119,71,11,7,0.7,1081,8,9,0,101,5,1,0,"266",0,1,"59",1062,"28",35,9,26,25.7
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27755,8800,18930,0,25,27697,8599,174,24,3,4753,3989,31,8773,93,294,1437,1374,1204,1231,1312,839,569,423,24,"0 to 105","44",4689,1059,728,2297,997,5052,2724,1410,6,791,3,1,293,8800,4004,4765,8773,27,0,96621,16,105496,96637,8800,360,6575,1,6936,5.19,112432,9160,25505,34691,"6",8.1,33,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","16.7","21.8","31.5","9.4","%","%","%","%",99,152,294,1416,794,17,10,3.3,8728,292,72,2,584,60,9,0,"68",0,17,"1162",8256,"544",745,72,673,9.7
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,175403,76700,98562,29,112,173398,70653,5396,609,42,39706,36210,133,76049,1642,4222,11277,14611,13157,12391,10227,5175,2563,1400,35,"0 to 107","39",31823,20254,10503,13469,28887,34232,12930,10337,99,5788,76,26,1379,76700,36627,39938,76049,651,0,484009,1233,562826,485242,76700,5310,55505,14,60829,8.73,623655,82010,154067,236232,"12.4",13.1,46.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","13","21.5","16","0.5","%","%","%","%",329,366,1405,10436,5864,14,8,1.8,76520,1390,180,15,7943,584,88,0,"397",1,60,"3285",75865,"835",2457,180,2277,7.3
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1290,614,675,0,1,1288,586,27,1,0,263,349,1,613,5,25,70,114,107,86,76,60,43,28,0,"0 to 99","43",407,92,41,73,26,496,91,60,1,33,1,0,11,614,350,263,613,1,0,4342,0,4966,4342,614,4,38,0,42,9.52,5008,618,713,1332,"9.2",12.3,47.9,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","YES","YES","did not change","did not change","decreased by","decreased by","","","16.7","2.7","","","%","%",13,6,11,61,34,10,6,1.8,612,11,2,0,46,0,0,0,"171",0,1,"84",573,"41",22,2,20,9.1
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7996,3030,4957,1,8,7963,2762,260,7,1,1610,1402,10,3022,25,72,321,323,325,434,547,448,302,233,0,"0 to 101","55",2324,195,283,220,243,2447,332,391,1,381,1,0,135,3030,1404,1615,3022,8,0,30310,16,33394,30326,3030,187,3253,0,3440,5.44,36834,3217,8210,11436,"6.5",8.7,40.2,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","63.6","55.2","2.5","13.1","%","%","%","%",145,60,135,392,382,13,13,4.5,3013,135,17,0,145,10,2,0,"64",0,4,"513",2894,"136",215,17,198,7.9
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7591,2737,4807,2,45,7529,1792,937,4,4,1513,1206,10,2729,32,99,362,310,297,402,457,354,265,145,14,"0 to 100","51",2157,166,206,200,137,2293,299,261,0,285,1,0,102,2737,1212,1515,2729,8,0,23272,7,26027,23279,2737,89,1569,0,1658,5.37,27685,2826,6376,9249,"6.5",10.2,37.2,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","13.8","41.5","3.3","13.8","%","%","%","%",98,24,102,261,286,10,11,3.7,2722,100,15,2,244,5,2,0,"61",0,18,"505",2699,"38",177,15,162,8.5
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13649,5001,8619,2,27,13587,4822,164,15,0,2605,2337,44,4986,51,182,783,748,818,882,682,439,288,126,2,"0 to 100","43",2797,736,445,1008,451,3414,1121,821,2,354,3,0,100,5001,2346,2611,4986,15,0,42825,18,47869,42843,5001,136,2165,0,2301,5.91,50170,5137,10784,15950,"7.7",10.2,37.6,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","33.3","21.4","33.3","42.2","%","%","%","%",72,49,100,823,357,17,8,2,4966,98,35,2,385,46,3,0,"189",0,9,"501",4728,"273",286,35,251,12.2
