"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19790,5196,14572,5,17,19458,4958,174,52,12,2800,2313,19,5132,91,221,1315,1123,664,612,548,369,162,84,7,"0 to 103","33",1823,1590,612,1107,612,3155,1365,611,15,309,16,1,33,5196,2349,2827,5132,64,0,79162,249,84638,79411,5196,140,2347,0,2487,5.63,87125,5336,16919,22277,"8.5",6.1,27,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","3.3","42.7","25.7","12.8","%","%","%","%",65,14,34,626,325,13,7,0.7,5193,34,3,0,427,44,7,0,"94",0,2,"263",5128,"68",170,3,167,1.8
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2151,1153,960,0,38,2055,1026,127,0,0,310,843,0,1153,5,19,124,265,268,199,162,68,33,10,0,"1 to 97","40",511,148,45,449,15,610,528,74,0,46,0,0,5,1153,843,310,1153,0,0,5578,57,6814,5635,1153,4,72,0,76,5.26,6890,1157,1032,2227,"8",16.8,53.8,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","28.6","55.6","5.4","4.9","%","%","%","%",0,3,5,74,46,7,4,0.4,1151,5,2,0,43,3,0,0,"572",0,1,"33",1145,"8",9,2,7,22.2
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8425,5363,3045,1,16,8305,5140,140,81,2,2591,2644,45,5280,63,107,809,1021,902,909,757,461,236,79,19,"0 to 99","42",2987,542,674,1077,393,3448,1439,648,16,296,6,5,78,5363,2693,2625,5280,83,0,25308,30,30763,25338,5363,84,1288,0,1372,6.12,32135,5447,4333,9797,"5.4",17,64.7,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","57.1","67.4","37.2","16.6","%","%","%","%",34,17,83,664,302,13,6,1.5,5355,83,8,0,292,15,5,1,"432",0,7,"299",4776,"587",76,8,68,10.5
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2243,738,1504,0,1,2240,558,180,0,0,319,419,0,738,12,35,95,111,115,127,123,61,42,17,0,"0 to 107","45",458,197,32,51,27,627,84,68,0,41,0,0,5,738,419,319,738,0,0,4751,2,5512,4753,738,9,97,0,106,8.49,5618,747,1601,2349,"8.7",13.3,33.3,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","57.1","83.3","3.9","12.9","%","%","%","%",4,2,5,68,41,10,6,0.7,729,5,9,0,67,2,0,0,"234",0,1,"49",727,"11",17,9,8,52.9
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26149,7234,18900,0,15,26106,7079,133,19,3,3881,3295,36,7212,71,199,1187,1191,1034,1024,1043,654,449,362,20,"0 to 105","44",3783,907,640,1882,872,4099,2241,1168,6,647,3,1,210,7234,3305,3893,7212,22,0,85942,16,93249,85958,7234,279,5807,1,6087,4.58,99336,7513,24707,32236,"5.6",7.6,28.7,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","10.9","15.1","27.9","26.6","%","%","%","%",249,127,211,1174,650,17,9,2.9,7201,211,33,0,414,45,6,0,"66",0,15,"1014",7076,"158",325,33,292,10.2
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,166134,71121,94870,33,110,164202,65460,5093,530,38,36869,33551,133,70553,1541,3924,10268,13607,12235,11550,9505,4797,2377,1282,35,"0 to 119","39",29104,19000,8854,13595,26534,30970,13049,9602,97,5293,76,26,1184,71121,33922,37065,70553,568,0,428558,1235,501811,429793,71121,3918,48347,11,52276,7.49,554087,75039,143217,218410,"11.4",13.5,45.2,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","26.3","25.1","33.5","22.6","%","%","%","%",584,345,1210,9699,5369,14,8,1.7,70950,1209,171,1,7378,554,79,0,"322",1,52,"2873",70760,"361",1813,171,1642,9.4
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1189,570,618,0,1,1187,553,16,1,0,242,326,1,569,4,18,60,108,101,81,73,56,41,28,0,"1 to 99","44",371,89,39,70,24,462,83,58,1,32,1,0,8,570,327,242,569,1,0,3989,0,4569,3989,570,4,36,0,40,10,4609,574,654,1229,"8.5",12.5,48.3,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","did not change","increased by","decreased by","100","","2.9","30.3","%","","%","%",13,6,8,59,33,11,6,1.4,568,8,2,0,35,0,0,0,"168",0,0,"81",535,"35",4,2,2,50
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7645,2677,4959,1,8,7614,2439,232,5,1,1400,1262,9,2671,24,60,279,296,290,393,477,393,262,203,0,"0 to 101","54",2074,165,219,213,215,2147,309,322,1,331,1,0,110,2677,1264,1403,2671,6,0,26896,16,29624,26912,2677,138,2908,0,3046,4.53,32670,2815,7867,10691,"6",8.6,36.8,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","175","10.5","7.6","10.7","%","%","%","%",155,56,110,323,332,13,13,4.1,2656,110,21,0,124,7,1,0,"60",0,3,"410",2592,"85",94,21,73,22.3
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6583,2095,4424,1,63,6505,1261,827,4,3,1119,963,6,2088,18,75,277,254,237,323,383,263,178,79,8,"0 to 100","50",1666,117,151,154,111,1752,225,189,0,210,1,0,57,2095,968,1121,2088,7,0,19896,7,22008,19903,2095,61,1433,0,1494,4.08,23502,2156,5857,8077,"5.6",9.2,32.8,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","52.9","3.3","33.1","14","%","%","%","%",45,18,57,189,211,10,11,2.7,2082,57,13,0,180,5,2,0,"55",0,9,"250",2085,"10",99,13,86,13.1
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12430,4092,8316,1,21,12376,3945,133,14,0,2209,1840,29,4078,40,142,610,553,621,692,528,354,228,118,206,"0 to 100","44",2110,644,355,969,387,2626,1065,637,2,297,3,0,76,4092,1848,2215,4078,14,0,37122,18,41277,37140,4092,105,1975,0,2080,5.05,43357,4197,10291,14510,"7",9.7,33.8,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","27.8","57.8","46.2","15.8","%","%","%","%",74,44,76,639,300,16,8,1.9,3960,76,132,0,301,30,2,0,"19",0,5,"459",3894,"198",1044,132,912,12.6
