"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","SHAPE_Length","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15596,214,209,1752,2877,2256,2238,2577,1913,919,575,66,"0 to 119",47,8990,6457,149,15323,273,0,217,15095,590,63,738,14852,6,0,15317,660,55,12,11,359,356,0,715,7,8,232,161,71,80,67,71,26,14,1,"0 to 103","32",257,164,151,143,162,406,147,147,5,87,4,0,11,738,368,370,715,23,0,34662,250,35659,34912,738,2.62533239231304,48,1255,0,1303,3.68,786,16107,16899,"6.4",2.1,5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","10.5","13.6","24.1","45.5","%","%","%","%",52,9,11,152,91,20.6,12.3,1.5,716,11,22,0,16,3,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,898,30,16,98,132,123,148,148,103,66,32,2,"0 to 99",48,497,349,52,836,62,0,24,843,74,3,44,854,0,0,836,20,22,2,0,23,19,0,42,0,2,6,4,6,6,6,6,5,3,0,"10 to 97","50",29,10,2,1,1,39,2,10,0,12,0,0,4,44,20,24,42,2,0,1430,60,1534,1490,44,1.77124519435665,0,24,0,24,0,44,878,922,"3.3",2.8,4.9,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","25","1000","1689.9","","%","%","%",3,3,4,10,12,22.7,27.3,9.1,41,4,3,0,4,1,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3279,37,32,218,406,438,548,625,443,291,186,55,"0 to 119",53,1830,1396,53,3243,36,0,81,3080,222,51,205,3042,0,32,3217,160,35,9,1,90,105,0,195,3,2,25,44,31,44,26,14,15,1,0,"2 to 93","44",157,18,12,8,62,120,13,60,3,25,2,1,4,205,109,96,195,10,0,6233,20,6463,6253,205,5.42268520962735,15,690,0,705,2.13,220,3732,3984,"2.2",3.1,6.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","83.3","61.5","266.7","266.3","%","%","%","%",0,0,5,63,27,30.7,13.2,2.4,190,4,15,0,2,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1479,20,26,118,189,169,223,290,189,146,103,6,"0 to 118",54,926,528,25,1477,2,0,30,1396,157,2,63,1415,0,1,1476,23,40,0,0,47,16,0,63,0,2,5,5,9,8,5,6,12,11,0,"8 to 107","57",51,11,1,0,3,60,0,7,0,13,0,0,2,63,16,47,63,0,0,2158,2,2224,2160,63,1.60231093560507,5,42,0,47,10.64,68,1457,1526,"5.7",3,4.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","50","9","0.033962264","%","%","case","percent difference",4,2,2,7,13,11.1,20.6,3.2,61,2,2,0,3,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,19707,261,351,1132,1892,2134,2737,4435,3957,2102,557,149,"0 to 119",58,11195,8409,103,19689,18,0,203,19023,746,87,878,18826,0,3,19686,805,61,10,2,452,413,1,866,14,26,145,141,144,121,139,79,40,29,0,"0 to 99","42",572,79,75,140,218,497,151,182,3,92,3,0,16,878,417,460,866,12,0,34176,6,35062,34182,878,7.43388258345288,64,2606,1,2671,2.4,942,21432,22378,"3.9",2.5,4.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","76.2","112.5","240.4","170","%","%","%","%",15,3,16,185,95,21.1,10.8,1.8,850,16,28,0,29,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,97871,1256,1671,6767,14321,14980,17184,18488,12728,6774,3509,193,"0 to 119",50,53116,43202,1553,96326,1545,0,2397,87240,11552,1039,11327,86504,13,27,96289,9765,1284,254,24,5557,5492,0,11049,117,295,1305,2010,1885,1947,1815,1008,600,345,0,"0 to 102","45",5445,3725,976,903,4033,6186,830,3014,69,1831,56,22,373,11327,5675,5652,11049,278,0,152744,1264,165410,154008,11327,2.7919763283364,1119,22405,3,23527,4.76,12446,108909,121398,"6.4",6.6,12.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","47.6","37.6","106.4","75.6","%","%","%","%",300,155,395,3083,1887,27.2,16.7,3.5,11155,373,172,0,379,59,12,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,536,5,4,43,49,79,75,90,83,71,36,1,"0 to 99",56,319,199,18,536,0,0,4,442,55,3,69,467,0,0,536,53,16,0,0,52,17,0,69,0,0,6,6,5,2,3,7,20,20,0,"20 to 99","78",51,10,0,8,1,55,13,11,0,6,0,0,6,69,17,52,69,0,0,674,0,745,674,69,1.88103049327488,0,14,0,14,0,69,481,550,"3.8",9.1,12.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","100","400","418.9","%","%","%","%",39,5,6,11,6,15.9,8.7,8.7,69,6,0,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5534,61,52,252,462,531,761,1062,1057,740,550,6,"0 to 119",61,3267,2201,66,5515,19,0,158,4982,573,23,597,4933,1,3,5511,444,150,2,1,362,232,0,594,5,8,25,62,39,69,109,89,86,105,0,"0 to 101","63",475,55,15,49,37,494,63,105,1,136,1,0,75,597,234,363,594,3,0,9779,16,10394,9795,597,3.83218059315228,44,1425,0,1469,3,641,6358,7003,"4",5.4,11.6,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","33.3","25","56.9","","%","%","%",84,49,75,106,137,17.8,22.9,12.6,587,75,10,0,12,2,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,3969,38,69,192,368,354,466,736,913,626,198,9,"0 to 222",61,2212,1559,198,3962,7,0,72,3588,284,26,199,3768,1,1,3961,116,83,0,0,102,97,0,199,2,4,24,18,13,32,49,27,19,11,0,"0 to 97","56",151,9,11,28,20,151,28,32,0,34,0,0,12,199,97,102,199,0,0,8174,6,8382,8180,199,2.36078129145224,21,743,0,764,2.75,220,4511,4733,"3.3",2.4,5.5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","14.3","100","200","352.1","%","%","%","%",2,1,12,32,34,16.1,17.1,6,189,12,10,0,6,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8309,121,203,636,966,1151,1354,1482,1308,761,306,21,"0 to 101",53,4806,3395,108,8288,21,0,125,7790,533,49,519,7789,1,0,8287,449,67,3,0,307,209,0,516,1,7,50,66,67,75,83,82,55,33,0,"4 to 100","54",277,98,49,92,46,365,105,135,0,97,0,0,32,519,210,309,516,3,0,14276,18,14817,14294,519,1.77574995355385,30,878,0,908,3.3,549,8667,9217,"4.4",3.5,6.6,"2020-06-14","2020-06-20","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","10","21.1","57.1","121.9","%","%","%","%",32,23,32,135,97,26,18.7,6.2,494,32,25,0,6,1,0,0
