"Timestamp1","OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
2020-10-20 17:43:39,66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,24368,9575,14746,4,43,23988,9247,240,76,12,5180,4291,16,9487,142,347,4093,1531,936,872,741,535,243,131,4,"0 to 103","26",4778,2152,1041,1516,1208,6504,1775,1007,22,479,26,3,74,9575,4344,5214,9487,88,0,97867,249,107723,98116,9575,210,2798,0,3008,6.98,110731,9785,17544,27376,"10.4",8.8,40.2,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","29.2","7.5","32.2","17.8","%","%","%","%","51",25,77,1029,505,11,6,0.8,9496,76,79,1,676,69,12,0,"172",0,5,"378",9146,"429",482,79,403,16.4,"671","7775","8446","7.9",27,413,440,"6.14"
2020-10-20 17:43:39,17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2865,1697,1131,0,37,2768,1411,284,0,2,574,1121,0,1695,9,48,204,357,354,289,225,133,62,16,0,"0 to 103","40",889,227,55,524,18,1049,628,123,0,83,0,0,17,1697,1121,576,1695,2,0,7005,55,8785,7060,1697,11,94,0,105,10.48,8890,1708,1225,2970,"10.7",19.2,59.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","YES","NO","NO","did not change","decreased by","decreased by","decreased by","","8.3","33","12.5","","%","%","%","1",3,17,123,83,8,5,1,1691,17,6,0,99,5,0,1,"633",0,1,"51",1616,"81",31,6,25,19.4,"99","664","763","13.0",13,25,38,"34.21"
2020-10-20 17:43:39,15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9794,6479,3289,1,25,9582,6164,149,164,2,3169,3115,29,6313,72,171,992,1193,1066,1080,928,581,298,97,1,"0 to 99","42",3696,636,864,1117,494,4333,1486,768,21,368,10,6,131,6479,3206,3244,6313,166,0,31054,30,37636,31084,6479,140,1454,0,1594,8.78,39230,6619,4743,11388,"6.2",16.9,67.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","30.6","26.8","40.9","%","%","%","%","14",25,137,789,378,13,6,2.1,6450,134,29,3,411,22,7,1,"445",0,9,"378",5553,"926",255,29,226,11.4,"396","2750","3146","12.6",13,167,180,"7.22"
2020-10-20 17:43:39,40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2868,1206,1658,0,4,2861,893,312,1,0,587,618,0,1205,19,60,164,181,170,190,212,122,64,24,0,"0 to 107","45",803,286,59,57,34,1078,93,142,0,72,0,0,12,1206,619,587,1205,1,0,6128,2,7356,6130,1206,18,120,0,138,13.04,7494,1224,1778,3006,"11.1",16.3,42.7,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","YES","YES","increased by","decreased by","did not change","decreased by","57.1","23.5","","17.6","%","%","","%","5",2,12,142,72,12,6,1,1202,12,4,0,120,9,1,0,"278",0,1,"67",1172,"34",23,4,19,17.4,"120","837","957","12.5",3,34,37,"8.11"
2020-10-20 17:43:39,42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,29518,10521,18989,0,8,29455,10265,207,45,4,5611,4817,44,10472,110,402,1695,1635,1421,1444,1600,1064,690,458,2,"0 to 105","44",5728,1203,886,2655,1158,6177,3137,1628,12,955,4,1,350,10521,4842,5635,10472,49,0,105695,14,116301,105709,10521,386,6854,2,7242,5.33,123543,10907,25843,36760,"6.4",8.8,37,"2020-10-11 05:00:00","2020-10-17 05:00:00","YES","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","13","37.1","11","4","%","%","%","%","60",182,351,1640,959,16,10,3.3,10427,348,94,3,777,66,9,0,"70",0,21,"1222",9418,"1103",574,94,480,16.4,"775","8449","9224","8.4",50,520,570,"8.77"
2020-10-20 17:43:39,62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,183700,81537,101995,30,138,181602,74977,5848,668,44,42049,38644,132,80825,1729,4527,12024,15568,13960,13210,10825,5488,2702,1469,35,"0 to 107","39",34632,21027,11692,13474,30861,37038,12926,10762,107,6056,81,29,1517,81537,39096,42307,80825,712,0,535463,1237,619120,536700,81537,5913,58161,22,64096,9.23,683216,87450,160156,247796,"13",12.8,47.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","6.5","0.8","29.2","20.7","%","%","%","%","247",400,1546,10869,6137,14,8,1.9,81277,1544,260,2,8495,617,94,0,"407",1,38,"3459",80089,"1448",2848,260,2588,9.1,"8476","47748","56224","15.1",219,2899,3118,"7.02"
2020-10-20 17:43:39,5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1385,679,705,0,1,1383,640,38,1,0,281,396,1,678,6,26,76,126,115,100,87,68,46,29,0,"0 to 99","44",451,98,51,78,28,549,101,66,1,36,1,0,14,679,397,281,678,1,0,4453,0,5142,4453,679,6,41,0,47,12.77,5189,685,746,1432,"9.9",13.2,49.5,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","3","14.3","10.5","12.1"," cases","%","%","%","13",6,14,67,37,10,6,2.1,670,14,9,0,51,1,0,0,"192",0,0,"89",634,"45",5,9,-4,180,"51","460","511","10.0",3,15,18,"16.67"
2020-10-20 17:43:39,56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8383,3388,4987,1,7,8349,3084,294,9,1,1808,1559,11,3378,26,84,353,350,355,483,600,523,363,251,0,"0 to 101","55",2601,223,306,248,277,2731,370,457,1,422,1,0,155,3388,1561,1815,3378,10,0,33695,17,37138,33712,3388,206,3398,2,3606,5.71,40744,3594,8385,11989,"6.8",8.8,42.9,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","43.5","50","12.2","11.1","%","%","%","%","93",64,155,458,423,14,13,4.6,3368,154,20,1,163,10,1,0,"66",0,6,"548",3162,"226",309,20,289,6.5,"163","1807","1970","8.3",4,85,89,"4.49"
2020-10-20 17:43:39,32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,8250,3059,5133,2,56,8173,2027,1020,5,7,1700,1344,3,3047,35,112,394,348,333,446,522,410,303,155,1,"0 to 100","52",2449,180,227,191,153,2591,303,288,1,317,1,1,131,3059,1353,1703,3047,12,0,25332,7,28409,25339,3059,100,1662,0,1762,5.68,30171,3159,6795,10012,"7",10.5,38.3,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","34.8","22.2","19.3","10.1","%","%","%","%","52",41,132,289,318,10,11,4.3,3045,132,14,0,265,6,2,0,"61",0,10,"531",2994,"65",168,14,154,8.3,"265","2202","2467","10.7",5,111,116,"4.31"
2020-10-20 17:43:39,22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,14741,5793,8916,1,31,14675,5577,199,16,0,3000,2719,57,5776,61,222,904,841,975,1006,797,513,324,148,1,"0 to 102","43",3442,857,480,997,522,4118,1136,933,2,392,3,0,116,5792,2728,3007,5776,16,0,47830,18,53670,47848,5792,156,2273,0,2429,6.42,56099,5948,11189,17170,"8.3",10.6,40.4,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","41","55.4","26.6","23.9","%","%","%","%","81",55,116,935,395,17,7,2,5745,116,47,0,476,59,5,0,"248",0,5,"543",5430,"362",241,47,194,19.5,"475","5154","5629","8.4",26,283,309,"8.41"
