"Timestamp1","OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
2020-10-19 18:06:40,66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,24278,9496,14735,4,43,23897,9167,240,77,12,5135,4257,15,9407,142,347,4051,1522,930,867,738,533,241,121,4,"0 to 103","26",4704,2142,1036,1525,1202,6431,1774,1003,22,478,26,3,73,9496,4310,5170,9407,89,0,97464,249,107240,97713,9496,210,2798,0,3008,6.98,110248,9706,17533,27286,"10.4",8.8,40,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","29.2","7.5","32.2","17.8","%","%","%","%",50,25,76,1025,504,11,6,0.8,9452,74,44,2,675,66,12,0,"172",0,5,"375",9072,"424",212,44,168,20.8,"670","7725","8395","8.0",30,414,444,"6.76"
2020-10-19 18:06:40,17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2854,1691,1126,0,37,2757,1407,282,0,2,573,1116,0,1689,9,48,204,356,354,288,225,131,61,15,0,"0 to 103","40",885,227,55,522,18,1046,625,122,0,83,0,0,17,1691,1116,575,1689,2,0,6980,55,8754,7035,1691,11,94,0,105,10.48,8859,1702,1220,2959,"10.6",19.2,59.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","YES","NO","NO","did not change","decreased by","decreased by","decreased by","","8.3","33","12.5","","%","%","%",0,3,17,122,83,8,5,1,1685,17,6,0,99,5,0,1,"632",0,1,"50",1612,"79",24,6,18,25,"99","658","757","13.1",14,26,40,"35"
2020-10-19 18:06:40,15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9750,6450,3273,1,26,9541,6139,149,160,2,3158,3101,29,6288,72,170,987,1190,1059,1077,922,580,295,97,1,"0 to 99","42",3676,636,863,1113,493,4307,1488,765,21,366,10,6,128,6450,3189,3232,6288,162,0,30828,30,37381,30858,6450,140,1454,0,1594,8.78,38975,6590,4727,11344,"6.2",16.9,67.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","30.6","26.8","40.9","%","%","%","%",14,25,134,786,376,13,6,2.1,6449,133,1,1,409,22,7,1,"445",0,6,"378",5539,"911",116,1,115,0.9,"394","2711","3105","12.7",16,140,156,"10.26"
2020-10-19 18:06:40,40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2864,1202,1658,0,4,2857,890,311,1,0,585,616,0,1201,19,60,163,181,170,190,210,121,64,24,0,"0 to 107","45",799,286,59,57,34,1073,94,142,0,72,0,0,12,1202,617,585,1201,1,0,6109,2,7333,6111,1202,18,120,0,138,13.04,7471,1220,1778,3002,"11.1",16.3,42.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","YES","YES","increased by","decreased by","did not change","decreased by","57.1","23.5","","17.6","%","%","","%",5,2,12,142,72,12,6,1,1202,12,0,0,120,9,1,0,"278",0,1,"66",1171,"31",3,0,3,0,"120","838","958","12.5",3,41,44,"6.82"
2020-10-19 18:06:40,42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,29425,10427,18991,0,7,29365,10173,207,43,4,5569,4769,42,10380,109,398,1680,1615,1406,1434,1584,1059,685,455,2,"0 to 105","45",5678,1194,883,2625,1151,6123,3106,1622,11,951,4,1,347,10427,4794,5591,10380,47,0,105215,14,115726,105229,10427,386,6854,2,7242,5.33,122968,10813,25845,36667,"6.4",8.8,36.7,"2020-10-11 05:00:00","2020-10-17 05:00:00","YES","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","13","37.1","11","4","%","%","%","%",60,182,348,1633,955,16,10,3.3,10397,346,30,2,770,66,9,0,"69",0,22,"1218",9352,"1075",324,30,294,9.3,"768","8354","9122","8.4",52,462,514,"10.12"
2020-10-19 18:06:40,62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,183260,81277,101821,29,133,181169,74754,5812,667,44,41925,38509,132,80566,1726,4521,11987,15502,13921,13173,10776,5471,2697,1468,35,"0 to 107","39",34478,20989,11660,13439,30767,36893,12906,10742,106,6046,80,29,1515,81277,38960,42183,80566,711,0,532875,1237,616269,534112,81277,5913,58161,22,64096,9.23,680365,87190,159982,247356,"13",12.8,47.6,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","6.5","0.8","29.2","20.7","%","%","%","%",246,400,1544,10848,6126,14,8,1.9,81107,1539,170,5,8480,616,94,0,"407",1,49,"3457",79829,"1448",1943,170,1773,8.7,"8461","47419","55880","15.1",225,2840,3065,"7.34"
2020-10-19 18:06:40,5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1371,670,700,0,1,1369,631,38,1,0,281,387,1,669,6,26,75,125,115,96,86,66,46,29,0,"0 to 99","44",449,98,48,74,28,543,98,65,1,36,1,0,14,670,388,281,669,1,0,4457,0,5137,4457,670,6,41,0,47,12.77,5184,676,741,1418,"9.8",13,49.3,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","3","14.3","10.5","12.1"," cases","%","%","%",13,6,14,66,37,10,6,2.1,669,14,1,0,50,0,0,0,"192",0,0,"89",625,"45",1,1,0,100,"50","460","510","9.8",2,19,21,"9.52"
2020-10-19 18:06:40,56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8358,3368,4982,1,7,8324,3064,294,9,1,1799,1548,11,3358,26,84,350,349,353,479,596,522,360,249,0,"0 to 101","55",2590,222,305,241,275,2722,361,452,1,417,1,0,154,3368,1550,1806,3358,10,0,33406,17,36830,33423,3368,206,3398,2,3606,5.71,40436,3574,8380,11964,"6.8",8.8,42.8,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","43.5","50","12.2","11.1","%","%","%","%",93,64,154,453,418,14,13,4.6,3363,154,5,0,161,10,1,0,"65",0,5,"546",3144,"224",102,5,97,4.9,"161","1795","1956","8.2",3,84,87,"3.45"
2020-10-19 18:06:40,32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,8223,3046,5119,2,56,8146,2016,1017,5,7,1694,1336,3,3033,35,112,394,347,331,444,519,406,302,154,1,"0 to 100","52",2416,177,222,218,148,2554,331,285,1,313,1,1,131,3045,1345,1697,3033,12,0,25178,7,28241,25185,3045,100,1662,0,1762,5.68,30003,3145,6781,9985,"7",10.5,38.2,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","34.8","22.2","19.3","10.1","%","%","%","%",52,41,132,286,314,10,11,4.3,3040,131,5,1,265,6,2,0,"61",0,13,"531",2979,"66",42,5,37,11.9,"265","2179","2444","10.8",7,97,104,"6.73"
2020-10-19 18:06:40,22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,14664,5746,8887,1,30,14599,5531,198,16,0,2973,2702,54,5729,61,221,896,839,966,997,785,509,322,148,1,"0 to 102","43",3404,855,476,994,517,4075,1137,931,2,392,3,0,116,5745,2711,2980,5729,16,0,47636,18,53429,47654,5745,156,2273,0,2429,6.42,55858,5901,11160,17093,"8.2",10.6,40.2,"2020-10-11 05:00:00","2020-10-17 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","41","55.4","26.6","23.9","%","%","%","%",85,55,116,933,395,17,7,2,5722,116,23,0,473,59,5,0,"247",0,5,"541",5398,"347",175,23,152,13.1,"472","5123","5595","8.4",26,277,303,"8.58"
