"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16669,222,247,2154,3144,2379,2333,2654,1947,935,587,67,"0 to 119",45,9545,6977,147,16382,287,0,333,15893,828,76,1871,14792,6,0,16376,1760,74,26,11,925,904,5,1834,14,46,643,446,196,191,153,113,42,25,2,"0 to 103","29",640,376,276,542,285,961,588,183,7,98,5,0,12,1871,925,941,1834,37,0,45645,250,47777,45895,1871,48,1402,0,1450,3.31,49227,1919,16194,18119,"6.9",3.9,11.5,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","17.2","2","9.3","30.5","%","%","%","%",71,10,12,190,103,11,6,0.6,1792,12,79,0,84,5,1,0,"6"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,993,33,20,116,148,139,156,160,113,74,32,2,"0 to 99",47,534,406,53,933,60,0,63,849,156,5,127,865,0,1,932,82,45,0,0,53,71,3,127,1,4,22,18,21,14,18,13,13,3,0,"1 to 97","43",91,21,5,10,2,108,17,28,0,20,0,0,4,127,71,53,127,0,0,1971,60,2158,2031,127,0,33,0,33,0,2191,127,898,1026,"3.7",5.8,12.8,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","100","14.3","150","99.6","%","%","%","%",3,3,4,28,20,23,16,3.1,120,4,7,0,8,2,1,0,"6"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3954,46,49,345,560,567,641,707,487,307,190,55,"0 to 119",50,2190,1709,55,3900,54,0,229,3399,702,78,941,3012,0,1,3899,823,82,34,1,474,429,2,905,13,18,163,212,170,150,113,62,31,8,0,"0 to 95","38",564,115,51,175,149,548,208,124,7,44,2,2,5,940,450,488,905,35,0,8908,21,9893,8929,940,16,753,0,769,2.08,10662,956,3765,4723,"2.6",9,24.2,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","68.2","12.1","80.2","43.9","%","%","%","%",26,0,7,131,46,14,5,0.7,880,5,60,0,48,1,1,0,"13"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1537,23,31,130,201,179,230,296,191,147,103,6,"0 to 118",53,959,555,23,1535,2,0,39,1399,204,2,113,1423,0,1,1534,66,47,0,0,76,37,0,113,1,6,14,16,17,16,11,8,13,11,0,"1 to 107","46",79,28,3,3,6,102,5,20,0,14,0,0,2,113,37,76,113,0,0,2821,2,2938,2823,113,5,48,0,53,9.43,2991,118,1471,1590,"5.9",3.9,7.7,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","250","800","45.5","15.7","%","%","%","%",3,2,2,20,14,18,13,1.8,105,2,8,0,8,0,0,0,"2"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,21851,285,411,1604,2397,2448,3044,4677,4082,2163,593,147,"0 to 119",56,12285,9458,108,21828,23,0,600,20318,1961,115,2986,18860,0,5,21823,2896,72,14,3,1524,1431,13,2968,38,78,628,638,455,417,365,198,101,67,0,"0 to 99","37",1597,181,195,995,457,1498,1013,312,3,160,3,0,26,2985,1438,1534,2968,17,0,52748,6,55749,52754,2985,72,2983,1,3056,2.36,58805,3057,21843,24907,"4.3",5.2,14,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","6.2","23.4","13.1","3.1","%","%","%","%",28,3,26,315,163,11,6,0.9,2812,20,173,6,171,18,3,0,"3"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,114341,2172,2928,9299,17681,17842,19618,20264,13549,7155,3629,204,"0 to 119",48,61695,51081,1565,112717,1624,0,4254,94692,20092,1109,25104,89166,16,55,112650,23089,1651,335,27,12549,12066,125,24740,437,951,3553,5156,4420,4094,3373,1698,946,466,8,"0 to 102","40",10267,6973,1872,5628,8418,11010,5312,4474,76,2395,60,22,427,25102,12303,12673,24740,362,0,218145,1258,244653,219403,25102,1212,25784,4,27000,4.49,271653,26314,114950,141341,"7.4",9.7,23,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","45.4","25.7","95.5","52","%","%","%","%",389,157,449,4550,2455,19,10,1.8,23781,419,1321,8,1916,205,26,0,"217"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,605,5,8,51,60,86,84,108,89,72,42,0,"0 to 99",55,359,230,16,605,0,0,7,462,97,6,122,483,0,0,605,106,16,0,0,79,43,0,122,0,2,14,12,11,9,16,13,21,24,0,"7 to 99","64",86,14,7,15,9,90,23,18,0,12,0,0,7,122,43,79,122,0,0,958,0,1083,958,122,1,24,0,25,4,1108,123,507,630,"4.4",11.1,20.3,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","50","100","360","582.4","%","%","%","%",18,6,7,18,12,15,10,5.7,106,6,16,1,4,0,0,0,"6"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5947,69,58,317,513,584,825,1127,1118,767,562,7,"0 to 119",60,3463,2412,72,5928,19,0,275,5141,832,30,1005,4933,1,8,5919,832,169,2,1,550,437,14,1001,12,14,95,111,95,127,171,147,112,119,1,"0 to 101","58",753,74,20,154,69,749,183,142,1,159,1,0,77,1004,438,551,1001,3,0,13210,16,14238,13226,1004,47,1571,0,1618,2.9,15856,1051,6504,7565,"4.3",6.6,17.7,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","15.4","20.8","73.6","70.8","%","%","%","%",111,49,77,143,160,15,16,7.7,974,77,30,0,37,2,0,0,"4"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4439,48,88,258,442,409,535,821,967,657,206,8,"0 to 222",60,2462,1797,180,4432,7,0,117,3668,507,34,469,3966,1,3,4429,306,163,0,0,225,241,3,469,6,15,56,64,49,69,101,59,33,17,0,"0 to 97","51",351,31,29,58,33,371,65,47,0,52,0,0,13,469,241,225,469,0,0,11016,6,11495,11022,469,24,847,0,871,2.76,12366,493,4813,5310,"3.7",4,11.1,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","33.3","4.5","18.4","26.8","%","%","%","%",10,1,13,47,52,11,12,2.8,457,13,12,0,29,1,0,0,"9"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,9083,131,240,775,1113,1280,1494,1568,1364,777,319,22,"0 to 101",51,5190,3779,114,9061,22,0,225,8290,812,63,1254,7825,1,3,9057,1165,85,4,0,675,571,4,1250,8,35,176,214,192,213,170,130,69,46,1,"0 to 100","45",541,212,92,405,100,709,441,186,0,113,0,0,34,1254,573,677,1250,4,0,19017,18,20302,19035,1254,37,1028,0,1065,3.47,21367,1291,8853,10148,"4.9",6,14.2,"2020-06-28 05:00:00","2020-07-04 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","81.5","26.4","89","70","%","%","%","%",23,23,34,186,113,15,10,2.7,1158,34,96,0,61,5,1,0,"1"
