"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19681,5082,14579,5,15,19354,4847,174,49,12,2748,2254,19,5021,90,211,1297,1103,643,601,534,358,158,80,7,"0 to 103","33",1764,1554,597,1106,600,3056,1365,585,14,295,16,1,31,5082,2289,2773,5021,61,0,77094,249,82457,77343,5082,140,2347,0,2487,5.63,84944,5222,16926,22168,"8.4",6.1,26.5,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","9.1","18.1","32.8","45.3","%","%","%","%",65,13,32,599,311,12,7,0.6,5053,32,29,0,415,43,7,0,"92",0,0,"248",5023,"59"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2121,1136,953,0,32,2031,1015,121,0,0,303,833,0,1136,5,17,122,263,263,197,160,66,33,10,0,"1 to 97","40",498,146,45,447,15,596,525,74,0,45,0,0,4,1136,833,303,1136,0,0,5443,57,6661,5500,1136,4,72,0,76,5.26,6737,1140,1025,2197,"7.9",16.9,53.7,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","NO","YES","YES","increased by","decreased by","decreased by","decreased by","40","46.2","78.2","63.6","%","%","%","%",0,3,4,74,45,7,4,0.4,1132,4,4,0,39,3,0,0,"570",0,0,"33",1129,"7"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8324,5289,3025,1,9,8213,5070,138,79,2,2555,2606,47,5208,61,103,794,1007,894,895,751,455,231,78,20,"0 to 99","42",2937,531,656,1084,386,3371,1451,640,16,292,6,5,77,5289,2655,2587,5208,81,0,24868,30,30249,24898,5289,84,1288,0,1372,6.12,31621,5373,4313,9696,"5.3",17,64.5,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","33.3","47","16.8","15.4","%","%","%","%",65,13,82,656,298,13,6,1.6,5237,81,52,1,286,15,5,1,"427",0,8,"293",4713,"576"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2186,692,1493,0,1,2183,529,163,0,0,292,400,0,692,12,29,86,106,109,119,118,57,39,17,0,"0 to 107","45",421,195,27,49,25,591,76,64,0,40,0,0,5,692,400,292,692,0,0,4633,2,5349,4635,692,9,97,0,106,8.49,5455,701,1590,2292,"8.5",12.9,32.1,"2020-08-16 05:00:00","2020-08-22 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","250","9.1","5.3","5.8","%","%","%","%",4,2,5,64,40,10,6,0.7,673,5,19,0,56,1,0,0,"233",0,1,"48",681,"11"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,25996,7092,18887,0,17,25952,6941,130,18,3,3794,3244,33,7071,70,197,1170,1171,1018,1014,1021,633,437,342,19,"0 to 105","43",3711,886,626,1848,869,4016,2186,1147,6,633,3,1,205,7092,3254,3805,7071,21,0,84485,16,91648,84501,7092,279,5807,1,6087,4.58,97735,7371,24694,32083,"5.6",7.5,28.4,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","increased by","14.8","5.6","9.2","0.1","%","%","%","%",268,115,206,1153,636,17,9,2.9,7040,201,52,5,411,45,6,0,"64",0,13,"996",6942,"150"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,164782,70147,94490,33,112,162855,64556,5031,525,35,36332,33120,135,69587,1503,3857,10125,13428,12094,11405,9375,4727,2342,1259,32,"0 to 104","39",28548,18773,8583,13683,26019,30367,13201,9481,98,5214,77,26,1169,70147,33488,36523,69587,560,0,419434,1234,491687,420668,70147,3918,48347,11,52276,7.49,543963,74065,142837,217058,"11.4",13.6,44.9,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","16.2","31.3","35.8","23.5","%","%","%","%",599,313,1195,9579,5291,14,8,1.7,69883,1186,264,9,7246,547,75,0,"307",1,118,"2801",69843,"304"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1144,547,596,0,1,1142,530,16,1,0,228,317,1,546,4,15,54,108,99,77,72,52,39,27,0,"1 to 99","44",351,89,38,68,24,441,81,57,1,32,1,0,8,547,318,228,546,1,0,3898,0,4455,3898,547,4,36,0,40,10,4495,551,632,1184,"8.2",12.3,48.2,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","80","72.7","16.7","49.1","%","%","%","%",13,6,8,58,33,11,7,1.5,546,8,1,0,27,0,0,0,"167",0,0,"81",510,"37"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7573,2602,4960,1,10,7540,2365,231,5,1,1354,1232,10,2596,24,56,274,291,280,382,471,379,252,193,0,"0 to 101","54",2030,164,202,200,212,2090,294,312,1,321,1,0,109,2602,1234,1357,2596,6,0,26441,16,29093,26457,2602,138,2908,0,3046,4.53,32139,2740,7868,10619,"6",8.5,36.2,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","60","46.7","2.9","10.9","%","%","%","%",145,56,109,313,322,13,13,4.2,2582,108,20,1,120,6,1,0,"60",0,3,"395",2523,"79"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6467,2031,4394,1,41,6412,1221,805,4,1,1082,936,8,2026,17,69,267,244,232,311,375,259,170,77,10,"0 to 100","51",1610,114,153,149,109,1691,226,177,0,201,1,0,54,2031,940,1083,2026,5,0,19302,8,21351,19310,2031,61,1433,0,1494,4.08,22845,2092,5827,7961,"5.6",9.2,32.3,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","NO","YES","NO","decreased by","decreased by","decreased by","decreased by","5.6","40","22.9","37.1","%","%","%","%",42,15,54,177,202,9,10,2.7,1996,53,35,1,171,5,2,0,"55",0,8,"233",2023,"8"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12104,3809,8273,1,21,12050,3662,133,14,0,2061,1705,29,3795,38,141,597,547,610,663,515,343,222,116,17,"0 to 100","44",2056,632,342,765,385,2559,851,622,2,283,2,0,75,3809,1713,2067,3795,14,0,34953,18,38803,34971,3809,105,1975,0,2080,5.05,40883,3914,10248,14184,"6.8",9.6,32.3,"2020-08-16 05:00:00","2020-08-22 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","14.3","33.9","2.7","14.4","%","%","%","%",72,41,75,624,285,17,8,2,3759,73,50,2,292,28,2,0,"18",0,3,"453",3616,"193"
