"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18277,3590,14676,6,5,17968,3406,134,38,12,1920,1614,6,3540,54,132,1013,830,434,413,354,220,94,43,3,"0 to 103","31",1200,1008,446,886,470,2068,1002,277,11,148,11,1,21,3590,1642,1941,3540,50,0,62897,257,66768,63154,3590,81,1877,0,1958,4.14,68726,3671,16553,20235,"7.7",5.3,20.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","5.3","23.8","1","2.9","%","%","%","%",69,11,22,288,159,9,5,0.6,3526,22,64,0,260,17,3,0,"26",0,3
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1292,371,901,0,20,1212,282,88,0,1,181,188,1,370,4,14,59,59,74,58,54,23,20,6,0,"1 to 97","40",237,66,38,29,13,314,43,50,0,26,0,0,4,371,188,182,370,1,0,3818,59,4249,3877,371,0,57,0,57,0,4306,371,958,1349,"4.9",8.6,28.7,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","did not change","decreased by","decreased by","increased by","","30","13.5","14.5","","%","%","%",1,3,4,50,26,14,8,1.1,356,4,15,0,29,3,0,0,"40",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,6637,3620,3002,0,15,6541,3422,136,60,2,1735,1809,14,3558,47,71,558,741,649,613,470,289,132,48,2,"0 to 104","40",2075,387,205,891,321,2157,1080,362,13,140,5,4,21,3620,1844,1761,3558,62,0,19282,37,22971,19319,3620,35,1066,0,1101,3.18,24072,3655,4068,7738,"4.2",15.2,55.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","7.1","33.6","24.3","191.9","%","%","%","%",61,0,25,375,145,11,5,0.7,3475,25,145,0,198,5,1,0,"58",0,6
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1777,332,1444,0,1,1774,236,96,0,0,163,169,0,332,6,12,47,38,55,56,55,24,25,13,1,"0 to 107","46",197,82,15,38,10,274,48,35,0,26,0,0,4,332,169,163,332,0,0,3722,2,4059,3724,332,7,77,0,84,8.33,4143,339,1521,1861,"6.9",8.2,19.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","YES","increased by","did not change","decreased by","decreased by","50","","20.4","20","%","","%","%",3,2,4,35,26,11,8,1.2,325,3,7,1,27,0,0,0,"74",0,1
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,24400,5521,18870,0,9,24364,5391,109,18,3,2919,2557,24,5500,54,140,1006,978,803,806,768,472,279,215,0,"0 to 105","41",2872,585,462,1581,727,3003,1770,804,6,402,3,0,115,5521,2567,2930,5500,21,0,73616,15,79206,73631,5521,144,4648,1,4793,3,83999,5665,23518,29193,"5.1",6.7,23.2,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","did not change","decreased by","decreased by","increased by","","7.9","11.7","1.7","","%","%","%",246,19,115,810,405,15,8,2.1,5420,114,101,1,307,37,5,0,"5",0,51
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,148188,56797,91195,26,170,146244,53813,2480,468,36,29127,26921,245,56293,1201,2901,8328,11120,9932,9281,7479,3754,1841,931,29,"0 to 102","39",19687,14528,5409,16669,18737,21424,16132,6427,86,3332,66,25,742,56797,27238,29301,56293,504,0,343050,1316,401778,344366,56797,2191,39504,7,41702,5.25,443480,58988,130699,189890,"9.9",13.3,39.8,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","34.8","39.2","9.9","2","%","%","%","%",735,188,767,6513,3398,12,6,1.4,55411,734,1386,33,5591,374,52,0,"269",1,162
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,827,287,539,0,1,826,271,16,0,0,171,116,0,287,2,8,33,37,33,38,42,36,33,25,0,"1 to 99","53",229,21,19,18,15,246,26,40,0,26,0,0,7,287,116,171,287,0,0,1921,0,2212,1921,287,0,26,0,26,0,2238,287,565,853,"5.9",12.8,34.7,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","did not change","decreased by","decreased by","decreased by","","28.6","53.1","15.4","","%","%","%",13,6,7,40,26,14,10,2.4,281,7,6,0,16,0,0,0,"11",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6974,1984,4980,1,9,6942,1766,212,5,1,1001,953,24,1978,21,38,209,236,210,279,357,288,192,152,2,"0 to 101","54",1404,118,97,359,154,1383,441,206,1,221,1,0,89,1984,954,1005,1978,6,0,21350,16,23369,21366,1984,83,2259,0,2342,3.54,25711,2067,7239,9316,"5.3",8,29.6,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","31.2","13.6","20.6","10.6","%","%","%","%",143,52,89,207,222,11,12,4.5,1946,86,38,3,90,4,0,3,"53",0,7
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5469,1228,4214,1,26,5434,753,473,2,0,625,600,1,1226,12,36,183,157,134,190,229,146,96,45,0,"0 to 100","50",946,86,84,110,66,1003,157,88,0,118,0,0,29,1228,601,626,1226,2,0,15466,7,16714,15473,1228,33,1196,0,1229,2.69,17943,1261,5410,6698,"4.7",7,23.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","decreased by","23.7","51","17.9","1.9","%","%","%","%",58,2,29,88,118,8,10,2.4,1205,27,23,2,102,2,0,0,"40",0,9
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10861,2853,7995,1,12,10821,2727,117,9,0,1560,1274,10,2844,25,96,459,439,450,478,396,265,158,86,1,"0 to 100","43",1387,484,228,745,267,1757,820,418,0,193,0,0,48,2853,1278,1565,2844,9,0,29293,18,32179,29311,2853,63,1593,0,1656,3.8,33835,2916,9588,12517,"6",8.6,26.8,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","6.7","23.5","18.9","18","%","%","%","%",78,27,48,418,193,15,7,1.7,2808,48,45,0,196,16,1,0,"10",0,1
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,23438,9662,13573,3,200,22791,9108,389,149,16,4792,4576,129,9497,259,502,1651,1596,1645,1526,1166,675,435,206,1,"0 to 101","39",4611,567,904,3415,3876,2248,3373,1076,22,668,12,6,124,9662,4636,4833,9497,165,0,48975,288,58989,49263,9662,590,12472,1,13063,4.52,72052,10252,26045,36501,"10",14.2,43.7,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","29.7","36.8","34.9","16.2","%","%","%","%",117,48,130,1098,680,12,8,1.3,9581,128,81,2,1075,72,22,0,"10",0,7
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,5659,2550,3105,0,4,5631,2321,218,9,2,648,1884,7,2539,46,68,240,493,514,447,377,223,104,37,1,"0 to 102","43",889,412,99,1139,106,1072,1361,26,1,101,0,0,10,2550,1891,652,2539,11,0,10057,13,12673,10070,2550,14,278,0,292,4.79,12965,2564,3383,5951,"8.6",19.8,45.3,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","20.7","30","13.6","6.6","%","%","%","%",20,1,10,27,101,2,4,0.4,2476,10,74,0,146,0,1,4,"1368",0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,255933,121207,134353,90,283,253695,118916,1386,896,9,60734,58777,791,120302,1714,3717,15409,23004,20510,21869,16910,9526,5365,3014,169,"0 to 120","43",41974,10771,10162,57395,46963,14045,59294,10805,61,5565,34,16,1647,121207,59221,61129,120301,905,1,511154,994,634887,512148,121207,5460,66974,2,72436,7.54,707323,126667,201327,328369,"12.1",17.9,49.5,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","decreased by","41.4","46.6","3.9","2.2","%","%","%","%",1440,577,1663,10866,5599,9,5,1.4,118462,1627,2745,36,7597,681,87,20,"1437",1,268
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,3482,1285,2190,2,5,3462,1149,133,3,0,529,748,5,1282,41,119,179,254,241,194,148,75,23,11,0,"0 to 97","36",789,128,75,290,643,318,321,185,1,95,1,0,15,1285,749,531,1282,3,0,7933,13,9239,7946,1285,58,402,0,460,12.61,9699,1343,2592,3942,"10.8",13.8,38.6,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","YES","NO","YES","decreased by","did not change","decreased by","decreased by","14.3","","54.2","29","%","","%","%",1,0,15,186,96,15,8,1.2,1264,14,21,1,203,10,3,0,"175",0,1
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,1062,264,798,0,0,1062,226,38,0,0,155,108,1,264,0,18,31,43,39,29,39,35,24,6,0,"6 to 91","45",213,22,4,25,4,230,30,39,0,28,0,0,4,264,108,155,264,0,0,2164,0,2430,2164,264,1,35,0,36,2.78,2466,265,833,1098,"6.7",10.7,25,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","NO","increased by","increased by","decreased by","decreased by","350","44.4","31.5","18.7","%","%","%","%",0,0,4,39,28,15,11,1.5,252,4,12,0,28,0,0,0,"7",0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,67668,21322,46182,12,152,66754,19634,1465,205,18,11038,9928,133,21099,288,858,3508,5004,3552,3113,2478,1429,694,390,8,"0 to 103","37",5133,6855,2096,7015,1712,10270,9117,1168,28,625,15,6,157,21322,10049,11138,21099,223,0,173593,548,195684,174141,21322,857,10177,2,11036,7.77,206720,22179,56359,78704,"8.5",10.7,32.8,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","33.1","55.9","12.3","12.6","%","%","%","%",610,46,163,1196,640,6,4,0.8,21038,158,284,5,1631,49,10,0,"114",0,20
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,24264,7908,16336,1,19,20855,6987,87,834,0,3846,3101,127,7074,97,289,1502,1541,1126,996,1009,654,440,248,6,"0 to 105","38",2762,1826,489,1997,240,4540,2294,766,4,440,6,6,97,7908,3451,4330,7074,834,0,54402,2634,64979,57036,7908,72,1420,0,1492,4.83,66471,7980,17756,25756,"8.3",12,32.9,"2020-07-19 05:00:00","2020-07-25 05:00:00","YES","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","10","32.7","21.8","4.7","%","%","%","%",257,47,103,770,446,10,6,1.3,7738,101,170,2,604,39,12,0,"63",0,23
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,4787,919,3863,0,5,4742,795,114,10,0,500,401,8,909,14,36,130,135,110,144,145,126,59,18,2,"0 to 94","47",533,137,162,77,129,678,102,132,4,76,2,1,10,919,407,504,909,10,0,12819,30,13788,12849,919,45,1361,0,1406,3.2,15194,964,5224,6193,"5.8",6.3,20.1,"2020-07-19 05:00:00","2020-07-25 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","28.6","45.8","11.3","1.3","%","%","%","%",1,0,11,136,78,15,9,1.2,901,11,18,0,69,9,1,0,"9",0,2
