"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16039,216,218,1951,2978,2308,2275,2599,1927,923,578,66,"0 to 119",46,9207,6683,149,15763,276,0,274,15401,704,70,1197,14835,6,1,15756,1106,65,15,11,575,595,1,1171,8,17,431,269,125,123,92,84,30,17,1,"0 to 103","29",412,227,210,322,216,615,340,166,6,93,5,0,12,1197,609,587,1171,26,0,39858,250,41315,40108,1197,48,1402,0,1450,3.31,42765,1245,16237,17489,"6.6",2.9,7.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","27.3","100","170.9","84.6","%","%","%","%",61,10,12,172,98,15,9,1,1159,12,38,0,41,5,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,925,30,17,103,136,129,150,152,107,67,32,2,"0 to 99",48,512,359,54,865,60,0,27,849,89,5,63,861,0,1,864,36,27,0,0,32,28,3,63,0,2,11,7,10,6,10,8,6,3,0,"10 to 97","46",44,13,2,4,1,56,6,15,0,13,0,0,4,63,28,32,63,0,0,1652,60,1775,1712,63,0,33,0,33,0,1808,63,894,958,"3.4",3.5,6.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","250","20","77.8","4.9","%","%","%","%",3,3,4,15,13,24,21,6.3,57,4,6,0,5,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3494,39,37,255,459,481,578,652,457,293,188,55,"0 to 119",52,1955,1485,54,3445,49,0,141,3145,407,64,384,3038,0,72,3383,322,44,17,1,197,169,0,366,5,4,56,86,67,76,46,25,16,3,0,"1 to 93","40",268,42,23,33,95,225,46,91,6,35,2,2,4,384,177,207,366,18,0,7531,21,7944,7552,384,16,753,0,769,2.08,8713,400,3791,4263,"2.3",4.6,11.4,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","100","14.3","184.1","121.5","%","%","%","%",23,0,6,97,37,26,10,1.6,347,4,37,0,12,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1506,21,28,126,194,175,225,291,190,146,103,7,"0 to 118",54,941,540,25,1504,2,0,33,1398,178,2,83,1422,0,1,1503,38,45,0,0,61,22,0,83,1,4,11,8,13,10,6,7,12,11,0,"1 to 107","50",62,17,3,1,6,74,3,13,0,13,0,0,2,83,22,61,83,0,0,2534,2,2621,2536,83,5,48,0,53,9.43,2674,88,1470,1559,"5.8",3.3,5.8,"2020-06-21","2020-06-27","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","33.3","75","133.3","30.3","%","%","%","%",3,2,2,13,13,16,16,2.4,83,2,0,0,6,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,20642,271,383,1354,2129,2281,2877,4522,3998,2117,562,148,"0 to 119",57,11656,8877,109,20620,22,0,343,19577,1318,99,1793,18846,0,3,20617,1711,66,14,2,899,871,7,1777,26,51,372,374,288,250,221,121,55,35,0,"0 to 99","37",1024,122,109,522,324,917,536,223,3,110,3,0,17,1793,878,908,1777,16,0,42063,6,43866,42069,1793,72,2983,1,3056,2.36,46922,1865,21829,23698,"4.1",4,9,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.9","19.3","161.3","40.1","%","%","%","%",12,3,17,226,113,13,7,0.9,1716,17,77,0,100,12,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,103672,1640,2177,7663,15543,15958,17982,19058,13011,6894,3546,200,"0 to 119",50,56134,46032,1506,102089,1583,0,3076,89201,15217,1068,15624,88008,13,27,102052,13899,1409,290,26,7715,7587,6,15308,199,468,2066,3071,2645,2583,2262,1229,711,383,7,"0 to 102","42",7103,4817,1284,2104,5504,8002,1802,3540,72,2016,59,22,383,15624,7795,7823,15308,316,0,179939,1264,196912,181203,15624,1212,25784,4,27000,4.49,223912,16836,113792,130672,"6.8",7.5,16.2,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.7","44.2","57.8","16.3","%","%","%","%",334,159,405,3612,2075,24,14,2.6,15045,382,579,1,936,121,21,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,551,5,4,44,53,81,75,93,84,72,39,1,"0 to 99",56,331,204,16,551,0,0,6,443,60,5,76,474,0,1,550,60,16,0,0,56,20,0,76,0,0,6,8,5,2,4,8,21,21,1,"20 to 99","77",54,10,2,10,1,60,15,12,0,8,0,0,6,76,20,56,76,0,0,806,0,884,806,76,1,24,0,25,4,909,77,498,576,"4",8.5,14,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","33.3","66.7","40","67.6","%","%","%","%",29,6,6,12,8,16,11,7.9,75,6,1,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5716,65,53,279,482,552,791,1095,1084,753,556,6,"0 to 119",60,3352,2296,68,5697,19,0,209,5047,692,26,775,4936,1,4,5692,612,160,2,1,443,325,4,772,9,9,54,81,64,96,139,113,98,112,0,"0 to 101","61",603,61,16,92,54,600,118,122,1,145,1,0,76,775,327,444,772,3,0,11582,16,12377,11598,775,47,1571,0,1618,2.9,13995,822,6507,7334,"4.1",5.9,14.4,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","550","100","140.4","58.2","%","%","%","%",96,49,76,123,146,16,19,9.8,749,76,26,0,23,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4173,39,76,224,396,374,502,771,938,646,199,8,"0 to 222",61,2320,1661,192,4166,7,0,86,3621,361,28,291,3879,1,2,4164,178,113,0,0,142,148,1,291,3,5,36,33,26,47,66,41,22,12,0,"0 to 97","54",229,13,15,34,27,225,39,38,0,38,0,0,13,291,148,142,291,0,0,9572,6,9873,9578,291,24,847,0,871,2.76,10744,315,4726,5044,"3.5",2.9,7.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","237.5","54.5","97.8","17.8","%","%","%","%",4,1,13,38,38,14,14,4.5,284,13,7,0,14,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8529,122,215,674,1004,1189,1405,1502,1322,763,311,22,"0 to 101",52,4917,3510,102,8508,21,0,173,7903,637,59,713,7809,1,6,8501,638,72,3,0,395,315,0,710,2,15,82,105,98,122,103,90,57,38,1,"0 to 100","50",356,138,66,150,67,473,170,155,0,103,0,0,34,713,316,397,710,3,0,16444,18,17186,16462,713,37,1028,0,1065,3.47,18251,750,8837,9594,"4.6",4.1,8.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","163.2","222.6","90.4","%","%","%","%",23,24,34,155,103,22,15,4.8,682,34,31,0,24,3,1,0
