"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16451,221,240,2081,3088,2350,2315,2635,1941,931,582,67,"0 to 119",45,9426,6877,148,16171,280,0,295,15739,766,73,1636,14809,6,0,16165,1538,68,19,11,802,800,4,1606,13,39,567,387,167,167,132,104,38,20,2,"0 to 103","29",556,310,254,486,262,825,519,176,7,96,5,0,12,1636,817,815,1606,30,0,43746,250,45643,43996,1636,48,1402,0,1450,3.31,47093,1684,16211,17901,"6.8",3.6,10.2,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","increased by","17.2","2","9.3","30.5","%","%","%","%",68,10,12,183,101,12,7,0.7,1578,12,58,0,75,5,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,968,30,18,110,145,134,156,159,111,71,32,2,"0 to 99",48,523,394,51,908,60,0,54,851,130,5,106,861,0,1,907,65,41,0,0,45,61,0,106,0,3,17,15,15,14,17,12,10,3,0,"7 to 97","47",79,18,4,5,1,96,9,25,0,18,0,0,4,106,61,45,106,0,0,1898,60,2064,1958,106,0,33,0,33,0,2097,106,894,1001,"3.6",5.1,11,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","100","14.3","150","99.6","%","%","%","%",3,3,4,25,18,24,17,3.8,102,4,4,0,6,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3760,46,47,318,514,532,608,680,474,298,188,55,"0 to 119",51,2095,1611,54,3707,53,0,193,3285,638,73,744,3013,0,3,3704,652,58,33,1,379,330,1,710,13,16,136,166,137,116,87,48,21,4,0,"0 to 95","37",461,85,39,125,135,429,146,109,6,38,2,2,5,744,351,392,710,34,0,8299,21,9078,8320,744,16,753,0,769,2.08,9847,760,3766,4529,"2.5",7.7,20.2,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","68.2","12.1","80.2","43.9","%","%","%","%",24,0,7,115,40,16,6,0.9,713,5,31,0,43,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1521,23,30,128,200,176,225,294,190,146,103,6,"0 to 118",53,947,550,24,1519,2,0,33,1397,190,2,95,1425,0,1,1518,49,46,0,0,64,31,0,95,1,5,12,15,14,10,8,7,12,11,0,"1 to 107","45",70,21,3,1,6,86,3,16,0,13,0,0,2,95,31,64,95,0,0,2739,2,2838,2741,95,5,48,0,53,9.43,2891,100,1473,1574,"5.8",3.5,6.6,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","250","800","45.5","15.7","%","%","%","%",3,2,2,16,13,17,14,2.1,95,2,0,0,7,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,21459,281,406,1539,2320,2385,2984,4630,4046,2141,579,148,"0 to 119",56,12089,9268,102,21436,23,0,505,20077,1723,111,2591,18866,0,2,21434,2505,69,14,3,1321,1247,6,2574,34,72,564,565,390,354,318,162,78,54,0,"0 to 99","36",1488,161,167,758,423,1403,748,266,3,131,3,0,19,2591,1254,1331,2574,17,0,49862,6,52469,49868,2591,72,2983,1,3056,2.36,55525,2663,21849,24515,"4.3",4.8,12.4,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","6.2","23.4","13.1","3.1","%","%","%","%",16,3,19,269,134,11,6,0.7,2521,19,70,0,151,13,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,110688,1936,2673,8780,16998,17223,19022,19836,13354,7063,3598,205,"0 to 119",49,59754,49403,1531,109084,1604,0,3802,92941,18312,1094,21857,88774,15,42,109030,19956,1560,313,27,10858,10575,83,21516,340,771,3084,4486,3834,3549,2976,1523,857,427,9,"0 to 102","40",9158,6285,1661,4412,7348,9923,4245,4174,74,2284,60,22,414,21856,10795,10978,21516,340,0,205662,1261,228905,206923,21856,1212,25784,4,27000,4.49,255905,23068,114558,137688,"7.2",9,20.8,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","45.4","25.7","95.5","52","%","%","%","%",363,157,436,4248,2344,20,11,2,21239,412,617,2,1540,180,25,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,571,5,4,47,56,82,81,98,87,72,39,0,"0 to 99",56,341,213,17,571,0,0,8,447,80,5,97,474,0,0,571,81,16,0,0,66,31,0,97,0,0,10,11,7,7,9,11,21,21,0,"15 to 99","71",70,12,6,9,9,74,14,14,0,9,0,0,6,97,31,66,97,0,0,896,0,996,896,97,1,24,0,25,4,1021,98,498,596,"4.1",9.6,17.2,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","50","100","360","582.4","%","%","%","%",29,6,6,14,9,15,10,6.2,97,6,0,0,1,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5875,68,56,304,498,574,811,1121,1109,765,563,6,"0 to 119",60,3425,2383,67,5856,19,0,244,5133,769,28,935,4933,1,6,5849,764,168,2,1,517,409,6,932,12,12,81,96,85,116,165,137,111,120,0,"0 to 101","59",700,69,17,146,62,682,188,134,1,153,1,0,77,935,411,518,932,3,0,12697,16,13653,12713,935,47,1571,0,1618,2.9,15271,982,6504,7493,"4.2",6.4,16.7,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","15.4","20.8","73.6","70.8","%","%","%","%",115,49,77,135,154,15,17,8.2,922,76,13,1,32,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4348,44,86,248,432,395,519,801,959,653,203,8,"0 to 222",60,2422,1745,181,4341,7,0,94,3648,456,31,399,3946,1,2,4339,257,142,0,0,197,201,1,399,4,13,48,56,39,55,86,55,29,14,0,"0 to 97","52",306,23,20,50,34,312,53,44,0,45,0,0,13,399,201,197,399,0,0,10657,6,11065,10663,399,24,847,0,871,2.76,11936,423,4793,5219,"3.6",3.5,9.7,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","increased by","33.3","4.5","18.4","26.8","%","%","%","%",2,1,13,44,45,12,12,3.3,378,13,21,0,24,1,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8837,125,228,730,1060,1245,1458,1535,1348,771,315,22,"0 to 101",52,5072,3653,112,8815,22,0,208,8113,722,61,1017,7819,1,0,8814,933,80,4,0,559,450,4,1013,5,24,133,162,156,175,140,115,64,42,1,"0 to 100","47",466,177,80,290,87,607,319,170,0,110,0,0,34,1017,452,561,1013,4,0,18312,18,19361,18330,1017,37,1028,0,1065,3.47,20426,1054,8847,9902,"4.8",5.2,11.9,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","81.5","26.4","89","70","%","%","%","%",20,23,34,170,110,17,11,3.3,991,34,26,0,43,4,1,0
