"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,22846,8164,14653,3,26,22494,7877,209,66,12,4437,3620,29,8086,123,296,3303,1372,841,768,679,457,202,109,14,"0 to 103","27",3607,1906,898,1675,943,5179,1964,805,18,405,22,1,56,8164,3667,4467,8086,78,0,90524,248,98967,90772,8164,185,2669,0,2854,6.48,101821,8349,17322,25700,"9.8",8.2,36.5,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","56","18.2","47.4","34.1","%","%","%","%",55,17,57,823,427,11,6,0.7,8109,56,55,1,572,51,9,0,"159",0,10,"329",7893,"271",352,55,297,15.6,"568","6414","6982","8.1",41,460,501,"8.18"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2547,1472,1040,0,35,2453,1255,216,0,1,473,998,0,1471,6,38,173,305,313,255,203,116,53,10,0,"0 to 97","41",760,202,48,461,17,900,554,105,0,67,0,0,12,1472,998,474,1471,1,0,6481,58,8037,6539,1472,7,88,0,95,7.37,8132,1479,1128,2642,"9.5",18.2,58.1,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","NO","decreased by","increased by","decreased by","decreased by","25","36.8","27.9","47.3","%","%","%","%",0,3,12,105,67,8,5,0.8,1470,12,2,0,74,4,0,1,"586",0,1,"39",1434,"38",20,2,18,10,"74","558","632","11.7",6,45,51,"11.76"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9251,6063,3168,1,19,9104,5815,141,105,2,2973,2943,40,5956,68,148,922,1123,997,1005,864,542,281,94,19,"0 to 99","42",3428,602,821,1105,467,4002,1487,730,19,346,8,5,104,6063,3010,3013,5956,107,0,28379,30,34541,28409,6063,122,1379,0,1501,8.13,36042,6185,4547,10752,"5.9",17.2,66.9,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","decreased by","33.3","28.6","23.6","7.7","%","%","%","%",32,19,109,749,354,13,6,1.8,6057,109,6,0,362,16,5,1,"442",0,10,"377",5299,"764",15,6,9,40,"354","2321","2675","13.2",24,173,197,"12.18"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2705,1102,1601,0,2,2700,812,289,1,0,536,565,0,1101,14,52,149,165,156,175,195,113,60,23,0,"0 to 107","45",721,268,53,59,32,957,112,123,0,72,0,0,8,1102,566,536,1101,1,0,5705,2,6829,5707,1102,14,113,0,127,11.02,6956,1116,1714,2832,"10.5",16,41.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","44.4","15","26.3","7.1","%","%","%","%",8,2,8,123,72,12,7,0.7,1099,8,3,0,103,5,1,0,"266",0,1,"60",1074,"28",15,3,12,20,"103","732","835","12.3",2,33,35,"5.71"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27806,8848,18933,0,25,27748,8645,176,24,3,4777,4013,31,8821,93,300,1443,1377,1207,1236,1323,850,569,426,24,"0 to 105","44",4713,1060,751,2297,998,5097,2726,1418,6,795,3,1,293,8848,4028,4789,8821,27,0,97089,16,106012,97105,8848,360,6575,1,6936,5.19,112948,9208,25508,34742,"6",8.2,33.1,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","12.3","11.6","5.1","34.4","%","%","%","%",101,152,294,1424,798,17,10,3.3,8841,294,7,0,593,61,9,0,"68",0,16,"1165",8297,"551",151,7,144,4.6,"593","6950","7543","7.9",44,596,640,"6.88"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,175706,76874,98687,30,115,173695,70813,5408,611,42,39801,36287,133,76221,1645,4236,11306,14635,13182,12414,10252,5192,2570,1407,35,"0 to 107","39",31953,20278,10530,13460,28982,34306,12933,10352,100,5799,77,27,1380,76874,36705,40034,76221,653,0,486047,1234,565039,487281,76874,5310,55505,14,60829,8.73,625868,82184,154192,236535,"12.4",13.1,46.8,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","17.9","10.8","5.5","8.8","%","%","%","%",304,366,1407,10452,5876,14,8,1.8,76854,1406,20,1,7971,584,88,0,"398",1,59,"3292",76005,"869",468,20,448,4.3,"7951","41170","49121","16.2",117,1312,1429,"8.19"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1292,615,676,0,1,1290,587,27,1,0,263,350,1,614,5,25,70,114,107,86,76,60,43,29,0,"0 to 99","43",409,92,41,72,26,497,91,60,1,33,1,0,11,615,351,263,614,1,0,4346,0,4971,4346,615,4,38,0,42,9.52,5013,619,714,1334,"9.2",12.3,47.9,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","100","100","20","13.2","%","%","%","%",13,6,11,61,34,10,6,1.8,615,11,0,0,46,0,0,0,"172",0,1,"84",574,"41",1,0,1,0,"46","412","458","10.0",2,16,18,"11.11"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8013,3046,4958,1,8,7980,2777,261,7,1,1619,1409,10,3038,26,74,322,324,327,436,548,449,305,235,0,"0 to 101","55",2328,196,283,231,244,2452,342,391,1,382,1,0,135,3046,1411,1624,3038,8,0,30431,16,33531,30447,3046,187,3253,0,3440,5.44,36971,3233,8211,11453,"6.5",8.7,40.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","61.1","20","4.9","18.6","%","%","%","%",146,60,135,392,383,13,13,4.4,3039,135,7,0,148,10,2,0,"64",0,4,"513",2912,"134",40,7,33,17.5,"148","1504","1652","9.0",4,134,138,"2.9"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7614,2744,4821,2,47,7550,1797,938,4,4,1518,1207,10,2735,32,99,363,310,299,403,457,357,264,145,14,"0 to 100","51",2162,166,207,200,137,2294,304,261,0,285,1,0,103,2743,1213,1520,2735,8,0,23372,7,26133,23379,2743,89,1569,0,1658,5.37,27791,2832,6390,9272,"6.5",10.2,37.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","8","33.3","24.1","3.1","%","%","%","%",88,24,103,261,286,10,11,3.8,2745,103,-2,0,244,5,2,0,"61",0,17,"507",2705,"38",15,-2,17,-13.3,"244","1833","2077","11.7",13,126,139,"9.35"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13745,5092,8624,2,27,13683,4911,165,15,0,2631,2401,44,5076,52,183,802,769,835,894,694,442,292,126,2,"0 to 100","43",2848,749,445,1034,450,3431,1195,826,2,356,3,0,100,5091,2410,2637,5076,15,0,43140,18,48275,43158,5091,136,2165,0,2301,5.91,50576,5227,10789,16046,"7.7",10.3,38,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","did not change","increased by","increased by","increased by","","2.5","14","32.3","","%","%","%",74,49,100,828,359,17,8,2,5077,100,14,0,390,47,3,0,"189",0,9,"501",4821,"270",99,14,85,14.1,"389","4294","4683","8.3",26,345,371,"7.01"
