"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,22152,7502,14621,4,25,21775,7204,195,91,12,4057,3317,25,7399,118,274,2903,1300,808,719,641,434,191,101,13,"0 to 103","27",3040,1829,835,1695,838,4610,1951,751,15,373,16,1,46,7502,3367,4109,7399,103,0,87442,248,95221,87690,7502,140,2347,0,2487,5.63,97708,7642,16968,24639,"9.4",7.8,34.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","YES","YES","NO","NO","decreased by","decreased by","increased by","decreased by","3.8","25.4","25.8","12.7","%","%","%","%",68,17,47,766,389,11,6,0.6,7382,47,120,0,527,49,8,0,"154",0,6,"309",7308,"194",641,120,521,18.7
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2457,1410,1012,0,35,2363,1202,207,0,1,441,968,0,1409,6,35,168,296,306,241,192,108,48,10,0,"0 to 97","40",707,195,48,459,16,844,549,99,0,64,0,0,11,1410,968,442,1409,1,0,6185,58,7679,6243,1410,4,72,0,76,5.26,7755,1414,1084,2533,"9.1",18.2,57.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","100","53.6","38.1","29","%","%","%","%",0,3,11,99,64,8,5,0.8,1401,11,9,0,68,4,0,1,"584",0,4,"37",1384,"26",73,9,64,12.3
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8970,5839,3112,1,18,8841,5608,141,88,2,2858,2850,41,5749,66,131,887,1101,967,969,829,510,268,92,19,"0 to 99","42",3293,593,772,1091,440,3839,1470,708,18,334,7,5,94,5839,2905,2893,5749,90,0,27434,30,33372,27464,5839,84,1288,0,1372,6.12,34744,5923,4400,10342,"5.7",17,66,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","36.8","37.2","7.6","12.5","%","%","%","%",50,19,99,726,341,13,6,1.7,5802,99,37,0,331,16,5,1,"443",0,3,"364",5147,"692",148,37,111,25
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2621,1027,1592,0,2,2616,752,274,1,0,487,539,0,1026,14,51,137,155,146,166,181,100,55,22,0,"0 to 107","45",667,248,51,60,30,890,106,108,0,64,0,0,7,1027,540,487,1026,1,0,5555,2,6604,5557,1027,9,97,0,106,8.49,6710,1036,1689,2727,"10.1",15.4,39.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","125","27.6","10.7","6.4","%","%","%","%",11,2,7,108,64,11,7,0.7,1017,7,10,0,101,5,1,0,"263",0,1,"59",1007,"20",38,10,28,26.3
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27319,8395,18894,0,30,27256,8205,163,24,3,4533,3803,32,8368,85,274,1381,1329,1161,1169,1237,784,534,417,24,"0 to 105","44",4397,1037,712,2222,964,4762,2642,1359,6,764,3,1,277,8395,3818,4545,8368,27,0,94040,16,102510,94056,8395,279,5807,1,6087,4.58,108597,8674,24701,33406,"5.8",8,31.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","16.7","21.8","31.5","9.4","%","%","%","%",136,152,278,1365,767,17,10,3.3,8352,277,43,1,546,56,8,0,"66",0,23,"1143",7996,"399",555,43,512,7.7
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,173547,75682,97726,29,110,171578,69718,5349,575,40,39175,35748,144,75067,1629,4175,11100,14427,12996,12233,10079,5107,2528,1375,33,"0 to 107","39",31256,20029,10285,13497,28503,33588,12976,10194,96,5699,77,26,1320,75682,36139,39397,75067,615,0,472472,1234,550271,473706,75682,3918,48347,11,52276,7.49,602547,79600,146073,225823,"11.8",13.2,45.9,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","13","21.5","16","0.5","%","%","%","%",372,366,1346,10290,5776,14,8,1.8,75499,1345,183,1,7841,574,87,0,"370",1,40,"3202",74970,"712",2449,183,2266,7.5
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1277,607,669,0,1,1275,581,25,1,0,260,345,1,606,5,25,68,112,107,85,76,58,43,28,0,"0 to 99","43",402,92,41,71,26,491,89,60,1,32,1,0,10,607,346,260,606,1,0,4272,0,4889,4272,607,4,36,0,40,10,4929,611,705,1317,"9.1",12.4,47.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","YES","YES","did not change","did not change","decreased by","decreased by","","","16.7","2.7","","","%","%",13,6,10,61,33,11,6,1.6,607,10,0,0,44,0,0,0,"170",0,1,"84",568,"39",11,0,11,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7924,2953,4964,1,6,7894,2695,251,6,1,1570,1366,10,2946,25,72,313,319,321,424,532,436,287,224,0,"0 to 101","55",2272,181,277,216,239,2385,322,377,1,371,1,0,131,2953,1368,1574,2946,7,0,29507,16,32514,29523,2953,138,2908,0,3046,4.53,35560,3091,7872,10970,"6.2",8.7,39,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","63.6","55.2","2.5","13.1","%","%","%","%",122,60,131,378,372,13,13,4.4,2943,131,10,0,144,10,2,0,"64",0,9,"483",2827,"126",143,10,133,7
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7362,2623,4674,2,63,7282,1703,912,4,4,1448,1158,9,2615,29,95,339,300,283,390,437,344,251,141,14,"0 to 100","51",2070,157,206,182,132,2195,288,248,0,271,1,0,86,2623,1164,1450,2615,8,0,22483,7,25125,22490,2623,61,1433,0,1494,4.08,26619,2684,6107,8856,"6.2",10.1,36.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","13.8","41.5","3.3","13.8","%","%","%","%",149,24,86,248,272,10,11,3.3,2606,84,17,2,231,5,2,0,"59",0,14,"490",2589,"34",217,17,200,7.8
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13375,4811,8546,1,17,13324,4645,151,15,0,2509,2246,41,4796,51,169,750,728,791,846,652,426,271,125,2,"0 to 100","43",2580,715,439,1062,439,3187,1170,771,2,333,3,0,91,4811,2255,2515,4796,15,0,41489,18,46342,41507,4811,105,1975,0,2080,5.05,48422,4916,10521,15455,"7.5",10.2,36.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","33.3","21.4","33.3","42.2","%","%","%","%",72,49,91,773,336,17,7,1.9,4765,91,46,0,362,42,3,0,"181",0,5,"487",4560,"251",370,46,324,12.4
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,26536,12466,14019,3,48,26095,11905,447,98,16,6293,6013,46,12352,332,638,2101,1992,2061,1967,1542,904,602,321,6,"0 to 104","40",6199,768,1439,3946,4925,3423,4004,1440,25,899,15,7,202,12466,6079,6341,12352,114,0,63992,279,76828,64271,12466,968,14371,1,15340,6.31,92168,13434,28390,41876,"11.5",14.6,50.6,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","YES","increased by","did not change","increased by","decreased by","15.4","","26.8","12.8","%","","%","%",38,85,209,1465,914,12,8,1.7,12423,209,43,0,1363,111,26,0,"82",0,10,"697",11687,"779",500,43,457,8.6
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,6736,3644,3086,0,6,6704,3277,354,10,3,1191,2436,4,3631,64,137,363,646,694,620,550,348,158,63,1,"0 to 102","43",2215,1090,150,176,227,3188,216,100,1,203,2,0,50,3644,2444,1196,3631,13,0,13247,13,16960,13260,3644,28,358,0,386,7.25,17346,3672,3444,7122,"10.3",21.2,54.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","54.8","18.2","3.9","2.6","%","%","%","%",22,11,50,101,205,3,6,1.4,3627,50,17,0,254,2,3,8,"1550",0,6,"252",3413,"231",91,17,74,18.7
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,303934,166881,136450,89,514,301293,163957,1832,1072,20,84351,80470,968,165789,2648,6126,21986,30391,27662,29896,23381,12997,7329,3999,466,"0 to 108","42",66911,14726,20778,63374,78079,21804,65906,15093,95,7668,41,21,3055,166881,81057,84798,165788,1092,1,717593,966,887458,718559,166881,10918,83071,3,93992,11.62,981450,177799,219521,397926,"14.7",18.1,58.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","decreased by","14.9","17.8","8.3","16.5","%","%","%","%",892,744,3076,15188,7709,10,5,1.8,166516,3076,365,0,12145,1044,159,35,"1944",2,176,"5698",165500,"1381",3563,365,3198,10.2
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,3858,1549,2302,1,6,3838,1413,133,3,0,632,910,4,1546,44,132,217,295,287,232,184,97,45,16,0,"0 to 97","37",932,163,122,329,711,454,381,233,1,120,1,0,23,1549,911,634,1546,3,0,9338,10,10905,9348,1549,107,700,0,807,13.26,11712,1656,3002,4665,"12.8",14.1,42.9,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","150","26.3","50","8.6","%","%","%","%",22,0,23,234,121,16,8,1.5,1545,23,4,0,227,14,3,0,"243",0,0,"63",1542,"7",35,4,31,11.4
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,1694,823,870,0,1,1692,750,72,1,0,295,527,0,822,7,37,82,135,176,130,119,86,42,9,0,"0 to 91","43",594,187,22,19,52,731,39,75,0,51,0,0,6,823,527,296,822,1,0,4387,0,5222,4387,823,3,46,0,49,6.12,5271,826,916,1743,"10.6",15.7,48.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","25","38.5","24","6.4","%","%","%","%",0,0,6,75,51,10,7,0.7,822,6,1,0,62,2,1,2,"343",0,1,"30",810,"13",16,1,15,6.2
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,76813,29381,47183,15,234,75714,27078,1983,299,21,15433,13336,292,29061,439,1267,4753,6386,4657,4355,3607,2174,1090,615,38,"0 to 103","38",8139,9544,3490,7888,2433,16297,10331,2009,39,1064,20,13,353,29381,13499,15581,29061,320,0,234341,551,264516,234892,29381,1336,12709,2,14047,9.51,278563,30717,59892,90860,"9.8",11,40,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","decreased by","6","23.2","11.9","3.8","%","%","%","%",474,129,366,2048,1084,7,4,1.2,29241,366,140,0,2373,108,21,0,"166",0,36,"1873",28563,"818",1608,140,1468,8.7
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,28207,12033,16169,1,4,24589,10865,92,1076,0,5564,5298,95,10957,158,438,2040,2295,1813,1583,1570,1076,678,356,26,"0 to 105","39",4325,2488,1190,2954,387,7194,3376,1284,16,799,13,12,217,12033,5763,6175,10957,1076,0,75506,2633,90229,78139,12033,179,1923,0,2102,8.52,92331,12212,18092,30309,"9.7",13.2,43.3,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","53.8","34.5","54.2","25","%","%","%","%",150,95,229,1300,812,11,7,1.9,12015,229,18,0,902,69,25,3,"888",0,14,"1110",11971,"62",177,18,159,10.2
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,5749,1653,4083,0,13,5693,1489,150,14,0,902,733,4,1639,25,94,207,206,199,241,264,234,141,41,1,"0 to 96","49",947,233,316,143,234,1229,176,213,5,134,3,1,23,1653,739,910,1639,14,0,18002,29,19704,18031,1653,60,1538,0,1598,3.75,21302,1713,5621,7347,"6.9",8,29.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","52.4","43.5","34.5","42.3","%","%","%","%",34,1,24,218,137,14,9,1.5,1642,24,11,0,160,13,2,0,"10",0,5,"137",1536,"117",189,11,178,5.8
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,1304,596,703,0,5,1292,581,11,4,0,146,446,0,592,5,25,62,149,114,91,94,36,18,2,0,"0 to 85","39",346,226,10,10,45,484,63,19,0,8,0,0,3,596,447,149,592,4,0,4264,3,4873,4267,596,8,549,0,557,1.44,5430,604,1252,1861,"15.9",11.1,46.3,"2020-09-13 05:00:00","2020-09-19 05:00:00","YES","YES","NO","NO","did not change","decreased by","increased by","increased by","","50","111.1","51.6","","%","%","%",0,0,3,19,8,4,2,0.5,592,3,4,0,42,0,0,0,"347",0,0,"4",592,"4",9,4,5,44.4
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,5404,2705,2691,0,8,5375,2644,53,8,0,1294,1387,16,2697,61,159,366,450,507,483,354,194,80,33,18,"0 to 98","40",770,1095,465,367,492,1671,534,395,0,206,0,0,44,2705,1388,1301,2696,8,1,13490,16,16249,13506,2705,23,198,0,221,10.41,16470,2728,2889,5625,"12.2",16.6,50.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","700","13.3","78.7","124","%","%","%","%",1,7,44,395,206,15,8,1.6,2693,44,12,0,295,19,1,0,"313",0,0,"84",2644,"61",63,12,51,19
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,1283,501,780,1,1,1281,459,42,0,0,264,236,1,501,10,25,72,90,59,68,62,36,36,43,0,"0 to 106","43",414,30,25,32,75,391,35,71,0,37,0,0,12,501,236,264,501,0,0,4072,0,4582,4072,501,6,86,0,92,6.52,4674,507,866,1375,"7.8",10.8,39.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","did not change","increased by","increased by","increased by","","100","200","113.5","","%","%","%",1,8,12,71,37,15,8,2.4,502,12,-1,0,51,7,1,0,"51",0,0,"72",494,"7",11,-1,12,-9.1
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,700,500,200,0,0,700,495,5,0,0,155,345,0,500,6,18,55,115,133,83,56,14,17,3,0,"0 to 89","39",364,85,28,23,204,269,27,60,0,42,0,0,4,500,345,155,500,0,0,897,0,1398,897,500,2,23,0,25,8,1423,502,223,725,"5.4",35.3,71.7,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","33.3","25","50","8.6","%","%","%","%",0,0,4,60,42,12,9,0.8,497,4,3,0,34,1,0,0,"278",0,0,"5",498,"2",11,3,8,27.3
