"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19792,5193,14576,5,18,19459,4955,174,52,12,2799,2311,19,5129,91,220,1314,1123,664,610,548,370,162,84,7,"0 to 103","33",1822,1589,612,1106,612,3148,1369,609,15,309,16,1,33,5193,2347,2826,5129,64,0,78995,249,84468,79244,5193,140,2347,0,2487,5.63,86955,5333,16923,22279,"8.5",6.1,26.9,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","3.3","42.7","25.7","12.8","%","%","%","%",65,14,34,624,325,13,7,0.7,5165,34,28,0,425,44,7,0,"94",0,2,"263",5125,"68"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2148,1151,959,0,38,2052,1024,127,0,0,309,842,0,1151,5,19,124,265,268,199,161,67,33,10,0,"1 to 97","40",511,148,45,447,15,610,526,74,0,46,0,0,5,1151,842,309,1151,0,0,5571,57,6804,5628,1151,4,72,0,76,5.26,6880,1155,1031,2224,"8",16.8,53.8,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","28.6","55.6","5.4","4.9","%","%","%","%",0,3,5,74,46,7,4,0.4,1148,5,3,0,43,3,0,0,"572",0,1,"33",1143,"8"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8416,5355,3044,1,16,8296,5132,140,81,2,2589,2638,45,5272,63,107,808,1019,902,907,757,460,235,78,19,"0 to 99","42",2985,542,675,1070,393,3444,1435,647,16,296,6,5,78,5355,2687,2623,5272,83,0,25240,30,30688,25270,5355,84,1288,0,1372,6.12,32060,5439,4332,9788,"5.4",17,64.6,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","57.1","67.4","37.2","16.6","%","%","%","%",34,17,83,663,302,13,6,1.5,5341,83,14,0,292,15,5,1,"432",0,7,"299",4768,"587"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2234,729,1504,0,1,2231,549,180,0,0,312,416,1,729,12,35,95,111,112,123,122,60,42,17,0,"0 to 107","44",450,196,32,51,26,623,80,67,0,41,0,0,5,729,416,312,729,0,0,4743,2,5495,4745,729,9,97,0,106,8.49,5601,738,1601,2340,"8.7",13.2,33,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","57.1","83.3","3.9","12.9","%","%","%","%",4,2,5,67,41,10,6,0.7,717,5,12,0,67,2,0,0,"233",0,1,"48",718,"11"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26114,7201,18898,0,15,26071,7046,133,19,3,3855,3290,34,7179,71,199,1186,1188,1030,1023,1039,649,444,352,20,"0 to 105","43",3768,903,638,1870,872,4087,2220,1167,6,645,3,1,210,7201,3300,3867,7179,22,0,85650,16,92925,85666,7201,279,5807,1,6087,4.58,99012,7480,24705,32201,"5.6",7.6,28.6,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","10.9","15.1","27.9","26.6","%","%","%","%",249,127,211,1173,648,17,9,2.9,7182,210,19,1,414,45,6,0,"66",0,15,"1013",7042,"159"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,165911,70950,94815,33,113,163978,65292,5092,528,38,36769,33482,133,70384,1528,3905,10243,13590,12215,11527,9487,4781,2365,1274,35,"0 to 119","39",29002,18956,8833,13593,26459,30867,13058,9582,97,5278,76,26,1183,70950,33852,36964,70384,566,0,426917,1234,499995,428151,70950,3918,48347,11,52276,7.49,552271,74868,143162,218187,"11.4",13.6,45.1,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","26.3","25.1","33.5","22.6","%","%","%","%",584,345,1209,9679,5354,14,8,1.7,70764,1209,186,0,7341,554,79,0,"320",1,70,"2849",70587,"363"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1187,568,618,0,1,1185,551,16,1,0,242,324,1,567,4,18,59,108,101,80,73,56,41,28,0,"1 to 99","44",369,89,39,70,24,460,83,58,1,32,1,0,8,568,325,242,567,1,0,3987,0,4565,3987,568,4,36,0,40,10,4605,572,654,1227,"8.5",12.4,48.2,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","did not change","increased by","decreased by","100","","2.9","30.3","%","","%","%",13,6,8,59,33,11,6,1.4,559,8,9,0,34,0,0,0,"168",0,0,"81",533,"35"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7626,2656,4961,1,8,7595,2418,232,5,1,1387,1254,9,2650,24,57,277,295,288,392,476,390,257,200,0,"0 to 101","54",2071,165,215,199,215,2144,291,322,1,331,1,0,110,2656,1256,1390,2650,6,0,26823,16,29530,26839,2656,138,2908,0,3046,4.53,32576,2794,7869,10672,"6",8.6,36.6,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","175","10.5","7.6","10.7","%","%","%","%",155,56,110,323,332,13,13,4.1,2635,111,21,-1,121,7,1,0,"60",0,3,"407",2571,"85"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6559,2082,4423,1,53,6491,1248,827,4,3,1111,958,6,2075,18,74,277,250,237,320,381,262,176,79,8,"0 to 100","50",1656,117,150,152,111,1742,222,188,0,209,1,0,57,2082,963,1113,2075,7,0,19810,7,21909,19817,2082,61,1433,0,1494,4.08,23403,2143,5856,8053,"5.6",9.2,32.7,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","52.9","3.3","33.1","14","%","%","%","%",45,18,57,188,210,10,11,2.7,2069,57,13,0,179,5,2,0,"55",0,11,"248",2073,"9"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12299,3960,8317,1,21,12245,3813,133,14,0,2138,1779,29,3946,40,142,608,553,621,689,526,354,227,118,82,"0 to 100","44",2103,644,353,846,386,2618,942,635,2,294,3,0,76,3960,1787,2144,3946,14,0,36210,18,40220,36228,3960,105,1975,0,2080,5.05,42300,4065,10292,14379,"6.9",9.6,33.1,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","27.8","57.8","46.2","15.8","%","%","%","%",74,44,76,637,297,17,8,1.9,3910,76,50,0,300,30,2,0,"19",0,6,"456",3762,"198"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,25460,11604,13825,3,28,25046,11066,434,88,16,5844,5609,47,11500,314,596,1909,1870,1947,1847,1433,839,556,291,2,"0 to 104","40",5756,715,1318,3711,4691,3006,3803,1352,25,840,15,7,176,11604,5670,5887,11500,104,0,58238,282,70199,58520,11604,968,14371,1,15340,6.31,85539,12572,28196,40800,"11.2",14.7,49.4,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","75","14.5","6.1","68.9","%","%","%","%",47,80,183,1377,855,12,8,1.6,11570,183,34,0,1278,104,25,0,"77",0,14,"637",10926,"678"
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,6396,3335,3057,0,4,6366,3025,297,10,3,1031,2289,2,3322,59,117,314,609,637,573,507,314,146,58,1,"0 to 102","43",1918,973,135,296,206,2763,353,88,1,188,2,0,33,3335,2297,1036,3322,13,0,11923,13,15326,11936,3335,28,358,0,386,7.25,15712,3363,3415,6782,"9.8",21.4,52.6,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","40.7","25","30.7","17.4","%","%","%","%",35,8,33,89,190,3,6,1,3331,33,4,0,221,0,3,7,"1501",0,2,"237",3144,"191"
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,292493,156559,135367,93,474,289764,153542,1806,1191,20,78627,75769,952,155348,2387,5600,20185,28759,26056,28195,22025,12240,6909,3768,435,"0 to 108","43",60716,13765,18682,62185,70869,19488,64991,14136,95,7208,39,18,2403,156559,76398,79151,155347,1211,1,648972,970,808486,649942,156559,10918,83071,3,93992,11.62,902478,167477,218438,386485,"14.2",18.6,57.3,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","18.7","41.1","32.9","17","%","%","%","%",1165,685,2421,14231,7247,10,5,1.5,156038,2417,521,4,11089,955,145,33,"1761",2,162,"5415",155866,"693"
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,3736,1478,2251,1,6,3716,1342,133,3,0,598,874,3,1475,43,125,207,286,280,226,176,89,33,13,0,"0 to 97","37",907,150,101,317,699,412,364,217,1,111,1,0,22,1478,875,600,1475,3,0,8798,10,10293,8808,1478,107,700,0,807,13.26,11100,1585,2951,4543,"12.5",14.3,42.4,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","NO","YES","YES","increased by","increased by","did not change","increased by","2","66.7","","11.7"," cases","%","","%",8,0,22,218,112,15,8,1.5,1472,22,6,0,216,11,3,0,"233",0,1,"36",1472,"6"
