"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,21023,6401,14599,4,19,20662,6124,185,80,12,3487,2801,21,6309,111,263,2110,1198,741,675,604,411,183,95,10,"0 to 103","30",2483,1724,739,1363,745,3881,1683,709,15,361,16,1,40,6401,2845,3534,6309,92,0,84095,249,90775,84344,6401,140,2347,0,2487,5.63,93262,6541,16946,23510,"8.9",7,31.1,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","34.4","22.7","82.1","77.8","%","%","%","%",113,17,41,724,377,12,6,0.6,6241,41,160,0,498,48,8,0,"140",0,7,"294",6298,"103",746,160,586,21.4
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2344,1319,991,0,34,2251,1130,188,0,1,390,928,0,1318,6,28,148,288,293,225,178,96,47,10,0,"0 to 97","40",643,170,47,458,16,761,541,90,0,57,0,0,7,1319,928,391,1318,1,0,5981,57,7383,6038,1319,4,72,0,76,5.26,7459,1323,1063,2420,"8.7",17.7,56.4,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","33.3","4.5","45.4","38.8","%","%","%","%",0,3,7,90,57,7,5,0.5,1307,7,12,0,56,4,0,1,"577",0,1,"35",1299,"20",40,12,28,30
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8785,5682,3086,1,16,8661,5454,141,85,2,2767,2787,41,5595,66,126,866,1073,939,951,805,492,256,89,19,"0 to 99","42",3163,576,776,1080,428,3694,1473,694,17,325,6,5,91,5682,2839,2802,5595,87,0,26729,30,32507,26759,5682,84,1288,0,1372,6.12,33879,5766,4374,10157,"5.6",17,65.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","72.7","2.9","13.2","76.4","%","%","%","%",40,19,96,711,331,13,6,1.7,5659,96,23,0,323,16,5,1,"441",0,5,"349",5023,"659",116,23,93,19.8
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2506,929,1575,0,2,2501,687,241,1,0,435,493,0,928,14,49,125,141,135,154,158,82,51,20,0,"0 to 107","45",587,235,47,59,29,796,103,93,0,56,0,0,6,929,494,435,928,1,0,5393,2,6344,5395,929,9,97,0,106,8.49,6450,938,1672,2612,"9.7",14.5,37.4,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","NO","decreased by","decreased by","decreased by","increased by","20","27","33.3","32.9","%","%","%","%",7,2,6,93,56,11,7,0.6,911,6,18,0,94,4,0,0,"248",0,1,"56",914,"15",46,18,28,39.1
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26919,7960,18938,0,21,26868,7785,151,21,3,4294,3611,31,7936,80,244,1303,1275,1108,1119,1170,734,503,402,22,"0 to 105","44",4143,987,688,2118,928,4479,2529,1307,6,733,3,1,254,7960,3623,4306,7936,24,0,91023,16,99059,91039,7960,279,5807,1,6087,4.58,105146,8239,24745,33006,"5.7",7.8,30.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","4.3","4.6","22.2","12.6","%","%","%","%",173,116,255,1313,736,17,10,3.2,7926,255,34,0,494,52,6,0,"66",0,19,"1118",7637,"323",403,34,369,8.4
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,171189,74434,96618,29,108,169208,68503,5307,584,40,38537,35137,136,73810,1613,4108,10882,14192,12785,12043,9926,5016,2475,1345,49,"0 to 104","39",30669,19751,9875,13515,28043,32722,13045,10049,97,5592,76,26,1280,74434,35531,38766,73810,624,0,458523,1237,535068,459760,74434,3918,48347,11,52276,7.49,587344,78352,144965,223465,"11.7",13.3,45.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","6.8","17.8","48.2","30.7","%","%","%","%",397,307,1306,10146,5668,14,8,1.8,74273,1305,161,1,7726,565,80,0,"356",1,65,"3045",73858,"576",2267,161,2106,7.1
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1262,598,663,0,1,1260,573,24,1,0,256,340,1,597,5,24,64,112,105,83,76,58,43,28,0,"0 to 99","44",394,92,40,71,25,485,87,59,1,32,1,0,9,598,341,256,597,1,0,4214,0,4822,4214,598,4,36,0,40,10,4862,602,699,1302,"9",12.4,47.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","50","66.7","23.5","18.2","%","%","%","%",13,6,9,60,33,11,6,1.5,596,9,2,0,42,0,0,0,"170",0,-1,"82",559,"39",25,2,23,8
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7839,2871,4961,1,6,7809,2621,243,6,1,1521,1332,11,2864,24,68,301,315,311,416,519,422,278,217,0,"0 to 101","54",2222,174,270,198,237,2327,300,360,1,357,1,0,122,2871,1334,1525,2864,7,0,28595,16,31519,28611,2871,138,2908,0,3046,4.53,34565,3009,7869,10885,"6.2",8.7,38.4,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","233.3","76.9","40","29.1","%","%","%","%",129,56,122,361,358,13,13,4.2,2858,123,13,-1,138,10,2,0,"64",0,5,"460",2751,"120",157,13,144,8.3
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7090,2469,4561,1,59,7015,1581,880,4,4,1350,1102,9,2461,26,88,313,289,270,369,418,321,231,129,15,"0 to 100","51",1947,139,201,174,126,2051,284,234,0,259,1,0,72,2469,1108,1352,2461,8,0,21423,7,23911,21430,2469,61,1433,0,1494,4.08,25405,2530,5994,8584,"6",10,35.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","31.8","9.1","33.3","16.9","%","%","%","%",145,24,72,234,260,10,11,2.9,2443,72,26,0,214,5,2,0,"56",0,8,"422",2453,"16",128,26,102,20.3
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13050,4578,8453,1,18,12998,4422,141,15,0,2389,2136,38,4563,44,160,715,686,756,814,612,406,260,123,2,"0 to 100","43",2427,689,416,1031,421,3001,1141,717,2,324,3,0,86,4578,2146,2394,4563,15,0,39542,18,44165,39560,4578,105,1975,0,2080,5.05,46245,4683,10428,15130,"7.3",10.1,35.9,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","11.1","8.1","17","25.2","%","%","%","%",77,49,86,719,327,16,8,1.9,4534,86,44,0,336,34,2,0,"122",0,7,"476",4331,"247",322,44,278,13.7
