"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,18491,3808,14673,6,4,18182,3607,150,39,12,2046,1701,10,3757,58,144,1051,879,465,439,377,241,103,49,2,"0 to 103","31",1253,1077,478,949,482,2183,1092,292,11,155,11,1,25,3808,1729,2068,3757,51,0,64351,257,68439,64608,3808,81,1877,0,1958,4.14,70397,3889,16550,20449,"7.8",5.5,21,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","16.2","16.5","1.5","24.1","%","%","%","%",60,1,26,303,166,8,5,0.7,3749,24,59,2,285,19,3,0,"27",0,5
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1356,423,916,0,17,1280,333,90,0,0,209,213,1,423,5,14,65,68,84,67,66,26,22,6,0,"1 to 97","41",275,71,37,40,13,357,53,50,0,26,0,0,4,423,213,209,423,0,0,4013,59,4497,4072,423,0,57,0,57,0,4554,423,973,1413,"5.1",9.3,31.2,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","decreased by","50","10","31.2","2.9","%","%","%","%",1,3,4,50,26,12,7,0.9,403,4,20,0,31,3,0,0,"41",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,6947,3921,3016,0,10,6852,3719,137,63,2,1861,1927,68,3856,48,80,604,789,691,668,522,324,142,49,4,"0 to 98","41",2164,401,342,949,293,2328,1235,402,14,166,5,5,37,3921,1965,1887,3856,65,0,20275,38,24277,20313,3921,35,1066,0,1101,3.18,25378,3956,4082,8048,"4.4",15.6,56.9,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","28.3","12","31","27.3","%","%","%","%",61,0,42,416,171,11,5,1.1,3701,26,220,16,219,7,2,0,"180",0,20
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1789,341,1447,0,1,1786,244,97,0,0,164,177,0,341,6,13,47,39,58,58,57,24,26,13,0,"0 to 107","46",201,83,16,41,10,280,51,36,0,26,0,0,4,341,177,164,341,0,0,3840,2,4187,3842,341,7,77,0,84,8.33,4271,348,1524,1873,"6.9",8.1,19.5,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","NO","decreased by","decreased by","increased by","increased by","50","20","5.7","19.3","%","%","%","%",3,2,4,36,26,11,8,1.2,340,4,1,0,28,0,0,0,"79",0,1
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,24556,5671,18874,0,11,24518,5541,109,18,3,3000,2627,23,5650,57,146,1023,999,824,828,793,481,296,224,0,"0 to 110","42",2961,615,477,1597,739,3119,1792,848,6,425,3,0,123,5671,2637,3011,5650,21,0,74849,16,80594,74865,5671,144,4648,1,4793,3,85387,5815,23522,29349,"5.1",6.8,23.7,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","29.6","27.5","17.9","15.5","%","%","%","%",249,38,123,854,428,16,8,2.2,5619,117,52,6,318,39,6,0,"5",0,38
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,150645,58953,91485,27,180,148678,55600,2834,486,33,30302,27897,235,58434,1254,3051,8632,11476,10273,9608,7830,3902,1916,982,29,"0 to 102","39",20591,15054,5693,17096,19585,22384,16465,6585,86,3428,66,25,765,58953,28233,30476,58434,519,0,353659,1312,414613,354971,58953,2191,39504,7,41702,5.25,456315,61144,130989,192347,"10.1",13.4,40.6,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","17","33.3","13.8","12.4","%","%","%","%",699,137,790,6671,3494,12,6,1.3,58531,773,422,17,5876,384,52,0,"273",1,158
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,881,333,547,0,1,880,317,16,0,0,177,155,1,333,2,10,39,51,42,43,49,38,33,26,0,"1 to 99","50",237,27,20,49,16,255,62,42,0,27,0,0,7,333,155,177,333,0,0,2007,0,2344,2007,333,0,26,0,26,0,2370,333,573,907,"6.3",14.1,37.8,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","NO","NO","NO","did not change","decreased by","increased by","increased by","","55.6","93.9","13.2","","%","%","%",13,6,7,42,27,13,9,2.1,328,7,5,0,19,0,0,0,"11",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7060,2076,4973,1,10,7027,1854,216,5,1,1056,990,24,2070,22,42,219,240,220,297,372,303,203,157,1,"0 to 101","54",1467,124,107,372,158,1449,463,208,1,223,1,0,89,2076,991,1060,2070,6,0,22414,16,24531,22430,2076,83,2259,0,2342,3.54,26873,2159,7232,9402,"5.3",8,30.6,"2020-07-26 05:00:00","2020-08-01 05:00:00","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","45.5","50","34.3","28.2","%","%","%","%",142,NA,89,209,224,11,11,4.3,2062,89,14,0,96,4,0,0,"53",0,5
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5589,1322,4235,1,31,5549,780,540,2,0,680,636,4,1320,12,38,192,166,147,204,254,159,101,46,3,"0 to 100","50",1016,93,86,125,71,1067,182,98,0,129,0,0,34,1322,637,681,1320,2,0,16054,7,17396,16061,1322,33,1196,0,1229,2.69,18625,1355,5431,6818,"4.8",7.3,24.2,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","53.1","11.4","29","7.4","%","%","%","%",62,6,34,98,129,8,10,2.6,1299,30,23,4,109,3,1,0,"41",0,14
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,11038,2984,8038,1,15,10995,2853,122,9,0,1640,1326,9,2975,27,99,480,453,475,507,407,277,169,90,0,"0 to 100","44",1472,511,240,752,285,1864,826,438,0,197,0,0,49,2984,1330,1645,2975,9,0,29965,18,32982,29983,2984,63,1593,0,1656,3.8,34638,3047,9631,12694,"6.1",8.8,27.6,"2020-07-26 05:00:00","2020-08-01 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","26.5","57","18.2","17.5","%","%","%","%",93,19,49,438,197,15,7,1.6,2935,48,49,1,205,17,1,0,"10",0,2
