"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15883,215,215,1884,2943,2289,2262,2592,1920,922,575,66,"0 to 119",46,9131,6602,150,15609,274,0,260,15282,674,69,1033,14843,6,1,15602,950,59,13,11,496,512,1,1009,8,14,367,228,103,109,82,78,29,14,1,"0 to 103","29",359,202,191,257,205,538,266,163,6,93,5,0,12,1033,524,508,1009,24,0,38212,250,39504,38462,1033,48,1402,0,1450,3.31,1081,16245,17333,"6.6",2.6,6.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","10.5","13.6","24.1","45.5","%","%","%","%",53,10,12,169,98,16.4,9.5,1.2,945,12,88,0,30,4,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,910,30,16,100,134,125,149,151,105,66,32,2,"0 to 99",48,506,353,51,850,60,0,25,844,84,3,51,858,0,1,849,29,22,0,0,29,22,0,51,0,2,7,6,7,5,9,7,5,3,0,"10 to 97","53",36,13,2,0,1,49,1,14,0,12,0,0,4,51,22,29,51,0,0,1576,60,1687,1636,51,0,33,0,33,0,51,891,943,"3.4",3,5.6,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","25","1000","1689.9","","%","%","%",3,3,4,14,12,27.5,23.5,7.8,47,4,4,0,5,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3409,38,34,241,436,464,562,645,454,293,187,55,"0 to 119",53,1905,1450,54,3362,47,0,123,3099,354,62,305,3038,0,66,3305,252,36,16,1,152,136,0,288,4,3,41,63,53,61,39,23,16,2,0,"1 to 93","42",224,32,15,17,80,180,28,86,6,33,2,2,4,305,144,161,288,17,0,7045,21,7378,7066,305,16,753,0,769,2.08,321,3791,4178,"2.3",3.9,9.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","83.3","61.5","266.7","266.3","%","%","%","%",7,0,6,92,35,30.2,11.5,2,287,4,18,0,7,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1502,21,29,123,194,174,224,291,190,146,103,7,"0 to 118",54,937,540,25,1500,2,0,32,1401,173,2,80,1421,0,1,1499,37,43,0,0,57,23,0,80,1,5,9,8,12,9,6,7,12,11,0,"1 to 107","50",60,16,3,1,6,70,4,13,0,13,0,0,2,80,23,57,80,0,0,2446,2,2531,2448,80,5,48,0,53,9.43,85,1469,1555,"5.8",3.3,5.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","50","9","0.033962264","%","%","case","percent difference",4,2,2,13,13,16.2,16.2,2.5,76,2,4,0,8,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,20397,267,374,1306,2072,2241,2840,4489,3986,2111,559,152,"0 to 119",57,11539,8752,106,20375,22,0,305,19430,1151,98,1547,18847,0,3,20372,1469,62,14,2,779,750,2,1531,23,45,322,317,245,213,190,108,48,32,4,"0 to 99","37",925,108,100,398,302,810,419,212,3,107,3,0,17,1547,757,788,1531,16,0,40015,6,41572,40021,1547,72,2983,1,3056,2.36,1619,21830,23453,"4.1",3.6,7.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","76.2","112.5","240.4","170","%","%","%","%",7,3,17,215,110,13.9,7.1,1.1,1297,17,250,0,55,7,0,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,101740,1537,2009,7363,15125,15639,17725,18851,12902,6852,3529,208,"0 to 119",50,55139,45066,1535,100184,1556,0,2810,88508,14009,1052,14046,87655,13,26,100148,12444,1313,264,25,6925,6827,5,13757,175,412,1798,2668,2380,2359,2074,1130,669,366,15,"0 to 102","43",6462,4390,1156,1749,4934,7277,1546,3331,71,1941,58,22,382,14046,7018,7023,13757,289,0,171778,1264,187167,173042,14046,1212,25784,4,27000,4.49,15258,113439,128740,"6.7",7.1,15,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","47.6","37.6","106.4","75.6","%","%","%","%",313,159,404,3402,1999,24.2,14.2,2.9,13320,381,726,1,535,79,14,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,545,5,4,43,51,81,75,93,83,71,38,1,"0 to 99",56,324,203,18,545,0,0,5,443,58,5,72,472,0,1,544,56,16,0,0,53,19,0,72,0,0,6,7,5,2,4,7,20,21,0,"20 to 99","78",52,10,2,8,1,58,13,11,0,7,0,0,6,72,19,53,72,0,0,715,0,789,715,72,1,24,0,25,4,73,496,570,"3.9",9,13.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","100","400","418.9","%","%","%","%",29,6,6,11,7,15.3,9.7,8.3,79,6,-7,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5630,64,53,273,472,543,776,1076,1068,749,550,6,"0 to 119",60,3309,2253,68,5611,19,0,190,5004,643,24,687,4939,1,3,5607,531,153,2,1,404,277,3,684,8,9,48,71,51,84,120,97,94,105,0,"0 to 101","61",545,58,16,65,45,558,81,116,1,142,1,0,76,687,279,405,684,3,0,10803,16,11509,10819,687,47,1571,0,1618,2.9,734,6510,7248,"4.1",5.6,13,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","33.3","25","56.9","","%","%","%",83,49,76,117,143,17,20.8,11.1,657,76,30,0,16,3,1,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4127,38,75,217,389,369,496,761,931,643,199,9,"0 to 222",61,2295,1635,197,4120,7,0,85,3610,340,28,264,3860,1,2,4118,176,88,0,0,132,132,0,264,2,5,32,31,22,45,58,37,20,12,0,"0 to 97","54",206,12,13,33,26,204,34,36,0,36,0,0,12,264,132,132,264,0,0,9075,6,9348,9081,264,24,847,0,871,2.76,288,4707,4998,"3.5",2.8,7,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","14.3","100","200","352.1","%","%","%","%",3,1,12,36,36,13.6,13.6,4.5,240,12,24,0,9,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8420,121,211,660,985,1169,1374,1494,1315,761,309,21,"0 to 101",52,4859,3458,103,8399,21,0,161,7829,610,55,616,7798,1,5,8393,547,66,3,0,345,268,0,613,1,13,71,86,79,95,94,86,55,36,0,"0 to 100","51",321,116,60,116,58,421,134,151,0,102,0,0,34,616,269,347,613,3,0,15674,18,16313,15692,616,37,1028,0,1065,3.47,653,8826,9485,"4.6",3.8,7.8,"2020-06-14","2020-06-20","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","10","21.1","57.1","121.9","%","%","%","%",26,24,34,151,102,24.5,16.6,5.5,580,34,36,0,13,2,0,0
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,17249,372,649,1670,2015,2157,2238,2535,2761,2111,703,38,"0 to 105",52,9250,7916,83,16884,365,0,506,13975,3013,168,3966,13187,3,93,16788,3575,305,70,16,1896,1978,6,3880,107,209,710,657,677,556,466,280,205,97,2,"0 to 101","38",2032,184,322,1342,1898,840,1142,494,20,315,11,6,70,3966,2031,1929,3880,86,0,28228,279,32487,28507,3966,299,9723,1,10023,2.98,4265,22910,27272,"7.5",10,24.7,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.7","10.9","26.6","39.3","%","%","%","%",51,36,76,514,326,13,8.2,1.9,3778,70,188,0,301,23,11,0
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,3473,89,107,241,426,435,452,671,552,289,202,9,"0 to 119",54,1961,1412,100,3458,15,0,219,3067,351,16,261,3209,0,3,3455,222,37,2,0,132,127,0,259,8,16,26,61,41,40,36,19,8,6,0,"0 to 97","39",118,105,29,7,32,216,11,9,0,21,0,0,3,261,129,132,259,2,0,5405,13,5684,5418,261,10,190,0,200,5,271,3399,3673,"5.3",4.6,7.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","20","10.5","340","357.6","%","%","%","%",0,0,3,9,21,3.4,8,1.1,250,3,11,0,17,0,0,0
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,168234,1844,2760,13245,27002,26795,30523,28672,19392,10993,6346,662,"0 to 225",49,87713,79365,1156,166739,1494,1,4211,150764,18222,1008,31562,136419,100,153,166488,30203,833,517,9,15438,15573,25,31036,317,623,3211,5680,5118,5613,4699,3006,1838,1400,57,"0 to 108","46",15525,4500,1383,9628,15673,5841,9522,6650,49,3917,31,15,947,31562,15843,15678,31035,526,1,258985,967,291773,259952,31562,2750,41893,2,44645,6.16,34312,178312,212879,"7.8",10.2,20.4,"2020-06-14","2020-06-20","NO","NO","NO","NO","increased by","increased by","increased by","increased by","52.3","21","85.5","87.4","%","%","%","%",1019,435,962,6699,3948,21.2,12.5,3,30196,946,1366,1,932,175,43,5
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2629,64,121,236,367,365,461,496,286,156,70,7,"0 to 102",48,1092,1398,139,2619,10,0,57,1967,575,12,574,2042,0,13,2606,452,122,0,0,276,296,2,574,22,64,87,117,87,80,66,35,8,8,0,"0 to 92","34",422,56,19,77,359,134,81,90,0,56,0,0,10,574,296,276,574,0,0,3805,10,4394,3815,574,7,137,0,144,4.86,581,2179,2773,"7.6",12.8,22.1,"2020-06-14","2020-06-20","NO","YES","NO","NO","increased by","decreased by","decreased by","increased by","40","18.2","12","18.9","%","%","%","%",1,0,10,90,56,15.7,9.8,1.7,539,10,35,0,62,3,2,0
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,812,21,27,65,90,134,107,138,121,68,40,1,"0 to 118",52,479,316,17,812,0,0,11,697,80,1,65,747,0,0,812,49,16,0,0,30,35,0,65,0,3,12,4,12,11,11,4,5,3,0,"6 to 91","48",48,14,1,2,1,61,3,14,0,11,0,0,4,65,35,30,65,0,0,1291,0,1356,1291,65,0,25,0,25,0,65,772,837,"5.1",4.7,8,"2020-06-14","2020-06-20","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","100","50","50","33.9","%","%","%","%",0,0,4,14,11,21.5,16.9,6.2,63,4,2,0,8,0,0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,51021,819,1098,4847,8497,7480,7783,8919,6496,3306,1653,123,"-6 to 119",48,27996,22278,747,50396,625,0,840,47765,2616,220,4848,46116,10,47,50339,4471,280,86,11,2375,2369,7,4751,64,135,860,1294,829,627,534,291,135,76,3,"0 to 101","35",1581,1310,530,1330,575,2662,1514,518,22,339,11,3,64,4848,2419,2420,4751,97,0,88653,528,94112,89181,4848,317,5163,4,5484,5.78,5165,51279,56505,"6.1",5.2,10.1,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","78.7","24.8","340.7","203.8","%","%","%","%",139,33,67,540,350,11.1,7.2,1.4,4171,64,677,0,156,17,7,0
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,18418,458,479,1600,2430,2138,2473,3363,2850,1646,945,36,"0 to 119",53,11118,7260,40,15572,2846,0,262,17439,1058,83,1611,16804,2,1,15569,1274,64,273,0,764,574,0,1338,24,52,299,259,197,183,192,159,155,91,0,"0 to 105","42",659,409,47,223,58,926,354,152,1,87,1,3,44,1611,680,931,1338,273,0,27194,2573,31388,29767,1611,25,907,0,932,2.68,1636,17711,19350,"6.2",5.1,8.9,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","84","126","105.2","%","%","%","%",27,32,47,153,88,9.5,5.5,2.9,1559,44,52,0,61,5,2,0
