"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
46,36,71,"LEE","Lee","Lee","Lee County","FL",718679,45070,20638,24400,2,30,43853,19316,1000,313,9,10718,9493,105,20316,371,749,3305,3664,3260,3212,2660,1721,1022,657,17,"0 to 103","41",9239,1988,1163,7926,4617,7446,8253,2602,28,1478,21,10,476,20638,9663,10867,20315,322,1,125580,913,147246,126493,20638,1122,11546,1,12669,8.86,159915,21760,35946,57739,"8",13.6,48.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","19.2","19.8","13.4","0.7","%","%","%","%",275,245,486,2630,1499,13,8,2.4,20586,487,52,-1,1606,136,20,0,"101",1,10,"1610",20069,"569",497,52,445,10.5,"1602","8991","10593","15.1",41,682,723,"5.67"
10,37,73,"LEON","Leon","Leon","Leon County","FL",288102,23876,10784,13065,4,23,23331,10393,74,312,5,5848,4597,22,10467,189,360,5119,1560,1081,924,809,411,186,133,12,"0 to 105","23",3994,2694,1457,2322,858,5639,3970,623,22,245,11,10,81,10784,4733,6027,10466,317,1,79375,212,90517,79587,10784,241,3333,3,3577,6.74,94094,11025,16398,27453,"9.5",11.7,46.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","26.3","4.7","39.7","40.6","%","%","%","%",56,21,91,645,256,6,3,0.8,10710,90,74,1,798,39,5,0,"195",0,16,"379",9859,"925",558,74,484,13.3,"782","6926","7708","10.1",49,548,597,"8.21"
28,38,75,"LEVY","Levy","Levy","Levy County","FL",39961,2908,1047,1861,0,0,2901,956,85,3,3,534,506,1,1041,24,68,189,152,136,156,136,112,58,14,2,"0 to 99","41",607,161,183,90,220,702,119,117,0,83,0,0,10,1047,510,536,1041,6,0,7664,1,8720,7665,1047,11,267,0,278,3.96,8998,1058,2128,3186,"8",11.8,36.4,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","700","160","28.6","21.1","%","%","%","%",3,1,10,117,83,12,8,1,1046,10,1,0,126,6,4,0,"16",0,1,"39",1040,"7",74,1,73,1.4,"124","1044","1168","10.6",5,56,61,"8.2"
13,39,77,"LIBERTY","Liberty","Liberty","Liberty County","FL",8365,2540,518,2022,0,0,2540,484,34,0,0,139,379,0,518,6,16,91,100,90,99,78,23,13,2,0,"0 to 86","39",342,127,27,22,28,373,117,37,0,13,0,0,8,518,379,139,518,0,0,3061,0,3579,3061,518,6,25,0,31,19.35,3610,524,2047,2571,"30.7",14.5,20.6,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","100","71.4","92.3","79.3","%","%","%","%",0,0,8,37,13,8,3,1.5,518,8,0,0,52,2,0,3,"249",0,0,"6",465,"53",5,0,5,0,"52","257","309","16.8",4,21,25,"16"
12,40,79,"MADISON","Madison","Madison","Madison County","FL",18474,2167,1018,1147,1,1,2130,686,316,14,2,551,451,0,1002,39,76,125,142,154,175,137,94,40,36,0,"0 to 99","42",314,605,54,29,54,857,91,166,1,52,1,1,20,1018,455,563,1002,16,0,5118,19,6166,5137,1018,4,89,0,93,4.3,6259,1022,1236,2260,"12.2",16.3,47.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","YES","YES","did not change","decreased by","decreased by","decreased by","","50","41.2","39.8","","%","%","%",14,9,21,167,53,17,6,2.1,1017,21,1,0,149,12,1,1,"160",0,2,"174",1010,"8",9,1,8,11.1,"149","746","895","16.6",1,19,20,"5"
21,41,81,"MANATEE","Manatee","Manatee","Manatee County","FL",373853,26093,11681,14395,3,14,25720,11473,87,121,0,6066,5384,110,11560,266,767,1919,1998,1845,1690,1440,912,548,286,10,"0 to 101","39",6115,1179,2017,2249,3452,5311,2797,764,9,816,8,2,291,11681,5444,6123,11560,121,0,96192,266,108216,96458,11681,587,7237,2,7826,7.5,116042,12268,21632,33919,"9.1",10.6,47,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","decreased by","26.2","27.3","22.4","0.8","%","%","%","%",153,123,293,773,824,7,8,2.5,11619,293,62,0,1381,22,11,0,"33",1,0,"851",11470,"211",432,62,370,14.4,"1377","10135","11512","12.0",27,444,471,"5.73"
24,42,83,"MARION","Marion","Marion","Marion County","FL",348371,28417,9868,18528,1,20,28356,9538,312,17,1,5838,3996,16,9850,128,370,1222,1745,1749,1567,1318,898,564,304,3,"0 to 106","43",6200,1912,910,828,1359,7127,1364,1513,5,975,0,0,297,9868,4001,5850,9850,18,0,64735,22,74736,64757,9868,256,4292,1,4549,5.63,79285,10124,22820,32966,"9.5",12.8,35.6,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","increased by","28.8","10.4","0.7","37.5","%","%","%","%",129,119,297,1518,975,16,10,3,9806,295,62,2,722,49,8,5,"2225",0,23,"1025",9811,"57",547,62,485,11.3,"721","6629","7350","9.8",20,486,506,"3.95"
19,43,85,"MARTIN","Martin","Martin","Martin County","FL",157581,11593,4955,6585,2,51,11430,4899,24,32,0,2428,2471,24,4923,109,267,836,787,745,744,583,367,313,202,2,"0 to 100","40",2321,270,1162,1170,1875,2060,988,678,4,396,3,1,143,4955,2489,2442,4923,32,0,32059,77,37139,32136,4955,267,3962,0,4229,6.31,41368,5222,10547,15822,"10",12.6,45,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","NO","NO","YES","decreased by","increased by","decreased by","increased by","12.5","16.3","19.4","1.2","%","%","%","%",121,88,144,682,399,14,9,2.9,4942,144,13,0,550,35,4,0,"13",0,1,"438",4924,"31",452,13,439,2.9,"550","2423","2973","18.5",7,152,159,"4.4"
49,44,87,"MONROE","Monroe","Monroe","Monroe County","FL",76325,6293,1856,4389,0,48,6143,1780,41,30,5,864,954,3,1821,44,73,228,356,319,339,236,156,75,30,0,"0 to 100","42",1368,157,78,218,714,856,251,290,7,123,4,0,22,1856,973,880,1821,35,0,16142,67,18077,16209,1856,228,3888,1,4117,5.54,22194,2084,8277,10410,"13.6",9.4,33.1,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","75","36.4","13.3","7.3","%","%","%","%",3,2,22,297,127,17,7,1.2,1855,22,1,0,160,21,0,0,"2",0,0,"67",1779,"77",49,1,48,2,"157","1116","1273","12.3",1,54,55,"1.82"
54,45,89,"NASSAU","Nassau","Nassau","Nassau County","FL",80578,5763,2148,3566,0,49,5470,1930,73,142,3,1047,956,0,2003,27,91,364,299,301,359,300,199,135,73,0,"0 to 103","44",1584,210,96,113,89,1770,144,280,7,153,2,1,46,2148,1016,1132,2003,145,0,19256,100,21522,19356,2148,73,1277,1,1351,5.4,22873,2221,4843,7114,"8.8",9.7,38.5,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","33.3","4","23","15.9","%","%","%","%",31,18,47,287,155,14,8,2.2,2139,47,9,0,188,10,1,0,"41",0,4,"182",1806,"342",101,9,92,8.9,"173","1713","1886","9.2",13,141,154,"8.44"
