"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16394,220,237,2069,3072,2345,2307,2628,1938,930,581,67,"0 to 119",45,9396,6850,148,16115,279,0,294,15685,765,72,1578,14810,6,0,16109,1480,69,18,11,774,772,3,1549,12,36,554,372,161,158,126,101,37,19,2,"0 to 103","29",544,299,251,455,260,800,489,176,6,96,5,0,12,1578,788,787,1549,29,0,43369,250,45208,43619,1578,48,1402,0,1450,3.31,46658,1626,16212,17844,"6.8",3.5,9.9,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","increased by","17.2","2","9.3","30.5","%","%","%","%",68,10,12,182,101,12,7,0.8,1506,12,72,0,71,5,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,965,30,18,109,145,134,157,159,109,70,32,2,"0 to 99",48,524,390,51,905,60,0,54,848,130,5,102,862,0,1,904,62,40,0,0,45,57,0,102,0,3,16,15,15,14,17,10,9,3,0,"7 to 97","47",78,18,3,3,1,95,6,25,0,18,0,0,4,102,57,45,102,0,0,1873,60,2035,1933,102,0,33,0,33,0,2068,102,895,998,"3.6",4.9,10.6,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","100","14.3","150","99.6","%","%","%","%",3,3,4,25,18,25,18,3.9,98,4,4,0,6,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3727,46,47,312,507,523,604,677,471,297,188,55,"0 to 119",51,2076,1597,54,3675,52,0,190,3263,611,72,713,3011,0,3,3672,622,58,32,1,364,316,0,680,13,16,130,158,130,112,84,45,21,4,0,"0 to 95","37",448,81,39,112,132,414,134,108,6,38,2,2,5,713,337,376,680,33,0,8141,21,8888,8162,713,16,753,0,769,2.08,9657,729,3764,4496,"2.5",7.5,19.6,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","68.2","12.1","80.2","43.9","%","%","%","%",23,0,7,114,40,16,6,1,684,5,29,0,41,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1521,23,30,127,200,176,225,294,190,146,103,7,"0 to 118",53,947,550,24,1519,2,0,33,1400,188,2,96,1424,0,1,1518,49,46,0,0,64,31,0,95,1,5,12,15,14,10,8,7,12,11,0,"1 to 107","45",70,21,3,1,6,86,3,15,0,13,0,0,2,95,31,64,95,0,0,2705,2,2804,2707,95,5,48,0,53,9.43,2857,100,1472,1574,"5.8",3.5,6.6,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","250","800","45.5","15.7","%","%","%","%",3,2,2,15,13,16,14,2.1,94,2,1,0,7,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,21386,277,401,1521,2305,2383,2975,4621,4040,2140,575,148,"0 to 119",56,12039,9246,101,21363,23,0,506,20009,1720,111,2521,18863,0,2,21361,2435,69,14,3,1274,1225,5,2504,30,67,546,551,387,346,311,157,77,49,0,"0 to 99","36",1465,158,161,720,418,1377,709,264,3,131,3,0,19,2521,1232,1284,2504,17,0,49236,6,51772,49242,2521,72,2983,1,3056,2.36,54828,2593,21846,24442,"4.2",4.7,12.1,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","6.2","23.4","13.1","3.1","%","%","%","%",14,3,19,267,134,11,6,0.8,2453,19,68,0,137,13,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,110060,1921,2641,8682,16864,17108,18916,19762,13317,7047,3595,207,"0 to 119",49,59461,49089,1510,108457,1603,0,3744,92544,18120,1091,21240,88761,14,45,108401,19347,1553,312,27,10564,10273,63,20900,331,742,2990,4353,3720,3440,2902,1488,839,424,10,"0 to 102","40",9027,6163,1622,4088,7186,9748,3966,4132,74,2273,60,22,412,21239,10492,10684,20900,339,0,203236,1261,225849,204497,21239,1212,25784,4,27000,4.49,252849,22451,114545,137060,"7.2",8.9,20.4,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","45.4","25.7","95.5","52","%","%","%","%",353,157,434,4206,2333,20,11,2,19575,409,1664,3,1481,174,25,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,571,5,4,46,56,82,81,98,88,72,39,0,"0 to 99",56,342,212,17,571,0,0,8,447,79,5,97,474,0,0,571,81,16,0,0,66,31,0,97,0,0,9,11,7,7,9,12,21,21,0,"15 to 99","71",71,12,6,8,8,74,15,14,0,9,0,0,6,97,31,66,97,0,0,891,0,991,891,97,1,24,0,25,4,1016,98,498,596,"4.1",9.6,17.2,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","50","100","360","582.4","%","%","%","%",29,6,6,14,9,15,10,6.2,93,6,4,0,1,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5859,68,56,302,495,573,810,1120,1108,760,561,6,"0 to 119",60,3420,2373,66,5840,19,0,242,5120,767,28,922,4930,1,6,5833,752,167,2,1,515,400,4,919,12,12,79,94,85,115,164,136,107,118,0,"0 to 101","59",692,68,17,142,62,681,176,134,1,153,1,0,76,922,402,516,919,3,0,12581,16,13524,12597,922,47,1571,0,1618,2.9,15142,969,6501,7477,"4.2",6.4,16.5,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","15.4","20.8","73.6","70.8","%","%","%","%",108,49,76,135,154,15,17,8.2,887,76,35,0,32,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4320,44,85,245,424,394,514,794,958,652,202,8,"0 to 222",60,2407,1728,185,4313,7,0,89,3642,441,30,378,3939,1,2,4311,236,142,0,0,186,192,0,378,4,12,46,50,37,53,81,54,28,13,0,"0 to 97","53",295,21,20,42,32,298,48,44,0,42,0,0,13,378,192,186,378,0,0,10467,6,10854,10473,378,24,847,0,871,2.76,11725,402,4786,5191,"3.6",3.4,9.3,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","increased by","33.3","4.5","18.4","26.8","%","%","%","%",4,1,13,44,42,12,12,3.4,372,13,6,0,23,1,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8809,125,225,724,1054,1240,1456,1531,1348,769,315,22,"0 to 101",52,5056,3645,108,8787,22,0,208,8089,722,61,991,7817,1,0,8786,907,80,4,0,542,441,4,987,5,24,127,156,151,173,136,115,61,42,1,"0 to 100","47",460,174,79,274,86,600,301,170,0,110,0,0,34,991,443,544,987,4,0,18131,18,19153,18149,991,37,1028,0,1065,3.47,20218,1028,8845,9874,"4.8",5.1,11.7,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","81.5","26.4","89","70","%","%","%","%",23,23,34,170,110,18,12,3.4,936,34,55,0,41,4,1,0
