"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,22916,8230,14654,4,28,22560,7942,209,67,12,4475,3647,29,8151,124,296,3341,1378,848,775,682,458,204,111,13,"0 to 103","27",3686,1920,905,1640,961,5268,1922,812,18,406,23,1,56,8230,3695,4505,8151,79,0,90924,248,99433,91172,8230,185,2669,0,2854,6.48,102287,8415,17323,25770,"9.8",8.2,36.7,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","56","18.2","47.4","34.1","%","%","%","%",55,20,57,830,429,11,6,0.7,8164,57,66,0,573,51,10,0,"161",0,8,"330",7956,"274",466,66,400,14.2,"569","6459","7028","8.1",37,460,497,"7.44"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2551,1475,1041,0,35,2457,1258,216,0,1,475,999,0,1474,6,38,174,306,313,255,204,116,53,10,0,"0 to 97","41",763,202,48,461,17,904,553,106,0,68,0,0,12,1475,999,476,1474,1,0,6502,58,8061,6560,1475,7,88,0,95,7.37,8156,1482,1129,2646,"9.5",18.2,58.1,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","NO","decreased by","increased by","decreased by","decreased by","25","36.8","27.9","47.3","%","%","%","%",0,3,12,106,68,8,5,0.8,1472,12,3,0,75,4,0,1,"586",0,1,"40",1437,"38",24,3,21,12.5,"75","560","635","11.8",6,45,51,"11.76"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9301,6106,3175,1,19,9150,5853,142,109,2,2993,2962,40,5995,69,149,926,1133,1003,1015,870,546,282,94,19,"0 to 99","42",3455,611,824,1105,469,4037,1489,732,19,346,8,5,105,6106,3030,3036,5995,111,0,28523,30,34728,28553,6106,122,1379,0,1501,8.13,36229,6228,4554,10802,"5.9",17.2,67,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","decreased by","33.3","28.6","23.6","7.7","%","%","%","%",32,24,110,751,354,13,6,1.8,6063,109,43,1,367,16,5,1,"443",0,8,"378",5330,"776",187,43,144,23,"358","2336","2694","13.3",24,142,166,"14.46"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2733,1127,1604,0,2,2728,837,289,1,0,547,579,0,1126,16,56,154,168,160,177,198,114,61,23,0,"0 to 107","45",744,270,53,59,32,982,112,124,0,72,0,0,8,1127,580,547,1126,1,0,5734,2,6883,5736,1127,14,113,0,127,11.02,7010,1141,1717,2860,"10.6",16.3,41.7,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","44.4","15","26.3","7.1","%","%","%","%",5,2,8,124,72,12,7,0.7,1102,8,25,0,111,5,1,0,"269",0,1,"61",1099,"28",54,25,29,46.3,"111","739","850","13.1",10,39,49,"20.41"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27939,8983,18934,0,22,27884,8779,177,24,3,4841,4080,35,8956,95,312,1465,1396,1227,1253,1339,863,580,427,26,"0 to 105","44",4770,1069,760,2357,1006,5156,2794,1438,6,806,3,1,295,8983,4095,4853,8956,27,0,97617,16,106675,97633,8983,360,6575,1,6936,5.19,113611,9343,25509,34875,"6",8.2,33.4,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","12.3","11.6","5.1","34.4","%","%","%","%",96,176,296,1444,809,17,10,3.3,8848,294,135,2,613,62,9,0,"68",0,14,"1168",8378,"605",663,135,528,20.4,"613","7027","7640","8.0",60,610,670,"8.96"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,176132,77122,98870,29,111,174121,71054,5410,616,42,39925,36408,131,76464,1648,4247,11336,14679,13226,12463,10282,5211,2583,1412,35,"0 to 107","39",32055,20328,10624,13457,29099,34434,12931,10388,100,5831,77,27,1384,77122,36830,40159,76464,658,0,489364,1234,568601,490598,77122,5310,55505,14,60829,8.73,629430,82432,154375,236961,"12.4",13.1,46.8,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","17.9","10.8","5.5","8.8","%","%","%","%",294,385,1411,10488,5908,14,8,1.8,76874,1407,248,4,7994,585,89,0,"399",1,57,"3305",76245,"877",3565,248,3317,7,"7974","41525","49499","16.1",127,1495,1622,"7.83"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1293,616,676,0,1,1291,588,27,1,0,263,351,1,615,5,25,71,114,107,86,76,60,43,29,0,"0 to 99","43",410,92,41,72,26,498,91,60,1,33,1,0,11,616,352,263,615,1,0,4353,0,4979,4353,616,4,38,0,42,9.52,5021,620,714,1335,"9.2",12.3,48,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","100","100","20","13.2","%","%","%","%",13,6,11,61,34,10,6,1.8,615,11,1,0,46,0,0,0,"172",0,1,"84",575,"41",8,1,7,12.5,"46","412","458","10.0",2,12,14,"14.29"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8044,3074,4961,1,8,8011,2805,261,7,1,1640,1416,10,3066,26,74,327,325,328,439,551,455,312,237,0,"0 to 101","55",2348,197,283,238,246,2471,349,395,1,385,1,0,136,3074,1418,1645,3066,8,0,30571,16,33700,30587,3074,187,3253,0,3440,5.44,37140,3261,8214,11484,"6.5",8.8,40.5,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","61.1","20","4.9","18.6","%","%","%","%",141,63,136,396,386,13,13,4.4,3046,135,28,1,149,10,2,0,"64",0,5,"529",2932,"142",168,28,140,16.7,"149","1520","1669","8.9",3,126,129,"2.33"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7648,2764,4836,2,46,7585,1816,939,4,4,1531,1214,10,2755,32,99,364,312,301,408,461,359,267,145,15,"0 to 100","51",2174,167,208,206,136,2306,313,266,0,291,1,0,103,2763,1220,1533,2755,8,0,23454,7,26235,23461,2763,89,1569,0,1658,5.37,27893,2852,6405,9306,"6.5",10.2,37.3,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","8","33.3","24.1","3.1","%","%","%","%",86,36,103,266,292,10,11,3.7,2743,103,20,0,244,5,2,0,"61",0,15,"506",2721,"42",102,20,82,19.6,"244","1850","2094","11.7",12,132,144,"8.33"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13794,5128,8638,2,26,13733,4947,165,15,0,2649,2417,46,5112,52,185,808,771,841,898,698,448,296,128,2,"0 to 100","43",2884,762,446,1020,455,3483,1174,835,2,359,3,0,100,5127,2426,2655,5112,15,0,43355,18,48529,43373,5127,136,2165,0,2301,5.91,50830,5263,10803,16095,"7.8",10.4,38.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","did not change","increased by","increased by","increased by","","2.5","14","32.3","","%","%","%",74,52,100,837,362,17,8,2,5091,100,36,0,397,47,3,0,"190",0,9,"503",4852,"275",251,36,215,14.3,"396","4330","4726","8.4",32,331,363,"8.82"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,26909,12732,14124,3,50,26461,12165,448,103,16,6421,6147,45,12613,336,658,2143,2036,2102,2007,1582,920,612,330,6,"0 to 104","40",6363,779,1470,4001,4980,3610,4023,1468,25,910,15,7,218,12732,6216,6471,12613,119,0,66651,279,79755,66930,12732,1183,15330,1,16514,7.16,96269,13915,29454,43423,"11.9",14.5,51.7,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","decreased by","decreased by","decreased by","increased by","6.7","30.8","17.8","2.7","%","%","%","%",36,95,225,1493,925,12,8,1.8,12692,223,40,2,1393,115,26,0,"85",0,13,"706",11903,"829",316,40,276,12.7,"1392","5846","7238","19.2",23,350,373,"6.17"
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,6929,3828,3096,0,5,6898,3446,369,10,3,1260,2553,2,3815,66,142,436,674,711,644,563,358,165,68,1,"0 to 102","43",2318,1152,159,186,238,3340,237,109,1,209,2,0,56,3828,2561,1265,3815,13,0,13695,13,17592,13708,3828,46,412,0,458,10.04,18050,3874,3508,7387,"10.7",21.5,55.9,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","35.7","6.5","32.7","45.4","%","%","%","%",34,13,56,110,211,3,6,1.5,3790,54,38,2,269,3,3,9,"1607",0,6,"257",3573,"255",83,38,45,45.8,"269","1770","2039","13.2",12,67,79,"15.19"
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,307614,170087,136899,88,540,304936,167133,1845,1088,20,85948,82006,1024,168978,2720,6325,22546,30934,28161,30418,23782,13212,7458,4054,476,"0 to 108","42",68801,14965,21646,63566,80218,22872,65888,15290,94,7775,41,21,3243,170086,82604,86399,168977,1108,1,743475,963,916538,744438,170086,15052,97888,4,112944,13.33,1029482,185138,234787,420558,"15.5",18,60.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","decreased by","increased by","17.3","29","12.6","8.9","%","%","%","%",712,784,3264,15384,7816,10,5,1.9,169466,3249,620,15,12514,1069,161,35,"1981",2,158,"5752",168392,"1694",4327,620,3707,14.3,"12421","54166","66587","18.7",303,2579,2882,"10.51"
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,3886,1566,2313,1,6,3866,1430,133,3,0,642,917,4,1563,44,132,221,299,292,233,186,98,45,16,0,"0 to 97","37",946,164,124,329,716,470,377,236,1,120,1,0,25,1566,918,644,1563,3,0,9633,10,11215,9643,1566,131,895,0,1026,12.77,12241,1697,3208,4912,"13.5",13.9,43.7,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","40","70.6","18.8","32.5","%","%","%","%",8,0,25,237,121,16,8,1.6,1565,25,1,0,226,14,3,0,"246",0,2,"63",1559,"7",14,1,13,7.1,"226","1278","1504","15.0",-1,49,48,"0"
