"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,17719,246,295,2386,3393,2535,2463,2757,2012,964,600,68,"0 to 119",44,10130,7446,143,17420,299,0,665,16301,1419,97,2984,14725,6,4,17410,2839,94,39,12,1552,1377,4,2933,38,92,884,699,358,336,276,187,75,36,3,"0 to 103","30",1017,741,395,780,410,1654,869,234,8,125,9,1,16,2984,1406,1573,2933,51,0,57629,246,60878,57875,2984,68,1800,0,1868,3.64,62746,3052,16525,19587,"7.4",4.9,17.2,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","18.9","21.7","13.5","8.1","%","%","%","%",49,10,17,242,134,9,5,0.6,2890,17,94,0,181,13,3,0,"24",0,4
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1162,37,25,144,181,177,180,185,116,81,34,2,"0 to 99",46,649,488,25,1103,59,0,94,869,297,7,265,889,0,8,1095,187,78,0,0,128,136,1,265,3,8,42,44,50,38,40,17,19,4,0,"1 to 97","42",184,50,19,12,8,236,21,35,0,23,0,0,4,265,136,128,265,0,0,3510,58,3834,3568,265,0,54,0,54,0,3888,265,943,1216,"4.4",6.8,22.8,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","decreased by","4","37.5","20.8","65.6"," cases","%","%","%",1,3,4,35,23,14,9,1.5,254,4,11,0,17,2,0,0,"19",0,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,5489,72,82,605,850,820,910,924,620,348,203,55,"0 to 119",48,3021,2411,57,5412,77,0,432,4422,1412,111,2477,3010,0,2,5410,2285,134,56,2,1295,1116,8,2419,38,50,424,501,427,414,329,196,74,24,0,"0 to 96","40",1343,274,129,673,209,1467,743,220,10,83,4,3,14,2477,1149,1320,2419,58,0,17406,24,19935,17430,2477,22,991,0,1013,2.17,20948,2499,4001,6502,"3.6",11.9,45.5,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","8.1","1.7","56.2","0.7","%","%","%","%",28,0,17,230,87,10,4,0.7,2356,17,121,0,148,3,1,0,"32",0,6
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1656,30,41,157,213,196,247,310,197,156,103,6,"0 to 118",52,1038,596,22,1654,2,0,80,1380,306,2,221,1434,0,1,1653,142,79,0,0,138,83,0,221,5,10,36,29,34,35,25,13,22,12,0,"0 to 107","44",150,61,8,2,6,212,3,33,0,24,0,0,3,221,83,138,221,0,0,3475,2,3701,3477,221,7,75,0,82,8.54,3783,228,1509,1738,"6.4",6,13.8,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","did not change","increased by","increased by","14.3","","225","46.9","%","","%","%",3,2,3,33,24,15,11,1.4,212,2,9,1,21,0,0,0,"11",0,1
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,23632,296,453,1897,2648,2690,3318,4947,4268,2284,685,146,"0 to 119",56,13237,10280,115,23606,26,0,1101,20956,3684,135,4756,18870,1,5,23600,4634,102,17,3,2472,2243,21,4736,50,117,923,891,691,688,636,379,219,162,0,"0 to 103","40",2479,446,393,1418,650,2523,1563,653,6,326,3,0,64,4756,2252,2483,4736,20,0,67980,6,72797,67986,4756,114,4339,1,4454,2.56,77251,4870,23209,28086,"4.9",6.3,20.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","39.4","18.2","3.5","1","%","%","%","%",284,14,64,659,329,14,7,1.3,4658,60,98,4,266,33,5,0,"3",1,18
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,137057,3030,4613,12773,21899,21753,23178,23088,14916,7707,3886,214,"0 to 119",47,73712,61776,1569,135332,1725,0,6068,108608,27686,1174,46576,90324,23,134,135178,43916,2185,440,35,23771,22094,236,46101,967,2263,6803,9283,8200,7577,6123,3060,1526,755,19,"0 to 102","39",16198,12065,3451,14387,14948,17344,13809,5713,86,2958,66,25,546,46576,22395,23933,46101,475,0,301944,1232,350194,303176,46576,1736,36495,7,38238,4.54,388432,48312,126819,175295,"9.2",12.4,35.2,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","12.3","0.5","34.4","3.7","%","%","%","%",615,172,571,5799,3024,13,7,1.2,45010,561,1566,10,4415,316,43,0,"247",-118,71
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,773,10,19,77,84,113,107,131,108,82,42,0,"0 to 99",52,454,305,14,773,0,0,26,476,207,9,242,530,0,1,772,226,16,0,0,143,99,0,242,1,6,29,28,23,31,36,32,32,24,0,"1 to 99","55",188,18,16,20,13,200,29,34,0,22,0,0,7,242,99,143,242,0,0,1699,0,1947,1699,242,0,25,0,25,0,1972,242,555,798,"5.5",12.3,31.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","did not change","increased by","increased by","200","","250","39.6","%","","%","%",14,6,7,34,22,15,10,2.9,232,7,10,0,13,0,0,0,"6",0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6562,73,71,392,589,649,919,1244,1214,820,583,8,"0 to 119",59,3774,2707,81,6540,22,0,425,5390,1151,31,1606,4950,1,5,6534,1403,197,5,1,834,740,26,1600,17,27,171,183,159,219,284,237,165,143,1,"0 to 101","55",1120,87,71,322,114,1110,376,188,1,209,1,0,82,1606,741,838,1600,6,0,18717,16,20349,18733,1606,70,2103,0,2173,3.22,22522,1676,7053,8735,"4.9",7.4,25.5,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","decreased by","decreased by","109.1","22","11.7","50.5","%","%","%","%",138,51,82,189,210,12,14,5.1,1560,82,46,0,68,4,0,3,"4",-3,2
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,5183,54,117,384,553,498,654,940,1051,702,222,8,"0 to 222",58,2905,2123,155,5174,9,0,234,3824,928,39,1009,4165,1,8,5166,618,389,2,0,509,495,3,1007,10,28,149,141,114,150,185,121,79,32,0,"0 to 100","49",772,70,59,106,55,794,158,71,0,94,0,0,20,1009,496,510,1007,2,0,14354,6,15379,14360,1009,29,1134,0,1163,2.49,16542,1038,5299,6346,"4.4",6.3,20,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","30.6","14.3","56.6","13.2","%","%","%","%",58,1,20,71,94,8,10,2,954,18,55,2,82,2,0,0,"21",-2,3
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10362,153,314,1010,1298,1486,1701,1743,1463,828,345,21,"0 to 101",50,5918,4326,118,10336,26,0,511,8580,1529,93,2389,7961,1,11,10324,2264,117,8,0,1311,1061,9,2381,20,86,386,378,375,399,329,224,120,72,0,"0 to 100","43",1083,392,190,716,229,1368,784,335,0,163,0,0,47,2389,1065,1315,2381,8,0,26615,18,29036,26633,2389,53,1481,0,1534,3.46,30570,2442,9442,11896,"5.7",8,23.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","26","29.6","53.6","0.9","%","%","%","%",87,26,47,335,163,15,7,2,2330,45,59,2,168,12,1,0,"9",0,5
