"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16600,222,242,2126,3129,2370,2328,2649,1948,935,584,67,"0 to 119",45,9503,6948,149,16315,285,0,313,15854,805,75,1792,14802,6,0,16309,1684,73,24,11,882,870,5,1757,14,41,614,430,188,182,146,111,42,22,2,"0 to 103","29",607,356,269,525,277,916,564,180,7,96,5,0,12,1792,890,897,1757,35,0,44997,250,47050,45247,1792,48,1402,0,1450,3.31,48500,1840,16204,18050,"6.9",3.8,11.1,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","increased by","17.2","2","9.3","30.5","%","%","%","%",71,10,12,187,101,11,6,0.7,1701,12,91,0,79,5,1,0,"2"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,983,32,20,113,147,138,155,160,111,73,32,2,"0 to 99",47,530,400,53,923,60,0,57,850,144,5,120,862,0,1,922,78,42,0,0,50,67,3,120,1,4,20,17,20,13,18,12,12,3,0,"1 to 97","43",82,20,5,13,2,99,19,28,0,20,0,0,4,120,67,50,120,0,0,1941,60,2121,2001,120,0,33,0,33,0,2154,120,895,1016,"3.7",5.6,12.2,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","100","14.3","150","99.6","%","%","%","%",3,3,4,28,20,24,17,3.3,110,4,10,0,8,2,1,0,"5"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3893,46,49,339,541,555,629,698,485,306,190,55,"0 to 119",51,2158,1680,55,3839,54,0,226,3363,677,76,880,3012,0,1,3838,766,79,34,1,442,401,2,845,13,18,158,193,159,138,104,60,29,8,0,"0 to 95","38",542,109,46,148,142,520,183,115,6,39,2,2,5,880,422,456,845,35,0,8741,21,9666,8762,880,16,753,0,769,2.08,10435,896,3765,4662,"2.6",8.6,23,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","68.2","12.1","80.2","43.9","%","%","%","%",26,0,7,121,41,14,5,0.8,818,5,62,0,48,0,0,0,"6"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1530,23,31,129,202,178,226,295,191,146,103,6,"0 to 118",53,953,553,24,1528,2,0,35,1401,195,2,105,1424,0,1,1527,59,46,0,0,71,34,0,105,1,6,13,17,16,12,9,8,12,11,0,"1 to 107","44",72,26,3,4,6,93,6,17,0,14,0,0,2,105,34,71,105,0,0,2788,2,2897,2790,105,5,48,0,53,9.43,2950,110,1472,1583,"5.9",3.7,7.2,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","250","800","45.5","15.7","%","%","%","%",3,2,2,17,14,17,14,1.9,102,2,3,0,8,0,0,0,"2"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,21682,284,409,1579,2353,2426,3024,4657,4064,2154,585,147,"0 to 119",56,12201,9377,104,21659,23,0,576,20207,1852,114,2813,18865,0,4,21655,2725,70,14,3,1437,1350,8,2795,37,76,603,596,431,397,343,179,91,59,0,"0 to 99","36",1567,176,187,865,447,1467,881,292,3,143,3,0,20,2812,1357,1447,2795,17,0,51698,6,54526,51704,2812,72,2983,1,3056,2.36,57582,2884,21848,24738,"4.3",5,13.3,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","6.2","23.4","13.1","3.1","%","%","%","%",28,3,20,295,146,11,6,0.7,2705,20,107,0,165,17,2,0,"3"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,112899,2092,2827,9078,17395,17574,19388,20114,13483,7124,3621,203,"0 to 119",49,60919,50403,1577,111281,1618,0,4079,93900,19524,1105,23783,89053,14,49,111222,21784,1643,327,27,11851,11447,129,23427,397,877,3345,4875,4155,3879,3232,1643,916,454,8,"0 to 102","40",9841,6666,1805,5115,7961,10596,4870,4386,75,2354,60,22,419,23781,11678,11974,23427,354,0,214843,1260,240030,216103,23781,1212,25784,4,27000,4.49,267030,24993,114837,139899,"7.3",9.4,22.1,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","45.4","25.7","95.5","52","%","%","%","%",389,157,441,4461,2414,19,11,1.9,22595,418,1186,1,1768,200,25,0,"215"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,582,5,4,51,56,83,82,103,87,72,39,0,"0 to 99",56,347,219,16,582,0,0,7,452,89,5,106,476,0,0,582,90,16,0,0,71,35,0,106,0,0,14,11,8,8,12,11,21,21,0,"15 to 99","65",75,14,7,10,9,81,16,18,0,12,0,0,6,106,35,71,106,0,0,918,0,1027,918,106,1,24,0,25,4,1052,107,500,607,"4.2",10.2,18.4,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","50","100","360","582.4","%","%","%","%",18,6,6,18,12,17,12,5.7,101,6,5,0,2,0,0,0,"6"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5917,69,58,313,508,578,818,1122,1116,766,562,7,"0 to 119",60,3454,2394,69,5898,19,0,266,5132,808,30,975,4934,1,7,5890,803,168,2,1,540,420,11,971,12,14,91,106,89,121,166,144,111,119,1,"0 to 101","58",730,71,20,150,67,721,183,141,1,158,1,0,77,974,421,541,971,3,0,12993,16,13990,13009,974,47,1571,0,1618,2.9,15608,1021,6505,7535,"4.3",6.5,17.3,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","15.4","20.8","73.6","70.8","%","%","%","%",111,49,77,142,159,15,17,7.9,944,77,30,0,37,2,0,0,"4"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4416,46,88,256,441,405,530,815,964,658,205,8,"0 to 222",60,2450,1785,181,4409,7,0,107,3675,486,32,457,3956,1,2,4407,301,156,0,0,220,234,3,457,6,15,55,64,47,65,97,58,34,16,0,"0 to 97","51",342,25,28,62,35,350,72,44,0,47,0,0,13,457,234,220,457,0,0,10929,6,11396,10935,457,24,847,0,871,2.76,12267,481,4803,5287,"3.7",3.9,10.9,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","increased by","33.3","4.5","18.4","26.8","%","%","%","%",10,1,13,44,47,10,11,2.8,419,13,38,0,28,1,0,0,"8"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8978,127,235,757,1091,1266,1479,1554,1357,772,318,22,"0 to 101",51,5136,3729,113,8956,22,0,212,8239,774,61,1158,7819,1,0,8955,1068,86,4,0,625,524,5,1154,7,31,160,194,176,197,159,123,65,45,1,"0 to 100","45",505,198,85,366,94,652,408,178,0,112,0,0,34,1158,526,627,1154,4,0,18775,18,19964,18793,1158,37,1028,0,1065,3.47,21029,1195,8847,10043,"4.8",5.7,13.3,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","81.5","26.4","89","70","%","%","%","%",23,23,34,178,112,16,10,2.9,1074,34,84,0,54,5,1,0,"1"
47,11,21,"COLLIER","Collier","Collier","Collier County","FL",363922,18870,444,740,1991,2281,2411,2489,2718,2865,2173,720,38,"0 to 105",51,10070,8684,116,18501,369,0,612,14974,3607,175,5441,13307,3,119,18379,5010,333,74,16,2654,2662,27,5343,155,286,1013,901,915,791,629,375,257,111,0,"0 to 101","38",2479,241,401,2222,2246,1032,2065,589,20,385,11,6,85,5433,2716,2690,5343,90,0,33146,279,38885,33425,5433,299,9723,1,10023,2.98,48908,5732,23030,28893,"7.9",11.7,30.4,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","12.1","12.6","2.3","8","%","%","%","%",52,38,91,609,396,12,8,1.7,5201,85,232,0,631,33,15,0,"7"
16,12,23,"COLUMBIA","Columbia","Columbia","Columbia County","FL",69105,3579,96,112,256,439,448,469,690,563,293,204,9,"0 to 119",54,2023,1463,93,3563,16,0,268,3053,468,16,392,3184,0,3,3560,347,42,3,0,195,194,0,389,15,21,43,75,57,56,61,35,20,9,0,"0 to 97","43",183,140,48,18,53,314,22,12,0,44,0,0,4,392,196,196,389,3,0,6358,13,6768,6371,392,10,190,0,200,5,6968,402,3374,3779,"5.5",5.8,11.2,"2020-06-28","2020-07-04","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","23.1","2.9","154.1","74.8","%","%","%","%",18,0,4,12,44,4,12,1,377,4,15,0,44,0,0,0,"34"
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,190061,2201,3532,16397,31524,30688,34368,31448,20871,11733,6621,678,"0 to 225",48,98631,90254,1176,188491,1569,1,4640,170396,20387,1038,53978,135809,98,176,188219,52405,962,598,9,26554,26724,89,53367,661,1359,6408,10368,9097,9608,7530,4533,2604,1732,74,"0 to 119","43",21696,6262,1940,23469,22251,7798,23318,7446,51,4206,31,15,1068,53974,27033,26828,53366,607,1,327602,961,383093,328563,53974,2750,41893,2,44645,6.16,427738,56724,177702,234706,"8.6",13.3,29.8,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","30.3","0.5","68.6","31.3","%","%","%","%",974,505,1083,7497,4237,14,8,2,51058,1057,2916,11,2839,283,44,10,"1222"
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2873,75,148,276,413,414,490,524,300,159,70,4,"0 to 102",47,1193,1549,131,2863,10,0,99,2014,768,14,775,2092,0,6,2857,647,128,0,0,348,423,4,775,28,77,118,159,130,106,91,48,10,8,0,"0 to 92","35",565,81,29,100,471,192,112,123,0,72,0,0,10,775,423,348,775,0,0,4731,10,5522,4741,775,7,137,0,144,4.86,5666,782,2229,3017,"8.3",13.8,27.2,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","60","30","21.5","1.5","%","%","%","%",1,0,10,123,72,16,10,1.3,760,10,15,0,128,6,3,0,"22"
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,842,21,27,72,93,140,107,139,130,72,40,1,"0 to 118",52,499,327,16,842,0,0,12,711,110,2,90,752,0,0,842,74,16,0,0,45,44,1,90,0,3,16,7,16,11,12,13,9,3,0,"6 to 91","49",68,15,0,7,0,83,7,19,0,13,0,0,4,90,44,45,90,0,0,1456,0,1546,1456,90,0,25,0,25,0,1571,90,777,867,"5.3",5.7,10.7,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","increased by","5","6","250","236.4"," cases"," cases","%","%",0,0,4,19,13,22,15,4.4,84,4,6,0,9,0,0,0,"2"
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,56634,899,1322,5911,10010,8435,8550,9477,6785,3420,1696,129,"-6 to 119",47,30952,24897,785,55971,663,0,1059,52206,3449,228,10439,46100,11,84,55880,9678,630,119,12,5312,4933,63,10308,124,337,1887,2822,1799,1393,1093,592,257,131,4,"0 to 101","35",2741,2850,915,3802,983,4885,4440,645,22,387,11,3,70,10439,5001,5372,10308,131,0,114314,528,125457,114842,10439,317,5163,4,5484,5.78,130941,10756,51263,62118,"6.7",8.2,19,"2020-06-28","2020-07-04","NO","NO","NO","NO","did not change","decreased by","increased by","increased by","","18.4","32.6","32.9","","%","%","%",257,35,73,667,398,7,4,0.7,9835,70,604,0,652,27,6,0,"59"
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,19948,475,532,1952,2787,2348,2669,3538,2947,1692,972,36,"0 to 119",52,11933,7971,44,16909,3039,0,403,18539,1459,94,3188,16751,2,7,16900,2643,73,472,0,1489,1226,1,2716,40,98,663,633,416,381,375,258,204,120,0,"0 to 105","36",1265,759,94,598,104,1853,759,256,2,131,1,3,51,3188,1410,1777,2716,472,0,33597,2567,39364,36164,3188,25,907,0,932,2.68,40296,3213,17658,20880,"6.7",8,16.1,"2020-06-28","2020-07-04","NO","NO","NO","NO","increased by","increased by","increased by","increased by","108.1","82.4","124.9","30.4","%","%","%","%",117,35,54,258,132,9,5,1.7,3059,48,129,3,212,11,4,0,"23"
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,4172,54,46,240,427,486,587,809,801,499,217,6,"0 to 119",58,2437,1675,60,4133,39,0,163,3716,354,45,424,3742,0,6,4127,360,55,9,0,240,170,5,415,6,8,53,71,45,62,76,64,31,8,0,"1 to 94","50",264,55,67,29,56,318,41,65,4,37,2,1,5,424,175,244,415,9,0,8908,30,9367,8938,424,32,943,0,975,3.28,10342,456,4685,5147,"4.8",4.4,10.9,"2020-06-28","2020-07-04","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","40","27.3","32.8","7.8","%","%","%","%",2,0,6,69,39,17,10,1.4,410,5,14,0,21,4,0,0,"7"
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,516,4,8,28,39,42,57,118,130,74,16,0,"0 to 95",62,297,215,4,512,4,0,11,470,29,8,19,496,0,1,511,15,3,1,0,15,3,0,18,0,1,1,4,2,2,2,4,3,0,0,"9 to 77","54",14,2,0,2,0,16,2,0,0,0,0,0,0,19,3,16,18,1,0,1347,3,1369,1350,19,1,314,0,315,0.32,1684,20,810,831,"7.1",1.2,3.9,"2020-06-28","2020-07-04","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","2","3","60","74.8"," cases"," cases","%","%",0,0,0,0,0,0,0,0,15,0,4,0,1,0,0,0,"0"
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,3096,54,110,239,511,530,541,482,395,149,83,2,"0 to 119",47,2116,969,11,3078,17,1,54,2729,443,18,481,2613,1,1,3077,465,12,4,0,316,161,0,477,5,24,46,89,104,88,53,39,21,12,0,"0 to 98","41",174,184,25,94,69,301,107,104,0,72,0,0,7,481,161,320,476,4,1,5987,13,6493,6000,481,9,103,0,112,8.04,6605,490,2716,3208,"7",7.4,15.8,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","25","14.3","62.5","9.1","%","%","%","%",0,4,7,104,72,22,15,1.5,474,7,7,0,40,2,1,0,"109"
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,807,18,21,92,106,115,124,122,102,71,36,0,"0 to 118",49,451,347,9,807,0,0,18,677,170,3,124,683,0,0,807,104,20,0,0,36,88,0,124,5,6,19,21,22,23,19,6,3,0,0,"0 to 83","39",90,13,15,6,29,85,10,8,0,1,0,0,0,124,88,36,124,0,0,2406,0,2533,2406,124,3,58,0,61,4.92,2594,127,741,868,"4.9",4.9,15.7,"2020-06-28","2020-07-04","NO","NO","YES","YES","decreased by","decreased by","decreased by","increased by","87.5","77.8","5","25","%","%","%","%",0,0,0,8,1,7,1,0,122,0,2,0,17,0,0,0,"34"
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,363,8,15,49,73,74,45,34,32,26,6,1,"1 to 90",39,174,188,1,363,0,0,36,203,173,0,189,174,0,0,363,187,2,0,0,73,116,0,189,4,4,32,50,50,27,14,5,2,1,0,"1 to 89","36",129,26,8,26,100,60,29,26,0,18,0,0,1,189,116,73,189,0,0,551,0,741,551,189,2,13,0,15,13.33,756,191,187,378,"2.8",25.3,52.6,"2020-06-28","2020-07-04","YES","YES","NO","NO","did not change","did not change","decreased by","decreased by","","","60","53","","","%","%",0,0,1,26,18,14,10,0.5,188,1,1,0,12,1,0,0,"95"
38,23,45,"GULF","Gulf","Gulf","Gulf County","FL",16055,675,11,17,54,66,70,115,133,123,66,20,0,"0 to 94",55,389,283,3,616,59,0,32,591,87,15,59,616,0,0,616,51,3,5,0,25,29,0,54,0,1,17,6,9,15,7,3,0,1,0,"9 to 89","42",36,14,2,2,11,41,2,11,1,3,1,0,0,59,33,26,54,5,0,1874,54,1988,1928,59,0,45,0,45,0,2033,59,661,720,"4.5",2.9,8.7,"2020-06-28","2020-07-04","NO","NO","NO","YES","decreased by","did not change","increased by","decreased by","50","","92.3","37.5","%","","%","%",0,0,0,12,4,21,7,0,57,0,2,0,1,0,0,0,"0"
14,24,47,"HAMILTON","Hamilton","Hamilton","Hamilton County","FL",14269,2091,26,39,180,553,420,333,248,174,72,42,4,"0 to 118",40,506,1559,26,2085,6,0,46,1893,406,6,405,1685,0,1,2084,393,9,2,1,116,286,0,402,15,22,50,104,70,69,52,17,6,0,0,"0 to 84","36",161,202,35,4,67,187,148,54,1,15,0,0,2,405,288,117,402,3,0,2674,3,3084,2677,405,1,33,0,34,2.94,3118,406,1718,2125,"14.9",13,19.4,"2020-06-28","2020-07-04","NO","NO","NO","YES","decreased by","increased by","increased by","decreased by","75","10","61.8","5.1","%","%","%","%",0,0,2,55,15,14,4,0.5,392,2,13,0,52,8,0,0,"221"
23,25,49,"HARDEE","Hardee","Hardee","Hardee County","FL",27228,1374,48,113,194,259,180,165,170,143,75,27,0,"0 to 94",38,744,600,30,1366,8,0,74,668,619,9,536,837,0,1,1365,398,132,5,1,269,254,7,530,19,54,87,120,82,62,44,43,20,5,0,"0 to 86","33",382,58,51,39,359,135,36,82,3,46,3,1,3,536,258,271,530,6,0,2404,2,2944,2406,536,7,44,0,51,13.73,2995,543,881,1425,"5.2",18.1,39.5,"2020-06-28","2020-07-04","NO","NO","NO","NO","decreased by","decreased by","decreased by","increased by","66.7","60","20.7","15.2","%","%","%","%",8,1,4,85,49,16,10,0.7,517,3,19,0,94,6,0,0,"2"
60,26,51,"HENDRY","Hendry","Hendry","Hendry County","FL",40127,2958,99,140,404,551,485,423,369,223,149,108,7,"0 to 104",40,1450,1490,18,2956,2,0,263,1733,1096,5,1130,1827,0,1,2955,1084,45,0,0,468,653,8,1129,32,58,174,258,220,170,102,59,35,21,0,"0 to 101","36",905,116,36,72,798,275,56,183,0,97,0,0,27,1129,653,468,1129,0,0,4713,2,5852,4715,1129,8,112,0,120,6.67,5972,1137,1939,3078,"7.7",19,38.4,"2020-06-28","2020-07-04","NO","YES","NO","NO","did not change","decreased by","increased by","increased by","","43.8","5.7","27.1","","%","%","%",10,18,27,183,97,17,9,2.4,1111,27,18,0,122,6,0,0,"44"
