"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,21175,6555,14598,4,18,20814,6277,185,81,12,3580,2858,24,6462,111,263,2242,1207,745,675,608,413,183,96,12,"0 to 118","29",2568,1733,750,1411,761,3944,1757,708,15,361,16,1,40,6555,2902,3628,29,93,0,84462,249,91294,84711,6555,140,2347,0,2487,5.63,93781,6695,16945,23662,"9",7.1,31.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","34.4","22.7","82.1","77.8","%","%","%","%",113,17,41,723,377,12,6,0.6,6401,41,154,0,498,48,8,0,"142",0,7,"294",6451,"104",521,154,367,29.6
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2357,1330,993,0,34,2264,1141,188,0,1,399,930,0,1329,6,29,149,289,294,230,180,96,47,10,0,"0 to 97","40",650,173,47,459,16,771,542,90,0,57,0,0,7,1330,930,400,40,1,0,6001,57,7414,6058,1330,4,72,0,76,5.26,7490,1334,1065,2433,"8.8",17.8,56.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","33.3","4.5","45.4","38.8","%","%","%","%",0,3,7,90,57,7,5,0.5,1319,7,11,0,57,4,0,1,"578",0,1,"35",1310,"20",31,11,20,35.5
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8799,5693,3089,1,16,8675,5465,141,85,2,2773,2788,45,5606,66,126,865,1075,941,954,806,493,257,90,20,"0 to 99","42",3166,578,782,1080,429,3698,1479,695,17,325,6,5,91,5693,2840,2808,42,87,0,26834,30,32623,26864,5693,84,1288,0,1372,6.12,33995,5777,4377,10171,"5.6",17,65.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","72.7","2.9","13.2","76.4","%","%","%","%",40,19,96,712,331,13,6,1.7,5682,96,11,0,323,16,5,1,"441",0,5,"350",5034,"659",116,11,105,9.5
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2514,937,1575,0,2,2509,695,241,1,0,437,499,0,936,14,49,125,143,136,156,159,84,51,20,0,"0 to 107","45",590,239,47,60,29,806,101,95,0,56,0,0,6,937,500,437,45,1,0,5409,2,6368,5411,937,9,97,0,106,8.49,6474,946,1672,2620,"9.7",14.6,37.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","NO","decreased by","decreased by","decreased by","increased by","20","27","33.3","32.9","%","%","%","%",7,2,6,95,56,11,6,0.6,929,6,8,0,94,4,0,0,"254",0,1,"56",922,"15",24,8,16,33.3
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26960,7995,18944,0,21,26909,7820,151,21,3,4312,3626,33,7971,80,246,1311,1278,1112,1122,1177,739,504,403,23,"0 to 105","44",4151,992,686,2142,931,4494,2546,1307,6,733,3,1,256,7995,3638,4324,44,24,0,91435,16,99505,91451,7995,279,5807,1,6087,4.58,105592,8274,24751,33047,"5.7",7.8,30.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","4.3","4.6","22.2","12.6","%","%","%","%",173,116,257,1313,736,17,10,3.2,7960,255,35,2,499,52,6,0,"66",0,21,"1118",7672,"323",447,35,412,7.8
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,171358,74525,96696,29,108,169376,68597,5303,585,40,38580,35185,135,73900,1609,4115,10896,14208,12799,12060,9938,5023,2482,1347,48,"0 to 104","39",30729,19767,9904,13500,28071,32784,13045,10063,97,5603,76,26,1284,74525,35579,38810,39,625,0,459921,1237,536562,461158,74525,3918,48347,11,52276,7.49,588838,78443,145043,223634,"11.7",13.3,45.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","6.8","17.8","48.2","30.7","%","%","%","%",397,307,1310,10160,5679,14,8,1.8,74434,1306,91,4,7730,565,80,0,"356",1,64,"3063",73945,"580",1489,91,1398,6.1
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1265,599,665,0,1,1263,574,24,1,0,256,341,1,598,5,24,65,112,105,83,76,58,43,28,0,"0 to 99","44",393,93,41,71,25,486,87,59,1,32,1,0,9,599,342,256,44,1,0,4220,0,4829,4220,599,4,36,0,40,10,4869,603,701,1305,"9",12.4,47.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","50","66.7","23.5","18.2","%","%","%","%",13,6,9,60,33,11,6,1.5,598,9,1,0,42,0,0,0,"170",0,-1,"83",560,"39",7,1,6,14.3
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7846,2877,4962,1,6,7816,2624,246,6,1,1523,1336,11,2870,24,68,301,315,312,416,522,422,280,217,0,"0 to 101","55",2227,174,270,199,237,2329,304,361,1,358,1,0,122,2877,1338,1527,55,7,0,28669,16,31599,28685,2877,138,2908,0,3046,4.53,34645,3015,7870,10892,"6.2",8.7,38.4,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","233.3","76.9","40","29.1","%","%","%","%",129,56,122,362,359,13,13,4.2,2871,122,6,0,138,10,2,0,"64",0,5,"460",2757,"120",80,6,74,7.5
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7118,2477,4577,2,62,7039,1589,880,4,4,1352,1103,14,2469,26,90,313,288,271,370,418,321,232,129,19,"0 to 100","51",1952,141,201,175,127,2054,288,234,0,259,1,0,73,2477,1109,1354,51,8,0,21505,7,24001,21512,2477,61,1433,0,1494,4.08,25495,2538,6010,8612,"6",10,35.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","31.8","9.1","33.3","16.9","%","%","%","%",145,24,73,234,260,10,11,2.9,2469,72,8,1,215,5,2,0,"56",0,9,"434",2461,"16",90,8,82,8.9
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13068,4593,8456,1,18,13016,4437,141,15,0,2399,2141,38,4578,45,160,720,689,758,816,613,407,260,123,2,"0 to 100","43",2435,692,416,1035,421,3012,1145,723,2,325,3,0,86,4593,2151,2404,43,15,0,39706,18,44345,39724,4593,105,1975,0,2080,5.05,46425,4698,10431,15148,"7.3",10.1,36,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","11.1","8.1","17","25.2","%","%","%","%",77,49,86,725,328,16,8,1.9,4578,86,15,0,338,35,2,0,"125",0,7,"478",4346,"247",179,15,164,8.4
