"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
48,13,25,"DADE","Dade","Miami-Dade","Miami-Dade County","FL",2715516,181117,2023,3160,15064,29716,29152,32818,30299,20293,11417,6514,661,"0 to 225",48,94174,85807,1136,179596,1520,1,4544,162117,19684,1032,44729,136122,100,166,179332,43247,925,548,9,21935,22197,40,44172,489,1002,5056,8486,7507,7972,6343,3936,2277,1606,55,"0 to 119","44",19108,5598,1690,17776,19561,7021,17590,7140,50,4136,31,15,1038,44729,22482,22188,44171,557,1,301566,962,347690,302528,44729,2750,41893,2,44645,6.16,392335,47479,178015,225762,"8.3",12.1,26.2,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","increased by","67.8","41.9","103.7","29.6","%","%","%","%",981,505,1053,7190,4167,17,10,2.4,42311,1034,2418,4,2098,259,44,10
58,14,27,"DESOTO","Desoto","Desoto","Desoto County","FL",36399,2818,74,138,267,403,408,482,514,296,157,70,9,"0 to 102",47,1162,1526,130,2808,10,0,84,2017,707,13,733,2072,0,13,2795,607,126,0,0,330,402,1,733,28,74,112,151,124,99,83,45,9,8,0,"0 to 92","35",523,76,30,104,441,177,115,111,0,65,0,0,10,733,402,330,733,0,0,4496,10,5244,4506,733,7,137,0,144,4.86,5388,740,2209,2962,"8.1",13.7,26.3,"2020-06-21","2020-06-27","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","28.6","46.2","54.5","18.7","%","%","%","%",1,0,10,111,65,16,9,1.4,676,10,57,0,123,6,3,0
26,15,29,"DIXIE","Dixie","Dixie","Dixie County","FL",16437,823,21,27,67,91,135,107,139,125,70,40,1,"0 to 118",52,487,320,16,823,0,0,12,703,100,2,75,748,0,0,823,59,16,0,0,37,38,0,75,0,3,13,5,13,11,12,8,7,3,0,"6 to 91","49",58,15,0,2,0,72,3,17,0,12,0,0,4,75,38,37,75,0,0,1379,0,1454,1379,75,0,25,0,25,0,1479,75,773,848,"5.2",5.1,9.1,"2020-06-21","2020-06-27","YES","YES","NO","YES","did not change","decreased by","increased by","increased by","","100","300","218.9","","%","%","%",0,0,4,17,12,23,16,5.3,72,4,3,0,9,0,0,0
36,16,31,"DUVAL","Duval","Duval","Duval County","FL",924229,54787,854,1241,5597,9557,8147,8275,9278,6670,3367,1676,125,"-6 to 119",47,29966,24084,737,54140,647,0,986,50749,3178,226,8614,46108,10,55,54076,7985,511,106,12,4326,4137,33,8496,95,270,1576,2363,1510,1119,900,475,199,105,2,"0 to 101","34",2356,2299,774,3067,822,4159,3515,599,22,368,11,3,68,8614,4201,4378,8496,118,0,106821,528,116122,107349,8614,317,5163,4,5484,5.78,121606,8931,51271,60271,"6.5",7.3,16.3,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","increased by","65.9","31","204.4","53.4","%","%","%","%",245,35,71,621,379,8,5,0.8,7961,68,653,0,516,26,6,0
63,17,33,"ESCAMBIA","Escambia","Escambia","Escambia County","FL",311522,19390,465,507,1839,2666,2259,2597,3468,2906,1680,965,38,"0 to 119",52,11647,7699,44,16415,2975,0,347,18117,1312,90,2597,16789,2,2,16411,2120,71,406,0,1215,974,2,2191,30,74,543,505,320,308,299,216,189,112,1,"0 to 105","37",1048,587,71,485,86,1480,625,208,2,107,1,3,47,2597,1130,1465,2191,406,0,31573,2569,36752,34142,2597,25,907,0,932,2.68,37684,2622,17696,20322,"6.5",7,13.5,"2020-06-21","2020-06-27","NO","NO","NO","NO","decreased by","increased by","increased by","increased by","5.1","47.2","172.6","124","%","%","%","%",102,35,50,210,108,9,5,1.9,2397,46,200,1,157,7,4,0
59,18,35,"FLAGLER","Flagler","Flagler","Flagler County","FL",107139,4094,48,43,227,411,475,580,799,797,494,214,6,"0 to 119",58,2406,1636,52,4055,39,0,155,3708,314,45,369,3723,0,2,4053,317,43,9,0,219,141,0,360,3,6,46,60,38,55,67,61,27,6,0,"1 to 94","51",232,51,60,17,51,286,23,56,4,34,2,1,5,369,146,223,360,9,0,8388,30,8792,8418,369,32,943,0,975,3.28,9767,401,4666,5069,"4.7",4.1,9.8,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","66.7","69.2","318.8","151.7","%","%","%","%",0,0,6,60,36,17,10,1.6,359,5,10,0,14,2,0,0
65,19,37,"FRANKLIN","Franklin","Franklin","Franklin County","FL",11736,498,3,5,27,36,39,53,115,130,74,16,0,"0 to 95",63,283,212,3,494,4,0,10,474,13,8,11,487,0,0,494,7,3,1,0,8,2,0,10,0,0,1,2,0,1,1,3,3,0,0,"21 to 77","65",10,0,0,0,0,10,0,0,0,0,0,0,0,11,2,9,10,1,0,1237,3,1251,1240,11,1,314,0,315,0.32,1566,12,801,813,"6.9",0.8,2.4,"2020-06-21","2020-06-27","YES","YES","NO","YES","did not change","did not change","increased by","increased by","","","4","0.0416666666666667","",""," cases","percent difference",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
9,20,39,"GADSDEN","Gadsden","Gadsden","Gadsden County","FL",46017,3062,54,107,235,507,520,538,474,394,148,83,2,"0 to 119",47,2107,943,12,3044,17,1,45,2722,410,17,446,2612,1,3,3041,430,12,4,0,304,138,0,442,4,21,42,84,92,85,47,38,21,12,0,"0 to 98","42",164,166,24,88,60,282,100,93,0,68,0,0,7,446,138,308,441,4,1,5738,13,6208,5751,446,9,103,0,112,8.04,6320,455,2715,3174,"6.9",7.2,14.9,"2020-06-21","2020-06-27","NO","NO","NO","NO","increased by","increased by","increased by","increased by","300","266.7","225","198.5","%","%","%","%",0,4,7,93,68,21,16,1.6,428,7,18,0,34,1,1,0
1,21,41,"GILCHRIST","Gilchrist","Gilchrist","Gilchrist County","FL",17615,791,17,19,92,106,111,119,119,100,71,36,1,"0 to 118",49,443,337,11,791,0,0,12,676,146,2,112,678,0,1,790,92,20,0,0,31,81,0,112,4,6,18,21,19,20,16,4,3,0,1,"0 to 83","38",81,11,15,5,29,74,9,5,0,0,0,0,0,112,81,31,112,0,0,2301,0,2416,2301,112,3,58,0,61,4.92,2477,115,736,852,"4.8",4.6,14.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","decreased by","increased by","8","700","55.1","48.8"," cases","%","%","%",0,0,0,5,0,5,0,0,109,0,3,0,15,0,0,0
55,22,43,"GLADES","Glades","Glades","Glades County","FL",13363,347,6,15,48,71,69,40,33,32,26,6,1,"1 to 90",39,164,182,1,347,0,0,36,205,157,0,174,173,0,0,347,172,2,0,0,62,112,0,174,2,4,31,48,46,22,13,5,2,1,0,"1 to 89","36",119,22,8,25,92,55,27,23,0,16,0,0,1,174,112,62,174,0,0,505,0,680,505,174,2,13,0,15,13.33,695,176,186,362,"2.7",25.3,50.7,"2020-06-21","2020-06-27","YES","YES","NO","NO","did not change","decreased by","decreased by","decreased by","","100","12","31.8","","%","%","%",0,0,1,23,16,14,10,0.6,172,1,2,0,10,1,0,0
