"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,19849,5251,14573,5,20,19513,5012,174,53,12,2824,2342,20,5186,95,224,1326,1126,677,622,553,373,164,84,7,"0 to 103","33",1848,1605,619,1114,622,3194,1370,617,15,310,16,1,33,5251,2379,2851,5186,65,0,79727,249,85259,79976,5251,140,2347,0,2487,5.63,87746,5391,16920,22336,"8.5",6.1,27.2,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","3.3","42.7","25.7","12.8","%","%","%","%",65,14,34,632,326,13,7,0.6,5196,34,55,0,435,44,7,0,"102",0,2,"269",5173,"78",620,55,565,8.9
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2161,1164,960,0,37,2066,1037,127,0,0,317,846,1,1164,5,19,127,267,269,201,164,69,33,10,0,"1 to 97","40",520,149,45,450,15,619,530,75,0,46,0,0,6,1164,846,317,1164,0,0,5645,57,6892,5702,1164,4,72,0,76,5.26,6968,1168,1032,2237,"8.1",16.8,54,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","increased by","28.6","55.6","5.4","4.9","%","%","%","%",0,3,6,75,46,7,4,0.5,1153,5,11,1,43,3,0,0,"572",0,2,"33",1156,"8",78,11,67,14.1
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8471,5399,3058,1,13,8353,5175,140,82,2,2610,2660,45,5315,63,108,815,1026,906,915,761,469,236,80,20,"0 to 99","42",3009,549,678,1079,397,3479,1439,653,16,300,6,5,79,5399,2710,2644,5315,84,0,25469,30,30960,25499,5399,84,1288,0,1372,6.12,32332,5483,4346,9843,"5.4",17,64.7,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","57.1","67.4","37.2","16.6","%","%","%","%",34,17,84,669,306,13,6,1.6,5363,83,36,1,295,15,5,1,"433",0,5,"302",4814,"585",197,36,161,18.3
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2273,753,1519,0,1,2270,572,181,0,0,324,429,0,753,12,37,97,114,115,127,125,64,44,18,0,"0 to 107","45",465,200,34,54,28,641,84,71,0,43,0,0,5,753,429,324,753,0,0,5091,2,5866,5093,753,9,97,0,106,8.49,5972,762,1616,2379,"8.8",12.8,33.5,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","57.1","83.3","3.9","12.9","%","%","%","%",4,2,5,71,43,10,6,0.7,738,5,15,0,71,2,0,0,"235",0,0,"49",740,"13",355,15,340,4.2
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,26298,7378,18904,0,16,26254,7222,134,19,3,3952,3357,47,7356,72,204,1207,1209,1045,1043,1071,669,460,368,30,"0 to 105","44",3819,919,649,1969,880,4130,2346,1192,6,663,3,1,210,7378,3367,3964,7356,22,0,87083,16,94534,87099,7378,279,5807,1,6087,4.58,100621,7657,24711,32385,"5.6",7.6,29.1,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","10.9","15.1","27.9","26.6","%","%","%","%",249,127,211,1198,666,17,10,2.9,7234,211,144,0,424,45,6,0,"66",0,15,"1046",7213,"165",1285,144,1141,11.2
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,167524,72245,95139,32,108,165592,66543,5130,533,39,37423,34114,136,71673,1557,3984,10448,13817,12482,11734,9647,4851,2391,1294,40,"0 to 104","39",29326,19124,9041,14182,26792,31200,13681,9662,97,5335,76,26,1187,72245,34486,37622,71673,572,0,437738,1235,512102,438973,72245,3918,48347,11,52276,7.49,564378,76163,143486,219800,"11.5",13.5,45.5,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","YES","YES","decreased by","decreased by","decreased by","decreased by","26.3","25.1","33.5","22.6","%","%","%","%",584,345,1213,9759,5411,14,8,1.7,71121,1210,1124,3,7492,557,79,0,"320",1,40,"2889",71854,"391",10304,1124,9180,10.9
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1195,571,623,0,1,1193,554,16,1,0,243,326,1,570,4,18,60,109,101,81,73,56,41,28,0,"1 to 99","44",372,89,39,70,24,463,83,58,1,32,1,0,9,571,327,243,570,1,0,4007,0,4588,4007,571,4,36,0,40,10,4628,575,659,1235,"8.6",12.4,48.1,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","did not change","increased by","decreased by","100","","2.9","30.3","%","","%","%",13,6,9,59,33,11,6,1.6,570,8,1,1,35,0,0,0,"168",0,1,"81",536,"35",19,1,18,5.3
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7680,2713,4958,1,8,7649,2475,232,5,1,1419,1276,12,2707,24,61,281,302,297,394,484,395,268,207,0,"0 to 101","54",2096,163,225,223,219,2166,322,324,1,333,1,0,112,2713,1278,1422,2707,6,0,27246,16,30012,27262,2713,138,2908,0,3046,4.53,33058,2851,7866,10726,"6.1",8.6,37.1,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","175","10.5","7.6","10.7","%","%","%","%",155,56,112,325,334,12,13,4.1,2677,110,36,2,126,7,1,0,"61",0,4,"422",2615,"98",386,36,350,9.3
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,6619,2124,4432,1,62,6542,1290,827,4,3,1127,978,12,2117,18,76,281,254,239,325,385,267,183,82,14,"0 to 100","51",1681,117,159,160,112,1767,238,194,0,215,1,0,59,2124,983,1129,2117,7,0,20059,7,22200,20066,2124,61,1433,0,1494,4.08,23694,2185,5865,8113,"5.7",9.2,33,"2020-08-23 05:00:00","2020-08-29 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","decreased by","52.9","3.3","33.1","14","%","%","%","%",45,18,59,194,216,10,11,2.8,2095,57,29,2,182,5,2,0,"56",0,9,"255",2111,"13",192,29,163,15.1
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,12509,4155,8332,1,21,12455,4006,135,14,0,2240,1863,38,4141,40,145,631,574,638,732,543,367,236,117,132,"0 to 100","44",2174,650,370,947,403,2700,1038,651,2,301,3,0,77,4155,1871,2246,4141,14,0,37206,18,41420,37224,4155,105,1975,0,2080,5.05,43500,4260,10307,14589,"7",9.8,34.1,"2020-08-23 05:00:00","2020-08-29 05:00:00","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","27.8","57.8","46.2","15.8","%","%","%","%",74,44,77,653,304,16,8,1.9,4092,76,63,1,306,32,2,0,"19",0,4,"464",3943,"212",147,63,84,42.9
