"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,16164,217,225,1991,3013,2320,2288,2610,1929,925,580,66,"0 to 119",46,9273,6742,149,15888,276,0,288,15477,749,71,1332,14826,6,0,15882,1239,67,15,11,648,656,2,1306,9,24,474,306,137,137,106,88,32,18,1,"0 to 103","29",475,253,228,350,238,696,372,172,6,96,5,0,12,1332,670,660,1306,26,0,41276,250,42867,41526,1332,48,1402,0,1450,3.31,44317,1380,16228,17614,"6.7",3.1,8.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","27.3","100","170.9","84.6","%","%","%","%",64,10,12,178,101,14,8,0.9,1245,12,87,0,52,5,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,942,30,17,104,141,133,153,154,108,68,32,2,"0 to 99",48,516,374,52,882,60,0,39,846,107,5,80,862,0,0,882,45,35,0,0,37,42,1,80,0,2,12,11,14,10,12,9,7,3,0,"10 to 97","46",61,14,3,2,1,74,5,19,0,16,0,0,4,80,42,37,80,0,0,1747,60,1887,1807,80,0,33,0,33,0,1920,80,895,975,"3.5",4.2,8.5,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","250","20","77.8","4.9","%","%","%","%",3,3,4,19,16,24,20,5,72,4,8,0,5,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3597,42,42,285,477,500,588,662,465,293,188,55,"0 to 119",52,2002,1541,54,3546,51,0,168,3169,499,69,581,3014,0,2,3544,495,54,31,1,289,260,0,549,9,11,102,126,109,96,69,38,18,3,0,"0 to 93","38",385,59,30,75,118,336,95,101,6,37,2,2,5,581,279,302,549,32,0,7721,21,8332,7742,581,16,753,0,769,2.08,9101,597,3767,4366,"2.4",6.6,16.6,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","100","14.3","184.1","121.5","%","%","%","%",23,0,7,107,39,19,7,1.2,408,5,173,0,28,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1512,21,28,126,197,175,225,294,190,146,103,7,"0 to 118",54,944,543,25,1510,2,0,33,1400,181,2,89,1422,0,1,1509,43,46,0,0,63,26,0,89,1,4,11,12,13,10,8,7,12,11,0,"1 to 107","50",65,19,3,2,6,79,4,13,0,13,0,0,2,89,26,63,89,0,0,2592,2,2685,2594,89,5,48,0,53,9.43,2738,94,1470,1565,"5.8",3.4,6.2,"2020-06-21","2020-06-27","YES","YES","NO","YES","decreased by","decreased by","increased by","increased by","33.3","75","133.3","30.3","%","%","%","%",3,2,2,13,13,15,15,2.2,84,2,5,0,6,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,21028,274,387,1448,2231,2336,2928,4571,4013,2125,567,148,"0 to 119",57,11860,9064,104,21006,22,0,404,19829,1491,101,2180,18846,0,2,21004,2095,69,14,2,1102,1059,3,2164,29,55,470,480,342,299,266,135,63,41,0,"0 to 99","36",1223,141,142,658,360,1141,663,242,3,116,3,0,17,2180,1066,1111,2164,16,0,45604,6,47796,45610,2180,72,2983,1,3056,2.36,50852,2252,21829,24084,"4.2",4.4,10.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.9","19.3","161.3","40.1","%","%","%","%",12,3,17,245,119,12,6,0.8,1962,17,218,0,114,12,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,105539,1751,2330,7940,15899,16285,18264,19262,13098,6940,3565,205,"0 to 119",49,57125,46916,1498,103941,1598,0,3333,89871,16369,1081,17116,88373,13,37,103894,15322,1462,305,27,8474,8298,12,16784,233,527,2298,3408,2930,2826,2438,1300,746,400,10,"0 to 102","41",7643,5218,1405,2518,6114,8562,2108,3784,74,2114,60,22,394,17116,8515,8589,16784,332,0,186297,1263,204767,187560,17116,1212,25784,4,27000,4.49,231767,18328,114157,132539,"6.9",7.9,17.4,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","64.7","44.2","57.8","16.3","%","%","%","%",328,159,416,3858,2174,23,13,2.4,16155,385,961,9,1065,149,24,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,560,5,4,44,55,82,80,95,85,71,39,0,"0 to 99",56,337,207,16,560,0,0,8,446,70,5,85,475,0,0,560,69,16,0,0,60,25,0,85,0,0,6,10,7,5,7,9,20,21,0,"20 to 99","73",62,10,4,9,5,65,15,13,0,8,0,0,6,85,25,60,85,0,0,832,0,919,832,85,1,24,0,25,4,944,86,499,585,"4.1",9.1,15.4,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","33.3","66.7","40","67.6","%","%","%","%",29,6,6,13,8,16,10,7.1,77,6,8,0,0,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5777,64,53,293,486,559,798,1107,1098,756,557,6,"0 to 119",60,3390,2321,66,5758,19,0,230,5067,736,28,836,4935,1,5,5752,671,162,2,1,481,350,2,833,8,9,68,85,72,103,149,127,101,114,0,"0 to 101","60",644,63,17,109,56,642,135,131,1,151,1,0,76,836,352,482,833,3,0,11906,16,12762,11922,836,47,1571,0,1618,2.9,14380,883,6506,7395,"4.2",6.1,15.3,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","550","100","140.4","58.2","%","%","%","%",99,49,76,132,152,16,19,9.1,793,76,43,0,25,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4256,41,80,234,413,387,509,785,949,649,201,8,"0 to 222",60,2368,1698,190,4249,7,0,83,3632,404,30,345,3908,1,2,4247,213,132,0,0,170,175,0,345,4,8,43,45,34,50,76,48,25,12,0,"0 to 97","53",271,17,17,40,30,270,45,42,0,39,0,0,13,345,175,170,345,0,0,10012,6,10367,10018,345,24,847,0,871,2.76,11238,369,4755,5127,"3.6",3.3,8.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","237.5","54.5","97.8","17.8","%","%","%","%",4,1,13,42,39,13,12,3.8,323,13,22,0,19,1,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8612,125,218,686,1012,1203,1421,1515,1332,765,313,22,"0 to 101",52,4950,3560,102,8589,23,0,201,7922,685,61,801,7809,1,1,8587,722,74,5,0,437,359,0,796,5,17,93,114,114,140,119,100,58,40,1,"0 to 100","49",400,151,71,174,76,525,195,167,0,109,0,0,34,801,362,439,796,5,0,16915,18,17745,16933,801,37,1028,0,1065,3.47,18810,838,8837,9677,"4.7",4.5,9.7,"2020-06-21","2020-06-27","NO","NO","NO","YES","increased by","increased by","increased by","increased by","200","163.2","222.6","90.4","%","%","%","%",20,24,34,167,109,21,14,4.2,729,34,72,0,30,4,1,0
