"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity","Y_casesall","Y_negall","Y_testedall","Y_PctPosAll","Y_CasesD7","Y_NegTestsD7","Y_testedD7","Y_PctPosD7"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,23005,8293,14679,4,29,22646,8001,211,69,12,4511,3678,23,8212,126,299,3379,1389,851,779,685,462,205,113,5,"0 to 103","27",3748,1929,909,1626,982,5331,1899,827,18,412,23,2,60,8293,3727,4542,8212,81,0,91129,248,99701,91377,8293,185,2669,0,2854,6.48,102555,8478,17348,25859,"9.8",8.3,36.9,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","56","18.2","47.4","34.1","%","%","%","%",51,20,62,845,435,11,6,0.7,8230,57,63,5,579,51,10,0,"162",0,12,"331",7997,"296",268,63,205,23.5,"575","6535","7110","8.1",40,450,490,"8.16"
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2570,1484,1051,0,35,2476,1266,217,0,1,478,1005,0,1483,6,39,175,307,316,257,205,117,52,10,0,"0 to 97","41",771,202,48,462,17,911,555,106,0,68,0,0,13,1484,1005,479,1483,1,0,6523,58,8091,6581,1484,7,88,0,95,7.37,8186,1491,1139,2665,"9.6",18.2,58,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","NO","decreased by","increased by","decreased by","decreased by","25","36.8","27.9","47.3","%","%","%","%",0,3,13,106,68,8,5,0.9,1475,12,9,1,76,4,0,1,"586",0,2,"40",1443,"41",30,9,21,30,"76","565","641","11.9",6,44,50,"12"
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9320,6124,3176,1,19,9164,5866,142,114,2,3010,2972,26,6008,69,152,933,1140,1011,1019,871,551,283,94,1,"0 to 99","42",3464,616,825,1103,470,4052,1486,734,19,346,8,5,108,6124,3041,3057,6008,116,0,28413,30,34634,28443,6124,122,1379,0,1501,8.13,36135,6246,4555,10821,"5.9",17.3,67,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","decreased by","33.3","28.6","23.6","7.7","%","%","%","%",31,24,113,753,354,13,6,1.8,6106,110,18,3,371,17,5,1,"443",0,7,"378",5344,"780",-92,18,-110,-19.6,"359","2343","2702","13.3",22,100,122,"18.03"
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2740,1129,1609,0,2,2735,839,289,1,0,549,579,0,1128,16,57,153,169,161,177,198,114,61,23,0,"0 to 107","45",745,271,52,60,33,987,108,125,0,72,0,0,9,1129,580,549,1128,1,0,5740,2,6891,5742,1129,14,113,0,127,11.02,7018,1143,1722,2867,"10.6",16.3,41.7,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","NO","decreased by","decreased by","decreased by","decreased by","44.4","15","26.3","7.1","%","%","%","%",5,2,9,125,72,12,7,0.8,1127,8,2,1,112,6,1,0,"269",0,1,"61",1100,"29",8,2,6,25,"112","741","853","13.1",11,30,41,"26.83"
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27994,9049,18934,0,11,27950,8844,178,24,3,4885,4105,32,9022,95,315,1472,1411,1246,1261,1355,877,587,428,2,"0 to 105","44",4841,1075,769,2337,1015,5231,2776,1454,6,816,3,1,298,9049,4120,4897,9022,27,0,97707,16,106831,97723,9049,360,6575,1,6936,5.19,113767,9409,25509,34930,"6.1",8.3,33.6,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","12.3","11.6","5.1","34.4","%","%","%","%",87,176,299,1460,819,17,10,3.3,8983,296,66,3,618,63,9,0,"68",0,14,"1172",8418,"631",156,66,90,42.3,"618","7093","7711","8.0",57,572,629,"9.06"
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,176372,77220,99007,29,116,174355,71144,5417,617,42,39977,36454,130,76561,1653,4257,11347,14695,13247,12483,10292,5216,2586,1411,33,"0 to 107","39",32096,20345,10656,13464,29131,34512,12918,10406,100,5844,77,27,1396,77220,36876,40212,76561,659,0,490568,1234,569902,491802,77220,5310,55505,14,60829,8.73,630731,82530,154512,237201,"12.4",13.1,46.8,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","increased by","17.9","10.8","5.5","8.8","%","%","%","%",293,385,1423,10506,5921,14,8,1.8,77122,1411,98,12,8013,587,90,0,"400",1,54,"3315",76354,"866",1302,98,1204,7.5,"7993","41668","49661","16.1",128,1477,1605,"7.98"
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1296,620,675,0,1,1294,592,27,1,0,265,353,1,619,5,25,71,114,108,88,76,61,43,29,0,"0 to 99","43",412,93,42,72,26,502,91,60,1,33,1,0,11,620,354,265,619,1,0,4350,0,4980,4350,620,4,38,0,42,9.52,5022,624,713,1338,"9.3",12.4,48.1,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","NO","YES","YES","decreased by","decreased by","decreased by","decreased by","100","100","20","13.2","%","%","%","%",13,6,11,61,34,10,6,1.8,616,11,4,0,46,0,0,0,"173",0,1,"84",579,"41",1,4,-3,400,"46","412","458","10.0",2,12,14,"14.29"
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,8053,3082,4962,1,8,8020,2810,264,7,1,1642,1422,10,3074,26,74,327,325,328,443,552,456,312,239,0,"0 to 101","55",2354,198,283,239,246,2477,351,400,1,388,1,0,136,3082,1424,1647,3074,8,0,30671,16,33808,30687,3082,187,3253,0,3440,5.44,37248,3269,8215,11493,"6.5",8.8,40.6,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","YES","NO","YES","decreased by","decreased by","increased by","increased by","61.1","20","4.9","18.6","%","%","%","%",137,63,136,401,389,14,13,4.4,3074,136,8,0,149,10,2,0,"64",0,5,"531",2937,"145",108,8,100,7.4,"149","1532","1681","8.9",3,109,112,"2.68"
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7675,2784,4843,2,46,7612,1826,949,4,4,1550,1220,5,2775,32,99,369,314,305,413,467,365,271,146,2,"0 to 100","51",2195,167,209,204,139,2328,308,268,0,292,1,0,106,2783,1226,1552,2775,8,0,23346,7,26147,23353,2783,89,1569,0,1658,5.37,27805,2872,6412,9333,"6.5",10.3,37.4,"2020-09-20 05:00:00","2020-09-26 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","increased by","8","33.3","24.1","3.1","%","%","%","%",82,36,106,268,293,10,11,3.8,2763,103,20,3,244,5,2,0,"61",0,14,"511",2739,"44",-88,20,-108,-22.7,"244","1866","2110","11.6",11,140,151,"7.28"
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13827,5152,8646,2,27,13765,4970,166,15,0,2660,2430,46,5136,52,185,808,776,848,907,699,451,296,128,1,"0 to 100","43",2932,784,447,973,462,3558,1116,839,2,361,3,0,100,5151,2439,2666,5136,15,0,43576,18,48773,43594,5151,136,2165,0,2301,5.91,51074,5287,10811,16128,"7.8",10.4,38.2,"2020-09-20 05:00:00","2020-09-26 05:00:00","NO","NO","NO","YES","did not change","increased by","increased by","increased by","","2.5","14","32.3","","%","%","%",74,52,100,841,364,17,8,1.9,5127,100,24,0,397,47,3,0,"190",0,5,"504",4869,"282",245,24,221,9.8,"396","4374","4770","8.3",30,325,355,"8.45"
