"OBJECTID","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRange","PUIAgeMedian","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRes","PUIFLResOut","PUIContNo","PUIContUnkn","PUITravelNo","PUITravelYes","TPositive","TNegative","TInconc","TPending","T_Total_Res","T_LabPrivate_Res","T_LabDOH_Res","T_LabPrivate_NonRes","T_LabDOH_NonRes","C_Female","C_Male","C_SexUnkn","C_AllResTypes","C_Age_0_4","C_Age_5_14","C_Age_15_24","C_Age_25_34","C_Age_35_44","C_Age_45_54","C_Age_55_64","C_Age_65_74","C_Age_75_84","C_Age_85plus","C_Age_Unkn","C_AgeRange","C_AgeMedian","C_RaceWhite","C_RaceBlack","C_RaceOther","C_RaceUnknown","C_HispanicYES","C_HispanicNO","C_HispanicUnk","C_EDYes_Res","C_EDYes_NonRes","C_HospYes_Res","C_HospYes_NonRes","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFLRes","T_total","T_negative","T_positive","Antibody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Metrics_WeekStart","Metrics_WeekEnd","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_DeltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,15617,214,210,1758,2882,2260,2240,2579,1913,920,575,66,"0 to 119",47,9003,6465,149,15344,273,0,224,15091,608,64,760,14851,6,0,15338,683,54,12,11,371,366,0,737,7,9,239,167,74,82,69,71,27,14,1,"0 to 103","32",269,166,160,142,169,422,146,149,5,87,4,0,11,760,378,382,737,23,0,34870,250,35889,35120,760,48,1255,0,1303,3.68,808,16106,16920,"6.4",2.2,5.2,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","10.5","13.6","24.1","45.5","%","%","%","%",52,9,11,154,91,20.3,12,1.4,738,11,22,0,23,4,1,0
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,896,30,16,98,132,123,146,148,103,66,32,2,"0 to 99",48,496,348,52,836,60,0,24,840,76,3,42,854,0,0,836,20,22,0,0,23,19,0,42,0,2,6,4,6,4,6,6,5,3,0,"10 to 97","53",29,11,2,0,1,40,1,11,0,12,0,0,4,42,19,23,42,0,0,1437,60,1539,1497,42,0,24,0,24,0,42,878,920,"3.3",2.7,4.7,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","25","1000","1689.9","","%","%","%",3,3,4,11,12,26.2,28.6,9.5,44,4,-2,0,4,2,1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,3307,37,32,222,411,445,551,632,444,291,187,55,"0 to 119",53,1847,1407,53,3267,40,0,86,3088,246,52,230,3045,0,32,3241,182,35,12,1,106,111,0,217,3,2,28,48,39,47,31,15,15,2,0,"2 to 93","43",175,20,12,10,68,135,14,69,3,28,2,1,4,230,118,112,217,13,0,6568,21,6825,6589,230,15,690,0,705,2.13,245,3735,4012,"2.2",3.3,7.4,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","83.3","61.5","266.7","266.3","%","%","%","%",0,0,5,72,30,31.3,13,2.2,205,4,25,0,6,0,0,0
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1481,20,25,119,190,170,223,290,189,146,103,6,"0 to 118",54,927,528,26,1479,2,0,31,1394,160,2,64,1416,0,1,1478,24,40,0,0,47,16,1,64,0,2,6,5,9,8,5,6,12,11,0,"8 to 107","56",51,11,2,0,4,60,0,9,0,13,0,0,2,64,16,47,64,0,0,2204,2,2271,2206,64,5,42,0,47,10.64,69,1458,1528,"5.7",3,4.7,"2020-06-14","2020-06-20","NO","NO","NO","YES","decreased by","decreased by","increased by","increased by","50","50","9","0.033962264","%","%","case","percent difference",4,2,2,9,13,14.1,20.3,3.1,63,2,1,0,2,0,0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,19744,264,351,1140,1898,2136,2746,4443,3960,2102,557,147,"0 to 119",58,11213,8429,102,19726,18,0,221,19018,805,88,918,18825,0,1,19725,845,61,10,2,470,435,1,906,17,26,155,148,147,129,146,81,40,29,0,"0 to 99","42",624,84,74,124,230,542,134,190,3,95,3,0,17,918,439,478,906,12,0,34574,6,35500,34580,918,64,2606,1,2671,2.4,982,21431,22415,"3.9",2.6,5,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","76.2","112.5","240.4","170","%","%","%","%",15,3,17,193,98,21,10.7,1.9,878,16,40,1,51,10,1,0
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,98779,1380,1791,6891,14471,15147,17281,18553,12768,6793,3509,195,"0 to 119",50,53607,43618,1554,97233,1546,0,2460,87379,12274,1041,11744,86995,14,26,97196,10168,1296,256,24,5750,5711,3,11464,126,325,1376,2109,1965,2003,1845,1031,615,347,2,"0 to 102","44",5630,3882,1009,943,4230,6419,815,3057,69,1841,56,22,377,11744,5896,5845,11464,280,0,155441,1263,168519,156704,11744,1119,22405,3,23527,4.76,12863,109400,122306,"6.4",6.7,13,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","47.6","37.6","106.4","75.6","%","%","%","%",300,155,399,3126,1897,26.6,16.2,3.4,11327,373,417,4,620,84,16,0
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,558,6,4,46,52,81,78,94,84,72,40,1,"0 to 99",56,335,205,18,558,0,0,4,461,56,5,88,470,0,0,558,72,16,0,0,66,22,0,88,1,0,9,9,7,5,5,8,21,23,0,"0 to 99","74",52,10,0,26,1,56,31,11,0,7,0,0,6,88,22,66,88,0,0,687,0,777,687,88,0,14,0,14,0,88,484,572,"4",11.1,15.8,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","50","100","400","418.9","%","%","%","%",39,5,6,11,7,12.5,8,6.8,69,6,19,0,1,0,0,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,5544,62,52,253,463,532,763,1065,1057,740,551,6,"0 to 119",60,3273,2205,66,5525,19,0,166,4976,588,23,605,4936,1,2,5522,452,150,2,1,366,236,0,602,6,8,26,63,40,71,110,89,86,106,0,"0 to 101","62",488,56,15,43,40,506,56,111,1,141,1,0,75,605,238,367,602,3,0,9884,16,10506,9900,605,44,1425,0,1469,3,649,6361,7013,"4",5.4,11.7,"2020-06-14","2020-06-20","YES","NO","NO","YES","did not change","increased by","increased by","increased by","","33.3","25","56.9","","%","%","%",84,49,75,112,142,18.5,23.5,12.4,597,75,8,0,17,2,0,0
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4013,38,70,199,373,355,473,746,916,635,199,9,"0 to 222",61,2235,1579,199,4006,7,0,72,3594,287,26,204,3807,1,1,4005,122,82,0,0,103,100,1,204,2,4,24,20,13,33,49,28,19,12,0,"0 to 97","56",153,9,10,32,21,151,32,32,0,34,0,0,12,204,100,103,204,0,0,8418,6,8631,8424,204,21,743,0,764,2.75,225,4550,4777,"3.3",2.4,5.6,"2020-06-14","2020-06-20","NO","NO","NO","YES","increased by","increased by","increased by","increased by","14.3","100","200","352.1","%","%","%","%",2,1,12,32,34,15.7,16.7,5.9,199,12,5,0,9,0,0,0
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,8305,120,204,635,961,1145,1360,1483,1308,761,307,21,"0 to 101",53,4800,3399,106,8284,21,0,140,7767,555,51,511,7793,1,0,8283,443,65,3,0,296,212,0,508,0,8,48,61,61,79,84,82,55,33,0,"6 to 100","54",287,98,50,73,47,377,84,141,0,100,0,0,33,511,213,298,508,3,0,14357,18,14890,14375,511,30,878,0,908,3.3,541,8671,9213,"4.4",3.4,6.5,"2020-06-14","2020-06-20","YES","NO","NO","YES","decreased by","decreased by","increased by","increased by","10","21.1","57.1","121.9","%","%","%","%",32,23,33,141,100,27.6,19.6,6.5,519,32,-8,1,12,2,1,0
