"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,22038,7382,14627,4,25,21663,7087,194,89,12,3992,3264,25,7281,118,273,2818,1289,798,714,635,433,191,100,13,"0 to 103","28",2995,1817,821,1648,829,4536,1916,750,15,372,16,1,46,7382,3313,4043,7281,101,0,86921,248,94580,87169,7382,140,2347,0,2487,5.63,97067,7522,16974,24525,"9.3",7.7,34.1,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","increased by","34.4","22.7","82.1","77.8","%","%","%","%",68,17,47,765,388,11,6,0.6,7199,47,183,0,524,49,8,0,"154",0,6,"304",7188,"194",888,183,705,20.6
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2444,1401,1008,0,35,2350,1196,204,0,1,435,965,0,1400,6,34,165,296,305,240,190,107,48,10,0,"0 to 97","40",698,195,46,461,16,838,546,98,0,64,0,0,11,1401,965,436,1400,1,0,6121,58,7606,6179,1401,4,72,0,76,5.26,7682,1405,1080,2520,"9.1",18.3,57.5,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","33.3","4.5","45.4","38.8","%","%","%","%",0,3,11,98,64,7,5,0.8,1388,11,13,0,66,4,0,1,"584",0,4,"36",1375,"26",42,13,29,31
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,8934,5802,3112,1,19,8805,5572,141,87,2,2837,2835,41,5713,66,128,881,1096,962,962,822,508,266,92,19,"0 to 99","42",3265,590,771,1087,437,3814,1462,708,18,334,7,5,94,5802,2889,2872,5713,89,0,27323,30,33224,27353,5802,84,1288,0,1372,6.12,34596,5886,4400,10306,"5.6",17,65.9,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","72.7","2.9","13.2","76.4","%","%","%","%",50,19,99,726,341,13,6,1.7,5767,99,35,0,326,16,5,1,"443",0,3,"362",5123,"679",208,35,173,16.8
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2612,1017,1593,0,2,2607,745,271,1,0,485,531,0,1016,14,51,135,154,145,165,177,99,55,22,0,"0 to 107","45",660,246,50,60,29,882,105,108,0,64,0,0,7,1017,532,485,1016,1,0,5527,2,6566,5529,1017,9,97,0,106,8.49,6672,1026,1690,2718,"10.1",15.4,39.3,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","NO","NO","NO","decreased by","decreased by","decreased by","increased by","20","27","33.3","32.9","%","%","%","%",11,2,7,108,64,11,7,0.7,1000,7,17,0,100,5,1,0,"261",0,1,"59",998,"19",53,17,36,32.1
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27263,8352,18883,0,28,27202,8165,160,24,3,4513,3780,32,8325,85,270,1376,1322,1155,1165,1231,778,531,415,24,"0 to 105","44",4367,1035,704,2219,960,4727,2638,1357,6,761,3,1,276,8352,3795,4525,8325,27,0,93528,16,101955,93544,8352,279,5807,1,6087,4.58,108042,8631,24690,33350,"5.8",8,31.7,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","NO","YES","increased by","decreased by","decreased by","decreased by","4.3","4.6","22.2","12.6","%","%","%","%",136,152,277,1363,764,17,10,3.3,8264,275,88,2,541,56,7,0,"66",0,22,"1143",7955,"397",581,88,493,15.1
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,173273,75499,97637,29,108,171305,69537,5347,575,40,39097,35642,145,74884,1628,4165,11061,14380,12968,12203,10064,5098,2525,1375,32,"0 to 107","39",31153,19995,10245,13491,28430,33482,12972,10185,96,5693,77,26,1319,75499,36033,39319,74884,615,0,470206,1234,547819,471440,75499,3918,48347,11,52276,7.49,600095,79417,145984,225549,"11.8",13.2,45.8,"2020-09-06 05:00:00","2020-09-12 05:00:00","YES","YES","NO","YES","decreased by","decreased by","decreased by","decreased by","6.8","17.8","48.2","30.7","%","%","%","%",372,366,1345,10281,5770,14,8,1.8,75266,1343,233,2,7824,573,87,0,"367",1,40,"3198",74809,"690",2737,233,2504,8.5
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1274,607,666,0,1,1272,581,25,1,0,260,345,1,606,5,25,68,112,107,85,76,58,43,28,0,"0 to 99","43",402,92,41,71,26,491,89,60,1,32,1,0,10,607,346,260,606,1,0,4261,0,4878,4261,607,4,36,0,40,10,4918,611,702,1314,"9.1",12.4,48,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","YES","YES","YES","increased by","decreased by","decreased by","increased by","50","66.7","23.5","18.2","%","%","%","%",13,6,10,61,33,11,6,1.6,605,10,2,0,44,0,0,0,"170",0,1,"84",568,"39",17,2,15,11.8
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7914,2943,4964,1,6,7884,2685,251,6,1,1564,1362,10,2936,25,72,309,319,318,424,530,436,287,223,0,"0 to 101","55",2268,180,277,211,239,2381,316,376,1,370,1,0,131,2943,1364,1568,2936,7,0,29374,16,32370,29390,2943,138,2908,0,3046,4.53,35416,3081,7872,10960,"6.2",8.7,38.9,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","233.3","76.9","40","29.1","%","%","%","%",122,60,131,377,371,13,13,4.5,2922,131,21,0,144,10,2,0,"64",0,8,"482",2816,"127",227,21,206,9.3
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7332,2606,4659,2,65,7250,1691,907,4,4,1434,1154,10,2598,29,93,337,294,282,387,436,343,250,141,14,"0 to 100","52",2053,155,205,185,132,2170,296,247,0,270,1,0,84,2606,1160,1436,2598,8,0,22283,7,24907,22290,2606,61,1433,0,1494,4.08,26401,2667,6092,8826,"6.2",10.1,36.4,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","31.8","9.1","33.3","16.9","%","%","%","%",149,24,84,247,271,10,11,3.2,2586,81,20,3,229,5,2,0,"59",0,12,"483",2572,"34",220,20,200,9.1
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13320,4765,8537,1,17,13269,4601,149,15,0,2488,2221,41,4750,49,169,741,723,784,839,645,421,267,125,2,"0 to 100","43",2570,713,435,1032,441,3162,1147,769,2,333,3,0,91,4765,2230,2494,4750,15,0,41165,18,45973,41183,4765,105,1975,0,2080,5.05,48053,4870,10512,15400,"7.4",10.1,36.6,"2020-09-06 05:00:00","2020-09-12 05:00:00","NO","NO","NO","YES","decreased by","increased by","increased by","increased by","11.1","8.1","17","25.2","%","%","%","%",72,49,91,771,336,17,8,1.9,4723,91,42,0,356,41,3,0,"181",0,5,"486",4514,"251",299,42,257,14
