"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2","C_LTCF_AllCases","C_PCR_Pos","C_Antigen_Pos","NewPpl_Tested","NewPpl_Pos","NewPpl_Neg","NewPpl_Positivity"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,22639,7960,14646,3,30,22288,7687,200,61,12,4342,3515,30,7887,120,287,3186,1342,832,750,670,453,200,107,13,"0 to 103","27",3396,1873,883,1735,898,4996,1993,788,18,401,21,1,53,7960,3558,4371,7887,73,0,89390,248,97627,89638,7960,185,2669,0,2854,6.48,100481,8145,17315,25493,"9.7",8.1,36,"2020-09-13 05:00:00","2020-09-19 05:00:00","YES","YES","NO","NO","decreased by","decreased by","increased by","decreased by","3.8","25.4","25.8","12.7","%","%","%","%",60,17,54,806,422,11,6,0.7,7862,52,98,2,548,51,9,0,"155",0,7,"324",7709,"251",519,98,421,18.9
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,2514,1449,1030,0,35,2420,1235,213,0,1,459,989,0,1448,6,37,171,304,312,249,200,112,48,10,0,"0 to 97","40",737,201,48,462,16,879,553,105,0,67,0,0,11,1449,989,460,1448,1,0,6375,58,7908,6433,1449,7,88,0,95,7.37,8003,1456,1118,2609,"9.4",18.2,57.9,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","increased by","100","53.6","38.1","29","%","%","%","%",0,3,11,105,67,8,5,0.8,1435,11,14,0,71,4,0,1,"585",0,0,"39",1416,"33",83,14,69,16.9
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,9175,5999,3157,1,18,9038,5760,141,96,2,2940,2921,40,5901,68,142,912,1117,990,995,854,534,276,92,19,"0 to 99","42",3382,601,819,1099,463,3958,1480,722,19,343,8,5,102,5999,2983,2976,5901,98,0,28172,30,34270,28202,5999,122,1379,0,1501,8.13,35771,6121,4536,10676,"5.9",17.1,66.7,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","NO","decreased by","decreased by","decreased by","decreased by","36.8","37.2","7.6","12.5","%","%","%","%",28,19,107,741,351,13,6,1.8,5968,107,31,0,355,16,5,1,"443",0,8,"368",5265,"734",155,31,124,20
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,2678,1081,1595,0,2,2673,794,286,1,0,521,559,0,1080,14,51,145,159,154,175,192,108,60,23,0,"0 to 107","45",708,261,52,59,32,937,111,116,0,69,0,0,8,1081,560,521,1080,1,0,5638,2,6742,5640,1081,14,113,0,127,11.02,6869,1095,1708,2805,"10.4",15.9,40.9,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","NO","increased by","decreased by","increased by","increased by","125","27.6","10.7","6.4","%","%","%","%",8,2,8,116,69,11,7,0.7,1067,8,14,0,101,5,1,0,"266",0,1,"59",1053,"28",40,14,26,35
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,27681,8728,18929,0,24,27624,8527,174,24,3,4715,3952,34,8701,92,293,1425,1362,1194,1222,1299,830,564,423,24,"0 to 105","44",4631,1054,728,2288,992,5001,2708,1403,6,786,3,1,291,8728,3967,4727,8701,27,0,95948,16,104751,95964,8728,360,6575,1,6936,5.19,111687,9088,25504,34617,"6",8.1,32.8,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","increased by","16.7","21.8","31.5","9.4","%","%","%","%",99,152,292,1409,789,17,10,3.3,8636,291,92,1,580,59,8,0,"68",0,17,"1158",8203,"525",498,92,406,18.5
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,175064,76520,98405,29,110,173064,70479,5393,606,42,39614,36125,133,75872,1639,4217,11249,14570,13126,12358,10209,5161,2561,1395,35,"0 to 107","39",31712,20211,10479,13470,28811,34125,12936,10318,98,5778,76,26,1364,76520,36541,39844,75872,648,0,481732,1233,560371,482965,76520,5310,55505,14,60829,8.73,621200,81830,153910,235893,"12.4",13.2,46.7,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","NO","YES","increased by","decreased by","increased by","increased by","13","21.5","16","0.5","%","%","%","%",329,366,1390,10416,5854,14,8,1.8,76329,1384,191,6,7927,582,88,0,"396",1,47,"3280",75708,"812",2222,191,2031,8.6
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,1287,612,674,0,1,1285,585,26,1,0,261,349,1,611,5,25,70,113,107,86,76,59,43,28,0,"0 to 99","43",406,92,41,72,26,495,90,60,1,32,1,0,11,612,350,261,611,1,0,4322,0,4944,4322,612,4,38,0,42,9.52,4986,616,712,1329,"9.2",12.4,47.9,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","YES","YES","YES","did not change","did not change","decreased by","decreased by","","","16.7","2.7","","","%","%",13,6,11,61,33,10,6,1.8,610,11,2,0,46,0,0,0,"170",0,1,"84",571,"41",8,2,6,25
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,7978,3013,4956,1,8,7945,2748,257,7,1,1603,1392,10,3005,25,72,319,323,325,431,545,445,298,230,0,"0 to 101","55",2313,192,282,218,242,2436,327,386,1,376,1,0,135,3013,1394,1608,3005,8,0,30112,16,33179,30128,3013,187,3253,0,3440,5.44,36619,3200,8209,11418,"6.5",8.7,40.1,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","63.6","55.2","2.5","13.1","%","%","%","%",145,60,135,387,377,13,13,4.5,3001,134,12,1,144,10,2,0,"64",0,4,"505",2882,"131",157,12,145,7.6
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,7546,2722,4766,2,56,7473,1780,934,4,4,1509,1195,10,2714,30,100,358,308,295,400,455,352,265,145,14,"0 to 100","51",2146,166,203,199,139,2274,301,260,0,282,1,0,100,2722,1201,1511,2714,8,0,23110,7,25850,23117,2722,89,1569,0,1658,5.37,27508,2811,6335,9204,"6.4",10.2,37.3,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","decreased by","decreased by","increased by","decreased by","13.8","41.5","3.3","13.8","%","%","%","%",98,24,100,260,283,10,11,3.7,2702,97,20,3,242,5,2,0,"60",0,19,"504",2684,"38",170,20,150,11.8
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,13599,4966,8604,2,27,13537,4789,162,15,0,2584,2324,43,4951,51,176,771,746,813,878,677,438,288,126,2,"0 to 100","43",2780,734,446,991,450,3392,1109,816,2,351,3,0,98,4966,2333,2590,4951,15,0,42574,18,47584,42592,4966,136,2165,0,2301,5.91,49885,5102,10769,15900,"7.7",10.2,37.5,"2020-09-13 05:00:00","2020-09-19 05:00:00","NO","NO","NO","YES","increased by","decreased by","decreased by","decreased by","33.3","21.4","33.3","42.2","%","%","%","%",72,49,98,818,354,17,8,2,4920,96,46,2,373,45,3,0,"189",0,7,"498",4693,"273",317,46,271,14.5
