"OBJECTID_1","DEPCODE","FIPS","COUNTYNAME","County_1","County2","County3","State","CountyPopulation","NumPeopleTested","Age_0_4","Age_5_14","Age_15_24","Age_25_34","Age_35_44","Age_45_54","Age_55_64","Age_65_74","Age_75_84","Age_85plus","Age_Unkn","PUIAgeRang","PUIAgeMedi","PUIFemale","PUIMale","PUISexUnkn","PUIFLRes","PUINotFLRe","PUIFLResOu","PUIContNo","PUIContUnk","PUITravelN","PUITravelY","TPositive","TNegative","TInconc","TPending","T_Total_Re","T_LabPriva","T_LabDOH_R","T_LabPri_1","T_LabDOH_N","C_Female","C_Male","C_SexUnkn","C_AllResTy","C_Age_0_4","C_Age_5_14","C_Age_15_2","C_Age_25_3","C_Age_35_4","C_Age_45_5","C_Age_55_6","C_Age_65_7","C_Age_75_8","C_Age_85pl","C_Age_Unkn","C_AgeRange","C_AgeMedia","C_RaceWhit","C_RaceBlac","C_RaceOthe","C_RaceUnkn","C_Hispanic","C_Hispan_1","C_Hispan_2","C_EDYes_Re","C_EDYes_No","C_HospYesRES","C_HospYesNONRES","C_NonResDeaths","C_FLResDeaths","CasesAll","C_Men","C_Women","C_FLRes","C_NotFLRes","C_FLResOut","T_NegRes","T_NegNotFL","T_total","T_negative","T_positive","Anitbody_Positive","Antibody_Negative","Antibody_Inconclusive","Antibody_tested","Antibody_PctPos","Tests_AllSources","Postive_AllSources","Negative_Allsources","TestedPeople_AllSources","Percent_PopTest","Percent_PosTests","Percent_PositivePeople","Start","End","M_ILI","M_COVID","M_PosTests","M_PctPos","D_ILI","D_COVID","D_PosTests","D_PctPos","P_ILI","P_COVID","P_PosTests","P_PctPos","Text_ILI","Text_COVID","Text_PosTests","Text_PctPos","C_LTCF_Cases","C_LTCF_Deaths","ALL_DEATHS","ALL_ER","ALL_HOSPITAL","Perc_ER","Perc_Hosp","Perc_Died","Cases_Yesterday","Deaths_Yesterday","C_deltaCases","C_DeltaDeaths","C_Pediatric_Cases","C_Pedia_ER","C_Pedia_Hosp","C_PrisonDeaths","C_Delta2","C_Trend1","C_Trend2"
66,1,1,"ALACHUA","Alachua","Alachua","Alachua County","FL",263148,17486,239,278,2344,3338,2499,2437,2730,2000,958,596,67,"0 to 119",45,9981,7361,144,17186,300,0,543,16281,1213,89,2737,14739,6,4,17176,2605,81,39,12,1395,1287,4,2686,26,77,843,643,318,306,247,174,69,32,2,"0 to 103","30",931,660,370,725,386,1496,804,211,8,114,9,1,14,2737,1318,1414,2686,51,0,55332,247,58336,55579,2737,68,1800,0,1868,3.64,60204,2805,16539,19354,"7.4",4.7,16,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","increased by","decreased by","18.9","21.7","13.5","8.1","%","%","%","%",49,10,15,219,123,9,5,0.5,2683,15,54,0,147,9,2,NA,"24",3,3
17,2,3,"BAKER","Baker","Baker","Baker County","FL",27785,1133,36,25,138,176,166,179,183,117,78,33,2,"0 to 99",46,637,470,26,1074,59,0,91,864,275,7,245,879,0,9,1065,171,74,0,0,118,125,2,245,3,8,38,41,43,36,38,17,17,4,0,"1 to 97","42",169,44,18,14,8,216,21,33,0,24,0,0,4,245,125,118,245,0,0,3376,58,3679,3434,245,0,54,0,54,0,3733,245,933,1187,"4.3",6.6,21.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","increased by","decreased by","4","37.5","20.8","65.6"," cases","%","%","%",1,3,4,33,24,14,10,1.6,238,4,7,0,16,2,1,NA,"18",1,0
15,3,5,"BAY","Bay","Bay","Bay County","FL",182482,5208,68,76,563,803,775,857,881,591,339,200,55,"0 to 119",48,2882,2270,56,5134,74,0,373,4298,1202,105,2195,3011,0,2,5132,2022,118,53,2,1157,976,7,2140,32,44,383,455,381,362,286,166,65,21,0,"0 to 96","39",1161,235,113,631,191,1250,699,181,9,67,4,3,11,2195,1007,1181,2140,55,0,16727,23,18971,16750,2195,22,991,0,1013,2.17,19984,2217,4002,6221,"3.4",11.1,42.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","8.1","1.7","56.2","0.7","%","%","%","%",27,0,14,190,71,9,4,0.6,2105,12,90,2,125,2,1,NA,"31",-3,3
40,4,7,"BRADFORD","Bradford","Bradford","Bradford County","FL",26979,1628,27,37,151,210,193,244,306,196,155,103,6,"0 to 118",52,1021,585,22,1626,2,0,74,1383,283,2,198,1429,0,1,1625,128,70,0,0,122,76,0,198,4,8,32,24,32,31,21,12,22,12,0,"0 to 107","44",137,54,7,0,6,191,1,31,0,22,0,0,2,198,76,122,198,0,0,3306,2,3508,3308,198,7,75,0,82,8.54,3590,205,1504,1710,"6.3",5.7,12.6,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","did not change","increased by","increased by","14.3","","225","46.9","%","","%","%",3,2,2,31,22,16,12,1,195,2,3,0,17,0,0,NA,"8",0,0
42,5,9,"BREVARD","Brevard","Brevard","Brevard County","FL",576808,23285,301,441,1824,2603,2649,3266,4891,4230,2263,671,146,"0 to 119",56,13057,10112,116,23261,24,0,988,20928,3329,131,4413,18867,0,5,23256,4304,91,15,3,2294,2078,23,4395,46,106,853,851,652,630,581,347,199,148,0,"0 to 103","39",2238,395,334,1428,605,2240,1550,583,4,290,3,0,53,4413,2085,2305,4395,18,0,65222,6,69690,65228,4413,114,4339,1,4454,2.56,74144,4527,23206,27739,"4.8",6.1,19.4,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","increased by","decreased by","decreased by","39.4","18.2","3.5","1","%","%","%","%",244,14,53,587,293,14,7,1.2,4303,50,110,3,242,27,4,NA,"3",-4,19
62,6,11,"BROWARD","Broward","Broward","Broward County","FL",1909151,132825,3052,4271,12101,21153,21024,22440,22533,14632,7582,3824,213,"0 to 119",47,71442,59791,1592,131117,1708,0,5656,106316,26134,1162,42577,90100,24,124,130972,40088,2033,427,29,21629,20264,228,42121,888,2006,6222,8554,7522,6888,5610,2784,1403,683,17,"0 to 119","39",15011,11168,2897,13045,13578,16051,12492,5490,84,2839,66,25,517,42577,20555,21781,42121,456,0,286309,1234,330489,287543,42577,1736,36495,7,38238,4.54,368727,44313,126595,171063,"9",12,33.4,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","increased by","increased by","increased by","12.3","0.5","34.4","3.7","%","%","%","%",566,172,542,5574,2905,14,7,1.3,40976,537,1601,5,3956,294,41,NA,"241",33,55
5,7,13,"CALHOUN","Calhoun","Calhoun","Calhoun County","FL",14444,755,13,19,72,78,112,106,129,105,80,41,0,"0 to 99",52,447,294,14,755,0,0,24,473,200,9,229,525,0,1,754,213,16,0,0,140,89,0,229,1,6,29,25,22,30,34,29,29,24,0,"1 to 99","55",180,18,16,15,12,195,22,33,0,21,0,0,7,229,89,140,229,0,0,1634,0,1870,1634,229,0,25,0,25,0,1895,229,550,780,"5.4",12.1,30.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","did not change","increased by","increased by","200","","250","39.6","%","","%","%",15,6,7,33,21,15,10,3.1,229,7,0,0,13,0,0,NA,"6",1,0
56,8,15,"CHARLOTTE","Charlotte","Charlotte","Charlotte County","FL",176954,6454,76,70,377,570,639,911,1225,1197,806,575,8,"0 to 119",59,3725,2651,78,6432,22,0,391,5374,1083,31,1500,4948,1,5,6426,1304,190,5,1,787,684,23,1494,14,26,156,167,150,213,266,219,153,135,1,"0 to 101","55",1033,86,61,314,103,1028,363,176,1,189,1,0,82,1500,685,791,1494,6,0,18143,16,19669,18159,1500,70,2103,0,2173,3.22,21842,1570,7051,8627,"4.9",7.2,24.3,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","increased by","decreased by","decreased by","decreased by","109.1","22","11.7","50.5","%","%","%","%",125,51,82,177,190,12,13,5.5,1470,82,30,0,62,3,0,NA,"4",6,3
32,9,17,"CITRUS","Citrus","Citrus","Citrus County","FL",143087,4999,75,105,343,534,468,614,910,1031,693,218,8,"0 to 222",59,2812,2031,156,4989,10,0,210,3805,795,39,874,4117,1,7,4982,540,331,3,0,446,422,3,871,9,22,115,130,95,126,166,113,69,29,0,"0 to 100","50",650,54,55,112,51,675,145,65,0,86,0,0,17,874,423,448,871,3,0,13694,6,14583,13700,874,29,1134,0,1163,2.49,15746,903,5251,6162,"4.3",5.7,18.1,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","YES","increased by","decreased by","increased by","decreased by","30.6","14.3","56.6","13.2","%","%","%","%",26,1,17,65,86,8,10,1.9,855,17,19,0,53,1,0,NA,"12",0,1
22,10,19,"CLAY","Clay","Clay","Clay County","FL",207291,10142,195,295,957,1263,1443,1662,1703,1443,820,339,22,"0 to 101",50,5785,4237,120,10116,26,0,465,8537,1419,89,2197,7934,1,10,10105,2080,109,8,0,1196,983,10,2189,20,78,344,356,344,369,299,206,115,65,1,"0 to 100","43",979,361,166,683,198,1236,755,297,0,156,0,0,43,2197,987,1200,2189,8,0,25116,18,27344,25134,2197,53,1481,0,1534,3.46,28878,2250,9415,11676,"5.6",7.8,22.2,"2020-07-05 05:00:00","2020-07-11 05:00:00","NO","NO","NO","NO","decreased by","decreased by","increased by","decreased by","26","29.6","53.6","0.9","%","%","%","%",78,26,43,297,156,14,8,2,2137,43,60,0,149,11,1,NA,"7",2,4
